Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:53.0,T. Herro misses 2-pt jump shot from 9 ft,51-42, ,,2,51,42,9,1147.0
4:50.0,Offensive rebound by O. Robinson,51-42, ,,2,51,42,9,1150.0
4:46.0,O. Robinson makes 2-pt layup at rim,53-42, ,,2,53,42,11,1154.0
4:25.0, ,53-42,M. Morris misses 2-pt jump shot from 16 ft,,2,53,42,11,1175.0
4:22.0,Defensive rebound by T. Herro,53-42, ,,2,53,42,11,1178.0
4:19.0,T. Herro makes 3-pt jump shot from 27 ft,56-42, ,,2,56,42,14,1181.0
3:59.0, ,56-42,Shooting foul by K. Lowry (drawn by I. Zubac),,2,56,42,14,1201.0
3:59.0, ,56-43,I. Zubac makes free throw 1 of 2,,2,56,43,13,1201.0
3:59.0, ,56-44,I. Zubac makes free throw 2 of 2,,2,56,44,12,1201.0
3:46.0,M. Strus makes 3-pt jump shot from 23 ft (assist by K. Lowry),59-44, ,,2,59,44,15,1214.0
3:25.0, ,59-44,Turnover by P. George (step out of bounds),,2,59,44,15,1235.0
3:25.0, ,59-44,J. Wall enters the game for I. Zubac,,2,59,44,15,1235.0
3:25.0, ,59-44,Technical foul by M. Morris,,2,59,44,15,1235.0
3:25.0,J. Butler misses technical free throw,59-44, ,,2,59,44,15,1235.0
3:25.0,Offensive rebound by Team,59-44, ,,2,59,44,15,1235.0
3:05.0,T. Herro makes 3-pt jump shot from 27 ft,62-44, ,,2,62,44,18,1255.0
2:37.0, ,62-44,Turnover by P. George (lost ball; steal by M. Strus),,2,62,44,18,1283.0
2:23.0,O. Robinson makes 2-pt layup from 2 ft (assist by J. Butler),64-44, ,,2,64,44,20,1297.0
2:23.0, ,64-44,LA Clippers full timeout,,2,64,44,20,1297.0
2:08.0, ,64-46,P. George makes 2-pt jump shot from 18 ft,,2,64,46,18,1312.0
1:44.0,T. Herro makes 3-pt jump shot from 30 ft,67-46, ,,2,67,46,21,1336.0
1:21.0, ,67-46,M. Morris misses 2-pt layup from 5 ft,,2,67,46,21,1359.0
1:17.0,Defensive rebound by M. Strus,67-46, ,,2,67,46,21,1363.0
0:58.0,M. Strus misses 3-pt jump shot from 23 ft,67-46, ,,2,67,46,21,1382.0
0:54.0, ,67-46,Defensive rebound by J. Wall,,2,67,46,21,1386.0
0:48.0, ,67-46,P. George misses 3-pt jump shot from 28 ft,,2,67,46,21,1392.0
0:45.0,Defensive rebound by Team,67-46, ,,2,67,46,21,1395.0
0:27.0,K. Lowry misses 3-pt jump shot from 23 ft,67-46, ,,2,67,46,21,1413.0
0:24.0, ,67-46,Defensive rebound by M. Morris,,2,67,46,21,1416.0
0:04.0, ,67-49,T. Mann makes 3-pt jump shot from 26 ft (assist by J. Wall),,2,67,49,18,1436.0
0:00.0,End of 2nd quarter,67-49,,,2,67,49,18,1440.0
12:00.0,Start of 3rd quarter,67-49,,,3,67,49,18,1440.0
11:49.0, ,67-49,P. George misses 2-pt jump shot from 13 ft,,3,67,49,18,1451.0
11:46.0,Defensive rebound by C. Martin,67-49, ,,3,67,49,18,1454.0
11:24.0,C. Martin misses 3-pt jump shot from 27 ft,67-49, ,,3,67,49,18,1476.0
11:21.0, ,67-49,Defensive rebound by R. Jackson,,3,67,49,18,1479.0
11:16.0, ,67-49,I. Zubac misses 2-pt layup from 2 ft,,3,67,49,18,1484.0
11:14.0,Defensive rebound by T. Herro,67-49, ,,3,67,49,18,1486.0
11:08.0, ,67-49,Violation by Team (kicked ball),,3,67,49,18,1492.0
11:00.0,Shooting foul by M. Morris (drawn by B. Adebayo),67-49, ,,3,67,49,18,1500.0
11:00.0,B. Adebayo makes free throw 1 of 2,68-49, ,,3,68,49,19,1500.0
11:00.0,B. Adebayo makes free throw 2 of 2,69-49, ,,3,69,49,20,1500.0
10:49.0, ,69-49,Shooting foul by T. Herro (drawn by T. Mann),,3,69,49,20,1511.0
10:49.0, ,69-50,T. Mann makes free throw 1 of 2,,3,69,50,19,1511.0
10:49.0, ,69-51,T. Mann makes free throw 2 of 2,,3,69,51,18,1511.0
10:38.0,B. Adebayo makes 2-pt jump shot from 11 ft,71-51, ,,3,71,51,20,1522.0
10:18.0, ,71-53,I. Zubac makes 2-pt hook shot from 6 ft (assist by M. Morris),,3,71,53,18,1542.0
10:08.0,B. Adebayo misses 2-pt jump shot from 10 ft,71-53, ,,3,71,53,18,1552.0
10:04.0, ,71-53,Defensive rebound by M. Morris,,3,71,53,18,1556.0
9:54.0, ,71-55,R. Jackson makes 2-pt layup from 4 ft (assist by P. George),,3,71,55,16,1566.0
9:54.0, ,71-55,Shooting foul by K. Lowry (drawn by R. Jackson),,3,71,55,16,1566.0
9:54.0, ,71-56,R. Jackson makes free throw 1 of 1,,3,71,56,15,1566.0
9:40.0,K. Lowry misses 3-pt jump shot from 26 ft,71-56, ,,3,71,56,15,1580.0
9:36.0, ,71-56,Defensive rebound by M. Morris,,3,71,56,15,1584.0
9:31.0, ,71-56,Turnover by R. Jackson (bad pass),,3,71,56,15,1589.0
9:19.0,T. Herro misses 2-pt jump shot from 13 ft,71-56, ,,3,71,56,15,1601.0
9:18.0, ,71-56,Defensive rebound by Team,,3,71,56,15,1602.0
9:18.0,Loose ball foul by C. Martin (drawn by P. George),71-56, ,,3,71,56,15,1602.0
9:07.0, ,71-56,P. George misses 3-pt jump shot from 26 ft,,3,71,56,15,1613.0
9:04.0,Defensive rebound by C. Martin,71-56, ,,3,71,56,15,1616.0
8:57.0,Turnover by K. Lowry (lost ball; steal by P. George),71-56, ,,3,71,56,15,1623.0
8:44.0, ,71-56,Personal foul by K. Lowry (drawn by P. George),,3,71,56,15,1636.0
8:28.0, ,71-56,T. Mann misses 3-pt jump shot from 27 ft,,3,71,56,15,1652.0
8:26.0,Defensive rebound by B. Adebayo,71-56, ,,3,71,56,15,1654.0
8:10.0,T. Herro misses 3-pt jump shot from 26 ft,71-56, ,,3,71,56,15,1670.0
