Time,Miami,Score,Minnesota,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:36.0, ,56-45,K. Towns makes free throw 2 of 2,,2,56,45,11,1404.0
0:29.0,N. Jović makes 2-pt layup from 1 ft (assist by M. Strus),58-45, ,,2,58,45,13,1411.0
0:16.0, ,58-47,K. Towns makes 2-pt jump shot from 7 ft (assist by T. Prince),,2,58,47,11,1424.0
0:02.0,Shooting foul by B. Forbes (drawn by K. Lowry),58-47, ,,2,58,47,11,1438.0
0:02.0,K. Lowry makes free throw 1 of 2,59-47, ,,2,59,47,12,1438.0
0:02.0,K. Lowry makes free throw 2 of 2,60-47, ,,2,60,47,13,1438.0
0:00.0, ,60-47,B. Forbes misses 3-pt jump shot from 52 ft,,2,60,47,13,1440.0
0:00.0, ,60-47,Offensive rebound by Team,,2,60,47,13,1440.0
0:00.0,End of 2nd quarter,60-47,,,2,60,47,13,1440.0
12:00.0,Start of 3rd quarter,60-47,,,3,60,47,13,1440.0
11:50.0, ,60-49,A. Edwards makes 2-pt layup at rim (assist by K. Towns),,3,60,49,11,1450.0
11:28.0,M. Strus misses 2-pt layup from 2 ft (block by D. Russell),60-49, ,,3,60,49,11,1472.0
11:25.0, ,60-49,Defensive rebound by D. Russell,,3,60,49,11,1475.0
11:20.0, ,60-49,Personal foul by B. Adebayo (drawn by J. McDaniels),,3,60,49,11,1480.0
11:13.0, ,60-51,J. McDaniels makes 2-pt layup from 1 ft (assist by K. Towns),,3,60,51,9,1487.0
10:59.0,Personal foul by R. Gobert (drawn by B. Adebayo),60-51, ,,3,60,51,9,1501.0
10:58.0,Shooting foul by A. Edwards (drawn by C. Martin),60-51, ,,3,60,51,9,1502.0
10:58.0,C. Martin makes free throw 1 of 2,61-51, ,,3,61,51,10,1502.0
10:58.0,C. Martin misses free throw 2 of 2,61-51, ,,3,61,51,10,1502.0
10:58.0, ,61-51,Defensive rebound by Team,,3,61,51,10,1502.0
10:50.0, ,61-53,K. Towns makes 2-pt jump shot from 10 ft (assist by D. Russell),,3,61,53,8,1510.0
10:32.0,K. Lowry makes 3-pt jump shot from 25 ft,64-53, ,,3,64,53,11,1528.0
10:15.0, ,64-53,Turnover by A. Edwards (bad pass),,3,64,53,11,1545.0
9:58.0,Personal foul by J. McDaniels (drawn by K. Lowry),64-53, ,,3,64,53,11,1562.0
9:47.0,M. Strus misses 3-pt jump shot from 28 ft,64-53, ,,3,64,53,11,1573.0
9:44.0, ,64-53,Defensive rebound by R. Gobert,,3,64,53,11,1576.0
9:27.0, ,64-53,Offensive foul by A. Edwards (drawn by K. Lowry),,3,64,53,11,1593.0
9:27.0, ,64-53,Turnover by A. Edwards (offensive foul),,3,64,53,11,1593.0
9:27.0, ,64-53,Technical foul by A. Edwards,,3,64,53,11,1593.0
9:27.0, ,64-53,Minnesota full timeout,,3,64,53,11,1593.0
9:27.0, ,64-53,Instant Replay (Challenge: Stands),,3,64,53,11,1593.0
9:27.0,M. Strus makes technical free throw,65-53, ,,3,65,53,12,1593.0
9:15.0,C. Martin makes 2-pt layup from 1 ft (assist by K. Lowry),67-53, ,,3,67,53,14,1605.0
8:55.0, ,67-53,Turnover by J. McDaniels (bad pass; steal by C. Martin),,3,67,53,14,1625.0
8:48.0,M. Strus misses 3-pt jump shot from 25 ft,67-53, ,,3,67,53,14,1632.0
8:44.0,Offensive rebound by B. Adebayo,67-53, ,,3,67,53,14,1636.0
8:42.0,K. Lowry misses 3-pt jump shot from 25 ft,67-53, ,,3,67,53,14,1638.0
