Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:19.0, ,45-58,Offensive rebound by J. Green,,2,45,58,-13,1301.0
2:13.0, ,45-58,T. Hardaway misses 3-pt jump shot from 25 ft,,2,45,58,-13,1307.0
2:10.0,Defensive rebound by B. Adebayo,45-58, ,,2,45,58,-13,1310.0
2:05.0,B. Adebayo misses 2-pt layup from 4 ft,45-58, ,,2,45,58,-13,1315.0
2:03.0,Offensive rebound by J. Butler,45-58, ,,2,45,58,-13,1317.0
2:03.0,Shooting foul by J. Green (drawn by J. Butler),45-58, ,,2,45,58,-13,1317.0
2:03.0,Miami full timeout,45-58, ,,2,45,58,-13,1317.0
2:03.0,V. Oladipo enters the game for C. Martin,45-58, ,,2,45,58,-13,1317.0
2:03.0, ,45-58,S. Dinwiddie enters the game for T. Hardaway,,2,45,58,-13,1317.0
2:03.0,J. Butler makes free throw 1 of 2,46-58, ,,2,46,58,-12,1317.0
2:03.0,J. Butler makes free throw 2 of 2,47-58, ,,2,47,58,-11,1317.0
1:51.0, ,47-58,Personal foul by J. Butler (drawn by L. Dončić),,2,47,58,-11,1329.0
1:51.0, ,47-58,L. Dončić misses free throw 1 of 2,,2,47,58,-11,1329.0
1:51.0, ,47-58,Offensive rebound by Team,,2,47,58,-11,1329.0
1:51.0, ,47-58,L. Dončić misses free throw 2 of 2,,2,47,58,-11,1329.0
1:48.0,Defensive rebound by J. Butler,47-58, ,,2,47,58,-11,1332.0
1:29.0,T. Herro misses 3-pt jump shot from 26 ft,47-58, ,,2,47,58,-11,1351.0
1:25.0,Offensive rebound by B. Adebayo,47-58, ,,2,47,58,-11,1355.0
1:25.0,B. Adebayo makes 2-pt layup at rim,49-58, ,,2,49,58,-9,1355.0
1:13.0, ,49-58,J. Green misses 3-pt jump shot from 24 ft,,2,49,58,-9,1367.0
1:13.0, ,49-58,Offensive rebound by Team,,2,49,58,-9,1367.0
1:12.0, ,49-58,Shooting foul by K. Lowry (drawn by D. Finney-Smith),,2,49,58,-9,1368.0
1:12.0, ,49-59,D. Finney-Smith makes free throw 1 of 2,,2,49,59,-10,1368.0
1:12.0, ,49-60,D. Finney-Smith makes free throw 2 of 2,,2,49,60,-11,1368.0
1:00.0,Turnover by J. Butler (out of bounds lost ball),49-60, ,,2,49,60,-11,1380.0
0:45.0, ,49-60,L. Dončić misses 2-pt jump shot from 11 ft,,2,49,60,-11,1395.0
0:43.0,Defensive rebound by B. Adebayo,49-60, ,,2,49,60,-11,1397.0
0:32.0,T. Herro makes 2-pt hook shot from 3 ft (assist by J. Butler),51-60, ,,2,51,60,-9,1408.0
0:12.0, ,51-60,Turnover by J. Green (bad pass; steal by J. Butler),,2,51,60,-9,1428.0
0:00.0,K. Lowry misses 2-pt jump shot from 13 ft,51-60, ,,2,51,60,-9,1440.0
0:00.0,Offensive rebound by Team,51-60, ,,2,51,60,-9,1440.0
0:00.0,End of 2nd quarter,51-60,,,2,51,60,-9,1440.0
12:00.0,Start of 3rd quarter,51-60,,,3,51,60,-9,1440.0
11:41.0,C. Martin makes 3-pt jump shot from 25 ft (assist by K. Lowry),54-60, ,,3,54,60,-6,1459.0
11:13.0, ,54-60,T. Hardaway misses 2-pt jump shot from 19 ft,,3,54,60,-6,1487.0
