Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:35.0, ,20-28,New York full timeout,,1,20,28,-8,625.0
1:35.0,B. Adebayo enters the game for J. Butler,20-28, ,,1,20,28,-8,625.0
1:35.0,T. Herro enters the game for U. Haslem,20-28, ,,1,20,28,-8,625.0
1:35.0, ,20-28,R. Barrett enters the game for Q. Grimes,,1,20,28,-8,625.0
1:35.0, ,20-28,O. Toppin enters the game for J. Randle,,1,20,28,-8,625.0
1:19.0, ,20-28,E. Fournier misses 3-pt jump shot from 23 ft,,1,20,28,-8,641.0
1:17.0,Defensive rebound by M. Strus,20-28, ,,1,20,28,-8,643.0
1:07.0,T. Herro makes 2-pt jump shot from 3 ft (assist by G. Vincent),22-28, ,,1,22,28,-6,653.0
0:57.0, ,22-28,I. Quickley misses 3-pt jump shot from 24 ft,,1,22,28,-6,663.0
0:55.0,Defensive rebound by T. Herro,22-28, ,,1,22,28,-6,665.0
0:45.0,T. Herro misses 2-pt jump shot from 18 ft,22-28, ,,1,22,28,-6,675.0
0:43.0, ,22-28,Defensive rebound by O. Toppin,,1,22,28,-6,677.0
0:31.0, ,22-28,Offensive foul by I. Hartenstein (drawn by G. Vincent),,1,22,28,-6,689.0
0:31.0, ,22-28,Turnover by I. Hartenstein (offensive foul),,1,22,28,-6,689.0
0:19.0,Offensive foul by G. Vincent (drawn by R. Barrett),22-28, ,,1,22,28,-6,701.0
0:19.0,Turnover by G. Vincent (offensive foul),22-28, ,,1,22,28,-6,701.0
0:00.0, ,22-28,R. Barrett misses 3-pt jump shot from 27 ft,,1,22,28,-6,720.0
0:00.0, ,22-28,Offensive rebound by Team,,1,22,28,-6,720.0
0:00.0,End of 1st quarter,22-28,,,1,22,28,-6,720.0
12:00.0,Start of 2nd quarter,22-28,,,2,22,28,-6,720.0
11:41.0, ,22-28,I. Hartenstein misses 2-pt jump shot from 8 ft,,2,22,28,-6,739.0
11:40.0, ,22-28,Offensive rebound by I. Hartenstein,,2,22,28,-6,740.0
11:39.0, ,22-28,I. Hartenstein misses 2-pt layup from 2 ft,,2,22,28,-6,741.0
11:38.0,Defensive rebound by B. Adebayo,22-28, ,,2,22,28,-6,742.0
11:21.0,M. Strus makes 3-pt jump shot from 23 ft (assist by B. Adebayo),25-28, ,,2,25,28,-3,759.0
11:16.0, ,25-28,Def 3 sec tech foul by Team,,2,25,28,-3,764.0
11:16.0, ,25-29,R. Barrett makes technical free throw,,2,25,29,-4,764.0
11:08.0, ,25-29,O. Toppin misses 3-pt jump shot from 25 ft,,2,25,29,-4,772.0
11:04.0, ,25-29,Offensive rebound by I. Hartenstein,,2,25,29,-4,776.0
