Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:35.0,L. Kennard misses 3-pt jump shot from 26 ft,84-80, ,,3,80,84,-4,2065.0
1:30.0, ,84-80,Defensive rebound by B. Adebayo,,3,80,84,-4,2070.0
1:21.0, ,84-80,T. Herro misses 2-pt jump shot from 12 ft,,3,80,84,-4,2079.0
1:14.0,Defensive rebound by L. Kennard,84-80, ,,3,80,84,-4,2086.0
1:10.0,Turnover by J. Wall (lost ball; steal by T. Herro),84-80, ,,3,80,84,-4,2090.0
1:03.0, ,84-82,B. Adebayo makes 2-pt layup from 4 ft (assist by T. Herro),,3,82,84,-2,2097.0
0:54.0,N. Batum misses 3-pt jump shot from 28 ft,84-82, ,,3,82,84,-2,2106.0
0:54.0, ,84-82,Defensive rebound by T. Herro,,3,82,84,-2,2106.0
0:34.0, ,84-84,B. Adebayo makes 2-pt layup from 3 ft,Tie,3,84,84,0,2126.0
0:31.0,Shooting foul by H. Highsmith (drawn by J. Wall),84-84, ,,3,84,84,0,2129.0
0:31.0,J. Wall makes free throw 1 of 2,85-84, ,,3,84,85,-1,2129.0
0:31.0,M. Brown enters the game for I. Zubac,85-84, ,,3,84,85,-1,2129.0
0:31.0,J. Wall misses free throw 2 of 2,85-84, ,,3,84,85,-1,2129.0
0:28.0,Offensive rebound by N. Batum,85-84, ,,3,84,85,-1,2132.0
0:28.0,N. Batum makes 2-pt layup from 5 ft,87-84, ,,3,84,87,-3,2132.0
0:28.0,Shooting foul by H. Highsmith (drawn by N. Batum),87-84, ,,3,84,87,-3,2132.0
0:28.0,N. Batum misses free throw 1 of 1,87-84, ,,3,84,87,-3,2132.0
0:25.0, ,87-84,Defensive rebound by H. Highsmith,,3,84,87,-3,2135.0
0:13.0, ,87-84,Personal foul by B. Boston (drawn by M. Strus),,3,84,87,-3,2147.0
0:04.0, ,87-84,M. Strus misses 3-pt jump shot from 25 ft,,3,84,87,-3,2156.0
0:02.0,Defensive rebound by B. Boston,87-84, ,,3,84,87,-3,2158.0
0:00.0,End of 3rd quarter,87-84,,,3,84,87,-3,2160.0
12:00.0,Start of 4th quarter,87-84,,,4,84,87,-3,2160.0
11:45.0, ,87-84,V. Oladipo misses 3-pt jump shot from 29 ft,,4,84,87,-3,2175.0
11:41.0,Defensive rebound by N. Batum,87-84, ,,4,84,87,-3,2179.0
11:27.0,J. Wall misses 2-pt jump shot from 21 ft,87-84, ,,4,84,87,-3,2193.0
11:23.0, ,87-84,Defensive rebound by V. Oladipo,,4,84,87,-3,2197.0
11:15.0, ,87-86,T. Herro makes 2-pt jump shot from 15 ft,,4,86,87,-1,2205.0
11:01.0,L. Kennard misses 3-pt jump shot from 27 ft,87-86, ,,4,86,87,-1,2219.0
10:57.0, ,87-86,Defensive rebound by T. Herro,,4,86,87,-1,2223.0
10:52.0, ,87-89,T. Herro makes 3-pt jump shot from 27 ft,Lead change,4,89,87,2,2228.0
10:38.0,Shooting foul by M. Strus (drawn by J. Wall),87-89, ,,4,89,87,2,2242.0
10:38.0,J. Wall makes free throw 1 of 2,88-89, ,,4,89,88,1,2242.0
10:38.0,J. Wall makes free throw 2 of 2,89-89, ,Tie,4,89,89,0,2242.0
10:22.0, ,89-91,V. Oladipo makes 2-pt jump shot from 10 ft,,4,91,89,2,2258.0
10:00.0,Turnover by J. Wall (bad pass),89-91, ,,4,91,89,2,2280.0
9:52.0, ,89-91,Personal foul by N. Batum (drawn by T. Herro),,4,91,89,2,2288.0
9:52.0,R. Jackson enters the game for J. Wall,89-91, ,,4,91,89,2,2288.0
9:43.0, ,89-91,T. Herro misses 3-pt jump shot from 28 ft,,4,91,89,2,2297.0
9:40.0,Defensive rebound by M. Brown,89-91, ,,4,91,89,2,2300.0
9:29.0,R. Jackson misses 2-pt layup from 5 ft,89-91, ,,4,91,89,2,2311.0
9:26.0,Offensive rebound by N. Batum,89-91, ,,4,91,89,2,2314.0
9:24.0,M. Brown makes 2-pt dunk from 2 ft (assist by N. Batum),91-91, ,Tie,4,91,91,0,2316.0
9:04.0, ,91-91,T. Herro misses 2-pt jump shot from 10 ft,,4,91,91,0,2336.0
9:00.0,Defensive rebound by M. Brown,91-91, ,,4,91,91,0,2340.0
8:56.0,Shooting foul by M. Strus (drawn by B. Boston),91-91, ,,4,91,91,0,2344.0
8:56.0,B. Boston makes free throw 1 of 2,92-91, ,Lead change,4,91,92,-1,2344.0
8:56.0,B. Boston makes free throw 2 of 2,93-91, ,,4,91,93,-2,2344.0
8:40.0, ,93-93,V. Oladipo makes 2-pt jump shot from 13 ft,Tie,4,93,93,0,2360.0
8:19.0,B. Boston misses 2-pt jump shot from 17 ft,93-93, ,,4,93,93,0,2381.0
8:16.0, ,93-93,Defensive rebound by T. Herro,,4,93,93,0,2384.0
8:10.0, ,93-93,D. Dedmon misses 3-pt jump shot from 27 ft,,4,93,93,0,2390.0
8:06.0,Defensive rebound by L. Kennard,93-93, ,,4,93,93,0,2394.0
7:55.0,Shooting foul by M. Strus (drawn by R. Jackson),93-93, ,,4,93,93,0,2405.0
7:55.0,R. Jackson makes free throw 1 of 2,94-93, ,,4,93,94,-1,2405.0
7:55.0,R. Jackson makes free throw 2 of 2,95-93, ,,4,93,95,-2,2405.0
7:43.0, ,95-95,D. Dedmon makes 2-pt layup from 4 ft (assist by V. Oladipo),Tie,4,95,95,0,2417.0
7:43.0, ,95-95,Shooting foul by M. Brown (drawn by D. Dedmon),,4,95,95,0,2417.0
7:43.0, ,95-95,J. Butler enters the game for T. Herro,,4,95,95,0,2417.0
7:43.0, ,95-95,D. Dedmon misses free throw 1 of 1,,4,95,95,0,2417.0
7:40.0,Defensive rebound by M. Brown,95-95, ,,4,95,95,0,2420.0
7:27.0,L. Kennard misses 3-pt jump shot from 26 ft,95-95, ,,4,95,95,0,2433.0
7:27.0,Offensive rebound by Team,95-95, ,,4,95,95,0,2433.0
7:27.0, ,95-95,Loose ball foul by D. Dedmon (drawn by M. Brown),,4,95,95,0,2433.0
7:27.0,M. Morris enters the game for N. Batum,95-95, ,,4,95,95,0,2433.0
7:27.0, ,95-95,B. Adebayo enters the game for D. Dedmon,,4,95,95,0,2433.0
7:27.0, ,95-95,T. Herro enters the game for V. Oladipo,,4,95,95,0,2433.0
7:18.0,B. Boston misses 3-pt jump shot from 28 ft,95-95, ,,4,95,95,0,2442.0
7:14.0, ,95-95,Defensive rebound by C. Martin,,4,95,95,0,2446.0
7:05.0, ,95-97,M. Strus makes 2-pt layup from 5 ft (assist by J. Butler),Lead change,4,97,95,2,2455.0
7:05.0,LA Clippers full timeout,95-97, ,,4,97,95,2,2455.0
7:05.0,P. George enters the game for B. Boston,95-97, ,,4,97,95,2,2455.0
7:05.0,I. Zubac enters the game for M. Brown,95-97, ,,4,97,95,2,2455.0
6:47.0,I. Zubac misses 2-pt layup from 2 ft,95-97, ,,4,97,95,2,2473.0
6:41.0, ,95-97,Defensive rebound by J. Butler,,4,97,95,2,2479.0
6:29.0, ,95-97,Shooting foul by I. Zubac (drawn by B. Adebayo),,4,97,95,2,2491.0
6:29.0, ,95-98,B. Adebayo makes free throw 1 of 2,,4,98,95,3,2491.0
6:29.0, ,95-99,B. Adebayo makes free throw 2 of 2,,4,99,95,4,2491.0
6:16.0,R. Jackson makes 3-pt jump shot from 28 ft (assist by L. Kennard),98-99, ,,4,99,98,1,2504.0
5:55.0, ,98-101,B. Adebayo makes 2-pt jump shot from 10 ft (assist by M. Strus),,4,101,98,3,2525.0
5:36.0,Turnover by P. George (bad pass),98-101, ,,4,101,98,3,2544.0
5:18.0, ,98-104,M. Strus makes 3-pt jump shot from 24 ft (assist by J. Butler),,4,104,98,6,2562.0
4:55.0,Turnover by P. George (bad pass; steal by J. Butler),98-104, ,,4,104,98,6,2585.0
4:51.0, ,98-104,M. Strus misses 3-pt jump shot from 28 ft,,4,104,98,6,2589.0
4:47.0,Defensive rebound by M. Morris,98-104, ,,4,104,98,6,2593.0
4:36.0,Personal foul by M. Strus (drawn by P. George),98-104, ,,4,104,98,6,2604.0
4:36.0,P. George makes free throw 1 of 2,99-104, ,,4,104,99,5,2604.0
4:36.0,P. George makes free throw 2 of 2,100-104, ,,4,104,100,4,2604.0
4:20.0, ,100-107,T. Herro makes 3-pt jump shot from 28 ft,,4,107,100,7,2620.0
4:00.0,P. George misses 3-pt jump shot from 27 ft,100-107, ,,4,107,100,7,2640.0
3:57.0, ,100-107,Defensive rebound by B. Adebayo,,4,107,100,7,2643.0
3:44.0, ,100-107,M. Strus misses 3-pt jump shot from 27 ft,,4,107,100,7,2656.0
3:42.0,Defensive rebound by L. Kennard,100-107, ,,4,107,100,7,2658.0
3:29.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by M. Morris),103-107, ,,4,107,103,4,2671.0
3:28.0, ,103-107,Miami full timeout,,4,107,103,4,2672.0
3:04.0, ,103-107,T. Herro misses 3-pt jump shot from 24 ft,,4,107,103,4,2696.0
3:01.0,Defensive rebound by R. Jackson,103-107, ,,4,107,103,4,2699.0
2:57.0,R. Jackson misses 2-pt layup from 3 ft,103-107, ,,4,107,103,4,2703.0
2:54.0, ,103-107,Defensive rebound by C. Martin,,4,107,103,4,2706.0
2:43.0, ,103-109,J. Butler makes 2-pt jump shot from 10 ft,,4,109,103,6,2717.0
2:21.0,Turnover by L. Kennard (bad pass; steal by C. Martin),103-109, ,,4,109,103,6,2739.0
2:05.0, ,103-111,J. Butler makes 2-pt jump shot from 10 ft,,4,111,103,8,2755.0
2:04.0,LA Clippers full timeout,103-111, ,,4,111,103,8,2756.0
2:04.0,N. Batum enters the game for L. Kennard,103-111, ,,4,111,103,8,2756.0
1:47.0,P. George makes 3-pt jump shot from 27 ft,106-111, ,,4,111,106,5,2773.0
1:29.0, ,106-111,T. Herro misses 3-pt jump shot from 26 ft,,4,111,106,5,2791.0
1:23.0,Defensive rebound by I. Zubac,106-111, ,,4,111,106,5,2797.0
1:17.0,P. George makes 2-pt layup from 4 ft,108-111, ,,4,111,108,3,2803.0
1:16.0, ,108-111,Turnover by T. Herro (out of bounds lost ball),,4,111,108,3,2804.0
1:12.0,P. George misses 3-pt jump shot from 27 ft,108-111, ,,4,111,108,3,2808.0
1:10.0, ,108-111,Defensive rebound by T. Herro,,4,111,108,3,2810.0
0:57.0, ,108-113,J. Butler makes 2-pt jump shot from 15 ft,,4,113,108,5,2823.0
0:46.0,N. Batum misses 3-pt jump shot from 24 ft,108-113, ,,4,113,108,5,2834.0
0:42.0, ,108-113,Defensive rebound by J. Butler,,4,113,108,5,2838.0
0:42.0, ,108-113,Miami full timeout,,4,113,108,5,2838.0
0:42.0, ,108-113,Instant Replay (Challenge: Ruling Stands),,4,113,108,5,2838.0
0:31.0, ,108-113,Personal take foul by R. Jackson (drawn by J. Butler),,4,113,108,5,2849.0
0:25.0, ,108-113,Turnover by B. Adebayo (back court),,4,113,108,5,2855.0
0:25.0,LA Clippers full timeout,108-113, ,,4,113,108,5,2855.0
0:25.0,L. Kennard enters the game for I. Zubac,108-113, ,,4,113,108,5,2855.0
0:18.0,R. Jackson misses 2-pt layup from 2 ft,108-113, ,,4,113,108,5,2862.0
0:15.0, ,108-113,Defensive rebound by J. Butler,,4,113,108,5,2865.0
0:15.0, ,108-113,Personal take foul by R. Jackson (drawn by J. Butler),,4,113,108,5,2865.0
0:15.0, ,108-114,J. Butler makes free throw 1 of 2,,4,114,108,6,2865.0
0:15.0, ,108-115,J. Butler makes free throw 2 of 2,,4,115,108,7,2865.0
0:10.0,R. Jackson makes 2-pt layup from 5 ft,110-115, ,,4,115,110,5,2870.0
0:00.0,End of 4th quarter,110-115,,,4,115,110,5,2880.0
