Time,Detroit,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:21.0,Defensive rebound by A. Burks,71-68, ,,3,68,71,-3,1959.0
3:17.0,J. Duren misses 2-pt jump shot from 7 ft,71-68, ,,3,68,71,-3,1963.0
3:16.0,Offensive rebound by J. Duren,71-68, ,,3,68,71,-3,1964.0
3:16.0,Personal foul by K. Lowry (drawn by J. Duren),71-68, ,,3,68,71,-3,1964.0
3:16.0,Detroit full timeout,71-68, ,,3,68,71,-3,1964.0
3:16.0,C. Joseph enters the game for B. Bogdanović,71-68, ,,3,68,71,-3,1964.0
3:16.0,K. Knox enters the game for K. Hayes,71-68, ,,3,68,71,-3,1964.0
3:04.0,Shooting foul by V. Oladipo (drawn by A. Burks),71-68, ,,3,68,71,-3,1976.0
3:04.0,A. Burks makes free throw 1 of 2,72-68, ,,3,68,72,-4,1976.0
3:04.0,A. Burks misses free throw 2 of 2,72-68, ,,3,68,72,-4,1976.0
3:01.0, ,72-68,Defensive rebound by M. Strus,,3,68,72,-4,1979.0
2:48.0, ,72-70,B. Adebayo makes 2-pt hook shot from 6 ft (assist by V. Oladipo),,3,70,72,-2,1992.0
2:26.0,S. Bey misses 2-pt jump shot from 10 ft,72-70, ,,3,70,72,-2,2014.0
2:22.0, ,72-70,Defensive rebound by B. Adebayo,,3,70,72,-2,2018.0
2:18.0, ,72-70,M. Strus misses 3-pt jump shot from 27 ft,,3,70,72,-2,2022.0
2:18.0,Defensive rebound by C. Joseph,72-70, ,,3,70,72,-2,2022.0
2:06.0,C. Joseph makes 2-pt jump shot from 7 ft,74-70, ,,3,70,74,-4,2034.0
2:06.0,Shooting foul by M. Strus (drawn by C. Joseph),74-70, ,,3,70,74,-4,2034.0
2:06.0, ,74-70,T. Herro enters the game for K. Lowry,,3,70,74,-4,2034.0
2:06.0, ,74-70,D. Robinson enters the game for M. Strus,,3,70,74,-4,2034.0
2:06.0,C. Joseph makes free throw 1 of 1,75-70, ,,3,70,75,-5,2034.0
1:50.0, ,75-70,H. Highsmith misses 2-pt jump shot from 10 ft,,3,70,75,-5,2050.0
1:47.0,Defensive rebound by A. Burks,75-70, ,,3,70,75,-5,2053.0
1:39.0,A. Burks misses 3-pt jump shot from 26 ft,75-70, ,,3,70,75,-5,2061.0
1:37.0, ,75-70,Defensive rebound by B. Adebayo,,3,70,75,-5,2063.0
1:34.0, ,75-70,Offensive foul by B. Adebayo (drawn by A. Burks),,3,70,75,-5,2066.0
1:34.0, ,75-70,Turnover by B. Adebayo (offensive foul),,3,70,75,-5,2066.0
1:18.0,C. Joseph misses 2-pt jump shot from 18 ft,75-70, ,,3,70,75,-5,2082.0
1:13.0, ,75-70,Defensive rebound by B. Adebayo,,3,70,75,-5,2087.0
1:01.0, ,75-72,T. Herro makes 2-pt jump shot from 14 ft,,3,72,75,-3,2099.0
0:45.0,Turnover by J. Duren (3 sec),75-72, ,,3,72,75,-3,2115.0
0:31.0, ,75-72,Shooting foul by K. Knox (drawn by B. Adebayo),,3,72,75,-3,2129.0
0:31.0, ,75-72,B. Adebayo misses free throw 1 of 2,,3,72,75,-3,2129.0
0:31.0, ,75-72,Offensive rebound by Team,,3,72,75,-3,2129.0
0:31.0, ,75-73,B. Adebayo makes free throw 2 of 2,,3,73,75,-2,2129.0
0:16.0,A. Burks misses 3-pt jump shot from 26 ft (block by B. Adebayo),75-73, ,,3,73,75,-2,2144.0
0:16.0,Offensive rebound by Team,75-73, ,,3,73,75,-2,2144.0
0:13.0,A. Burks makes 3-pt jump shot from 25 ft (assist by C. Joseph),78-73, ,,3,73,78,-5,2147.0
0:13.0,Instant Replay (Request: Ruling Stands),78-73, ,,3,73,78,-5,2147.0
0:00.0,End of 3rd quarter,78-73,,,3,73,78,-5,2160.0
12:00.0,Start of 4th quarter,78-73,,,4,73,78,-5,2160.0
11:39.0,S. Bey misses 3-pt jump shot from 26 ft,78-73, ,,4,73,78,-5,2181.0
11:36.0,Offensive rebound by J. Duren,78-73, ,,4,73,78,-5,2184.0
11:34.0,J. Duren makes 2-pt dunk from 2 ft,80-73, ,,4,73,80,-7,2186.0
11:21.0, ,80-73,V. Oladipo misses 2-pt layup from 1 ft,,4,73,80,-7,2199.0
11:21.0,Defensive rebound by A. Burks,80-73, ,,4,73,80,-7,2199.0
11:14.0,K. Knox misses 3-pt jump shot from 23 ft,80-73, ,,4,73,80,-7,2206.0
11:11.0, ,80-73,Defensive rebound by V. Oladipo,,4,73,80,-7,2209.0
10:54.0, ,80-73,T. Herro misses 3-pt jump shot from 25 ft,,4,73,80,-7,2226.0
10:49.0,Defensive rebound by A. Burks,80-73, ,,4,73,80,-7,2231.0
10:36.0,A. Burks makes 2-pt jump shot from 10 ft,82-73, ,,4,73,82,-9,2244.0
10:18.0, ,82-76,V. Oladipo makes 3-pt jump shot from 26 ft (assist by T. Herro),,4,76,82,-6,2262.0
10:02.0,Turnover by A. Burks (bad pass),82-76, ,,4,76,82,-6,2278.0
9:43.0, ,82-76,V. Oladipo misses 2-pt jump shot from 7 ft,,4,76,82,-6,2297.0
9:43.0, ,82-76,Offensive rebound by D. Robinson,,4,76,82,-6,2297.0
9:43.0, ,82-76,Shooting foul by A. Burks (drawn by D. Robinson),,4,76,82,-6,2297.0
9:43.0, ,82-77,D. Robinson makes free throw 1 of 2,,4,77,82,-5,2297.0
9:43.0, ,82-78,D. Robinson makes free throw 2 of 2,,4,78,82,-4,2297.0
9:29.0,K. Knox makes 2-pt layup from 5 ft (assist by S. Bey),84-78, ,,4,78,84,-6,2311.0
9:18.0, ,84-80,V. Oladipo makes 2-pt layup from 4 ft,,4,80,84,-4,2322.0
8:58.0,S. Bey makes 2-pt layup from 2 ft,86-80, ,,4,80,86,-6,2342.0
8:50.0, ,86-80,T. Herro misses 2-pt jump shot from 4 ft,,4,80,86,-6,2350.0
8:47.0,Defensive rebound by J. Duren,86-80, ,,4,80,86,-6,2353.0
8:34.0,S. Bey misses 3-pt jump shot from 24 ft,86-80, ,,4,80,86,-6,2366.0
8:31.0, ,86-80,Defensive rebound by C. Martin,,4,80,86,-6,2369.0
8:26.0, ,86-80,V. Oladipo misses 3-pt jump shot from 25 ft,,4,80,86,-6,2374.0
8:26.0,Defensive rebound by Team,86-80, ,,4,80,86,-6,2374.0
8:26.0, ,86-80,B. Adebayo enters the game for C. Martin,,4,80,86,-6,2374.0
8:26.0, ,86-80,K. Lowry enters the game for D. Robinson,,4,80,86,-6,2374.0
8:03.0,C. Joseph makes 2-pt jump shot from 11 ft,88-80, ,,4,80,88,-8,2397.0
7:43.0, ,88-82,T. Herro makes 2-pt jump shot from 9 ft,,4,82,88,-6,2417.0
7:29.0,S. Bey makes 2-pt layup from 1 ft,90-82, ,,4,82,90,-8,2431.0
7:19.0, ,90-84,V. Oladipo makes 2-pt jump shot from 13 ft,,4,84,90,-6,2441.0
6:53.0,A. Burks makes 3-pt jump shot from 26 ft,93-84, ,,4,84,93,-9,2467.0
6:46.0, ,93-84,Shooting foul by A. Burks (drawn by B. Adebayo),,4,84,93,-9,2474.0
6:46.0, ,93-84,Miami full timeout,,4,84,93,-9,2474.0
6:46.0,B. Bogdanović enters the game for A. Burks,93-84, ,,4,84,93,-9,2474.0
6:46.0,J. Ivey enters the game for J. Duren,93-84, ,,4,84,93,-9,2474.0
6:46.0,I. Stewart enters the game for K. Knox,93-84, ,,4,84,93,-9,2474.0
6:46.0, ,93-85,B. Adebayo makes free throw 1 of 2,,4,85,93,-8,2474.0
6:46.0, ,93-86,B. Adebayo makes free throw 2 of 2,,4,86,93,-7,2474.0
6:40.0,Personal foul by K. Lowry (drawn by C. Joseph),93-86, ,,4,86,93,-7,2480.0
6:30.0,B. Bogdanović makes 2-pt layup from 2 ft,95-86, ,,4,86,95,-9,2490.0
6:15.0, ,95-86,Shooting foul by I. Stewart (drawn by K. Lowry),,4,86,95,-9,2505.0
6:15.0, ,95-87,K. Lowry makes free throw 1 of 2,,4,87,95,-8,2505.0
6:15.0, ,95-88,K. Lowry makes free throw 2 of 2,,4,88,95,-7,2505.0
6:04.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Joseph),98-88, ,,4,88,98,-10,2516.0
5:53.0, ,98-88,T. Herro misses 3-pt jump shot from 26 ft,,4,88,98,-10,2527.0
5:50.0,Defensive rebound by I. Stewart,98-88, ,,4,88,98,-10,2530.0
5:33.0,J. Ivey makes 2-pt layup from 1 ft (assist by S. Bey),100-88, ,,4,88,100,-12,2547.0
5:21.0, ,100-88,V. Oladipo misses 3-pt jump shot from 24 ft,,4,88,100,-12,2559.0
5:21.0,Defensive rebound by Team,100-88, ,,4,88,100,-12,2559.0
5:21.0, ,100-88,M. Strus enters the game for V. Oladipo,,4,88,100,-12,2559.0
5:08.0,I. Stewart misses 2-pt dunk at rim (block by M. Strus),100-88, ,,4,88,100,-12,2572.0
5:03.0,Offensive rebound by C. Joseph,100-88, ,,4,88,100,-12,2577.0
5:03.0,J. Ivey misses 3-pt jump shot from 25 ft,100-88, ,,4,88,100,-12,2577.0
5:03.0,Offensive rebound by I. Stewart,100-88, ,,4,88,100,-12,2577.0
5:03.0,Shooting foul by H. Highsmith (drawn by I. Stewart),100-88, ,,4,88,100,-12,2577.0
5:03.0,I. Stewart misses free throw 1 of 2,100-88, ,,4,88,100,-12,2577.0
5:03.0,Offensive rebound by Team,100-88, ,,4,88,100,-12,2577.0
5:03.0,I. Stewart misses free throw 2 of 2,100-88, ,,4,88,100,-12,2577.0
5:01.0, ,100-88,Defensive rebound by B. Adebayo,,4,88,100,-12,2579.0
4:41.0, ,100-88,B. Adebayo misses 2-pt jump shot from 11 ft,,4,88,100,-12,2599.0
4:38.0,Defensive rebound by S. Bey,100-88, ,,4,88,100,-12,2602.0
4:24.0,B. Bogdanović makes 3-pt jump shot from 25 ft,103-88, ,,4,88,103,-15,2616.0
4:24.0, ,103-88,Miami full timeout,,4,88,103,-15,2616.0
4:24.0, ,103-88,C. Martin enters the game for H. Highsmith,,4,88,103,-15,2616.0
4:06.0, ,103-88,B. Adebayo misses 2-pt hook shot from 5 ft,,4,88,103,-15,2634.0
4:06.0, ,103-88,Offensive rebound by Team,,4,88,103,-15,2634.0
4:01.0, ,103-90,T. Herro makes 2-pt layup from 2 ft (assist by K. Lowry),,4,90,103,-13,2639.0
3:47.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by C. Joseph),106-90, ,,4,90,106,-16,2653.0
3:28.0, ,106-90,K. Lowry misses 3-pt jump shot from 28 ft,,4,90,106,-16,2672.0
3:25.0,Defensive rebound by I. Stewart,106-90, ,,4,90,106,-16,2675.0
3:14.0,C. Joseph misses 3-pt jump shot from 25 ft,106-90, ,,4,90,106,-16,2686.0
3:12.0,Offensive rebound by J. Ivey,106-90, ,,4,90,106,-16,2688.0
3:09.0,J. Ivey misses 2-pt layup from 2 ft,106-90, ,,4,90,106,-16,2691.0
3:07.0, ,106-90,Defensive rebound by B. Adebayo,,4,90,106,-16,2693.0
2:57.0, ,106-90,Turnover by M. Strus (bad pass; steal by B. Bogdanović),,4,90,106,-16,2703.0
2:35.0,S. Bey makes 2-pt layup from 2 ft,108-90, ,,4,90,108,-18,2725.0
2:35.0,Shooting foul by T. Herro (drawn by S. Bey),108-90, ,,4,90,108,-18,2725.0
2:35.0, ,108-90,D. Smith enters the game for K. Lowry,,4,90,108,-18,2725.0
2:35.0,S. Bey makes free throw 1 of 1,109-90, ,,4,90,109,-19,2725.0
2:21.0, ,109-90,M. Strus misses 2-pt jump shot from 10 ft,,4,90,109,-19,2739.0
2:17.0,Defensive rebound by J. Ivey,109-90, ,,4,90,109,-19,2743.0
2:01.0,Turnover by J. Ivey (bad pass),109-90, ,,4,90,109,-19,2759.0
2:01.0, ,109-90,H. Highsmith enters the game for B. Adebayo,,4,90,109,-19,2759.0
2:01.0, ,109-90,N. Jović enters the game for T. Herro,,4,90,109,-19,2759.0
2:01.0, ,109-90,D. Robinson enters the game for M. Strus,,4,90,109,-19,2759.0
1:48.0, ,109-90,C. Martin misses 2-pt jump shot from 16 ft,,4,90,109,-19,2772.0
1:45.0,Defensive rebound by S. Bey,109-90, ,,4,90,109,-19,2775.0
1:32.0,B. Bogdanović makes 3-pt jump shot from 26 ft,112-90, ,,4,90,112,-22,2788.0
1:21.0, ,112-93,D. Robinson makes 3-pt jump shot from 27 ft (assist by H. Highsmith),,4,93,112,-19,2799.0
1:02.0,J. Ivey makes 2-pt layup from 7 ft (assist by B. Bogdanović),114-93, ,,4,93,114,-21,2818.0
0:47.0, ,114-93,C. Martin misses 3-pt jump shot from 26 ft,,4,93,114,-21,2833.0
0:45.0, ,114-93,Offensive rebound by D. Smith,,4,93,114,-21,2835.0
0:43.0, ,114-96,N. Jović makes 3-pt jump shot from 23 ft (assist by C. Martin),,4,96,114,-18,2837.0
0:21.0,I. Stewart makes 2-pt hook shot from 7 ft (assist by B. Bogdanović),116-96, ,,4,96,116,-20,2859.0
0:00.0,End of 4th quarter,116-96,,,4,96,116,-20,2880.0
