Time,Miami,Score,Charlotte,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:15.0, ,53-59,G. Hayward makes 2-pt jump shot from 9 ft (assist by L. Ball),,3,53,59,-6,1545.0
9:53.0,B. Adebayo misses 2-pt jump shot from 7 ft,53-59, ,,3,53,59,-6,1567.0
9:50.0,Offensive rebound by T. Herro,53-59, ,,3,53,59,-6,1570.0
9:45.0,T. Herro misses 2-pt jump shot from 5 ft,53-59, ,,3,53,59,-6,1575.0
9:44.0, ,53-59,Defensive rebound by M. Williams,,3,53,59,-6,1576.0
9:35.0, ,53-62,L. Ball makes 3-pt jump shot from 28 ft (assist by T. Rozier),,3,53,62,-9,1585.0
9:19.0,T. Herro makes 3-pt jump shot from 25 ft (assist by B. Adebayo),56-62, ,,3,56,62,-6,1601.0
9:07.0, ,56-65,L. Ball makes 3-pt jump shot from 28 ft,,3,56,65,-9,1613.0
8:59.0,Personal foul by M. Williams (drawn by B. Adebayo),56-65, ,,3,56,65,-9,1621.0
8:56.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Butler),58-65, ,,3,58,65,-7,1624.0
8:43.0, ,58-65,Personal foul by G. Vincent (drawn by L. Ball),,3,58,65,-7,1637.0
8:43.0,V. Oladipo enters the game for G. Vincent,58-65, ,,3,58,65,-7,1637.0
8:36.0, ,58-65,T. Rozier misses 3-pt jump shot from 24 ft (block by T. Herro),,3,58,65,-7,1644.0
8:32.0,Defensive rebound by K. Love,58-65, ,,3,58,65,-7,1648.0
8:21.0,T. Herro misses 3-pt jump shot from 26 ft,58-65, ,,3,58,65,-7,1659.0
8:18.0, ,58-65,Defensive rebound by M. Williams,,3,58,65,-7,1662.0
8:11.0, ,58-65,L. Ball misses 3-pt jump shot from 27 ft,,3,58,65,-7,1669.0
8:11.0, ,58-65,Offensive rebound by M. Williams,,3,58,65,-7,1669.0
8:09.0, ,58-67,M. Williams makes 2-pt layup from 1 ft,,3,58,67,-9,1671.0
7:44.0,J. Butler misses 2-pt jump shot from 13 ft,58-67, ,,3,58,67,-9,1696.0
7:44.0,Offensive rebound by Team,58-67, ,,3,58,67,-9,1696.0
7:44.0,Turnover by Team (shot clock),58-67, ,,3,58,67,-9,1696.0
7:29.0, ,58-67,Shooting foul by T. Herro (drawn by G. Hayward),,3,58,67,-9,1711.0
