Time,Miami,Score,Phoenix,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:59.0,B. Adebayo makes 2-pt jump shot from 14 ft (assist by K. Lowry),46-44, ,,2,46,44,2,1321.0
1:37.0,Violation by Team (kicked ball),46-44, ,,2,46,44,2,1343.0
1:37.0,V. Oladipo enters the game for G. Vincent,46-44, ,,2,46,44,2,1343.0
1:29.0, ,46-44,Turnover by D. Ayton (bad pass; steal by B. Adebayo),,2,46,44,2,1351.0
1:25.0,Turnover by V. Oladipo (bad pass; steal by M. Bridges),46-44, ,,2,46,44,2,1355.0
1:20.0, ,46-44,D. Washington misses 3-pt jump shot from 26 ft,,2,46,44,2,1360.0
1:19.0,Defensive rebound by Team,46-44, ,,2,46,44,2,1361.0
1:07.0,Def 3 sec tech foul by Team,46-44, ,,2,46,44,2,1373.0
1:07.0,J. Butler makes technical free throw,47-44, ,,2,47,44,3,1373.0
0:57.0,Personal foul by T. Craig (drawn by J. Butler),47-44, ,,2,47,44,3,1383.0
0:57.0,J. Butler makes free throw 1 of 2,48-44, ,,2,48,44,4,1383.0
0:57.0,J. Butler makes free throw 2 of 2,49-44, ,,2,49,44,5,1383.0
0:34.0, ,49-44,D. Washington misses 3-pt jump shot from 29 ft,,2,49,44,5,1406.0
0:30.0,Defensive rebound by B. Adebayo,49-44, ,,2,49,44,5,1410.0
0:23.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),51-44, ,,2,51,44,7,1417.0
0:04.0, ,51-44,D. Washington misses 2-pt jump shot from 18 ft,,2,51,44,7,1436.0
0:04.0, ,51-44,Offensive rebound by T. Craig,,2,51,44,7,1436.0
0:00.0, ,51-44,T. Craig misses 2-pt layup at rim,,2,51,44,7,1440.0
0:00.0, ,51-44,Offensive rebound by T. Craig,,2,51,44,7,1440.0
0:00.0, ,51-46,T. Craig makes 2-pt layup at rim,,2,51,46,5,1440.0
0:00.0, ,51-46,Instant Replay (Request: Ruling Stands),,2,51,46,5,1440.0
0:00.0,End of 2nd quarter,51-46,,,2,51,46,5,1440.0
12:00.0,Start of 3rd quarter,51-46,,,3,51,46,5,1440.0
11:42.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),54-46, ,,3,54,46,8,1458.0
11:22.0, ,54-46,L. Shamet misses 2-pt layup from 3 ft,,3,54,46,8,1478.0
11:20.0,Defensive rebound by H. Highsmith,54-46, ,,3,54,46,8,1480.0
11:12.0,K. Lowry makes 2-pt jump shot from 18 ft (assist by J. Butler),56-46, ,,3,56,46,10,1488.0
11:12.0,Shooting foul by L. Shamet (drawn by K. Lowry),56-46, ,,3,56,46,10,1488.0
11:12.0,K. Lowry makes free throw 1 of 1,57-46, ,,3,57,46,11,1488.0
10:58.0, ,57-46,D. Ayton misses 2-pt hook shot from 9 ft,,3,57,46,11,1502.0
10:56.0,Defensive rebound by J. Butler,57-46, ,,3,57,46,11,1504.0
10:45.0,M. Strus misses 3-pt jump shot from 26 ft,57-46, ,,3,57,46,11,1515.0
10:40.0, ,57-46,Defensive rebound by D. Lee,,3,57,46,11,1520.0
10:28.0, ,57-48,D. Ayton makes 2-pt layup from 6 ft (assist by L. Shamet),,3,57,48,9,1532.0
10:09.0,M. Strus misses 2-pt jump shot from 12 ft,57-48, ,,3,57,48,9,1551.0
10:06.0, ,57-48,Defensive rebound by D. Ayton,,3,57,48,9,1554.0
10:00.0, ,57-48,M. Bridges misses 3-pt jump shot from 23 ft,,3,57,48,9,1560.0
10:00.0,Defensive rebound by B. Adebayo,57-48, ,,3,57,48,9,1560.0
9:53.0,Shooting foul by M. Bridges (drawn by K. Lowry),57-48, ,,3,57,48,9,1567.0
9:53.0,K. Lowry makes free throw 1 of 2,58-48, ,,3,58,48,10,1567.0
9:53.0,K. Lowry makes free throw 2 of 2,59-48, ,,3,59,48,11,1567.0
9:39.0, ,59-48,Turnover by L. Shamet (bad pass; steal by J. Butler),,3,59,48,11,1581.0
9:36.0,J. Butler makes 2-pt layup from 2 ft,61-48, ,,3,61,48,13,1584.0
9:36.0, ,61-48,Phoenix full timeout,,3,61,48,13,1584.0
9:23.0, ,61-50,D. Ayton makes 2-pt layup from 3 ft (assist by L. Shamet),,3,61,50,11,1597.0
9:09.0,Personal foul by D. Lee (drawn by B. Adebayo),61-50, ,,3,61,50,11,1611.0
8:59.0,K. Lowry misses 3-pt jump shot from 25 ft,61-50, ,,3,61,50,11,1621.0
8:56.0, ,61-50,Defensive rebound by L. Shamet,,3,61,50,11,1624.0
8:35.0, ,61-50,D. Lee misses 3-pt jump shot from 25 ft,,3,61,50,11,1645.0
8:32.0,Defensive rebound by M. Strus,61-50, ,,3,61,50,11,1648.0
8:13.0,M. Strus misses 3-pt jump shot from 27 ft,61-50, ,,3,61,50,11,1667.0
8:09.0, ,61-50,Defensive rebound by D. Lee,,3,61,50,11,1671.0
8:01.0, ,61-52,L. Shamet makes 2-pt layup from 4 ft (assist by D. Lee),,3,61,52,9,1679.0
7:40.0,B. Adebayo makes 2-pt layup from 4 ft (assist by M. Strus),63-52, ,,3,63,52,11,1700.0
7:25.0, ,63-52,T. Craig misses 2-pt layup from 4 ft,,3,63,52,11,1715.0
7:23.0,Defensive rebound by J. Butler,63-52, ,,3,63,52,11,1717.0
7:20.0,Personal foul by D. Lee (drawn by B. Adebayo),63-52, ,,3,63,52,11,1720.0
7:20.0, ,63-52,I. Wainright enters the game for D. Lee,,3,63,52,11,1720.0
7:20.0, ,63-52,D. Washington enters the game for L. Shamet,,3,63,52,11,1720.0
7:15.0,B. Adebayo makes 2-pt jump shot from 16 ft,65-52, ,,3,65,52,13,1725.0
6:52.0, ,65-54,T. Craig makes 2-pt layup from 3 ft (assist by D. Ayton),,3,65,54,11,1748.0
6:24.0,K. Lowry misses 3-pt jump shot from 27 ft,65-54, ,,3,65,54,11,1776.0
6:21.0,Offensive rebound by B. Adebayo,65-54, ,,3,65,54,11,1779.0
6:21.0,Shooting foul by T. Craig (drawn by B. Adebayo),65-54, ,,3,65,54,11,1779.0
6:21.0,B. Adebayo misses free throw 1 of 2,65-54, ,,3,65,54,11,1779.0
6:21.0,Offensive rebound by Team,65-54, ,,3,65,54,11,1779.0
6:21.0,B. Adebayo misses free throw 2 of 2,65-54, ,,3,65,54,11,1779.0
6:19.0, ,65-54,Defensive rebound by T. Craig,,3,65,54,11,1781.0
6:08.0, ,65-54,D. Washington misses 2-pt jump shot from 11 ft,,3,65,54,11,1792.0
6:06.0,Defensive rebound by Team,65-54, ,,3,65,54,11,1794.0
5:48.0,M. Strus misses 3-pt jump shot from 23 ft,65-54, ,,3,65,54,11,1812.0
5:46.0, ,65-54,Defensive rebound by T. Craig,,3,65,54,11,1814.0
5:46.0,D. Dedmon enters the game for B. Adebayo,65-54, ,,3,65,54,11,1814.0
5:46.0,V. Oladipo enters the game for H. Highsmith,65-54, ,,3,65,54,11,1814.0
5:46.0,G. Vincent enters the game for M. Strus,65-54, ,,3,65,54,11,1814.0
5:37.0, ,65-54,D. Ayton misses 2-pt jump shot from 15 ft,,3,65,54,11,1823.0
5:33.0,Defensive rebound by J. Butler,65-54, ,,3,65,54,11,1827.0
5:16.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by G. Vincent),68-54, ,,3,68,54,14,1844.0
5:01.0, ,68-56,T. Craig makes 2-pt layup from 2 ft (assist by M. Bridges),,3,68,56,12,1859.0
5:01.0, ,68-56,Shooting foul by D. Dedmon (drawn by T. Craig),,3,68,56,12,1859.0
5:01.0, ,68-57,T. Craig makes free throw 1 of 1,,3,68,57,11,1859.0
4:50.0,Shooting foul by D. Ayton (drawn by J. Butler),68-57, ,,3,68,57,11,1870.0
4:50.0,J. Butler makes free throw 1 of 2,69-57, ,,3,69,57,12,1870.0
4:50.0,J. Butler makes free throw 2 of 2,70-57, ,,3,70,57,13,1870.0
4:35.0, ,70-59,D. Ayton makes 2-pt jump shot from 12 ft (assist by D. Washington),,3,70,59,11,1885.0
4:28.0,Offensive foul by D. Dedmon (drawn by I. Wainright),70-59, ,,3,70,59,11,1892.0
4:28.0,Turnover by D. Dedmon (offensive foul),70-59, ,,3,70,59,11,1892.0
4:19.0, ,70-59,D. Washington misses 3-pt jump shot from 24 ft,,3,70,59,11,1901.0
4:19.0, ,70-59,Offensive rebound by Team,,3,70,59,11,1901.0
4:12.0, ,70-61,T. Craig makes 2-pt layup from 1 ft (assist by D. Washington),,3,70,61,9,1908.0
3:51.0,K. Lowry misses 3-pt jump shot from 23 ft,70-61, ,,3,70,61,9,1929.0
3:48.0, ,70-61,Defensive rebound by D. Ayton,,3,70,61,9,1932.0
3:41.0, ,70-63,D. Washington makes 2-pt jump shot from 13 ft,,3,70,63,7,1939.0
3:40.0,Miami full timeout,70-63, ,,3,70,63,7,1940.0
3:18.0,Turnover by J. Butler (out of bounds lost ball),70-63, ,,3,70,63,7,1962.0
3:00.0, ,70-63,D. Ayton misses 2-pt jump shot from 11 ft,,3,70,63,7,1980.0
2:58.0, ,70-63,Offensive rebound by D. Ayton,,3,70,63,7,1982.0
2:58.0, ,70-63,Shooting foul by V. Oladipo (drawn by D. Ayton),,3,70,63,7,1982.0
2:58.0, ,70-64,D. Ayton makes free throw 1 of 2,,3,70,64,6,1982.0
2:58.0, ,70-65,D. Ayton makes free throw 2 of 2,,3,70,65,5,1982.0
2:48.0,G. Vincent misses 2-pt layup from 2 ft,70-65, ,,3,70,65,5,1992.0
2:44.0,Offensive rebound by D. Dedmon,70-65, ,,3,70,65,5,1996.0
