Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:22.0, ,56-42,A. Sengun makes 2-pt layup from 1 ft (assist by F. VanVleet),,2,56,42,14,1058.0
6:11.0,B. Bogdanović makes 3-pt jump shot from 30 ft (assist by D. Murray),59-42, ,,2,59,42,17,1069.0
5:58.0, ,59-45,J. Smith makes 3-pt jump shot from 27 ft (assist by F. VanVleet),,2,59,45,14,1082.0
5:44.0,C. Capela misses 2-pt dunk from 3 ft (block by J. Smith),59-45, ,,2,59,45,14,1096.0
5:43.0, ,59-45,Defensive rebound by A. Sengun,,2,59,45,14,1097.0
5:31.0, ,59-45,Shooting foul by C. Capela (drawn by J. Smith),,2,59,45,14,1109.0
5:31.0, ,59-46,J. Smith makes free throw 1 of 2,,2,59,46,13,1109.0
5:31.0, ,59-47,J. Smith makes free throw 2 of 2,,2,59,47,12,1109.0
5:18.0,C. Capela makes 2-pt layup from 3 ft (assist by B. Bogdanović),61-47, ,,2,61,47,14,1122.0
5:02.0, ,61-47,J. Green misses 2-pt jump shot from 17 ft,,2,61,47,14,1138.0
5:01.0,Defensive rebound by O. Okongwu,61-47, ,,2,61,47,14,1139.0
4:54.0,Shooting foul by A. Sengun (drawn by C. Capela),61-47, ,,2,61,47,14,1146.0
4:54.0,C. Capela makes free throw 1 of 2,62-47, ,,2,62,47,15,1146.0
4:54.0,S. Bey enters the game for B. Bogdanović,62-47, ,,2,62,47,15,1146.0
4:54.0,T. Young enters the game for O. Okongwu,62-47, ,,2,62,47,15,1146.0
4:54.0, ,62-47,J. Green enters the game for J. Green,,2,62,47,15,1146.0
4:54.0, ,62-47,A. Holiday enters the game for A. Sengun,,2,62,47,15,1146.0
4:54.0,C. Capela makes free throw 2 of 2,63-47, ,,2,63,47,16,1146.0
4:43.0, ,63-47,Offensive foul by J. Green (drawn by D. Hunter),,2,63,47,16,1157.0
4:43.0, ,63-47,Turnover by J. Green (offensive foul),,2,63,47,16,1157.0
4:26.0,D. Murray misses 3-pt jump shot from 27 ft,63-47, ,,2,63,47,16,1174.0
4:25.0,Offensive rebound by C. Capela,63-47, ,,2,63,47,16,1175.0
4:25.0,C. Capela misses 2-pt layup from 3 ft,63-47, ,,2,63,47,16,1175.0
