Time,Minnesota,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:39.0, ,77-58,Defensive rebound by D. Murray,,2,58,77,-19,1401.0
0:35.0, ,77-60,T. Young makes 2-pt layup from 1 ft (assist by D. Murray),,2,60,77,-17,1405.0
0:22.0,A. Edwards makes 2-pt jump shot from 15 ft,79-60, ,,2,60,79,-19,1418.0
0:03.0, ,79-60,Turnover by D. Murray (bad pass; steal by K. Towns),,2,60,79,-19,1437.0
0:01.0,K. Anderson misses 2-pt layup from 1 ft,79-60, ,,2,60,79,-19,1439.0
0:00.0,Offensive rebound by Team,79-60, ,,2,60,79,-19,1440.0
0:00.0,End of 2nd quarter,79-60,,,2,60,79,-19,1440.0
12:00.0,Start of 3rd quarter,79-60,,,3,60,79,-19,1440.0
11:41.0,K. Towns misses 2-pt jump shot from 4 ft,79-60, ,,3,60,79,-19,1459.0
11:36.0,Offensive rebound by R. Gobert,79-60, ,,3,60,79,-19,1464.0
11:36.0,R. Gobert makes 2-pt layup at rim,81-60, ,,3,60,81,-21,1464.0
11:21.0, ,81-60,T. Young misses 2-pt layup from 10 ft,,3,60,81,-21,1479.0
11:18.0,Defensive rebound by M. Conley,81-60, ,,3,60,81,-21,1482.0
11:00.0,A. Edwards misses 3-pt jump shot from 23 ft,81-60, ,,3,60,81,-21,1500.0
10:56.0, ,81-60,Defensive rebound by D. Hunter,,3,60,81,-21,1504.0
10:50.0, ,81-63,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),,3,63,81,-18,1510.0
10:31.0,M. Conley misses 2-pt jump shot from 1 ft,81-63, ,,3,63,81,-18,1529.0
10:29.0, ,81-63,Defensive rebound by D. Hunter,,3,63,81,-18,1531.0
10:25.0, ,81-63,Personal foul by M. Conley (drawn by T. Young),,3,63,81,-18,1535.0
10:23.0, ,81-65,D. Murray makes 2-pt layup from 2 ft (assist by T. Young),,3,65,81,-16,1537.0
10:06.0,M. Conley misses 2-pt jump shot from 6 ft,81-65, ,,3,65,81,-16,1554.0
10:03.0, ,81-65,Defensive rebound by D. Murray,,3,65,81,-16,1557.0
9:57.0, ,81-65,T. Young misses 2-pt jump shot from 12 ft,,3,65,81,-16,1563.0
9:54.0,Defensive rebound by J. McDaniels,81-65, ,,3,65,81,-16,1566.0
9:51.0,J. McDaniels makes 2-pt layup from 1 ft,83-65, ,,3,65,83,-18,1569.0
9:32.0, ,83-65,D. Hunter misses 3-pt jump shot from 23 ft,,3,65,83,-18,1588.0
9:29.0,Defensive rebound by K. Towns,83-65, ,,3,65,83,-18,1591.0
9:08.0,M. Conley makes 3-pt jump shot from 24 ft (assist by A. Edwards),86-65, ,,3,65,86,-21,1612.0
8:55.0, ,86-67,D. Murray makes 2-pt jump shot from 12 ft (assist by D. Hunter),,3,67,86,-19,1625.0
8:31.0,A. Edwards misses 2-pt jump shot from 9 ft,86-67, ,,3,67,86,-19,1649.0
8:28.0,Offensive rebound by K. Towns,86-67, ,,3,67,86,-19,1652.0
8:28.0,K. Towns misses 2-pt layup at rim,86-67, ,,3,67,86,-19,1652.0
8:27.0, ,86-67,Defensive rebound by D. Hunter,,3,67,86,-19,1653.0
8:27.0, ,86-67,Personal foul by M. Conley (drawn by T. Young),,3,67,86,-19,1653.0
8:23.0, ,86-69,T. Young makes 2-pt jump shot from 5 ft,,3,69,86,-17,1657.0
8:23.0, ,86-69,Shooting foul by J. McDaniels (drawn by T. Young),,3,69,86,-17,1657.0
8:23.0, ,86-70,T. Young makes free throw 1 of 1,,3,70,86,-16,1657.0
8:09.0,M. Conley misses 2-pt layup from 5 ft (block by C. Capela),86-70, ,,3,70,86,-16,1671.0
8:05.0, ,86-70,Defensive rebound by D. Murray,,3,70,86,-16,1675.0
8:02.0, ,86-72,D. Murray makes 2-pt layup from 1 ft,,3,72,86,-14,1678.0
8:02.0,Violation by Team (def goaltending),86-72, ,,3,72,86,-14,1678.0
8:02.0,Minnesota full timeout,86-72, ,,3,72,86,-14,1678.0
7:44.0,A. Edwards makes 2-pt jump shot from 16 ft,88-72, ,,3,72,88,-16,1696.0
7:18.0,Jump ball: D. Murray vs. M. Conley (J. Johnson gains possession),88-72,,,3,72,88,-16,1722.0
7:15.0, ,88-72,Turnover by Team (shot clock),,3,72,88,-16,1725.0
7:04.0,A. Edwards misses 2-pt jump shot from 16 ft,88-72, ,,3,72,88,-16,1736.0
7:01.0, ,88-72,Defensive rebound by J. Johnson,,3,72,88,-16,1739.0
6:56.0, ,88-72,J. Johnson misses 2-pt layup from 2 ft,,3,72,88,-16,1744.0
6:53.0,Defensive rebound by R. Gobert,88-72, ,,3,72,88,-16,1747.0
6:44.0,K. Towns misses 2-pt jump shot from 6 ft,88-72, ,,3,72,88,-16,1756.0
6:40.0, ,88-72,Defensive rebound by C. Capela,,3,72,88,-16,1760.0
6:37.0, ,88-74,D. Hunter makes 2-pt layup from 1 ft (assist by D. Murray),,3,74,88,-14,1763.0
6:15.0,K. Towns misses 2-pt hook shot from 4 ft (block by C. Capela),88-74, ,,3,74,88,-14,1785.0
6:15.0,Offensive rebound by Team,88-74, ,,3,74,88,-14,1785.0
6:15.0, ,88-74,Loose ball foul by D. Murray (drawn by R. Gobert),,3,74,88,-14,1785.0
6:10.0,Turnover by A. Edwards (bad pass; steal by D. Hunter),88-74, ,,3,74,88,-14,1790.0
6:06.0, ,88-76,J. Johnson makes 2-pt dunk from 2 ft (assist by D. Murray),,3,76,88,-12,1794.0
5:43.0,A. Edwards misses 2-pt layup from 3 ft,88-76, ,,3,76,88,-12,1817.0
5:41.0, ,88-76,Defensive rebound by D. Murray,,3,76,88,-12,1819.0
5:34.0, ,88-78,T. Young makes 2-pt jump shot from 7 ft,,3,78,88,-10,1826.0
5:20.0,Shooting foul by C. Capela (drawn by R. Gobert),88-78, ,,3,78,88,-10,1840.0
5:20.0,R. Gobert makes free throw 1 of 2,89-78, ,,3,78,89,-11,1840.0
5:20.0,N. Alexander-Walker enters the game for M. Conley,89-78, ,,3,78,89,-11,1840.0
5:20.0,K. Anderson enters the game for J. McDaniels,89-78, ,,3,78,89,-11,1840.0
5:20.0, ,89-78,S. Bey enters the game for J. Johnson,,3,78,89,-11,1840.0
5:20.0, ,89-78,B. Bogdanović enters the game for T. Young,,3,78,89,-11,1840.0
5:20.0,R. Gobert makes free throw 2 of 2,90-78, ,,3,78,90,-12,1840.0
5:06.0, ,90-78,Turnover by D. Murray (bad pass; steal by K. Anderson),,3,78,90,-12,1854.0
5:03.0,Turnover by K. Anderson (traveling),90-78, ,,3,78,90,-12,1857.0
4:49.0, ,90-78,Shooting foul by R. Gobert (drawn by D. Hunter),,3,78,90,-12,1871.0
4:49.0, ,90-78,D. Hunter misses free throw 1 of 2,,3,78,90,-12,1871.0
4:49.0, ,90-78,Offensive rebound by Team,,3,78,90,-12,1871.0
4:49.0,N. Reid enters the game for R. Gobert,90-78, ,,3,78,90,-12,1871.0
4:49.0, ,90-78,O. Okongwu enters the game for C. Capela,,3,78,90,-12,1871.0
4:49.0, ,90-79,D. Hunter makes free throw 2 of 2,,3,79,90,-11,1871.0
4:36.0,Def 3 sec tech foul by Team,90-79, ,,3,79,90,-11,1884.0
4:36.0,A. Edwards misses technical free throw,90-79, ,,3,79,90,-11,1884.0
4:36.0,Offensive rebound by Team,90-79, ,,3,79,90,-11,1884.0
4:29.0,Turnover by K. Anderson (bad pass),90-79, ,,3,79,90,-11,1891.0
4:14.0, ,90-81,D. Murray makes 2-pt jump shot from 16 ft (assist by B. Bogdanović),,3,81,90,-9,1906.0
3:51.0,N. Reid misses 3-pt jump shot from 25 ft,90-81, ,,3,81,90,-9,1929.0
3:48.0, ,90-81,Defensive rebound by S. Bey,,3,81,90,-9,1932.0
3:43.0, ,90-84,D. Murray makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,3,84,90,-6,1937.0
3:20.0,A. Edwards makes 3-pt jump shot from 25 ft,93-84, ,,3,84,93,-9,1960.0
3:08.0, ,93-86,D. Murray makes 2-pt jump shot from 16 ft,,3,86,93,-7,1972.0
2:51.0,A. Edwards misses 2-pt jump shot from 17 ft,93-86, ,,3,86,93,-7,1989.0
2:48.0,Offensive rebound by K. Towns,93-86, ,,3,86,93,-7,1992.0
2:43.0,N. Alexander-Walker makes 3-pt jump shot from 25 ft (assist by A. Edwards),96-86, ,,3,86,96,-10,1997.0
