Time,Atlanta,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:40.0, ,90-124,M. Christie enters the game for L. James,,4,90,124,-34,2360.0
8:40.0, ,90-124,R. Hachimura enters the game for D. Russell,,4,90,124,-34,2360.0
8:29.0,D. Murray makes 2-pt jump shot from 8 ft,92-124, ,,4,92,124,-32,2371.0
8:14.0, ,92-124,S. Dinwiddie misses 2-pt layup from 3 ft,,4,92,124,-32,2386.0
8:14.0,Defensive rebound by Team,92-124, ,,4,92,124,-32,2386.0
8:07.0,Personal foul by T. Prince (drawn by D. Hunter),92-124, ,,4,92,124,-32,2393.0
7:57.0,B. Bogdanović misses 2-pt jump shot from 14 ft,92-124, ,,4,92,124,-32,2403.0
7:54.0, ,92-124,Defensive rebound by T. Prince,,4,92,124,-32,2406.0
7:37.0, ,92-124,T. Prince misses 3-pt jump shot from 26 ft,,4,92,124,-32,2423.0
7:33.0,Defensive rebound by C. Capela,92-124, ,,4,92,124,-32,2427.0
7:27.0,C. Capela makes 2-pt dunk from 5 ft (assist by D. Murray),94-124, ,,4,94,124,-30,2433.0
7:11.0, ,94-124,M. Christie misses 2-pt jump shot from 14 ft,,4,94,124,-30,2449.0
7:08.0,Defensive rebound by D. Murray,94-124, ,,4,94,124,-30,2452.0
7:04.0,J. Johnson misses 2-pt layup from 4 ft,94-124, ,,4,94,124,-30,2456.0
7:01.0, ,94-124,Defensive rebound by S. Dinwiddie,,4,94,124,-30,2459.0
6:51.0, ,94-126,J. Hayes makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,4,94,126,-32,2469.0
6:47.0,Atlanta full timeout,94-126, ,,4,94,126,-32,2473.0
6:47.0,B. Fernando enters the game for B. Bogdanović,94-126, ,,4,94,126,-32,2473.0
6:47.0,T. Forrest enters the game for C. Capela,94-126, ,,4,94,126,-32,2473.0
6:47.0,V. Krejci enters the game for D. Hunter,94-126, ,,4,94,126,-32,2473.0
6:47.0,G. Mathews enters the game for J. Johnson,94-126, ,,4,94,126,-32,2473.0
6:47.0,W. Matthews enters the game for D. Murray,94-126, ,,4,94,126,-32,2473.0
6:33.0,V. Krejci misses 3-pt jump shot from 23 ft,94-126, ,,4,94,126,-32,2487.0
6:27.0, ,94-126,Defensive rebound by J. Hayes,,4,94,126,-32,2493.0
6:10.0, ,94-128,T. Prince makes 2-pt layup from 5 ft (assist by S. Dinwiddie),,4,94,128,-34,2510.0
5:46.0,B. Fernando misses 2-pt jump shot from 8 ft (block by J. Hayes),94-128, ,,4,94,128,-34,2534.0
5:44.0, ,94-128,Defensive rebound by J. Hayes,,4,94,128,-34,2536.0
5:29.0, ,94-128,T. Prince misses 3-pt jump shot from 24 ft,,4,94,128,-34,2551.0
5:27.0,Defensive rebound by T. Forrest,94-128, ,,4,94,128,-34,2553.0
5:08.0,G. Mathews misses 3-pt jump shot from 24 ft,94-128, ,,4,94,128,-34,2572.0
5:05.0, ,94-128,Defensive rebound by M. Christie,,4,94,128,-34,2575.0
5:05.0, ,94-128,LA Lakers full timeout,,4,94,128,-34,2575.0
5:05.0, ,94-128,H. Giles enters the game for S. Dinwiddie,,4,94,128,-34,2575.0
5:05.0, ,94-128,M. Lewis enters the game for R. Hachimura,,4,94,128,-34,2575.0
5:05.0, ,94-128,S. Mays enters the game for T. Prince,,4,94,128,-34,2575.0
4:46.0, ,94-128,M. Christie misses 2-pt jump shot from 13 ft (block by V. Krejci),,4,94,128,-34,2594.0
4:45.0, ,94-128,Offensive rebound by M. Christie,,4,94,128,-34,2595.0
4:45.0, ,94-128,Turnover by Team (shot clock),,4,94,128,-34,2595.0
4:29.0,W. Matthews misses 3-pt jump shot from 27 ft,94-128, ,,4,94,128,-34,2611.0
4:25.0,Offensive rebound by B. Fernando,94-128, ,,4,94,128,-34,2615.0
4:24.0,Shooting foul by S. Mays (drawn by B. Fernando),94-128, ,,4,94,128,-34,2616.0
4:24.0,B. Fernando misses free throw 1 of 2,94-128, ,,4,94,128,-34,2616.0
4:24.0,Offensive rebound by Team,94-128, ,,4,94,128,-34,2616.0
4:24.0,B. Fernando makes free throw 2 of 2,95-128, ,,4,95,128,-33,2616.0
4:13.0, ,95-128,M. Christie misses 3-pt jump shot from 24 ft,,4,95,128,-33,2627.0
4:10.0,Defensive rebound by B. Fernando,95-128, ,,4,95,128,-33,2630.0
3:58.0,B. Fernando misses 2-pt hook shot from 6 ft,95-128, ,,4,95,128,-33,2642.0
3:57.0,Offensive rebound by B. Fernando,95-128, ,,4,95,128,-33,2643.0
3:57.0,Shooting foul by J. Hayes (drawn by B. Fernando),95-128, ,,4,95,128,-33,2643.0
3:57.0,B. Fernando makes free throw 1 of 2,96-128, ,,4,96,128,-32,2643.0
3:57.0,B. Fernando makes free throw 2 of 2,97-128, ,,4,97,128,-31,2643.0
3:44.0, ,97-130,H. Giles makes 2-pt layup from 2 ft (assist by M. Lewis),,4,97,130,-33,2656.0
3:35.0,Turnover by T. Forrest (bad pass; steal by S. Mays),97-130, ,,4,97,130,-33,2665.0
3:31.0, ,97-132,J. Hayes makes 2-pt dunk from 1 ft (assist by S. Mays),,4,97,132,-35,2669.0
3:09.0,Turnover by V. Krejci (bad pass; steal by S. Mays),97-132, ,,4,97,132,-35,2691.0
3:04.0, ,97-132,Turnover by S. Mays (bad pass; steal by W. Matthews),,4,97,132,-35,2696.0
3:00.0,V. Krejci makes 2-pt dunk from 4 ft (assist by W. Matthews),99-132, ,,4,99,132,-33,2700.0
2:47.0, ,99-134,S. Mays makes 2-pt dunk from 5 ft (assist by M. Lewis),,4,99,134,-35,2713.0
2:27.0,V. Krejci makes 2-pt layup from 3 ft (assist by B. Fernando),101-134, ,,4,101,134,-33,2733.0
2:06.0, ,101-134,S. Mays misses 2-pt jump shot from 12 ft,,4,101,134,-33,2754.0
2:03.0,Defensive rebound by B. Fernando,101-134, ,,4,101,134,-33,2757.0
1:47.0,V. Krejci makes 2-pt jump shot from 15 ft (assist by B. Fernando),103-134, ,,4,103,134,-31,2773.0
1:32.0, ,103-134,J. Hayes misses 2-pt dunk from 6 ft,,4,103,134,-31,2788.0
1:32.0,Defensive rebound by Team,103-134, ,,4,103,134,-31,2788.0
1:12.0,B. Fernando makes 2-pt layup from 3 ft (assist by W. Matthews),105-134, ,,4,105,134,-29,2808.0
1:00.0, ,105-134,M. Lewis misses 3-pt jump shot from 26 ft,,4,105,134,-29,2820.0
0:57.0,Defensive rebound by B. Fernando,105-134, ,,4,105,134,-29,2823.0
0:42.0,V. Krejci misses 2-pt jump shot from 14 ft,105-134, ,,4,105,134,-29,2838.0
0:39.0, ,105-134,Defensive rebound by H. Giles,,4,105,134,-29,2841.0
0:22.0, ,105-134,M. Christie misses 2-pt jump shot from 5 ft,,4,105,134,-29,2858.0
0:22.0, ,105-134,Offensive rebound by J. Hayes,,4,105,134,-29,2858.0
0:22.0, ,105-136,J. Hayes makes 2-pt dunk from 2 ft,,4,105,136,-31,2858.0
0:00.0,End of 4th quarter,105-136,,,4,105,136,-31,2880.0
