Time,Atlanta,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:01.0,B. Fernando misses 2-pt layup from 4 ft (block by P. George),81-56, ,,3,81,56,25,1919.0
3:59.0,Offensive rebound by Team,81-56, ,,3,81,56,25,1921.0
3:56.0,D. Murray misses 3-pt jump shot from 25 ft,81-56, ,,3,81,56,25,1924.0
3:55.0,Offensive rebound by Team,81-56, ,,3,81,56,25,1925.0
3:55.0,Turnover by Team (shot clock),81-56, ,,3,81,56,25,1925.0
3:38.0, ,81-56,Shooting foul by B. Fernando (drawn by M. Plumlee),,3,81,56,25,1942.0
3:38.0, ,81-57,M. Plumlee makes free throw 1 of 2,,3,81,57,24,1942.0
3:38.0, ,81-58,M. Plumlee makes free throw 2 of 2,,3,81,58,23,1942.0
3:15.0,D. Hunter misses 3-pt jump shot from 27 ft,81-58, ,,3,81,58,23,1965.0
3:14.0,Offensive rebound by Team,81-58, ,,3,81,58,23,1966.0
3:14.0,Turnover by Team (shot clock),81-58, ,,3,81,58,23,1966.0
3:14.0, ,81-58,P. Tucker enters the game for P. George,,3,81,58,23,1966.0
