Time,Atlanta,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:38.0, ,61-42,Defensive rebound by I. Zubac,,2,61,42,19,1342.0
1:25.0, ,61-42,K. Leonard misses 2-pt jump shot from 10 ft,,2,61,42,19,1355.0
1:23.0,Defensive rebound by C. Capela,61-42, ,,2,61,42,19,1357.0
1:17.0,D. Murray misses 2-pt layup from 4 ft (block by T. Mann),61-42, ,,2,61,42,19,1363.0
1:17.0,Offensive rebound by Team,61-42, ,,2,61,42,19,1363.0
1:17.0, ,61-42,P. Tucker enters the game for I. Zubac,,2,61,42,19,1363.0
1:15.0,Turnover by D. Murray (bad pass; steal by P. George),61-42, ,,2,61,42,19,1365.0
1:12.0, ,61-44,P. George makes 2-pt layup from 1 ft,,2,61,44,17,1368.0
0:56.0,D. Murray misses 3-pt jump shot from 26 ft,61-44, ,,2,61,44,17,1384.0
0:53.0, ,61-44,Defensive rebound by J. Harden,,2,61,44,17,1387.0
0:42.0, ,61-44,Turnover by K. Leonard (lost ball; steal by W. Matthews),,2,61,44,17,1398.0
0:38.0,J. Johnson misses 2-pt layup from 3 ft,61-44, ,,2,61,44,17,1402.0
0:36.0, ,61-44,Defensive rebound by P. Tucker,,2,61,44,17,1404.0
0:32.0, ,61-44,P. George misses 3-pt jump shot from 26 ft,,2,61,44,17,1408.0
0:27.0,Defensive rebound by C. Capela,61-44, ,,2,61,44,17,1413.0
0:10.0,D. Murray misses 3-pt jump shot from 28 ft,61-44, ,,2,61,44,17,1430.0
0:07.0, ,61-44,Defensive rebound by P. George,,2,61,44,17,1433.0
0:01.0, ,61-44,Turnover by K. Leonard (bad pass; steal by D. Murray),,2,61,44,17,1439.0
0:00.0,End of 2nd quarter,61-44,,,2,61,44,17,1440.0
12:00.0,Start of 3rd quarter,61-44,,,3,61,44,17,1440.0
11:39.0,B. Bogdanović misses 2-pt jump shot from 8 ft,61-44, ,,3,61,44,17,1461.0
11:36.0,Offensive rebound by B. Bogdanović,61-44, ,,3,61,44,17,1464.0
11:35.0,Turnover by B. Bogdanović (bad pass; steal by P. George),61-44, ,,3,61,44,17,1465.0
11:35.0, ,61-44,Personal foul by V. Krejci (drawn by P. George),,3,61,44,17,1465.0
11:35.0, ,61-44,Instant Replay (Request: Stands),,3,61,44,17,1465.0
11:13.0, ,61-44,J. Harden misses 2-pt jump shot from 13 ft,,3,61,44,17,1487.0
11:10.0,Defensive rebound by V. Krejci,61-44, ,,3,61,44,17,1490.0
10:57.0,B. Bogdanović misses 3-pt jump shot from 23 ft,61-44, ,,3,61,44,17,1503.0
10:55.0, ,61-44,Defensive rebound by T. Mann,,3,61,44,17,1505.0
10:38.0, ,61-47,P. George makes 3-pt jump shot from 27 ft (assist by J. Harden),,3,61,47,14,1522.0
10:14.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by V. Krejci),64-47, ,,3,64,47,17,1546.0
9:56.0, ,64-50,P. George makes 3-pt jump shot from 26 ft (assist by J. Harden),,3,64,50,14,1564.0
9:31.0,C. Capela misses 2-pt hook shot from 3 ft,64-50, ,,3,64,50,14,1589.0
9:28.0, ,64-50,Defensive rebound by P. George,,3,64,50,14,1592.0
9:17.0, ,64-50,K. Leonard misses 2-pt jump shot from 15 ft,,3,64,50,14,1603.0
9:14.0,Defensive rebound by B. Bogdanović,64-50, ,,3,64,50,14,1606.0
9:07.0,C. Capela makes 2-pt dunk from 2 ft (assist by B. Bogdanović),66-50, ,,3,66,50,16,1613.0
8:56.0, ,66-52,K. Leonard makes 2-pt layup from 2 ft,,3,66,52,14,1624.0
8:56.0, ,66-52,Shooting foul by J. Johnson (drawn by K. Leonard),,3,66,52,14,1624.0
8:56.0, ,66-53,K. Leonard makes free throw 1 of 1,,3,66,53,13,1624.0
8:42.0,C. Capela misses 2-pt hook shot from 1 ft,66-53, ,,3,66,53,13,1638.0
8:39.0, ,66-53,Defensive rebound by T. Mann,,3,66,53,13,1641.0
8:23.0, ,66-53,P. George misses 3-pt jump shot from 24 ft,,3,66,53,13,1657.0
8:20.0,Defensive rebound by B. Bogdanović,66-53, ,,3,66,53,13,1660.0
8:11.0,Shooting foul by I. Zubac (drawn by C. Capela),66-53, ,,3,66,53,13,1669.0
8:11.0,C. Capela makes free throw 1 of 2,67-53, ,,3,67,53,14,1669.0
8:11.0,C. Capela misses free throw 2 of 2,67-53, ,,3,67,53,14,1669.0
8:09.0, ,67-53,Defensive rebound by J. Harden,,3,67,53,14,1671.0
7:56.0, ,67-53,K. Leonard misses 3-pt jump shot from 24 ft,,3,67,53,14,1684.0
7:54.0, ,67-53,Offensive rebound by I. Zubac,,3,67,53,14,1686.0
7:51.0, ,67-53,P. George misses 3-pt jump shot from 27 ft,,3,67,53,14,1689.0
7:48.0,Defensive rebound by J. Johnson,67-53, ,,3,67,53,14,1692.0
7:45.0,Personal foul by T. Mann (drawn by J. Johnson),67-53, ,,3,67,53,14,1695.0
7:33.0,B. Bogdanović misses 3-pt jump shot from 27 ft,67-53, ,,3,67,53,14,1707.0
7:27.0, ,67-53,Defensive rebound by T. Mann,,3,67,53,14,1713.0
