Time,Cleveland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:37.0, ,49-64,Offensive rebound by S. Bey,,3,64,49,15,1463.0
11:34.0, ,49-67,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Johnson),,3,67,49,18,1466.0
11:07.0,Turnover by Team (shot clock),49-67, ,,3,67,49,18,1493.0
10:51.0, ,49-67,D. Murray misses 3-pt jump shot from 26 ft,,3,67,49,18,1509.0
10:45.0, ,49-67,Offensive rebound by C. Capela,,3,67,49,18,1515.0
10:45.0, ,49-67,C. Capela misses 2-pt layup at rim,,3,67,49,18,1515.0
10:44.0,Defensive rebound by J. Allen,49-67, ,,3,67,49,18,1516.0
10:37.0,G. Niang makes 3-pt jump shot from 23 ft (assist by D. Garland),52-67, ,,3,67,52,15,1523.0
10:36.0, ,52-67,Atlanta full timeout,,3,67,52,15,1524.0
10:36.0, ,52-67,V. Krejci enters the game for J. Johnson,,3,67,52,15,1524.0
10:36.0, ,52-67,Violation by Team (delay of game),,3,67,52,15,1524.0
10:12.0, ,52-69,D. Murray makes 2-pt jump shot from 12 ft (assist by B. Bogdanović),,3,69,52,17,1548.0
9:55.0,Turnover by J. Allen (traveling),52-69, ,,3,69,52,17,1565.0
9:44.0, ,52-71,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by D. Murray),,3,71,52,19,1576.0
9:27.0,D. Wade misses 3-pt jump shot from 25 ft,52-71, ,,3,71,52,19,1593.0
9:23.0, ,52-71,Defensive rebound by C. Capela,,3,71,52,19,1597.0
9:17.0, ,52-73,D. Murray makes 2-pt jump shot from 8 ft,,3,73,52,21,1603.0
9:17.0, ,52-73,Shooting foul by I. Okoro (drawn by D. Murray),,3,73,52,21,1603.0
9:17.0, ,52-73,D. Murray misses free throw 1 of 1,,3,73,52,21,1603.0
9:14.0,Defensive rebound by G. Niang,52-73, ,,3,73,52,21,1606.0
9:12.0,I. Okoro makes 2-pt jump shot from 9 ft (assist by G. Niang),54-73, ,,3,73,54,19,1608.0
9:12.0,Shooting foul by B. Bogdanović (drawn by I. Okoro),54-73, ,,3,73,54,19,1608.0
9:12.0,I. Okoro makes free throw 1 of 1,55-73, ,,3,73,55,18,1608.0
8:59.0, ,55-75,C. Capela makes 2-pt layup from 4 ft (assist by D. Murray),,3,75,55,20,1621.0
8:47.0,D. Wade makes 2-pt dunk from 1 ft (assist by D. Garland),57-75, ,,3,75,57,18,1633.0
8:32.0, ,57-75,S. Bey misses 2-pt jump shot from 13 ft,,3,75,57,18,1648.0
8:29.0,Defensive rebound by D. Garland,57-75, ,,3,75,57,18,1651.0
8:17.0,D. Garland makes 2-pt layup from 2 ft (assist by J. Allen),59-75, ,,3,75,59,16,1663.0
8:07.0, ,59-75,D. Murray misses 2-pt jump shot from 4 ft,,3,75,59,16,1673.0
8:04.0,Defensive rebound by I. Okoro,59-75, ,,3,75,59,16,1676.0
8:03.0,I. Okoro makes 2-pt jump shot from 9 ft,61-75, ,,3,75,61,14,1677.0
8:03.0,Shooting foul by V. Krejci (drawn by I. Okoro),61-75, ,,3,75,61,14,1677.0
8:03.0,I. Okoro makes free throw 1 of 1,62-75, ,,3,75,62,13,1677.0
7:47.0, ,62-77,B. Bogdanović makes 2-pt layup from 3 ft,,3,77,62,15,1693.0
7:32.0,J. Allen makes 2-pt hook shot from 7 ft (assist by D. Garland),64-77, ,,3,77,64,13,1708.0
7:16.0, ,64-77,B. Bogdanović misses 2-pt jump shot from 13 ft,,3,77,64,13,1724.0
7:15.0,Defensive rebound by Team,64-77, ,,3,77,64,13,1725.0
7:15.0, ,64-77,Loose ball foul by C. Capela (drawn by J. Allen),,3,77,64,13,1725.0
7:15.0,C. LeVert enters the game for D. Wade,64-77, ,,3,77,64,13,1725.0
7:15.0, ,64-77,D. Hunter enters the game for B. Bogdanović,,3,77,64,13,1725.0
7:15.0, ,64-77,G. Mathews enters the game for V. Krejci,,3,77,64,13,1725.0
7:04.0,I. Okoro misses 2-pt jump shot from 7 ft,64-77, ,,3,77,64,13,1736.0
7:01.0,Offensive rebound by J. Allen,64-77, ,,3,77,64,13,1739.0
6:55.0,I. Okoro misses 3-pt jump shot from 22 ft,64-77, ,,3,77,64,13,1745.0
6:51.0, ,64-77,Defensive rebound by D. Hunter,,3,77,64,13,1749.0
6:34.0, ,64-77,Shooting foul by G. Niang (drawn by D. Hunter),,3,77,64,13,1766.0
6:34.0, ,64-77,D. Hunter misses free throw 1 of 2,,3,77,64,13,1766.0
6:34.0, ,64-77,Offensive rebound by Team,,3,77,64,13,1766.0
6:34.0, ,64-78,D. Hunter makes free throw 2 of 2,,3,78,64,14,1766.0
6:15.0,D. Garland makes 3-pt jump shot from 27 ft (assist by G. Niang),67-78, ,,3,78,67,11,1785.0
5:58.0, ,67-78,D. Hunter misses 2-pt jump shot from 12 ft,,3,78,67,11,1802.0
