Time,Atlanta,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:29.0,Defensive rebound by D. Hunter,89-67, ,,3,89,67,22,1891.0
4:26.0,Shooting foul by L. Shamet (drawn by O. Okongwu),89-67, ,,3,89,67,22,1894.0
4:26.0,O. Okongwu makes free throw 1 of 2,90-67, ,,3,90,67,23,1894.0
4:26.0, ,90-67,J. Butler enters the game for T. Jones,,3,90,67,23,1894.0
4:26.0,O. Okongwu misses free throw 2 of 2,90-67, ,,3,90,67,23,1894.0
4:23.0, ,90-67,Defensive rebound by M. Muscala,,3,90,67,23,1897.0
4:17.0, ,90-67,Personal foul by D. Hunter (drawn by A. Gill),,3,90,67,23,1903.0
4:17.0, ,90-68,A. Gill makes free throw 1 of 2,,3,90,68,22,1903.0
4:17.0, ,90-69,A. Gill makes free throw 2 of 2,,3,90,69,21,1903.0
4:02.0,D. Hunter makes 2-pt jump shot from 17 ft,92-69, ,,3,92,69,23,1918.0
3:43.0, ,92-69,L. Shamet misses 2-pt dunk from 4 ft (block by O. Okongwu),,3,92,69,23,1937.0
3:40.0,Defensive rebound by B. Bogdanović,92-69, ,,3,92,69,23,1940.0
3:36.0,D. Hunter makes 2-pt layup from 1 ft (assist by D. Murray),94-69, ,,3,94,69,25,1944.0
3:36.0, ,94-69,Washington full timeout,,3,94,69,25,1944.0
3:36.0,S. Bey enters the game for D. Hunter,94-69, ,,3,94,69,25,1944.0
3:36.0,G. Mathews enters the game for W. Matthews,94-69, ,,3,94,69,25,1944.0
3:36.0,T. Young enters the game for D. Murray,94-69, ,,3,94,69,25,1944.0
3:36.0, ,94-69,B. Coulibaly enters the game for C. Kispert,,3,94,69,25,1944.0
3:22.0, ,94-72,J. Butler makes 3-pt jump shot from 27 ft (assist by M. Muscala),,3,94,72,22,1958.0
3:01.0,G. Mathews makes 3-pt jump shot from 28 ft (assist by T. Young),97-72, ,,3,97,72,25,1979.0
2:49.0, ,97-72,B. Coulibaly misses 3-pt jump shot from 26 ft,,3,97,72,25,1991.0
2:45.0,Defensive rebound by B. Bogdanović,97-72, ,,3,97,72,25,1995.0
2:39.0,B. Bogdanović misses 2-pt jump shot from 23 ft,97-72, ,,3,97,72,25,2001.0
2:35.0,Offensive rebound by G. Mathews,97-72, ,,3,97,72,25,2005.0
2:28.0,Turnover by B. Bogdanović (traveling),97-72, ,,3,97,72,25,2012.0
2:16.0, ,97-74,M. Muscala makes 2-pt layup from 4 ft (assist by L. Shamet),,3,97,74,23,2024.0
2:03.0,T. Young makes 2-pt jump shot from 11 ft,99-74, ,,3,99,74,25,2037.0
2:03.0,Shooting foul by J. Butler (drawn by T. Young),99-74, ,,3,99,74,25,2037.0
2:03.0,T. Young makes free throw 1 of 1,100-74, ,,3,100,74,26,2037.0
1:41.0, ,100-74,Turnover by A. Gill (bad pass),,3,100,74,26,2059.0
1:27.0,Turnover by T. Young (bad pass; steal by J. Butler),100-74, ,,3,100,74,26,2073.0
1:21.0, ,100-74,M. Muscala misses 3-pt jump shot from 23 ft,,3,100,74,26,2079.0
1:18.0, ,100-74,Offensive rebound by A. Gill,,3,100,74,26,2082.0
1:17.0, ,100-76,A. Gill makes 2-pt layup from 2 ft,,3,100,76,24,2083.0
0:59.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),103-76, ,,3,103,76,27,2101.0
0:59.0,Shooting foul by J. Butler (drawn by B. Bogdanović),103-76, ,,3,103,76,27,2101.0
0:59.0,B. Bogdanović misses free throw 1 of 1,103-76, ,,3,103,76,27,2101.0
0:57.0, ,103-76,Defensive rebound by B. Coulibaly,,3,103,76,27,2103.0
0:42.0, ,103-76,A. Gill misses 3-pt jump shot from 24 ft,,3,103,76,27,2118.0
0:39.0,Defensive rebound by T. Young,103-76, ,,3,103,76,27,2121.0
0:34.0,Shooting foul by J. Butler (drawn by T. Young),103-76, ,,3,103,76,27,2126.0
0:34.0,T. Young makes free throw 1 of 2,104-76, ,,3,104,76,28,2126.0
0:34.0,T. Young makes free throw 2 of 2,105-76, ,,3,105,76,29,2126.0
0:21.0, ,105-78,A. Gill makes 2-pt layup from 2 ft (assist by J. Butler),,3,105,78,27,2139.0
0:03.0,T. Young makes 2-pt layup from 3 ft,107-78, ,,3,107,78,29,2157.0
0:03.0, ,107-78,Violation by Team (def goaltending),,3,107,78,29,2157.0
0:00.0, ,107-78,J. Butler misses 3-pt jump shot from 43 ft,,3,107,78,29,2160.0
0:00.0, ,107-78,Offensive rebound by Team,,3,107,78,29,2160.0
0:00.0,End of 3rd quarter,107-78,,,3,107,78,29,2160.0
12:00.0,Start of 4th quarter,107-78,,,4,107,78,29,2160.0
11:38.0,T. Young makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),110-78, ,,4,110,78,32,2182.0
11:22.0, ,110-78,Offensive foul by A. Gill (drawn by T. Young),,4,110,78,32,2198.0
11:22.0, ,110-78,Turnover by A. Gill (offensive foul),,4,110,78,32,2198.0
11:12.0,Shooting foul by J. Davis (drawn by O. Okongwu),110-78, ,,4,110,78,32,2208.0
11:12.0,O. Okongwu makes free throw 1 of 2,111-78, ,,4,111,78,33,2208.0
11:12.0,O. Okongwu makes free throw 2 of 2,112-78, ,,4,112,78,34,2208.0
11:05.0, ,112-80,E. Omoruyi makes 2-pt layup from 2 ft (assist by J. Davis),,4,112,80,32,2215.0
10:50.0,Offensive foul by T. Young (drawn by E. Omoruyi),112-80, ,,4,112,80,32,2230.0
10:50.0,Turnover by T. Young (offensive foul),112-80, ,,4,112,80,32,2230.0
10:50.0,Atlanta full timeout,112-80, ,,4,112,80,32,2230.0
10:50.0,Instant Replay (Challenge: Stands),112-80, ,,4,112,80,32,2230.0
10:41.0, ,112-80,J. Davis misses 2-pt jump shot from 7 ft,,4,112,80,32,2239.0
10:40.0,Defensive rebound by Team,112-80, ,,4,112,80,32,2240.0
10:18.0,S. Bey misses 2-pt layup from 3 ft,112-80, ,,4,112,80,32,2262.0
10:17.0,Offensive rebound by O. Okongwu,112-80, ,,4,112,80,32,2263.0
10:17.0,Turnover by S. Bey (step out of bounds),112-80, ,,4,112,80,32,2263.0
10:10.0, ,112-80,L. Shamet misses 3-pt jump shot from 28 ft,,4,112,80,32,2270.0
10:07.0,Defensive rebound by S. Bey,112-80, ,,4,112,80,32,2273.0
10:01.0,T. Young makes 3-pt jump shot from 28 ft,115-80, ,,4,115,80,35,2279.0
9:55.0, ,115-80,Personal take foul by S. Bey (drawn by J. Butler),,4,115,80,35,2285.0
9:55.0,D. Hunter enters the game for B. Bogdanović,115-80, ,,4,115,80,35,2285.0
9:55.0, ,115-80,B. Coulibaly enters the game for L. Shamet,,4,115,80,35,2285.0
9:43.0, ,115-80,Turnover by J. Butler (lost ball; steal by D. Hunter),,4,115,80,35,2297.0
9:38.0,Turnover by D. Hunter (lost ball; steal by J. Davis),115-80, ,,4,115,80,35,2302.0
9:34.0, ,115-80,Turnover by J. Davis (lost ball; steal by T. Young),,4,115,80,35,2306.0
9:22.0,T. Young misses 3-pt jump shot from 28 ft,115-80, ,,4,115,80,35,2318.0
9:18.0, ,115-80,Defensive rebound by J. Butler,,4,115,80,35,2322.0
9:09.0, ,115-80,Personal foul by D. Hunter (drawn by E. Omoruyi),,4,115,80,35,2331.0
9:09.0,T. Forrest enters the game for T. Young,115-80, ,,4,115,80,35,2331.0
9:04.0, ,115-82,J. Davis makes 2-pt hook shot from 10 ft (assist by B. Coulibaly),,4,115,82,33,2336.0
8:44.0,G. Mathews makes 3-pt jump shot from 26 ft (assist by T. Forrest),118-82, ,,4,118,82,36,2356.0
8:26.0, ,118-82,J. Butler misses 3-pt jump shot from 29 ft,,4,118,82,36,2374.0
8:22.0, ,118-82,Offensive rebound by E. Omoruyi,,4,118,82,36,2378.0
8:21.0, ,118-84,E. Omoruyi makes 2-pt layup from 5 ft,,4,118,84,34,2379.0
8:03.0,D. Hunter misses 3-pt jump shot from 24 ft,118-84, ,,4,118,84,34,2397.0
8:00.0, ,118-84,Defensive rebound by J. Davis,,4,118,84,34,2400.0
7:57.0, ,118-86,J. Butler makes 2-pt layup from 3 ft (assist by J. Davis),,4,118,86,32,2403.0
7:35.0,S. Bey misses 2-pt layup from 4 ft (block by J. Butler),118-86, ,,4,118,86,32,2425.0
7:31.0,Offensive rebound by S. Bey,118-86, ,,4,118,86,32,2429.0
7:30.0,O. Okongwu misses 2-pt layup from 6 ft (block by B. Coulibaly),118-86, ,,4,118,86,32,2430.0
7:30.0, ,118-86,Defensive rebound by J. Butler,,4,118,86,32,2430.0
7:23.0, ,118-88,A. Gill makes 2-pt layup from 3 ft (assist by J. Butler),,4,118,88,30,2437.0
7:23.0,Atlanta full timeout,118-88, ,,4,118,88,30,2437.0
7:23.0,B. Bogdanović enters the game for G. Mathews,118-88, ,,4,118,88,30,2437.0
6:58.0,B. Bogdanović misses 2-pt jump shot from 7 ft,118-88, ,,4,118,88,30,2462.0
6:54.0,Offensive rebound by O. Okongwu,118-88, ,,4,118,88,30,2466.0
6:54.0,O. Okongwu makes 2-pt layup at rim,120-88, ,,4,120,88,32,2466.0
6:34.0, ,120-88,A. Gill misses 2-pt layup from 6 ft,,4,120,88,32,2486.0
6:32.0,Defensive rebound by S. Bey,120-88, ,,4,120,88,32,2488.0
6:18.0,O. Okongwu misses 3-pt jump shot from 24 ft,120-88, ,,4,120,88,32,2502.0
6:14.0, ,120-88,Defensive rebound by E. Omoruyi,,4,120,88,32,2506.0
6:14.0,A. Griffin enters the game for S. Bey,120-88, ,,4,120,88,32,2506.0
6:14.0,G. Mathews enters the game for B. Bogdanović,120-88, ,,4,120,88,32,2506.0
6:08.0, ,120-90,E. Omoruyi makes 2-pt layup from 2 ft (assist by J. Butler),,4,120,90,30,2512.0
5:47.0,G. Mathews misses 3-pt jump shot from 26 ft,120-90, ,,4,120,90,30,2533.0
5:45.0, ,120-90,Defensive rebound by J. Davis,,4,120,90,30,2535.0
5:38.0, ,120-92,J. Davis makes 2-pt jump shot from 7 ft,,4,120,92,28,2542.0
5:20.0,T. Forrest makes 2-pt jump shot from 7 ft,122-92, ,,4,122,92,30,2560.0
5:08.0, ,122-92,J. Davis misses 2-pt jump shot from 13 ft,,4,122,92,30,2572.0
5:05.0,Defensive rebound by D. Hunter,122-92, ,,4,122,92,30,2575.0
4:59.0,Turnover by T. Forrest (bad pass; steal by J. Butler),122-92, ,,4,122,92,30,2581.0
4:55.0, ,122-92,Offensive foul by J. Butler (drawn by T. Forrest),,4,122,92,30,2585.0
4:55.0, ,122-92,Turnover by J. Butler (offensive foul),,4,122,92,30,2585.0
4:55.0,B. Fernando enters the game for D. Hunter,122-92, ,,4,122,92,30,2585.0
4:55.0,P. Mills enters the game for O. Okongwu,122-92, ,,4,122,92,30,2585.0
4:38.0,A. Griffin misses 3-pt jump shot from 27 ft,122-92, ,,4,122,92,30,2602.0
4:34.0, ,122-92,Defensive rebound by A. Gill,,4,122,92,30,2606.0
4:24.0, ,122-92,J. Butler misses 2-pt jump shot from 9 ft,,4,122,92,30,2616.0
4:23.0,Defensive rebound by P. Mills,122-92, ,,4,122,92,30,2617.0
4:11.0,Turnover by B. Fernando (bad pass; steal by E. Omoruyi),122-92, ,,4,122,92,30,2629.0
4:08.0, ,122-92,Shooting foul by G. Mathews (drawn by E. Omoruyi),,4,122,92,30,2632.0
4:08.0, ,122-93,E. Omoruyi makes free throw 1 of 2,,4,122,93,29,2632.0
4:08.0, ,122-94,E. Omoruyi makes free throw 2 of 2,,4,122,94,28,2632.0
3:48.0,T. Forrest misses 2-pt layup from 6 ft,122-94, ,,4,122,94,28,2652.0
3:45.0, ,122-94,Defensive rebound by J. Davis,,4,122,94,28,2655.0
3:38.0, ,122-94,E. Omoruyi misses 3-pt jump shot from 27 ft,,4,122,94,28,2662.0
3:35.0,Defensive rebound by G. Mathews,122-94, ,,4,122,94,28,2665.0
3:21.0,A. Griffin makes 3-pt jump shot from 30 ft,125-94, ,,4,125,94,31,2679.0
3:19.0, ,125-94,Washington full timeout,,4,125,94,31,2681.0
2:56.0, ,125-96,J. Butler makes 2-pt layup from 2 ft,,4,125,96,29,2704.0
2:56.0, ,125-96,Shooting foul by T. Forrest (drawn by J. Butler),,4,125,96,29,2704.0
2:56.0, ,125-97,J. Butler makes free throw 1 of 1,,4,125,97,28,2704.0
2:41.0,B. Fernando makes 2-pt layup from 4 ft,127-97, ,,4,127,97,30,2719.0
2:41.0,Shooting foul by E. Omoruyi (drawn by B. Fernando),127-97, ,,4,127,97,30,2719.0
2:41.0,B. Fernando makes free throw 1 of 1,128-97, ,,4,128,97,31,2719.0
2:28.0, ,128-99,B. Coulibaly makes 2-pt jump shot from 16 ft (assist by J. Butler),,4,128,99,29,2732.0
2:08.0,P. Mills misses 2-pt layup from 7 ft,128-99, ,,4,128,99,29,2752.0
2:04.0,Offensive rebound by B. Fernando,128-99, ,,4,128,99,29,2756.0
2:04.0,B. Fernando makes 2-pt layup at rim,130-99, ,,4,130,99,31,2756.0
1:56.0, ,130-99,Washington full timeout,,4,130,99,31,2764.0
1:46.0, ,130-101,A. Gill makes 2-pt jump shot from 8 ft (assist by J. Butler),,4,130,101,29,2774.0
1:30.0,A. Griffin makes 3-pt jump shot from 24 ft (assist by G. Mathews),133-101, ,,4,133,101,32,2790.0
1:16.0, ,133-103,E. Omoruyi makes 2-pt jump shot from 9 ft (assist by A. Gill),,4,133,103,30,2804.0
0:56.0,P. Mills makes 3-pt jump shot from 23 ft (assist by T. Forrest),136-103, ,,4,136,103,33,2824.0
0:41.0, ,136-103,E. Omoruyi misses 2-pt jump shot from 9 ft,,4,136,103,33,2839.0
0:39.0, ,136-103,Offensive rebound by E. Omoruyi,,4,136,103,33,2841.0
0:38.0, ,136-105,J. Butler makes 2-pt layup from 1 ft (assist by E. Omoruyi),,4,136,105,31,2842.0
0:14.0,Turnover by Team (shot clock),136-105, ,,4,136,105,31,2866.0
0:09.0, ,136-108,J. Butler makes 3-pt jump shot from 30 ft,,4,136,108,28,2871.0
0:00.0,End of 4th quarter,136-108,,,4,136,108,28,2880.0
