Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:20.0, ,72-87,E. Mobley makes 2-pt hook shot from 3 ft (assist by M. Strus),,3,72,87,-15,1840.0
5:10.0,Personal foul by M. Strus (drawn by B. Bogdanović),72-87, ,,3,72,87,-15,1850.0
5:04.0,O. Okongwu misses 2-pt hook shot from 7 ft,72-87, ,,3,72,87,-15,1856.0
5:02.0, ,72-87,Defensive rebound by G. Niang,,3,72,87,-15,1858.0
4:56.0,Violation by Team (kicked ball),72-87, ,,3,72,87,-15,1864.0
4:41.0, ,72-87,D. Mitchell misses 3-pt jump shot from 25 ft,,3,72,87,-15,1879.0
4:37.0,Defensive rebound by D. Hunter,72-87, ,,3,72,87,-15,1883.0
4:31.0,D. Hunter makes 2-pt layup from 1 ft (assist by D. Murray),74-87, ,,3,74,87,-13,1889.0
4:31.0,Shooting foul by G. Niang (drawn by D. Hunter),74-87, ,,3,74,87,-13,1889.0
4:31.0,D. Hunter makes free throw 1 of 1,75-87, ,,3,75,87,-12,1889.0
4:18.0, ,75-87,Turnover by C. LeVert (bad pass; steal by D. Murray),,3,75,87,-12,1902.0
3:54.0,A. Griffin misses 2-pt jump shot from 20 ft,75-87, ,,3,75,87,-12,1926.0
3:51.0, ,75-87,Defensive rebound by D. Mitchell,,3,75,87,-12,1929.0
3:42.0, ,75-87,G. Niang misses 3-pt jump shot from 24 ft,,3,75,87,-12,1938.0
3:40.0,Defensive rebound by B. Bogdanović,75-87, ,,3,75,87,-12,1940.0
3:37.0,Shooting foul by E. Mobley (drawn by B. Bogdanović),75-87, ,,3,75,87,-12,1943.0
3:37.0,B. Bogdanović makes free throw 1 of 2,76-87, ,,3,76,87,-11,1943.0
3:37.0, ,76-87,J. Allen enters the game for D. Mitchell,,3,76,87,-11,1943.0
3:37.0, ,76-87,D. Garland enters the game for E. Mobley,,3,76,87,-11,1943.0
3:37.0, ,76-87,I. Okoro enters the game for M. Strus,,3,76,87,-11,1943.0
3:37.0,B. Bogdanović makes free throw 2 of 2,77-87, ,,3,77,87,-10,1943.0
3:21.0, ,77-89,C. LeVert makes 2-pt jump shot from 13 ft (assist by D. Garland),,3,77,89,-12,1959.0
3:07.0,D. Murray makes 2-pt jump shot from 13 ft,79-89, ,,3,79,89,-10,1973.0
2:49.0, ,79-91,C. LeVert makes 2-pt jump shot from 12 ft,,3,79,91,-12,1991.0
2:47.0,Atlanta full timeout,79-91, ,,3,79,91,-12,1993.0
2:47.0,S. Bey enters the game for A. Griffin,79-91, ,,3,79,91,-12,1993.0
2:47.0,W. Matthews enters the game for D. Hunter,79-91, ,,3,79,91,-12,1993.0
2:47.0,T. Young enters the game for D. Murray,79-91, ,,3,79,91,-12,1993.0
2:39.0,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),82-91, ,,3,82,91,-9,2001.0
2:21.0, ,82-91,Turnover by G. Niang (step out of bounds),,3,82,91,-9,2019.0
2:10.0,B. Bogdanović misses 3-pt jump shot from 26 ft,82-91, ,,3,82,91,-9,2030.0
2:07.0,Offensive rebound by Team,82-91, ,,3,82,91,-9,2033.0
1:52.0,O. Okongwu makes 2-pt layup from 2 ft (assist by T. Young),84-91, ,,3,84,91,-7,2048.0
1:52.0,Shooting foul by C. LeVert (drawn by O. Okongwu),84-91, ,,3,84,91,-7,2048.0
1:52.0,O. Okongwu makes free throw 1 of 1,85-91, ,,3,85,91,-6,2048.0
1:26.0, ,85-94,G. Niang makes 3-pt jump shot from 24 ft (assist by I. Okoro),,3,85,94,-9,2074.0
1:12.0,T. Young misses 2-pt jump shot from 22 ft,85-94, ,,3,85,94,-9,2088.0
1:11.0,Offensive rebound by Team,85-94, ,,3,85,94,-9,2089.0
1:11.0, ,85-94,Loose ball foul by G. Niang (drawn by O. Okongwu),,3,85,94,-9,2089.0
1:11.0,O. Okongwu makes free throw 1 of 2,86-94, ,,3,86,94,-8,2089.0
1:11.0,O. Okongwu misses free throw 2 of 2,86-94, ,,3,86,94,-8,2089.0
1:11.0, ,86-94,Defensive rebound by G. Niang,,3,86,94,-8,2089.0
1:11.0, ,86-94,Technical foul by G. Niang,,3,86,94,-8,2089.0
1:11.0,T. Young makes technical free throw,87-94, ,,3,87,94,-7,2089.0
0:53.0, ,87-96,I. Okoro makes 2-pt layup from 1 ft (assist by D. Garland),,3,87,96,-9,2107.0
0:35.0,O. Okongwu misses 2-pt jump shot from 8 ft,87-96, ,,3,87,96,-9,2125.0
0:30.0, ,87-96,Defensive rebound by J. Allen,,3,87,96,-9,2130.0
0:28.0, ,87-99,D. Garland makes 3-pt jump shot from 28 ft,,3,87,99,-12,2132.0
0:22.0,T. Young makes 3-pt jump shot from 34 ft,90-99, ,,3,90,99,-9,2138.0
0:08.0, ,90-102,D. Garland makes 3-pt jump shot from 30 ft,,3,90,102,-12,2152.0
0:00.0,S. Bey misses 3-pt jump shot from 24 ft,90-102, ,,3,90,102,-12,2160.0
0:00.0,Offensive rebound by Team,90-102, ,,3,90,102,-12,2160.0
0:00.0,End of 3rd quarter,90-102,,,3,90,102,-12,2160.0
12:00.0,Start of 4th quarter,90-102,,,4,90,102,-12,2160.0
11:38.0,T. Young misses 3-pt jump shot from 27 ft,90-102, ,,4,90,102,-12,2182.0
11:33.0,Offensive rebound by Team,90-102, ,,4,90,102,-12,2187.0
11:20.0,B. Bogdanović misses 3-pt jump shot from 26 ft,90-102, ,,4,90,102,-12,2200.0
11:18.0, ,90-102,Defensive rebound by J. Allen,,4,90,102,-12,2202.0
11:03.0, ,90-102,C. LeVert misses 3-pt jump shot from 27 ft,,4,90,102,-12,2217.0
11:00.0,Defensive rebound by O. Okongwu,90-102, ,,4,90,102,-12,2220.0
10:51.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),93-102, ,,4,93,102,-9,2229.0
10:27.0, ,93-102,D. Garland misses 2-pt jump shot from 12 ft,,4,93,102,-9,2253.0
10:26.0,Defensive rebound by O. Okongwu,93-102, ,,4,93,102,-9,2254.0
10:21.0,T. Young misses 3-pt jump shot from 25 ft,93-102, ,,4,93,102,-9,2259.0
10:17.0, ,93-102,Defensive rebound by G. Niang,,4,93,102,-9,2263.0
10:13.0, ,93-104,I. Okoro makes 2-pt layup from 1 ft (assist by D. Garland),,4,93,104,-11,2267.0
10:13.0, ,93-104,Shooting foul by B. Bogdanović (drawn by I. Okoro),,4,93,104,-11,2267.0
10:13.0, ,93-104,D. Mitchell enters the game for G. Niang,,4,93,104,-11,2267.0
10:13.0, ,93-104,I. Okoro misses free throw 1 of 1,,4,93,104,-11,2267.0
10:11.0,Defensive rebound by O. Okongwu,93-104, ,,4,93,104,-11,2269.0
10:04.0,B. Bogdanović misses 2-pt jump shot from 8 ft (block by I. Okoro),93-104, ,,4,93,104,-11,2276.0
10:00.0, ,93-104,Defensive rebound by C. LeVert,,4,93,104,-11,2280.0
9:44.0, ,93-106,I. Okoro makes 2-pt layup from 1 ft,,4,93,106,-13,2296.0
9:26.0,Shooting foul by J. Allen (drawn by S. Bey),93-106, ,,4,93,106,-13,2314.0
9:26.0,S. Bey makes free throw 1 of 2,94-106, ,,4,94,106,-12,2314.0
9:26.0,S. Bey makes free throw 2 of 2,95-106, ,,4,95,106,-11,2314.0
9:15.0, ,95-108,J. Allen makes 2-pt layup from 1 ft (assist by D. Mitchell),,4,95,108,-13,2325.0
9:15.0, ,95-108,Shooting foul by S. Bey (drawn by J. Allen),,4,95,108,-13,2325.0
9:15.0, ,95-108,M. Strus enters the game for D. Garland,,4,95,108,-13,2325.0
9:15.0, ,95-109,J. Allen makes free throw 1 of 1,,4,95,109,-14,2325.0
9:02.0,T. Young misses 2-pt jump shot from 8 ft,95-109, ,,4,95,109,-14,2338.0
9:00.0, ,95-109,Defensive rebound by J. Allen,,4,95,109,-14,2340.0
8:49.0, ,95-112,C. LeVert makes 3-pt jump shot from 24 ft (assist by D. Mitchell),,4,95,112,-17,2351.0
8:49.0,Atlanta full timeout,95-112, ,,4,95,112,-17,2351.0
8:49.0,A. Griffin enters the game for S. Bey,95-112, ,,4,95,112,-17,2351.0
8:49.0,D. Hunter enters the game for W. Matthews,95-112, ,,4,95,112,-17,2351.0
8:49.0,D. Murray enters the game for T. Young,95-112, ,,4,95,112,-17,2351.0
8:26.0,D. Murray misses 2-pt layup from 2 ft (block by I. Okoro),95-112, ,,4,95,112,-17,2374.0
8:21.0, ,95-112,Defensive rebound by J. Allen,,4,95,112,-17,2379.0
8:19.0, ,95-112,M. Strus misses 3-pt jump shot from 25 ft,,4,95,112,-17,2381.0
8:16.0,Defensive rebound by O. Okongwu,95-112, ,,4,95,112,-17,2384.0
8:13.0,Shooting foul by D. Mitchell (drawn by D. Hunter),95-112, ,,4,95,112,-17,2387.0
8:13.0,D. Hunter makes free throw 1 of 2,96-112, ,,4,96,112,-16,2387.0
8:13.0,D. Hunter makes free throw 2 of 2,97-112, ,,4,97,112,-15,2387.0
7:56.0, ,97-115,C. LeVert makes 3-pt jump shot from 26 ft,,4,97,115,-18,2404.0
7:35.0,A. Griffin misses 3-pt jump shot from 26 ft,97-115, ,,4,97,115,-18,2425.0
7:31.0, ,97-115,Defensive rebound by I. Okoro,,4,97,115,-18,2429.0
7:22.0, ,97-115,I. Okoro misses 2-pt layup from 1 ft,,4,97,115,-18,2438.0
7:20.0, ,97-115,Offensive rebound by I. Okoro,,4,97,115,-18,2440.0
7:14.0, ,97-115,C. LeVert misses 3-pt jump shot from 25 ft,,4,97,115,-18,2446.0
7:12.0, ,97-115,Offensive rebound by Team,,4,97,115,-18,2448.0
7:12.0,T. Young enters the game for A. Griffin,97-115, ,,4,97,115,-18,2448.0
7:12.0, ,97-115,E. Mobley enters the game for J. Allen,,4,97,115,-18,2448.0
6:58.0, ,97-117,D. Mitchell makes 2-pt layup from 1 ft (assist by M. Strus),,4,97,117,-20,2462.0
6:45.0,O. Okongwu makes 2-pt layup from 1 ft (assist by B. Bogdanović),99-117, ,,4,99,117,-18,2475.0
6:33.0, ,99-117,M. Strus misses 3-pt jump shot from 23 ft,,4,99,117,-18,2487.0
6:30.0, ,99-117,Offensive rebound by E. Mobley,,4,99,117,-18,2490.0
6:28.0, ,99-117,I. Okoro misses 2-pt layup from 1 ft (block by D. Murray),,4,99,117,-18,2492.0
6:24.0,Defensive rebound by D. Hunter,99-117, ,,4,99,117,-18,2496.0
6:16.0,B. Bogdanović misses 3-pt jump shot from 23 ft,99-117, ,,4,99,117,-18,2504.0
6:14.0, ,99-117,Defensive rebound by D. Mitchell,,4,99,117,-18,2506.0
6:08.0, ,99-117,D. Mitchell misses 3-pt jump shot from 26 ft,,4,99,117,-18,2512.0
6:03.0,Defensive rebound by O. Okongwu,99-117, ,,4,99,117,-18,2517.0
6:01.0,D. Hunter misses 3-pt jump shot from 27 ft,99-117, ,,4,99,117,-18,2519.0
5:57.0, ,99-117,Defensive rebound by D. Mitchell,,4,99,117,-18,2523.0
5:56.0, ,99-117,Cleveland full timeout,,4,99,117,-18,2524.0
5:56.0,S. Bey enters the game for B. Bogdanović,99-117, ,,4,99,117,-18,2524.0
5:56.0,C. Capela enters the game for O. Okongwu,99-117, ,,4,99,117,-18,2524.0
5:56.0, ,99-117,J. Allen enters the game for C. LeVert,,4,99,117,-18,2524.0
5:56.0, ,99-117,D. Garland enters the game for I. Okoro,,4,99,117,-18,2524.0
5:44.0, ,99-117,J. Allen misses 2-pt layup from 1 ft,,4,99,117,-18,2536.0
5:42.0,Defensive rebound by C. Capela,99-117, ,,4,99,117,-18,2538.0
5:33.0,D. Murray misses 3-pt jump shot from 25 ft,99-117, ,,4,99,117,-18,2547.0
5:29.0, ,99-117,Defensive rebound by E. Mobley,,4,99,117,-18,2551.0
5:22.0, ,99-119,E. Mobley makes 2-pt layup from 1 ft (assist by M. Strus),,4,99,119,-20,2558.0
5:04.0,D. Hunter makes 3-pt jump shot from 24 ft (assist by T. Young),102-119, ,,4,102,119,-17,2576.0
4:55.0, ,102-119,Turnover by D. Garland (lost ball; steal by T. Young),,4,102,119,-17,2585.0
4:53.0,Personal foul by D. Mitchell (drawn by T. Young),102-119, ,,4,102,119,-17,2587.0
4:48.0,Turnover by T. Young (lost ball; steal by M. Strus),102-119, ,,4,102,119,-17,2592.0
4:40.0, ,102-119,D. Garland misses 2-pt layup from 2 ft,,4,102,119,-17,2600.0
4:36.0, ,102-119,Offensive rebound by D. Mitchell,,4,102,119,-17,2604.0
4:36.0, ,102-121,D. Mitchell makes 2-pt layup at rim,,4,102,121,-19,2604.0
4:23.0,Personal foul by J. Allen (drawn by D. Hunter),102-121, ,,4,102,121,-19,2617.0
4:13.0,Turnover by D. Murray (lost ball; steal by M. Strus),102-121, ,,4,102,121,-19,2627.0
4:06.0, ,102-121,D. Garland misses 2-pt layup from 2 ft,,4,102,121,-19,2634.0
4:03.0,Defensive rebound by C. Capela,102-121, ,,4,102,121,-19,2637.0
4:03.0, ,102-121,Technical foul by M. Strus,,4,102,121,-19,2637.0
4:03.0,T. Young makes technical free throw,103-121, ,,4,103,121,-18,2637.0
3:59.0,D. Murray misses 3-pt jump shot from 24 ft,103-121, ,,4,103,121,-18,2641.0
3:56.0, ,103-121,Defensive rebound by J. Allen,,4,103,121,-18,2644.0
3:54.0, ,103-123,D. Mitchell makes 2-pt layup from 1 ft,,4,103,123,-20,2646.0
3:54.0, ,103-123,Shooting foul by D. Hunter (drawn by D. Mitchell),,4,103,123,-20,2646.0
3:54.0,Technical foul by D. Hunter,103-123, ,,4,103,123,-20,2646.0
3:54.0,Technical foul by D. Murray,103-123, ,,4,103,123,-20,2646.0
3:54.0, ,103-124,D. Mitchell makes technical free throw,,4,103,124,-21,2646.0
3:54.0, ,103-125,D. Mitchell makes technical free throw,,4,103,125,-22,2646.0
3:54.0,B. Fernando enters the game for S. Bey,103-125, ,,4,103,125,-22,2646.0
3:54.0,T. Forrest enters the game for C. Capela,103-125, ,,4,103,125,-22,2646.0
3:54.0,A. Griffin enters the game for D. Hunter,103-125, ,,4,103,125,-22,2646.0
3:54.0,G. Mathews enters the game for D. Murray,103-125, ,,4,103,125,-22,2646.0
3:54.0,W. Matthews enters the game for T. Young,103-125, ,,4,103,125,-22,2646.0
3:54.0, ,103-126,D. Mitchell makes free throw 1 of 1,,4,103,126,-23,2646.0
3:34.0,A. Griffin misses 3-pt jump shot from 24 ft,103-126, ,,4,103,126,-23,2666.0
3:31.0, ,103-126,Defensive rebound by E. Mobley,,4,103,126,-23,2669.0
3:24.0, ,103-126,D. Mitchell misses 3-pt jump shot from 25 ft,,4,103,126,-23,2676.0
3:24.0,Defensive rebound by G. Mathews,103-126, ,,4,103,126,-23,2676.0
3:10.0,B. Fernando misses 2-pt jump shot from 12 ft,103-126, ,,4,103,126,-23,2690.0
3:10.0,Offensive rebound by B. Fernando,103-126, ,,4,103,126,-23,2690.0
3:10.0,B. Fernando misses 2-pt layup from 18 ft (block by E. Mobley),103-126, ,,4,103,126,-23,2690.0
3:09.0,Offensive rebound by Team,103-126, ,,4,103,126,-23,2691.0
3:09.0,G. Mathews misses 3-pt jump shot from 22 ft (block by M. Strus),103-126, ,,4,103,126,-23,2691.0
3:09.0, ,103-126,C. LeVert enters the game for J. Allen,,4,103,126,-23,2691.0
2:57.0,B. Fernando misses 2-pt layup from 3 ft,103-126, ,,4,103,126,-23,2703.0
2:55.0, ,103-126,Defensive rebound by E. Mobley,,4,103,126,-23,2705.0
2:46.0, ,103-126,Turnover by D. Garland (bad pass),,4,103,126,-23,2714.0
2:30.0,T. Forrest misses 2-pt layup from 1 ft,103-126, ,,4,103,126,-23,2730.0
2:30.0, ,103-126,Defensive rebound by Team,,4,103,126,-23,2730.0
2:29.0,Loose ball foul by B. Fernando (drawn by D. Mitchell),103-126, ,,4,103,126,-23,2731.0
2:19.0, ,103-126,D. Mitchell misses 2-pt jump shot from 12 ft,,4,103,126,-23,2741.0
2:17.0, ,103-126,Offensive rebound by D. Mitchell,,4,103,126,-23,2743.0
2:15.0, ,103-128,D. Mitchell makes 2-pt layup from 1 ft,,4,103,128,-25,2745.0
2:01.0,Turnover by B. Fernando (lost ball; steal by D. Garland),103-128, ,,4,103,128,-25,2759.0
1:51.0, ,103-128,D. Garland misses 3-pt jump shot from 28 ft,,4,103,128,-25,2769.0
1:49.0,Defensive rebound by W. Matthews,103-128, ,,4,103,128,-25,2771.0
1:44.0,A. Griffin misses 2-pt layup from 5 ft (block by D. Mitchell),103-128, ,,4,103,128,-25,2776.0
1:40.0,Offensive rebound by A. Griffin,103-128, ,,4,103,128,-25,2780.0
1:28.0,A. Griffin misses 2-pt jump shot from 10 ft (block by E. Mobley),103-128, ,,4,103,128,-25,2792.0
1:28.0,Offensive rebound by Team,103-128, ,,4,103,128,-25,2792.0
1:28.0,Turnover by Team (shot clock),103-128, ,,4,103,128,-25,2792.0
1:20.0, ,103-128,E. Mobley misses 2-pt jump shot from 13 ft,,4,103,128,-25,2800.0
1:18.0,Defensive rebound by B. Fernando,103-128, ,,4,103,128,-25,2802.0
1:08.0,B. Fernando misses 2-pt layup from 8 ft (block by E. Mobley),103-128, ,,4,103,128,-25,2812.0
1:04.0, ,103-128,Defensive rebound by C. LeVert,,4,103,128,-25,2816.0
1:02.0, ,103-128,Turnover by C. LeVert (out of bounds lost ball),,4,103,128,-25,2818.0
0:47.0,B. Fernando misses 2-pt jump shot from 12 ft (block by E. Mobley),103-128, ,,4,103,128,-25,2833.0
0:47.0,Offensive rebound by B. Fernando,103-128, ,,4,103,128,-25,2833.0
0:47.0,B. Fernando makes 2-pt dunk from 1 ft,105-128, ,,4,105,128,-23,2833.0
0:33.0, ,105-128,D. Garland misses 3-pt jump shot from 33 ft,,4,105,128,-23,2847.0
0:29.0,Defensive rebound by W. Matthews,105-128, ,,4,105,128,-23,2851.0
0:26.0,W. Matthews misses 3-pt jump shot from 27 ft,105-128, ,,4,105,128,-23,2854.0
0:24.0, ,105-128,Defensive rebound by E. Mobley,,4,105,128,-23,2856.0
0:18.0, ,105-128,Turnover by  (8 sec),,4,105,128,-23,2862.0
0:11.0,A. Griffin misses 3-pt jump shot from 34 ft,105-128, ,,4,105,128,-23,2869.0
0:08.0, ,105-128,Defensive rebound by E. Mobley,,4,105,128,-23,2872.0
0:00.0,End of 4th quarter,105-128,,,4,105,128,-23,2880.0
