Time,Atlanta,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:24.0,S. Bey makes 3-pt jump shot from 22 ft (assist by D. Murray),54-54, ,Tie,2,54,54,0,1176.0
4:09.0, ,54-57,D. Green makes 3-pt jump shot from 23 ft (assist by D. Šarić),,2,54,57,-3,1191.0
3:52.0,Turnover by D. Murray (bad pass; steal by D. Green),54-57, ,,2,54,57,-3,1208.0
3:48.0, ,54-60,K. Thompson makes 3-pt jump shot from 29 ft,,2,54,60,-6,1212.0
3:46.0,Atlanta full timeout,54-60, ,,2,54,60,-6,1214.0
3:46.0, ,54-60,J. Kuminga enters the game for D. Šarić,,2,54,60,-6,1214.0
3:30.0,J. Johnson makes 2-pt layup from 5 ft (assist by C. Capela),56-60, ,,2,56,60,-4,1230.0
3:15.0, ,56-60,Shooting foul by D. Murray (drawn by A. Wiggins),,2,56,60,-4,1245.0
3:15.0, ,56-61,A. Wiggins makes free throw 1 of 2,,2,56,61,-5,1245.0
3:15.0, ,56-62,A. Wiggins makes free throw 2 of 2,,2,56,62,-6,1245.0
2:51.0,S. Bey misses 2-pt jump shot from 6 ft (block by A. Wiggins),56-62, ,,2,56,62,-6,1269.0
2:51.0,Offensive rebound by Team,56-62, ,,2,56,62,-6,1269.0
2:51.0,Turnover by Team (shot clock),56-62, ,,2,56,62,-6,1269.0
2:41.0, ,56-64,J. Kuminga makes 2-pt dunk from 3 ft,,2,56,64,-8,1279.0
2:28.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),59-64, ,,2,59,64,-5,1292.0
2:10.0, ,59-64,K. Thompson misses 3-pt jump shot from 25 ft,,2,59,64,-5,1310.0
2:06.0,Defensive rebound by C. Capela,59-64, ,,2,59,64,-5,1314.0
2:00.0,D. Murray misses 2-pt jump shot from 10 ft (block by K. Thompson),59-64, ,,2,59,64,-5,1320.0
1:59.0, ,59-64,Defensive rebound by S. Curry,,2,59,64,-5,1321.0
1:54.0, ,59-66,A. Wiggins makes 2-pt dunk from 3 ft (assist by S. Curry),,2,59,66,-7,1326.0
1:39.0,Shooting foul by D. Green (drawn by C. Capela),59-66, ,,2,59,66,-7,1341.0
1:39.0,C. Capela makes free throw 1 of 2,60-66, ,,2,60,66,-6,1341.0
1:39.0,C. Capela makes free throw 2 of 2,61-66, ,,2,61,66,-5,1341.0
1:27.0, ,61-66,Personal foul by J. Johnson (drawn by J. Kuminga),,2,61,66,-5,1353.0
1:21.0, ,61-69,S. Curry makes 3-pt jump shot from 30 ft,,2,61,69,-8,1359.0
1:04.0,S. Bey misses 2-pt hook shot from 6 ft,61-69, ,,2,61,69,-8,1376.0
1:01.0,Offensive rebound by S. Bey,61-69, ,,2,61,69,-8,1379.0
1:01.0,S. Bey makes 2-pt layup at rim,63-69, ,,2,63,69,-6,1379.0
0:52.0, ,63-69,S. Curry misses 3-pt jump shot from 26 ft,,2,63,69,-6,1388.0
0:50.0,Defensive rebound by D. Murray,63-69, ,,2,63,69,-6,1390.0
0:43.0,D. Murray misses 3-pt jump shot from 26 ft,63-69, ,,2,63,69,-6,1397.0
0:42.0,Offensive rebound by J. Johnson,63-69, ,,2,63,69,-6,1398.0
0:41.0,J. Johnson makes 2-pt layup at rim,65-69, ,,2,65,69,-4,1399.0
0:26.0, ,65-69,Turnover by S. Curry (bad pass; steal by D. Murray),,2,65,69,-4,1414.0
0:23.0,J. Johnson makes 2-pt layup from 5 ft (assist by S. Bey),67-69, ,,2,67,69,-2,1417.0
0:23.0,Shooting foul by A. Wiggins (drawn by J. Johnson),67-69, ,,2,67,69,-2,1417.0
0:23.0,J. Johnson makes free throw 1 of 1,68-69, ,,2,68,69,-1,1417.0
0:01.0, ,68-69,K. Thompson misses 2-pt layup from 5 ft,,2,68,69,-1,1439.0
0:01.0, ,68-69,Offensive rebound by K. Thompson,,2,68,69,-1,1439.0
0:00.0, ,68-69,K. Thompson misses 2-pt layup at rim,,2,68,69,-1,1440.0
0:00.0, ,68-69,Offensive rebound by Team,,2,68,69,-1,1440.0
0:00.0,End of 2nd quarter,68-69,,,2,68,69,-1,1440.0
12:00.0,Start of 3rd quarter,68-69,,,3,68,69,-1,1440.0
11:47.0,D. Murray misses 3-pt jump shot from 25 ft,68-69, ,,3,68,69,-1,1453.0
11:43.0,Offensive rebound by S. Bey,68-69, ,,3,68,69,-1,1457.0
11:41.0,S. Bey makes 3-pt jump shot from 27 ft,71-69, ,Lead change,3,71,69,2,1459.0
11:38.0,Violation by Team (delay of game),71-69, ,,3,71,69,2,1462.0
11:24.0, ,71-71,K. Looney makes 2-pt layup from 5 ft (assist by K. Thompson),Tie,3,71,71,0,1476.0
11:08.0,J. Johnson misses 2-pt jump shot from 10 ft,71-71, ,,3,71,71,0,1492.0
11:04.0, ,71-71,Defensive rebound by K. Looney,,3,71,71,0,1496.0
10:55.0, ,71-71,K. Looney misses 2-pt jump shot from 15 ft,,3,71,71,0,1505.0
