Time,Atlanta,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:45.0, ,67-105,M. Turner makes 3-pt jump shot from 25 ft (assist by T. Haliburton),,3,67,105,-38,1815.0
5:29.0,D. Murray misses 3-pt jump shot from 27 ft,67-105, ,,3,67,105,-38,1831.0
5:26.0,Offensive rebound by O. Okongwu,67-105, ,,3,67,105,-38,1834.0
5:25.0,B. Bogdanović misses 3-pt jump shot from 26 ft,67-105, ,,3,67,105,-38,1835.0
5:21.0,Offensive rebound by S. Bey,67-105, ,,3,67,105,-38,1839.0
5:19.0,D. Murray makes 2-pt jump shot from 10 ft (assist by S. Bey),69-105, ,,3,69,105,-36,1841.0
5:02.0, ,69-107,M. Turner makes 2-pt jump shot from 9 ft (assist by T. Haliburton),,3,69,107,-38,1858.0
4:47.0,S. Bey misses 3-pt jump shot from 28 ft,69-107, ,,3,69,107,-38,1873.0
4:44.0, ,69-107,Defensive rebound by T. Haliburton,,3,69,107,-38,1876.0
4:42.0, ,69-107,Turnover by T. Haliburton (bad pass),,3,69,107,-38,1878.0
4:28.0,Turnover by B. Bogdanović (bad pass; steal by O. Toppin),69-107, ,,3,69,107,-38,1892.0
4:24.0, ,69-107,T. Haliburton misses 3-pt jump shot from 27 ft,,3,69,107,-38,1896.0
4:21.0,Defensive rebound by B. Bogdanović,69-107, ,,3,69,107,-38,1899.0
4:14.0,B. Bogdanović makes 2-pt layup from 3 ft,71-107, ,,3,71,107,-36,1906.0
4:14.0, ,71-107,Indiana full timeout,,3,71,107,-36,1906.0
4:14.0,J. Johnson enters the game for S. Bey,71-107, ,,3,71,107,-36,1906.0
4:14.0,G. Mathews enters the game for T. Forrest,71-107, ,,3,71,107,-36,1906.0
3:56.0, ,71-107,O. Toppin misses 3-pt jump shot from 24 ft,,3,71,107,-36,1924.0
3:52.0,Defensive rebound by J. Johnson,71-107, ,,3,71,107,-36,1928.0
3:46.0,B. Bogdanović misses 3-pt jump shot from 29 ft,71-107, ,,3,71,107,-36,1934.0
3:43.0, ,71-107,Defensive rebound by T. Haliburton,,3,71,107,-36,1937.0
3:43.0, ,71-107,Indiana full timeout,,3,71,107,-36,1937.0
3:43.0, ,71-107,B. Hield enters the game for B. Brown,,3,71,107,-36,1937.0
3:43.0, ,71-107,B. Mathurin enters the game for A. Nesmith,,3,71,107,-36,1937.0
3:43.0, ,71-107,J. Smith enters the game for M. Turner,,3,71,107,-36,1937.0
3:21.0, ,71-107,J. Smith misses 3-pt jump shot from 27 ft,,3,71,107,-36,1959.0
3:21.0, ,71-107,Offensive rebound by Team,,3,71,107,-36,1959.0
3:21.0, ,71-107,Turnover by Team (shot clock),,3,71,107,-36,1959.0
3:10.0,D. Murray misses 2-pt jump shot from 8 ft,71-107, ,,3,71,107,-36,1970.0
3:07.0, ,71-107,Defensive rebound by J. Smith,,3,71,107,-36,1973.0
2:46.0, ,71-107,O. Toppin misses 2-pt hook shot from 4 ft,,3,71,107,-36,1994.0
2:43.0,Defensive rebound by D. Murray,71-107, ,,3,71,107,-36,1997.0
2:37.0,J. Johnson makes 2-pt layup from 3 ft (assist by D. Murray),73-107, ,,3,73,107,-34,2003.0
2:37.0,Shooting foul by O. Toppin (drawn by J. Johnson),73-107, ,,3,73,107,-34,2003.0
2:37.0, ,73-107,T. McConnell enters the game for T. Haliburton,,3,73,107,-34,2003.0
2:37.0,J. Johnson makes free throw 1 of 1,74-107, ,,3,74,107,-33,2003.0
2:21.0, ,74-109,T. McConnell makes 2-pt jump shot from 9 ft (assist by B. Hield),,3,74,109,-35,2019.0
2:06.0,G. Mathews makes 3-pt jump shot from 23 ft (assist by J. Johnson),77-109, ,,3,77,109,-32,2034.0
1:50.0, ,77-112,B. Mathurin makes 3-pt jump shot from 27 ft (assist by O. Toppin),,3,77,112,-35,2050.0
1:33.0,B. Bogdanović misses 2-pt jump shot from 11 ft,77-112, ,,3,77,112,-35,2067.0
1:31.0, ,77-112,Defensive rebound by B. Hield,,3,77,112,-35,2069.0
1:25.0, ,77-112,B. Mathurin misses 3-pt jump shot from 26 ft,,3,77,112,-35,2075.0
1:20.0,Defensive rebound by J. Johnson,77-112, ,,3,77,112,-35,2080.0
1:17.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by J. Johnson),79-112, ,,3,79,112,-33,2083.0
1:06.0, ,79-112,Offensive foul by O. Toppin (drawn by B. Bogdanović),,3,79,112,-33,2094.0
1:06.0, ,79-112,Turnover by O. Toppin (offensive foul),,3,79,112,-33,2094.0
0:59.0,Turnover by B. Bogdanović (bad pass; steal by T. McConnell),79-112, ,,3,79,112,-33,2101.0
0:55.0, ,79-112,B. Hield misses 3-pt jump shot from 24 ft,,3,79,112,-33,2105.0
0:51.0,Defensive rebound by G. Mathews,79-112, ,,3,79,112,-33,2109.0
0:41.0,Shooting foul by B. Mathurin (drawn by B. Bogdanović),79-112, ,,3,79,112,-33,2119.0
0:41.0,B. Bogdanović makes free throw 1 of 2,80-112, ,,3,80,112,-32,2119.0
0:41.0,B. Bogdanović makes free throw 2 of 2,81-112, ,,3,81,112,-31,2119.0
0:24.0, ,81-114,T. McConnell makes 2-pt jump shot from 11 ft (assist by B. Mathurin),,3,81,114,-33,2136.0
0:09.0,Personal foul by B. Hield (drawn by B. Bogdanović),81-114, ,,3,81,114,-33,2151.0
0:09.0,B. Bogdanović makes free throw 1 of 2,82-114, ,,3,82,114,-32,2151.0
0:09.0,B. Bogdanović makes free throw 2 of 2,83-114, ,,3,83,114,-31,2151.0
0:02.0, ,83-117,B. Hield makes 3-pt jump shot from 26 ft (assist by T. McConnell),,3,83,117,-34,2158.0
0:00.0,End of 3rd quarter,83-117,,,3,83,117,-34,2160.0
12:00.0,Start of 4th quarter,83-117,,,4,83,117,-34,2160.0
12:00.0, ,83-117,Violation by Team (delay of game),,4,83,117,-34,2160.0
11:47.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by O. Okongwu),86-117, ,,4,86,117,-31,2173.0
11:25.0, ,86-117,B. Mathurin misses 2-pt jump shot from 10 ft,,4,86,117,-31,2195.0
11:23.0, ,86-117,Offensive rebound by B. Mathurin,,4,86,117,-31,2197.0
11:21.0, ,86-120,B. Hield makes 3-pt jump shot from 27 ft (assist by B. Mathurin),,4,86,120,-34,2199.0
10:53.0,T. Young makes 3-pt jump shot from 27 ft (assist by D. Murray),89-120, ,,4,89,120,-31,2227.0
10:46.0, ,89-120,Personal take foul by T. Young (drawn by T. McConnell),,4,89,120,-31,2234.0
10:27.0, ,89-120,B. Hield misses 3-pt jump shot from 23 ft,,4,89,120,-31,2253.0
10:23.0,Defensive rebound by O. Okongwu,89-120, ,,4,89,120,-31,2257.0
10:19.0,T. Young makes 2-pt layup from 7 ft,91-120, ,,4,91,120,-29,2261.0
10:19.0,Shooting foul by J. Walker (drawn by T. Young),91-120, ,,4,91,120,-29,2261.0
10:19.0,T. Young makes free throw 1 of 1,92-120, ,,4,92,120,-28,2261.0
10:06.0, ,92-122,B. Mathurin makes 2-pt jump shot from 8 ft (assist by J. Walker),,4,92,122,-30,2274.0
9:50.0,B. Bogdanović misses 3-pt jump shot from 26 ft,92-122, ,,4,92,122,-30,2290.0
9:48.0, ,92-122,Defensive rebound by Team,,4,92,122,-30,2292.0
9:48.0, ,92-122,J. Nwora enters the game for J. Smith,,4,92,122,-30,2292.0
9:33.0, ,92-124,B. Mathurin makes 2-pt jump shot from 11 ft (assist by J. Nwora),,4,92,124,-32,2307.0
9:19.0,B. Bogdanović misses 3-pt jump shot from 23 ft,92-124, ,,4,92,124,-32,2321.0
9:16.0, ,92-124,Defensive rebound by B. Hield,,4,92,124,-32,2324.0
9:09.0, ,92-126,B. Hield makes 2-pt layup from 3 ft (assist by T. McConnell),,4,92,126,-34,2331.0
8:58.0,Personal foul by B. Hield (drawn by D. Murray),92-126, ,,4,92,126,-34,2342.0
8:58.0,J. Johnson enters the game for O. Okongwu,92-126, ,,4,92,126,-34,2342.0
8:58.0, ,92-126,B. Sheppard enters the game for B. Hield,,4,92,126,-34,2342.0
8:48.0,T. Young misses 3-pt jump shot from 27 ft,92-126, ,,4,92,126,-34,2352.0
8:46.0,Offensive rebound by Team,92-126, ,,4,92,126,-34,2354.0
8:46.0, ,92-126,Loose ball foul by J. Nwora (drawn by S. Bey),,4,92,126,-34,2354.0
8:38.0,B. Bogdanović misses 3-pt jump shot from 26 ft,92-126, ,,4,92,126,-34,2362.0
8:35.0, ,92-126,Defensive rebound by J. Nwora,,4,92,126,-34,2365.0
8:15.0, ,92-128,B. Mathurin makes 2-pt layup from 1 ft (assist by T. McConnell),,4,92,128,-36,2385.0
8:15.0,O. Okongwu enters the game for B. Bogdanović,92-128, ,,4,92,128,-36,2385.0
8:15.0, ,92-128,J. Johnson enters the game for B. Mathurin,,4,92,128,-36,2385.0
8:07.0,D. Murray makes 2-pt jump shot from 12 ft (assist by T. Young),94-128, ,,4,94,128,-34,2393.0
7:53.0, ,94-128,J. Walker misses 3-pt jump shot from 26 ft,,4,94,128,-34,2407.0
7:49.0, ,94-128,Offensive rebound by T. McConnell,,4,94,128,-34,2411.0
7:46.0, ,94-128,J. Walker misses 2-pt layup from 2 ft,,4,94,128,-34,2414.0
7:42.0, ,94-128,Offensive rebound by J. Walker,,4,94,128,-34,2418.0
7:42.0, ,94-128,J. Walker misses 2-pt layup at rim,,4,94,128,-34,2418.0
7:41.0,Defensive rebound by J. Johnson,94-128, ,,4,94,128,-34,2419.0
7:32.0,T. Young misses 3-pt jump shot from 33 ft,94-128, ,,4,94,128,-34,2428.0
7:28.0,Offensive rebound by O. Okongwu,94-128, ,,4,94,128,-34,2432.0
7:27.0,Shooting foul by J. Johnson (drawn by S. Bey),94-128, ,,4,94,128,-34,2433.0
7:27.0,S. Bey makes free throw 1 of 2,95-128, ,,4,95,128,-33,2433.0
7:27.0,S. Bey makes free throw 2 of 2,96-128, ,,4,96,128,-32,2433.0
7:20.0, ,96-128,T. McConnell misses 2-pt layup from 2 ft,,4,96,128,-32,2440.0
7:17.0,Defensive rebound by J. Johnson,96-128, ,,4,96,128,-32,2443.0
7:12.0,D. Murray makes 2-pt layup from 4 ft,98-128, ,,4,98,128,-30,2448.0
7:02.0, ,98-130,J. Johnson makes 2-pt dunk from 1 ft (assist by B. Sheppard),,4,98,130,-32,2458.0
7:02.0,Atlanta full timeout,98-130, ,,4,98,130,-32,2458.0
7:02.0,B. Fernando enters the game for S. Bey,98-130, ,,4,98,130,-32,2458.0
7:02.0,T. Forrest enters the game for J. Johnson,98-130, ,,4,98,130,-32,2458.0
7:02.0,A. Griffin enters the game for D. Murray,98-130, ,,4,98,130,-32,2458.0
7:02.0,S. Lundy enters the game for O. Okongwu,98-130, ,,4,98,130,-32,2458.0
7:02.0,G. Mathews enters the game for T. Young,98-130, ,,4,98,130,-32,2458.0
6:45.0,T. Forrest makes 2-pt jump shot from 11 ft,100-130, ,,4,100,130,-30,2475.0
6:21.0, ,100-133,B. Sheppard makes 3-pt jump shot from 24 ft (assist by T. McConnell),,4,100,133,-33,2499.0
6:07.0,A. Griffin misses 3-pt jump shot from 27 ft,100-133, ,,4,100,133,-33,2513.0
6:06.0, ,100-133,Defensive rebound by B. Sheppard,,4,100,133,-33,2514.0
5:59.0, ,100-133,B. Sheppard misses 3-pt jump shot from 27 ft,,4,100,133,-33,2521.0
5:56.0,Defensive rebound by B. Fernando,100-133, ,,4,100,133,-33,2524.0
5:44.0,B. Fernando makes 2-pt dunk from 3 ft (assist by T. Forrest),102-133, ,,4,102,133,-31,2536.0
5:36.0, ,102-135,J. Nwora makes 2-pt layup from 2 ft (assist by T. McConnell),,4,102,135,-33,2544.0
5:25.0,Personal foul by T. McConnell (drawn by T. Forrest),102-135, ,,4,102,135,-33,2555.0
5:25.0,T. Forrest makes free throw 1 of 2,103-135, ,,4,103,135,-32,2555.0
5:25.0,T. Forrest makes free throw 2 of 2,104-135, ,,4,104,135,-31,2555.0
5:10.0, ,104-135,J. Johnson misses 2-pt layup from 9 ft (block by B. Fernando),,4,104,135,-31,2570.0
5:08.0, ,104-135,Offensive rebound by Team,,4,104,135,-31,2572.0
5:08.0,Jump ball: J. Johnson vs. B. Fernando (J. Nwora gains possession),104-135,,,4,104,135,-31,2572.0
5:06.0, ,104-138,J. Walker makes 3-pt jump shot from 28 ft (assist by J. Nwora),,4,104,138,-34,2574.0
4:53.0,Personal foul by J. Johnson (drawn by B. Fernando),104-138, ,,4,104,138,-34,2587.0
4:53.0,B. Fernando makes free throw 1 of 2,105-138, ,,4,105,138,-33,2587.0
4:53.0,B. Fernando makes free throw 2 of 2,106-138, ,,4,106,138,-32,2587.0
4:36.0, ,106-138,Shooting foul by B. Fernando (drawn by J. Nwora),,4,106,138,-32,2604.0
4:36.0, ,106-139,J. Nwora makes free throw 1 of 2,,4,106,139,-33,2604.0
4:36.0, ,106-140,J. Nwora makes free throw 2 of 2,,4,106,140,-34,2604.0
4:20.0,Turnover by A. Griffin (bad pass; steal by T. McConnell),106-140, ,,4,106,140,-34,2620.0
4:17.0, ,106-142,T. McConnell makes 2-pt layup from 2 ft,,4,106,142,-36,2623.0
4:01.0,Turnover by A. Griffin (bad pass; steal by J. Johnson),106-142, ,,4,106,142,-36,2639.0
3:58.0, ,106-142,Turnover by J. Nwora (step out of bounds),,4,106,142,-36,2642.0
3:38.0,Turnover by G. Mathews (bad pass; steal by J. Johnson),106-142, ,,4,106,142,-36,2662.0
3:19.0, ,106-142,B. Sheppard misses 3-pt jump shot from 24 ft,,4,106,142,-36,2681.0
3:15.0,Defensive rebound by G. Mathews,106-142, ,,4,106,142,-36,2685.0
3:12.0,A. Griffin makes 3-pt jump shot from 26 ft (assist by G. Mathews),109-142, ,,4,109,142,-33,2688.0
2:50.0, ,109-142,J. Nwora misses 3-pt jump shot from 26 ft,,4,109,142,-33,2710.0
2:47.0,Defensive rebound by B. Fernando,109-142, ,,4,109,142,-33,2713.0
2:38.0,B. Fernando makes 2-pt dunk from 2 ft (assist by T. Forrest),111-142, ,,4,111,142,-31,2722.0
2:38.0, ,111-142,Indiana full timeout,,4,111,142,-31,2722.0
2:26.0, ,111-145,J. Nwora makes 3-pt jump shot from 26 ft (assist by T. McConnell),,4,111,145,-34,2734.0
2:11.0,S. Lundy misses 3-pt jump shot from 31 ft,111-145, ,,4,111,145,-34,2749.0
2:09.0, ,111-145,Defensive rebound by T. McConnell,,4,111,145,-34,2751.0
2:04.0, ,111-145,J. Johnson misses 3-pt jump shot from 26 ft,,4,111,145,-34,2756.0
2:00.0,Defensive rebound by T. Forrest,111-145, ,,4,111,145,-34,2760.0
1:56.0,A. Griffin misses 3-pt jump shot from 23 ft,111-145, ,,4,111,145,-34,2764.0
1:52.0, ,111-145,Defensive rebound by J. Johnson,,4,111,145,-34,2768.0
1:41.0, ,111-148,J. Walker makes 3-pt jump shot from 25 ft (assist by J. Johnson),,4,111,148,-37,2779.0
1:30.0,Turnover by T. Forrest (bad pass; steal by J. Johnson),111-148, ,,4,111,148,-37,2790.0
1:30.0, ,111-148,Turnover by J. Johnson (bad pass),,4,111,148,-37,2790.0
1:21.0,T. Forrest makes 2-pt jump shot from 11 ft,113-148, ,,4,113,148,-35,2799.0
1:05.0, ,113-150,J. Walker makes 2-pt layup from 1 ft (assist by T. McConnell),,4,113,150,-37,2815.0
0:55.0,Turnover by T. Forrest (bad pass; steal by B. Sheppard),113-150, ,,4,113,150,-37,2825.0
0:50.0, ,113-150,Turnover by J. Walker (bad pass; steal by T. Forrest),,4,113,150,-37,2830.0
0:45.0,S. Lundy makes 3-pt jump shot from 26 ft (assist by G. Mathews),116-150, ,,4,116,150,-34,2835.0
0:20.0, ,116-150,Turnover by Team (shot clock),,4,116,150,-34,2860.0
0:00.0,End of 4th quarter,116-150,,,4,116,150,-34,2880.0
