Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:51.0,Offensive rebound by Team,35-54, ,,2,35,54,-19,1089.0
5:51.0, ,35-54,Loose ball foul by T. Thompson (drawn by O. Okongwu),,2,35,54,-19,1089.0
5:51.0, ,35-54,J. Allen enters the game for C. LeVert,,2,35,54,-19,1089.0
5:51.0, ,35-54,I. Okoro enters the game for T. Thompson,,2,35,54,-19,1089.0
5:42.0,Personal foul by G. Niang (drawn by D. Hunter),35-54, ,,2,35,54,-19,1098.0
5:42.0,D. Hunter makes free throw 1 of 2,36-54, ,,2,36,54,-18,1098.0
5:42.0,D. Hunter makes free throw 2 of 2,37-54, ,,2,37,54,-17,1098.0
5:21.0, ,37-54,G. Niang misses 3-pt jump shot from 25 ft,,2,37,54,-17,1119.0
5:17.0,Defensive rebound by O. Okongwu,37-54, ,,2,37,54,-17,1123.0
5:06.0,O. Okongwu makes 2-pt hook shot from 6 ft (assist by D. Murray),39-54, ,,2,39,54,-15,1134.0
4:51.0, ,39-54,Turnover by J. Allen (bad pass; steal by T. Forrest),,2,39,54,-15,1149.0
4:46.0,Turnover by T. Forrest (lost ball; steal by D. Mitchell),39-54, ,,2,39,54,-15,1154.0
4:42.0, ,39-56,J. Allen makes 2-pt dunk from 1 ft (assist by I. Okoro),,2,39,56,-17,1158.0
4:42.0,Atlanta full timeout,39-56, ,,2,39,56,-17,1158.0
4:42.0,S. Bey enters the game for T. Forrest,39-56, ,,2,39,56,-17,1158.0
4:42.0,T. Young enters the game for P. Mills,39-56, ,,2,39,56,-17,1158.0
4:42.0, ,39-56,D. Wade enters the game for G. Niang,,2,39,56,-17,1158.0
4:20.0,D. Hunter makes 2-pt jump shot from 10 ft (assist by T. Young),41-56, ,,2,41,56,-15,1180.0
3:54.0, ,41-56,D. Mitchell misses 2-pt layup from 2 ft,,2,41,56,-15,1206.0
3:52.0,Defensive rebound by T. Young,41-56, ,,2,41,56,-15,1208.0
3:41.0,S. Bey misses 3-pt jump shot from 22 ft,41-56, ,,2,41,56,-15,1219.0
3:38.0, ,41-56,Defensive rebound by M. Strus,,2,41,56,-15,1222.0
3:30.0, ,41-58,J. Allen makes 2-pt dunk from 1 ft (assist by I. Okoro),,2,41,58,-17,1230.0
3:16.0,D. Murray makes 2-pt jump shot from 15 ft,43-58, ,,2,43,58,-15,1244.0
3:09.0, ,43-58,M. Strus misses 3-pt jump shot from 30 ft (block by T. Young),,2,43,58,-15,1251.0
3:07.0, ,43-58,Offensive rebound by D. Wade,,2,43,58,-15,1253.0
3:02.0, ,43-58,J. Allen misses 2-pt hook shot from 1 ft,,2,43,58,-15,1258.0
3:01.0, ,43-58,Offensive rebound by J. Allen,,2,43,58,-15,1259.0
3:00.0, ,43-58,J. Allen misses 2-pt hook shot from 2 ft,,2,43,58,-15,1260.0
2:58.0, ,43-58,Offensive rebound by J. Allen,,2,43,58,-15,1262.0
2:55.0, ,43-61,M. Strus makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,2,43,61,-18,1265.0
2:44.0,Turnover by T. Young (bad pass; steal by D. Mitchell),43-61, ,,2,43,61,-18,1276.0
2:41.0, ,43-63,M. Strus makes 2-pt layup from 1 ft (assist by D. Mitchell),,2,43,63,-20,1279.0
2:18.0,D. Murray misses 2-pt jump shot from 9 ft,43-63, ,,2,43,63,-20,1302.0
2:15.0, ,43-63,Defensive rebound by J. Allen,,2,43,63,-20,1305.0
2:11.0, ,43-66,D. Wade makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,2,43,66,-23,1309.0
1:55.0,Personal foul by D. Wade (drawn by D. Hunter),43-66, ,,2,43,66,-23,1325.0
1:55.0,D. Hunter makes free throw 1 of 2,44-66, ,,2,44,66,-22,1325.0
1:55.0,D. Hunter makes free throw 2 of 2,45-66, ,,2,45,66,-21,1325.0
1:45.0, ,45-66,Shooting foul by O. Okongwu (drawn by I. Okoro),,2,45,66,-21,1335.0
1:45.0, ,45-66,I. Okoro misses free throw 1 of 2,,2,45,66,-21,1335.0
1:45.0, ,45-66,Offensive rebound by Team,,2,45,66,-21,1335.0
1:45.0,B. Fernando enters the game for O. Okongwu,45-66, ,,2,45,66,-21,1335.0
1:45.0, ,45-67,I. Okoro makes free throw 2 of 2,,2,45,67,-22,1335.0
1:30.0,Shooting foul by D. Mitchell (drawn by D. Murray),45-67, ,,2,45,67,-22,1350.0
1:30.0,D. Murray makes free throw 1 of 3,46-67, ,,2,46,67,-21,1350.0
1:30.0,D. Murray makes free throw 2 of 3,47-67, ,,2,47,67,-20,1350.0
1:30.0,D. Murray misses free throw 3 of 3,47-67, ,,2,47,67,-20,1350.0
1:27.0, ,47-67,Defensive rebound by D. Wade,,2,47,67,-20,1353.0
1:10.0, ,47-70,D. Wade makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,2,47,70,-23,1370.0
0:55.0,T. Young makes 2-pt jump shot from 19 ft,49-70, ,,2,49,70,-21,1385.0
0:55.0,Away from play foul by D. Wade (drawn by B. Fernando),49-70, ,,2,49,70,-21,1385.0
0:55.0,B. Fernando makes free throw 1 of 1,50-70, ,,2,50,70,-20,1385.0
0:36.0, ,50-70,D. Wade misses 3-pt jump shot from 26 ft,,2,50,70,-20,1404.0
0:32.0,Defensive rebound by B. Fernando,50-70, ,,2,50,70,-20,1408.0
0:27.0,T. Young makes 2-pt jump shot from 24 ft,52-70, ,,2,52,70,-18,1413.0
0:06.0, ,52-70,D. Wade misses 3-pt jump shot from 25 ft,,2,52,70,-18,1434.0
0:04.0, ,52-70,Offensive rebound by Team,,2,52,70,-18,1436.0
0:02.0, ,52-70,Turnover by D. Mitchell (bad pass),,2,52,70,-18,1438.0
0:01.0,T. Young misses 2-pt jump shot from 14 ft,52-70, ,,2,52,70,-18,1439.0
0:00.0,Offensive rebound by Team,52-70, ,,2,52,70,-18,1440.0
0:00.0,End of 2nd quarter,52-70,,,2,52,70,-18,1440.0
12:00.0,Start of 3rd quarter,52-70,,,3,52,70,-18,1440.0
11:50.0,O. Okongwu misses 3-pt jump shot from 25 ft,52-70, ,,3,52,70,-18,1450.0
11:47.0, ,52-70,Defensive rebound by J. Allen,,3,52,70,-18,1453.0
11:36.0, ,52-70,I. Okoro misses 3-pt jump shot from 24 ft,,3,52,70,-18,1464.0
11:34.0,Defensive rebound by D. Hunter,52-70, ,,3,52,70,-18,1466.0
11:33.0,D. Hunter misses 2-pt layup from 1 ft,52-70, ,,3,52,70,-18,1467.0
11:31.0,Offensive rebound by O. Okongwu,52-70, ,,3,52,70,-18,1469.0
11:30.0,O. Okongwu makes 2-pt dunk at rim,54-70, ,,3,54,70,-16,1470.0
11:16.0, ,54-72,M. Strus makes 2-pt hook shot from 2 ft (assist by D. Wade),,3,54,72,-18,1484.0
11:01.0,Shooting foul by M. Strus (drawn by S. Bey),54-72, ,,3,54,72,-18,1499.0
11:01.0,S. Bey makes free throw 1 of 2,55-72, ,,3,55,72,-17,1499.0
11:01.0,S. Bey makes free throw 2 of 2,56-72, ,,3,56,72,-16,1499.0
