Time,Oklahoma City,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:42.0,L. Waters makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),20-33, ,,1,33,20,13,618.0
1:20.0, ,20-36,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by G. Mathews),,1,36,20,16,640.0
1:06.0,C. Wallace misses 3-pt jump shot from 24 ft,20-36, ,,1,36,20,16,654.0
1:02.0, ,20-36,Defensive rebound by T. Forrest,,1,36,20,16,658.0
1:00.0, ,20-36,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,36,20,16,660.0
0:57.0,Defensive rebound by S. Gilgeous-Alexander,20-36, ,,1,36,20,16,663.0
0:53.0,I. Joe makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),23-36, ,,1,36,23,13,667.0
0:47.0, ,23-36,Personal foul by L. Waters (drawn by T. Young),,1,36,23,13,673.0
0:47.0, ,23-36,T. Young misses free throw 1 of 2,,1,36,23,13,673.0
0:47.0, ,23-36,Offensive rebound by Team,,1,36,23,13,673.0
0:47.0,L. Dort enters the game for C. Wallace,23-36, ,,1,36,23,13,673.0
0:47.0, ,23-37,T. Young makes free throw 2 of 2,,1,37,23,14,673.0
0:28.0,I. Joe misses 3-pt jump shot from 26 ft,23-37, ,,1,37,23,14,692.0
0:26.0,Offensive rebound by L. Dort,23-37, ,,1,37,23,14,694.0
0:25.0,Shooting foul by B. Bogdanović (drawn by L. Dort),23-37, ,,1,37,23,14,695.0
0:25.0,L. Dort makes free throw 1 of 2,24-37, ,,1,37,24,13,695.0
0:25.0,A. Wiggins enters the game for I. Joe,24-37, ,,1,37,24,13,695.0
0:25.0, ,24-37,D. Murray enters the game for T. Forrest,,1,37,24,13,695.0
0:25.0,L. Dort makes free throw 2 of 2,25-37, ,,1,37,25,12,695.0
0:04.0, ,25-37,Personal foul by L. Dort (drawn by T. Young),,1,37,25,12,716.0
0:04.0, ,25-38,T. Young makes free throw 1 of 2,,1,38,25,13,716.0
0:04.0,I. Joe enters the game for L. Dort,25-38, ,,1,38,25,13,716.0
0:04.0,J. Williams enters the game for A. Wiggins,25-38, ,,1,38,25,13,716.0
0:04.0, ,25-38,T. Forrest enters the game for G. Mathews,,1,38,25,13,716.0
0:04.0, ,25-39,T. Young makes free throw 2 of 2,,1,39,25,14,716.0
0:00.0,End of 1st quarter,25-39,,,1,39,25,14,720.0
12:00.0,Start of 2nd quarter,25-39,,,2,39,25,14,720.0
11:43.0,Turnover by J. Williams (bad pass),25-39, ,,2,39,25,14,737.0
11:22.0, ,25-39,J. Johnson misses 2-pt jump shot from 11 ft,,2,39,25,14,758.0
11:19.0,Defensive rebound by L. Waters,25-39, ,,2,39,25,14,761.0
11:09.0,L. Waters makes 3-pt jump shot from 23 ft (assist by A. Wiggins),28-39, ,,2,39,28,11,771.0
10:53.0, ,28-42,G. Mathews makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,2,42,28,14,787.0
10:33.0,A. Wiggins makes 2-pt layup at rim,30-42, ,,2,42,30,12,807.0
10:17.0, ,30-42,Turnover by G. Mathews (bad pass; steal by C. Wallace),,2,42,30,12,823.0
10:12.0,Turnover by C. Holmgren (lost ball; steal by T. Young),30-42, ,,2,42,30,12,828.0
9:59.0, ,30-42,J. Johnson misses 3-pt jump shot from 27 ft,,2,42,30,12,841.0
9:55.0,Defensive rebound by C. Holmgren,30-42, ,,2,42,30,12,845.0
9:49.0,Turnover by C. Holmgren (bad pass; steal by O. Okongwu),30-42, ,,2,42,30,12,851.0
9:45.0, ,30-44,J. Johnson makes 2-pt layup from 2 ft (assist by T. Young),,2,44,30,14,855.0
9:33.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by C. Wallace),33-44, ,,2,44,33,11,867.0
9:12.0, ,33-47,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),,2,47,33,14,888.0
9:12.0,Oklahoma City full timeout,33-47, ,,2,47,33,14,888.0
9:12.0,J. Giddey enters the game for C. Holmgren,33-47, ,,2,47,33,14,888.0
9:00.0,C. Wallace misses 3-pt jump shot from 25 ft,33-47, ,,2,47,33,14,900.0
8:57.0, ,33-47,Defensive rebound by O. Okongwu,,2,47,33,14,903.0
8:37.0, ,33-47,T. Young misses 3-pt jump shot from 27 ft,,2,47,33,14,923.0
8:33.0,Defensive rebound by C. Wallace,33-47, ,,2,47,33,14,927.0
8:28.0,J. Giddey misses 2-pt jump shot from 6 ft,33-47, ,,2,47,33,14,932.0
8:25.0, ,33-47,Defensive rebound by O. Okongwu,,2,47,33,14,935.0
8:13.0, ,33-47,G. Mathews misses 3-pt jump shot from 24 ft,,2,47,33,14,947.0
8:10.0,Defensive rebound by L. Waters,33-47, ,,2,47,33,14,950.0
8:03.0,C. Wallace makes 3-pt jump shot from 24 ft (assist by J. Giddey),36-47, ,,2,47,36,11,957.0
7:49.0, ,36-47,Turnover by T. Young (bad pass; steal by J. Williams),,2,47,36,11,971.0
7:45.0,C. Wallace misses 3-pt jump shot from 23 ft,36-47, ,,2,47,36,11,975.0
7:41.0, ,36-47,Defensive rebound by B. Bogdanović,,2,47,36,11,979.0
7:34.0, ,36-47,Shooting foul by A. Wiggins (drawn by B. Bogdanović),,2,47,36,11,986.0
7:34.0, ,36-48,B. Bogdanović makes free throw 1 of 2,,2,48,36,12,986.0
7:34.0, ,36-48,S. Bey enters the game for G. Mathews,,2,48,36,12,986.0
7:34.0, ,36-48,D. Murray enters the game for T. Young,,2,48,36,12,986.0
7:34.0, ,36-49,B. Bogdanović makes free throw 2 of 2,,2,49,36,13,986.0
7:28.0,A. Wiggins makes 2-pt layup at rim (assist by J. Giddey),38-49, ,,2,49,38,11,992.0
7:17.0, ,38-49,J. Johnson misses 2-pt layup from 3 ft (block by A. Wiggins),,2,49,38,11,1003.0
7:14.0,Defensive rebound by J. Giddey,38-49, ,,2,49,38,11,1006.0
7:10.0,C. Wallace misses 3-pt jump shot from 23 ft,38-49, ,,2,49,38,11,1010.0
7:06.0, ,38-49,Defensive rebound by J. Johnson,,2,49,38,11,1014.0
7:03.0, ,38-49,Shooting foul by L. Waters (drawn by B. Bogdanović),,2,49,38,11,1017.0
7:03.0, ,38-50,B. Bogdanović makes free throw 1 of 2,,2,50,38,12,1017.0
7:03.0,I. Joe enters the game for L. Waters,38-50, ,,2,50,38,12,1017.0
7:03.0, ,38-51,B. Bogdanović makes free throw 2 of 2,,2,51,38,13,1017.0
6:46.0,Turnover by J. Giddey (lost ball; steal by J. Johnson),38-51, ,,2,51,38,13,1034.0
6:42.0, ,38-53,J. Johnson makes 2-pt dunk from 1 ft,,2,53,38,15,1038.0
6:28.0,I. Joe makes 2-pt dunk at rim,40-53, ,,2,53,40,13,1052.0
6:15.0, ,40-55,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),,2,55,40,15,1065.0
6:15.0,Oklahoma City full timeout,40-55, ,,2,55,40,15,1065.0
6:15.0,J. Williams enters the game for J. Giddey,40-55, ,,2,55,40,15,1065.0
5:57.0,I. Joe misses 3-pt jump shot from 25 ft,40-55, ,,2,55,40,15,1083.0
5:53.0, ,40-55,Defensive rebound by S. Bey,,2,55,40,15,1087.0
5:46.0, ,40-55,O. Okongwu misses 2-pt layup from 2 ft,,2,55,40,15,1094.0
5:45.0, ,40-55,Offensive rebound by O. Okongwu,,2,55,40,15,1095.0
5:45.0, ,40-57,O. Okongwu makes 2-pt layup from 2 ft,,2,57,40,17,1095.0
5:45.0, ,40-57,Shooting foul by J. Williams (drawn by O. Okongwu),,2,57,40,17,1095.0
5:45.0,L. Dort enters the game for C. Wallace,40-57, ,,2,57,40,17,1095.0
5:45.0, ,40-58,O. Okongwu makes free throw 1 of 1,,2,58,40,18,1095.0
5:32.0,Turnover by I. Joe (bad pass; steal by J. Johnson),40-58, ,,2,58,40,18,1108.0
5:28.0, ,40-60,S. Bey makes 2-pt dunk from 1 ft (assist by J. Johnson),,2,60,40,20,1112.0
5:19.0,J. Williams misses 2-pt dunk from 1 ft,40-60, ,,2,60,40,20,1121.0
5:16.0, ,40-60,Defensive rebound by S. Bey,,2,60,40,20,1124.0
5:08.0, ,40-60,J. Johnson misses 2-pt layup from 2 ft,,2,60,40,20,1132.0
5:05.0,Defensive rebound by L. Dort,40-60, ,,2,60,40,20,1135.0
5:02.0,A. Wiggins makes 2-pt layup from 1 ft (assist by L. Dort),42-60, ,,2,60,42,18,1138.0
4:47.0, ,42-63,S. Bey makes 3-pt jump shot from 26 ft (assist by J. Johnson),,2,63,42,21,1153.0
4:36.0,Personal foul by S. Bey (drawn by J. Williams),42-63, ,,2,63,42,21,1164.0
4:36.0,S. Gilgeous-Alexander enters the game for J. Williams,42-63, ,,2,63,42,21,1164.0
4:36.0, ,42-63,C. Capela enters the game for B. Bogdanović,,2,63,42,21,1164.0
4:36.0, ,42-63,T. Young enters the game for O. Okongwu,,2,63,42,21,1164.0
4:27.0,J. Williams misses 3-pt jump shot from 24 ft,42-63, ,,2,63,42,21,1173.0
4:25.0, ,42-63,Defensive rebound by C. Capela,,2,63,42,21,1175.0
4:17.0, ,42-63,D. Murray misses 3-pt jump shot from 26 ft,,2,63,42,21,1183.0
4:15.0,Defensive rebound by A. Wiggins,42-63, ,,2,63,42,21,1185.0
4:04.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,44-63, ,,2,63,44,19,1196.0
3:51.0, ,44-63,J. Johnson misses 3-pt jump shot from 23 ft,,2,63,44,19,1209.0
3:48.0,Defensive rebound by S. Gilgeous-Alexander,44-63, ,,2,63,44,19,1212.0
3:44.0,I. Joe makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),46-63, ,,2,63,46,17,1216.0
3:22.0, ,46-63,D. Murray misses 2-pt jump shot from 18 ft,,2,63,46,17,1238.0
3:19.0,Defensive rebound by S. Gilgeous-Alexander,46-63, ,,2,63,46,17,1241.0
3:15.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by S. Bey),46-63, ,,2,63,46,17,1245.0
3:12.0, ,46-63,Defensive rebound by C. Capela,,2,63,46,17,1248.0
3:04.0, ,46-63,Turnover by T. Young (bad pass; steal by A. Wiggins),,2,63,46,17,1256.0
2:59.0,Offensive foul by I. Joe (drawn by T. Young),46-63, ,,2,63,46,17,1261.0
2:59.0,Turnover by I. Joe (offensive foul),46-63, ,,2,63,46,17,1261.0
2:43.0, ,46-65,T. Young makes 2-pt jump shot from 10 ft,,2,65,46,19,1277.0
2:27.0,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,46-65, ,,2,65,46,19,1293.0
2:23.0,Offensive rebound by A. Wiggins,46-65, ,,2,65,46,19,1297.0
2:23.0,A. Wiggins makes 2-pt layup at rim,48-65, ,,2,65,48,17,1297.0
2:12.0, ,48-65,Shooting foul by J. Williams (drawn by J. Johnson),,2,65,48,17,1308.0
2:12.0, ,48-66,J. Johnson makes free throw 1 of 2,,2,66,48,18,1308.0
2:12.0,C. Holmgren enters the game for I. Joe,48-66, ,,2,66,48,18,1308.0
2:12.0,L. Waters enters the game for J. Williams,48-66, ,,2,66,48,18,1308.0
2:12.0, ,48-67,J. Johnson makes free throw 2 of 2,,2,67,48,19,1308.0
2:02.0,Personal foul by C. Capela (drawn by C. Holmgren),48-67, ,,2,67,48,19,1318.0
1:55.0,C. Holmgren makes 3-pt jump shot from 25 ft (assist by A. Wiggins),51-67, ,,2,67,51,16,1325.0
1:44.0, ,51-67,Shooting foul by C. Holmgren (drawn by J. Johnson),,2,67,51,16,1336.0
1:44.0, ,51-68,J. Johnson makes free throw 1 of 2,,2,68,51,17,1336.0
1:44.0,J. Williams enters the game for A. Wiggins,51-68, ,,2,68,51,17,1336.0
1:44.0, ,51-69,J. Johnson makes free throw 2 of 2,,2,69,51,18,1336.0
1:33.0,L. Waters misses 3-pt jump shot from 23 ft,51-69, ,,2,69,51,18,1347.0
1:30.0, ,51-69,Defensive rebound by T. Young,,2,69,51,18,1350.0
1:29.0, ,51-69,Shooting foul by J. Williams (drawn by T. Young),,2,69,51,18,1351.0
1:29.0, ,51-70,T. Young makes free throw 1 of 2,,2,70,51,19,1351.0
1:29.0, ,51-71,T. Young makes free throw 2 of 2,,2,71,51,20,1351.0
1:22.0,C. Holmgren makes 3-pt jump shot from 25 ft (assist by J. Williams),54-71, ,,2,71,54,17,1358.0
1:06.0, ,54-74,T. Young makes 3-pt jump shot from 26 ft,,2,74,54,20,1374.0
1:00.0,L. Dort makes 3-pt jump shot from 25 ft (assist by J. Williams),57-74, ,,2,74,57,17,1380.0
0:40.0, ,57-74,T. Young misses 3-pt jump shot from 29 ft,,2,74,57,17,1400.0
0:37.0,Defensive rebound by J. Williams,57-74, ,,2,74,57,17,1403.0
0:34.0,L. Waters misses 3-pt jump shot from 25 ft,57-74, ,,2,74,57,17,1406.0
0:32.0, ,57-74,Defensive rebound by Team,,2,74,57,17,1408.0
0:26.0, ,57-76,J. Johnson makes 2-pt dunk from 2 ft (assist by T. Young),,2,76,57,19,1414.0
0:08.0,Personal foul by J. Johnson (drawn by S. Gilgeous-Alexander),57-76, ,,2,76,57,19,1432.0
0:08.0,I. Joe enters the game for L. Dort,57-76, ,,2,76,57,19,1432.0
0:08.0, ,57-76,T. Forrest enters the game for J. Johnson,,2,76,57,19,1432.0
0:04.0,C. Holmgren makes 2-pt layup from 2 ft,59-76, ,,2,76,59,17,1436.0
0:00.0, ,59-76,S. Bey misses 3-pt jump shot from 34 ft,,2,76,59,17,1440.0
0:00.0, ,59-76,Offensive rebound by Team,,2,76,59,17,1440.0
0:00.0,End of 2nd quarter,59-76,,,2,76,59,17,1440.0
12:00.0,Start of 3rd quarter,59-76,,,3,76,59,17,1440.0
11:53.0,L. Dort makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),61-76, ,,3,76,61,15,1447.0
11:36.0, ,61-76,T. Young misses 3-pt jump shot from 25 ft,,3,76,61,15,1464.0
11:34.0,Defensive rebound by S. Gilgeous-Alexander,61-76, ,,3,76,61,15,1466.0
11:30.0,J. Giddey makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),64-76, ,,3,76,64,12,1470.0
11:14.0, ,64-78,D. Murray makes 2-pt jump shot from 17 ft (assist by J. Johnson),,3,78,64,14,1486.0
