Time,Washington,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:59.0,B. Coulibaly enters the game for D. Avdija,69-56, ,,3,56,69,-13,1741.0
6:51.0,T. Jones makes 2-pt jump shot from 11 ft,71-56, ,,3,56,71,-15,1749.0
6:27.0, ,71-56,Offensive foul by J. Johnson (drawn by K. Kuzma),,3,56,71,-15,1773.0
6:27.0, ,71-56,Turnover by J. Johnson (offensive foul),,3,56,71,-15,1773.0
6:13.0,T. Jones makes 2-pt jump shot from 9 ft (assist by J. Poole),73-56, ,,3,56,73,-17,1787.0
6:01.0, ,73-58,S. Bey makes 2-pt dunk from 2 ft (assist by T. Young),,3,58,73,-15,1799.0
5:49.0,J. Poole makes 2-pt jump shot from 14 ft,75-58, ,,3,58,75,-17,1811.0
5:36.0, ,75-60,T. Young makes 2-pt jump shot from 10 ft,,3,60,75,-15,1824.0
5:36.0, ,75-60,B. Bogdanović enters the game for C. Capela,,3,60,75,-15,1824.0
5:36.0, ,75-60,T. Forrest enters the game for J. Johnson,,3,60,75,-15,1824.0
5:36.0, ,75-60,O. Okongwu enters the game for T. Young,,3,60,75,-15,1824.0
5:17.0,K. Kuzma misses 2-pt jump shot from 13 ft,75-60, ,,3,60,75,-15,1843.0
5:14.0, ,75-60,Defensive rebound by T. Forrest,,3,60,75,-15,1846.0
5:06.0, ,75-60,T. Forrest misses 2-pt jump shot from 12 ft,,3,60,75,-15,1854.0
5:04.0,Defensive rebound by B. Coulibaly,75-60, ,,3,60,75,-15,1856.0
4:56.0,J. Poole misses 3-pt jump shot from 26 ft,75-60, ,,3,60,75,-15,1864.0
4:54.0,Offensive rebound by Team,75-60, ,,3,60,75,-15,1866.0
4:45.0,J. Poole makes 3-pt jump shot from 25 ft (assist by T. Jones),78-60, ,,3,60,78,-18,1875.0
4:23.0, ,78-62,D. Murray makes 2-pt layup from 2 ft,,3,62,78,-16,1897.0
4:23.0,Washington full timeout,78-62, ,,3,62,78,-16,1897.0
4:23.0, ,78-62,T. Young enters the game for T. Forrest,,3,62,78,-16,1897.0
4:07.0,T. Jones misses 2-pt jump shot from 14 ft,78-62, ,,3,62,78,-16,1913.0
4:06.0,Offensive rebound by Team,78-62, ,,3,62,78,-16,1914.0
4:06.0, ,78-62,Loose ball foul by B. Bogdanović (drawn by D. Gafford),,3,62,78,-16,1914.0
4:06.0, ,78-62,J. Johnson enters the game for S. Bey,,3,62,78,-16,1914.0
4:00.0,T. Jones makes 2-pt jump shot from 7 ft,80-62, ,,3,62,80,-18,1920.0
3:48.0, ,80-62,Turnover by O. Okongwu (lost ball; steal by D. Gafford),,3,62,80,-18,1932.0
3:45.0,Shooting foul by O. Okongwu (drawn by K. Kuzma),80-62, ,,3,62,80,-18,1935.0
3:45.0,K. Kuzma makes free throw 1 of 2,81-62, ,,3,62,81,-19,1935.0
3:45.0,D. Wright enters the game for T. Jones,81-62, ,,3,62,81,-19,1935.0
3:45.0,K. Kuzma makes free throw 2 of 2,82-62, ,,3,62,82,-20,1935.0
3:34.0, ,82-64,T. Young makes 2-pt layup from 6 ft (assist by J. Johnson),,3,64,82,-18,1946.0
3:21.0,J. Poole makes 2-pt jump shot from 11 ft,84-64, ,,3,64,84,-20,1959.0
3:05.0, ,84-64,T. Young misses 2-pt jump shot from 17 ft,,3,64,84,-20,1975.0
3:02.0,Defensive rebound by B. Coulibaly,84-64, ,,3,64,84,-20,1978.0
2:55.0,K. Kuzma makes 2-pt hook shot from 5 ft (assist by B. Coulibaly),86-64, ,,3,64,86,-22,1985.0
2:43.0, ,86-64,Turnover by D. Murray (bad pass; steal by D. Wright),,3,64,86,-22,1997.0
2:39.0,K. Kuzma makes 2-pt layup from 1 ft (assist by D. Wright),88-64, ,,3,64,88,-24,2001.0
2:39.0,Shooting foul by B. Bogdanović (drawn by K. Kuzma),88-64, ,,3,64,88,-24,2001.0
2:39.0, ,88-64,Atlanta full timeout,,3,64,88,-24,2001.0
2:39.0,P. Baldwin enters the game for D. Gafford,88-64, ,,3,64,88,-24,2001.0
2:39.0,C. Kispert enters the game for J. Poole,88-64, ,,3,64,88,-24,2001.0
2:39.0, ,88-64,G. Mathews enters the game for D. Murray,,3,64,88,-24,2001.0
2:39.0,K. Kuzma makes free throw 1 of 1,89-64, ,,3,64,89,-25,2001.0
2:27.0, ,89-66,O. Okongwu makes 2-pt layup from 2 ft (assist by B. Bogdanović),,3,66,89,-23,2013.0
2:27.0, ,89-66,Shooting foul by P. Baldwin (drawn by O. Okongwu),,3,66,89,-23,2013.0
2:27.0,D. Avdija enters the game for K. Kuzma,89-66, ,,3,66,89,-23,2013.0
2:27.0, ,89-66,O. Okongwu misses free throw 1 of 1,,3,66,89,-23,2013.0
2:24.0,Defensive rebound by D. Avdija,89-66, ,,3,66,89,-23,2016.0
2:12.0,D. Wright misses 2-pt layup at rim,89-66, ,,3,66,89,-23,2028.0
2:09.0, ,89-66,Defensive rebound by J. Johnson,,3,66,89,-23,2031.0
2:02.0, ,89-69,G. Mathews makes 3-pt jump shot from 23 ft (assist by J. Johnson),,3,69,89,-20,2038.0
1:42.0,C. Kispert makes 3-pt jump shot from 22 ft (assist by D. Avdija),92-69, ,,3,69,92,-23,2058.0
1:22.0, ,92-69,T. Young misses 3-pt jump shot from 26 ft,,3,69,92,-23,2078.0
1:19.0,Defensive rebound by C. Kispert,92-69, ,,3,69,92,-23,2081.0
1:13.0,D. Wright makes 3-pt jump shot from 25 ft,95-69, ,,3,69,95,-26,2087.0
0:54.0, ,95-69,B. Bogdanović misses 2-pt layup from 2 ft,,3,69,95,-26,2106.0
0:51.0,Defensive rebound by C. Kispert,95-69, ,,3,69,95,-26,2109.0
0:47.0,D. Avdija makes 2-pt layup from 1 ft (assist by B. Coulibaly),97-69, ,,3,69,97,-28,2113.0
0:32.0, ,97-71,T. Young makes 2-pt jump shot from 19 ft,,3,71,97,-26,2128.0
0:15.0,D. Wright misses 2-pt layup from 2 ft (block by O. Okongwu),97-71, ,,3,71,97,-26,2145.0
0:15.0,Offensive rebound by D. Wright,97-71, ,,3,71,97,-26,2145.0
0:12.0,Shooting foul by G. Mathews (drawn by D. Avdija),97-71, ,,3,71,97,-26,2148.0
0:12.0,D. Avdija makes free throw 1 of 2,98-71, ,,3,71,98,-27,2148.0
0:12.0,D. Avdija makes free throw 2 of 2,99-71, ,,3,71,99,-28,2148.0
0:01.0, ,99-71,G. Mathews misses 3-pt jump shot from 27 ft,,3,71,99,-28,2159.0
0:01.0, ,99-71,Offensive rebound by Team,,3,71,99,-28,2159.0
0:00.0,End of 3rd quarter,99-71,,,3,71,99,-28,2160.0
12:00.0,Start of 4th quarter,99-71,,,4,71,99,-28,2160.0
11:47.0,C. Kispert misses 2-pt layup from 3 ft (block by O. Okongwu),99-71, ,,4,71,99,-28,2173.0
11:46.0,Offensive rebound by Team,99-71, ,,4,71,99,-28,2174.0
11:40.0,C. Kispert misses 3-pt jump shot from 26 ft,99-71, ,,4,71,99,-28,2180.0
11:36.0, ,99-71,Defensive rebound by G. Mathews,,4,71,99,-28,2184.0
11:15.0, ,99-71,T. Young misses 3-pt jump shot from 23 ft,,4,71,99,-28,2205.0
11:14.0, ,99-71,Offensive rebound by Team,,4,71,99,-28,2206.0
11:14.0, ,99-71,Turnover by Team (shot clock),,4,71,99,-28,2206.0
10:56.0,Turnover by P. Baldwin (bad pass; steal by B. Bogdanović),99-71, ,,4,71,99,-28,2224.0
10:53.0, ,99-74,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by T. Young),,4,74,99,-25,2227.0
10:34.0,P. Baldwin misses 2-pt hook shot from 3 ft,99-74, ,,4,74,99,-25,2246.0
10:31.0, ,99-74,Defensive rebound by O. Okongwu,,4,74,99,-25,2249.0
10:20.0, ,99-74,Shooting foul by P. Baldwin (drawn by G. Mathews),,4,74,99,-25,2260.0
10:20.0, ,99-74,G. Mathews misses free throw 1 of 2,,4,74,99,-25,2260.0
10:20.0, ,99-74,Offensive rebound by Team,,4,74,99,-25,2260.0
10:20.0, ,99-74,G. Mathews misses free throw 2 of 2,,4,74,99,-25,2260.0
10:18.0,Defensive rebound by D. Avdija,99-74, ,,4,74,99,-25,2262.0
10:02.0,B. Coulibaly misses 2-pt jump shot from 6 ft,99-74, ,,4,74,99,-25,2278.0
9:59.0, ,99-74,Defensive rebound by O. Okongwu,,4,74,99,-25,2281.0
9:51.0, ,99-74,G. Mathews misses 3-pt jump shot from 26 ft,,4,74,99,-25,2289.0
9:48.0,Defensive rebound by P. Baldwin,99-74, ,,4,74,99,-25,2292.0
9:44.0,Personal foul by J. Johnson (drawn by D. Avdija),99-74, ,,4,74,99,-25,2296.0
9:44.0, ,99-74,Violation by Team (delay of game),,4,74,99,-25,2296.0
9:44.0, ,99-74,D. Murray enters the game for G. Mathews,,4,74,99,-25,2296.0
9:37.0,Shooting foul by O. Okongwu (drawn by B. Coulibaly),99-74, ,,4,74,99,-25,2303.0
9:37.0,B. Coulibaly makes free throw 1 of 2,100-74, ,,4,74,100,-26,2303.0
9:37.0,B. Coulibaly makes free throw 2 of 2,101-74, ,,4,74,101,-27,2303.0
9:25.0, ,101-76,O. Okongwu makes 2-pt hook shot from 5 ft (assist by T. Young),,4,76,101,-25,2315.0
9:11.0,B. Coulibaly misses 2-pt jump shot from 10 ft,101-76, ,,4,76,101,-25,2329.0
9:09.0,Offensive rebound by P. Baldwin,101-76, ,,4,76,101,-25,2331.0
9:07.0,Turnover by P. Baldwin (lost ball; steal by T. Young),101-76, ,,4,76,101,-25,2333.0
8:58.0, ,101-76,Personal foul by C. Kispert (drawn by T. Young),,4,76,101,-25,2342.0
8:57.0, ,101-76,Personal foul by C. Kispert (drawn by B. Bogdanović),,4,76,101,-25,2343.0
8:51.0, ,101-78,B. Bogdanović makes 2-pt jump shot from 4 ft (assist by O. Okongwu),,4,78,101,-23,2349.0
8:51.0, ,101-78,Shooting foul by D. Avdija (drawn by B. Bogdanović),,4,78,101,-23,2349.0
8:51.0, ,101-79,B. Bogdanović makes free throw 1 of 1,,4,79,101,-22,2349.0
8:37.0,C. Kispert makes 2-pt dunk from 1 ft (assist by D. Wright),103-79, ,,4,79,103,-24,2363.0
8:25.0, ,103-79,Shooting foul by D. Wright (drawn by T. Young),,4,79,103,-24,2375.0
8:25.0, ,103-80,T. Young makes free throw 1 of 2,,4,80,103,-23,2375.0
8:25.0, ,103-80,T. Young misses free throw 2 of 2,,4,80,103,-23,2375.0
8:21.0,Defensive rebound by P. Baldwin,103-80, ,,4,80,103,-23,2379.0
8:06.0,B. Coulibaly misses 2-pt layup from 1 ft (block by T. Young),103-80, ,,4,80,103,-23,2394.0
8:06.0,Offensive rebound by P. Baldwin,103-80, ,,4,80,103,-23,2394.0
8:06.0,Shooting foul by T. Young (drawn by P. Baldwin),103-80, ,,4,80,103,-23,2394.0
8:06.0,P. Baldwin makes free throw 1 of 2,104-80, ,,4,80,104,-24,2394.0
8:06.0,P. Baldwin makes free throw 2 of 2,105-80, ,,4,80,105,-25,2394.0
7:58.0, ,105-80,Turnover by J. Johnson (bad pass; steal by B. Coulibaly),,4,80,105,-25,2402.0
7:55.0,Shooting foul by T. Young (drawn by D. Avdija),105-80, ,,4,80,105,-25,2405.0
7:55.0,D. Avdija misses free throw 1 of 2,105-80, ,,4,80,105,-25,2405.0
7:55.0,Offensive rebound by Team,105-80, ,,4,80,105,-25,2405.0
7:55.0,D. Avdija makes free throw 2 of 2,106-80, ,,4,80,106,-26,2405.0
7:46.0, ,106-80,J. Johnson misses 2-pt layup from 1 ft,,4,80,106,-26,2414.0
7:44.0,Defensive rebound by D. Avdija,106-80, ,,4,80,106,-26,2416.0
7:41.0,B. Coulibaly makes 2-pt layup from 1 ft (assist by D. Avdija),108-80, ,,4,80,108,-28,2419.0
7:24.0, ,108-80,Personal foul by D. Avdija (drawn by D. Murray),,4,80,108,-28,2436.0
7:24.0, ,108-81,D. Murray makes free throw 1 of 2,,4,81,108,-27,2436.0
7:24.0,D. Gafford enters the game for P. Baldwin,108-81, ,,4,81,108,-27,2436.0
7:24.0, ,108-81,C. Capela enters the game for O. Okongwu,,4,81,108,-27,2436.0
7:24.0, ,108-82,D. Murray makes free throw 2 of 2,,4,82,108,-26,2436.0
7:03.0,D. Avdija misses 2-pt layup from 1 ft (block by J. Johnson),108-82, ,,4,82,108,-26,2457.0
7:00.0, ,108-82,Defensive rebound by C. Capela,,4,82,108,-26,2460.0
6:56.0, ,108-85,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),,4,85,108,-23,2464.0
6:54.0,Washington full timeout,108-85, ,,4,85,108,-23,2466.0
6:54.0, ,108-85,S. Bey enters the game for B. Bogdanović,,4,85,108,-23,2466.0
6:34.0,D. Wright makes 3-pt jump shot from 25 ft (assist by B. Coulibaly),111-85, ,,4,85,111,-26,2486.0
6:17.0, ,111-85,Turnover by D. Murray (lost ball; steal by B. Coulibaly),,4,85,111,-26,2503.0
6:12.0,B. Coulibaly makes 2-pt dunk from 1 ft (assist by D. Avdija),113-85, ,,4,85,113,-28,2508.0
6:00.0, ,113-85,Shooting foul by B. Coulibaly (drawn by T. Young),,4,85,113,-28,2520.0
6:00.0, ,113-86,T. Young makes free throw 1 of 3,,4,86,113,-27,2520.0
6:00.0, ,113-87,T. Young makes free throw 2 of 3,,4,87,113,-26,2520.0
6:00.0, ,113-88,T. Young makes free throw 3 of 3,,4,88,113,-25,2520.0
5:44.0,D. Avdija makes 2-pt layup from 2 ft,115-88, ,,4,88,115,-27,2536.0
5:32.0, ,115-88,T. Young misses 2-pt jump shot from 12 ft,,4,88,115,-27,2548.0
5:29.0, ,115-88,Offensive rebound by S. Bey,,4,88,115,-27,2551.0
5:27.0, ,115-88,Personal foul by C. Kispert (drawn by S. Bey),,4,88,115,-27,2553.0
5:27.0, ,115-89,S. Bey makes free throw 1 of 2,,4,89,115,-26,2553.0
5:27.0, ,115-90,S. Bey makes free throw 2 of 2,,4,90,115,-25,2553.0
5:08.0,D. Avdija makes 2-pt layup from 2 ft,117-90, ,,4,90,117,-27,2572.0
5:08.0,Shooting foul by D. Murray (drawn by D. Avdija),117-90, ,,4,90,117,-27,2572.0
5:08.0,D. Avdija makes free throw 1 of 1,118-90, ,,4,90,118,-28,2572.0
4:56.0, ,118-90,T. Young misses 3-pt jump shot from 26 ft,,4,90,118,-28,2584.0
4:53.0,Defensive rebound by B. Coulibaly,118-90, ,,4,90,118,-28,2587.0
4:47.0,Shooting foul by C. Capela (drawn by B. Coulibaly),118-90, ,,4,90,118,-28,2593.0
4:47.0,B. Coulibaly misses free throw 1 of 2,118-90, ,,4,90,118,-28,2593.0
4:47.0,Offensive rebound by Team,118-90, ,,4,90,118,-28,2593.0
4:47.0, ,118-90,Atlanta full timeout,,4,90,118,-28,2593.0
4:47.0,P. Baldwin enters the game for D. Gafford,118-90, ,,4,90,118,-28,2593.0
4:47.0, ,118-90,B. Fernando enters the game for S. Bey,,4,90,118,-28,2593.0
4:47.0, ,118-90,T. Forrest enters the game for C. Capela,,4,90,118,-28,2593.0
4:47.0, ,118-90,A. Griffin enters the game for J. Johnson,,4,90,118,-28,2593.0
4:47.0, ,118-90,S. Lundy enters the game for D. Murray,,4,90,118,-28,2593.0
4:47.0, ,118-90,G. Mathews enters the game for T. Young,,4,90,118,-28,2593.0
4:47.0,B. Coulibaly makes free throw 2 of 2,119-90, ,,4,90,119,-29,2593.0
4:36.0, ,119-90,Personal foul by P. Baldwin (drawn by B. Fernando),,4,90,119,-29,2604.0
4:36.0, ,119-91,B. Fernando makes free throw 1 of 2,,4,91,119,-28,2604.0
4:36.0,J. Bernard enters the game for C. Kispert,119-91, ,,4,91,119,-28,2604.0
4:36.0, ,119-92,B. Fernando makes free throw 2 of 2,,4,92,119,-27,2604.0
4:22.0,D. Wright makes 2-pt jump shot from 11 ft (assist by D. Avdija),121-92, ,,4,92,121,-29,2618.0
4:09.0, ,121-92,A. Griffin misses 3-pt jump shot from 26 ft,,4,92,121,-29,2631.0
4:06.0,Defensive rebound by P. Baldwin,121-92, ,,4,92,121,-29,2634.0
3:57.0,P. Baldwin misses 3-pt jump shot from 25 ft,121-92, ,,4,92,121,-29,2643.0
3:53.0, ,121-92,Defensive rebound by B. Fernando,,4,92,121,-29,2647.0
3:40.0, ,121-92,Personal foul by J. Bernard (drawn by T. Forrest),,4,92,121,-29,2660.0
3:40.0, ,121-93,T. Forrest makes free throw 1 of 2,,4,93,121,-28,2660.0
3:40.0,H. Diallo enters the game for B. Coulibaly,121-93, ,,4,93,121,-28,2660.0
3:40.0, ,121-94,T. Forrest makes free throw 2 of 2,,4,94,121,-27,2660.0
3:26.0,D. Wright misses 2-pt jump shot from 13 ft,121-94, ,,4,94,121,-27,2674.0
3:22.0, ,121-94,Defensive rebound by B. Fernando,,4,94,121,-27,2678.0
3:10.0, ,121-96,G. Mathews makes 2-pt jump shot from 21 ft (assist by T. Forrest),,4,96,121,-25,2690.0
2:55.0,P. Baldwin misses 3-pt jump shot from 26 ft,121-96, ,,4,96,121,-25,2705.0
2:52.0, ,121-96,Defensive rebound by S. Lundy,,4,96,121,-25,2708.0
2:44.0, ,121-96,S. Lundy misses 2-pt layup from 3 ft,,4,96,121,-25,2716.0
2:41.0,Defensive rebound by D. Avdija,121-96, ,,4,96,121,-25,2719.0
2:37.0,Turnover by H. Diallo (bad pass; steal by T. Forrest),121-96, ,,4,96,121,-25,2723.0
2:33.0, ,121-96,Turnover by T. Forrest (lost ball; steal by H. Diallo),,4,96,121,-25,2727.0
2:28.0,J. Bernard misses 3-pt jump shot from 23 ft,121-96, ,,4,96,121,-25,2732.0
2:23.0,Offensive rebound by H. Diallo,121-96, ,,4,96,121,-25,2737.0
2:23.0,H. Diallo misses 2-pt layup at rim,121-96, ,,4,96,121,-25,2737.0
2:22.0,Offensive rebound by D. Avdija,121-96, ,,4,96,121,-25,2738.0
2:22.0,D. Avdija misses 2-pt layup at rim,121-96, ,,4,96,121,-25,2738.0
2:22.0,Offensive rebound by P. Baldwin,121-96, ,,4,96,121,-25,2738.0
2:20.0,P. Baldwin makes 2-pt layup at rim,123-96, ,,4,96,123,-27,2740.0
2:15.0, ,123-96,Personal take foul by J. Bernard (drawn by T. Forrest),,4,96,123,-27,2745.0
2:15.0, ,123-96,T. Forrest misses free throw 1 of 2,,4,96,123,-27,2745.0
2:15.0, ,123-96,Offensive rebound by Team,,4,96,123,-27,2745.0
2:15.0,B. Coulibaly enters the game for D. Avdija,123-96, ,,4,96,123,-27,2745.0
2:15.0, ,123-96,T. Forrest misses free throw 2 of 2,,4,96,123,-27,2745.0
2:13.0,Defensive rebound by P. Baldwin,123-96, ,,4,96,123,-27,2747.0
2:04.0,J. Bernard misses 3-pt jump shot from 26 ft,123-96, ,,4,96,123,-27,2756.0
2:02.0, ,123-96,Defensive rebound by T. Forrest,,4,96,123,-27,2758.0
1:48.0, ,123-96,Turnover by B. Fernando (lost ball; steal by H. Diallo),,4,96,123,-27,2772.0
1:43.0,P. Baldwin makes 2-pt layup from 1 ft (assist by H. Diallo),125-96, ,,4,96,125,-29,2777.0
1:43.0,Shooting foul by S. Lundy (drawn by P. Baldwin),125-96, ,,4,96,125,-29,2777.0
1:43.0,P. Baldwin misses free throw 1 of 1,125-96, ,,4,96,125,-29,2777.0
1:41.0, ,125-96,Defensive rebound by S. Lundy,,4,96,125,-29,2779.0
1:26.0, ,125-96,G. Mathews misses 3-pt jump shot from 25 ft,,4,96,125,-29,2794.0
1:22.0,Defensive rebound by P. Baldwin,125-96, ,,4,96,125,-29,2798.0
1:03.0,B. Coulibaly misses 3-pt jump shot from 23 ft,125-96, ,,4,96,125,-29,2817.0
1:00.0, ,125-96,Defensive rebound by A. Griffin,,4,96,125,-29,2820.0
0:54.0, ,125-96,Shooting foul by H. Diallo (drawn by S. Lundy),,4,96,125,-29,2826.0
0:54.0, ,125-97,S. Lundy makes free throw 1 of 2,,4,97,125,-28,2826.0
0:54.0, ,125-97,S. Lundy misses free throw 2 of 2,,4,97,125,-28,2826.0
0:52.0,Defensive rebound by B. Coulibaly,125-97, ,,4,97,125,-28,2828.0
0:36.0,J. Bernard misses 3-pt jump shot from 23 ft,125-97, ,,4,97,125,-28,2844.0
0:33.0,Offensive rebound by H. Diallo,125-97, ,,4,97,125,-28,2847.0
0:33.0,H. Diallo makes 2-pt layup at rim,127-97, ,,4,97,127,-30,2847.0
0:18.0, ,127-99,B. Fernando makes 2-pt layup from 2 ft (assist by G. Mathews),,4,99,127,-28,2862.0
0:00.0,End of 4th quarter,127-99,,,4,99,127,-28,2880.0
