Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:47.0,Defensive rebound by M. Bamba,24-24, ,,1,24,24,0,493.0
3:34.0,Turnover by T. Maxey (lost ball; steal by B. Bogdanović),24-24, ,,1,24,24,0,506.0
3:30.0, ,24-26,B. Bogdanović makes 2-pt dunk from 1 ft,Lead change,1,26,24,2,510.0
3:27.0,Philadelphia full timeout,24-26, ,,1,26,24,2,513.0
3:14.0,Turnover by T. Maxey (bad pass; steal by B. Bogdanović),24-26, ,,1,26,24,2,526.0
3:11.0, ,24-26,Shooting foul by T. Maxey (drawn by B. Fernando),,1,26,24,2,529.0
3:11.0, ,24-26,B. Fernando misses free throw 1 of 2,,1,26,24,2,529.0
3:11.0, ,24-26,Offensive rebound by Team,,1,26,24,2,529.0
3:11.0,K. Martin enters the game for M. Bamba,24-26, ,,1,26,24,2,529.0
3:11.0,J. Springer enters the game for T. Maxey,24-26, ,,1,26,24,2,529.0
3:11.0, ,24-26,B. Fernando misses free throw 2 of 2,,1,26,24,2,529.0
3:08.0,Defensive rebound by M. Morris,24-26, ,,1,26,24,2,532.0
2:54.0,K. Oubre misses 3-pt jump shot from 24 ft,24-26, ,,1,26,24,2,546.0
2:52.0,Offensive rebound by P. Beverley,24-26, ,,1,26,24,2,548.0
2:42.0,P. Beverley makes 2-pt jump shot from 6 ft,26-26, ,Tie,1,26,26,0,558.0
2:23.0, ,26-28,T. Young makes 2-pt jump shot from 14 ft (assist by J. Johnson),,1,28,26,2,577.0
2:09.0,M. Morris misses 3-pt jump shot from 25 ft,26-28, ,,1,28,26,2,591.0
2:05.0, ,26-28,Defensive rebound by J. Johnson,,1,28,26,2,595.0
2:00.0, ,26-30,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Johnson),,1,30,26,4,600.0
1:44.0,Shooting foul by P. Mills (drawn by K. Oubre),26-30, ,,1,30,26,4,616.0
1:44.0,K. Oubre misses free throw 1 of 2,26-30, ,,1,30,26,4,616.0
1:44.0,Offensive rebound by Team,26-30, ,,1,30,26,4,616.0
1:44.0,K. Oubre makes free throw 2 of 2,27-30, ,,1,30,27,3,616.0
1:26.0, ,27-30,B. Bogdanović misses 2-pt layup from 2 ft,,1,30,27,3,634.0
1:23.0, ,27-30,Offensive rebound by B. Fernando,,1,30,27,3,637.0
1:22.0, ,27-30,Turnover by B. Fernando (lost ball; steal by J. Springer),,1,30,27,3,638.0
1:18.0,Turnover by K. Martin (bad pass),27-30, ,,1,30,27,3,642.0
1:08.0, ,27-30,Personal foul by K. Martin (drawn by T. Young),,1,30,27,3,652.0
1:08.0, ,27-31,T. Young makes free throw 1 of 2,,1,31,27,4,652.0
1:08.0, ,27-32,T. Young makes free throw 2 of 2,,1,32,27,5,652.0
0:50.0,Personal foul by P. Mills (drawn by M. Morris),27-32, ,,1,32,27,5,670.0
0:50.0,M. Morris makes free throw 1 of 2,28-32, ,,1,32,28,4,670.0
0:50.0,M. Morris makes free throw 2 of 2,29-32, ,,1,32,29,3,670.0
0:40.0, ,29-32,T. Young misses 2-pt jump shot from 13 ft,,1,32,29,3,680.0
0:37.0, ,29-32,Offensive rebound by B. Fernando,,1,32,29,3,683.0
0:37.0, ,29-34,B. Fernando makes 2-pt layup at rim,,1,34,29,5,683.0
0:27.0,Shooting foul by B. Fernando (drawn by P. Beverley),29-34, ,,1,34,29,5,693.0
0:27.0,P. Beverley makes free throw 1 of 2,30-34, ,,1,34,30,4,693.0
0:27.0,P. Beverley makes free throw 2 of 2,31-34, ,,1,34,31,3,693.0
0:05.0, ,31-34,B. Fernando misses 2-pt layup from 2 ft,,1,34,31,3,715.0
0:03.0, ,31-34,Offensive rebound by J. Johnson,,1,34,31,3,717.0
0:03.0, ,31-34,Turnover by Team (shot clock),,1,34,31,3,717.0
0:03.0,T. Harris enters the game for P. Beverley,31-34, ,,1,34,31,3,717.0
0:03.0,T. Maxey enters the game for K. Martin,31-34, ,,1,34,31,3,717.0
0:03.0,D. Melton enters the game for J. Springer,31-34, ,,1,34,31,3,717.0
0:00.0,T. Maxey misses 3-pt jump shot from 23 ft,31-34, ,,1,34,31,3,720.0
0:00.0,Offensive rebound by Team,31-34, ,,1,34,31,3,720.0
0:00.0,End of 1st quarter,31-34,,,1,34,31,3,720.0
12:00.0,Start of 2nd quarter,31-34,,,2,34,31,3,720.0
