Time,Atlanta,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:30.0, ,35-27,Shooting foul by K. Bufkin (drawn by D. Jones),,2,35,27,8,810.0
10:30.0, ,35-28,D. Jones makes free throw 1 of 2,,2,35,28,7,810.0
10:30.0, ,35-28,D. Jones misses free throw 2 of 2,,2,35,28,7,810.0
10:26.0,Defensive rebound by B. Fernando,35-28, ,,2,35,28,7,814.0
10:15.0,D. Hunter misses 3-pt jump shot from 25 ft,35-28, ,,2,35,28,7,825.0
10:13.0, ,35-28,Defensive rebound by D. Gafford,,2,35,28,7,827.0
10:06.0, ,35-31,L. Dončić makes 3-pt jump shot from 25 ft,,2,35,31,4,834.0
9:47.0,J. Johnson misses 3-pt jump shot from 25 ft,35-31, ,,2,35,31,4,853.0
9:44.0, ,35-31,Defensive rebound by J. Hardy,,2,35,31,4,856.0
9:29.0, ,35-31,J. Hardy misses 3-pt jump shot from 26 ft,,2,35,31,4,871.0
9:26.0,Defensive rebound by B. Fernando,35-31, ,,2,35,31,4,874.0
9:14.0,D. Hunter misses 2-pt layup from 3 ft (block by D. Gafford),35-31, ,,2,35,31,4,886.0
9:12.0, ,35-31,Defensive rebound by P. Washington,,2,35,31,4,888.0
9:07.0, ,35-31,J. Hardy misses 2-pt layup from 2 ft,,2,35,31,4,893.0
9:04.0, ,35-31,Offensive rebound by P. Washington,,2,35,31,4,896.0
9:04.0, ,35-33,P. Washington makes 2-pt layup from 2 ft,,2,35,33,2,896.0
9:04.0,Atlanta full timeout,35-33, ,,2,35,33,2,896.0
9:04.0,C. Capela enters the game for B. Bogdanović,35-33, ,,2,35,33,2,896.0
9:04.0,G. Mathews enters the game for K. Bufkin,35-33, ,,2,35,33,2,896.0
9:04.0,D. Murray enters the game for B. Fernando,35-33, ,,2,35,33,2,896.0
8:45.0,G. Mathews makes 3-pt jump shot from 23 ft (assist by D. Murray),38-33, ,,2,38,33,5,915.0
8:45.0,Shooting foul by J. Hardy (drawn by G. Mathews),38-33, ,,2,38,33,5,915.0
8:45.0,V. Krejci enters the game for D. Hunter,38-33, ,,2,38,33,5,915.0
8:45.0,G. Mathews makes free throw 1 of 1,39-33, ,,2,39,33,6,915.0
8:33.0, ,39-35,L. Dončić makes 2-pt jump shot from 7 ft,,2,39,35,4,927.0
8:33.0, ,39-35,Shooting foul by V. Krejci (drawn by L. Dončić),,2,39,35,4,927.0
8:33.0, ,39-35,D. Exum enters the game for J. Hardy,,2,39,35,4,927.0
8:33.0, ,39-36,L. Dončić makes free throw 1 of 1,,2,39,36,3,927.0
8:21.0,D. Murray misses 2-pt layup from 3 ft,39-36, ,,2,39,36,3,939.0
8:18.0, ,39-36,Defensive rebound by P. Washington,,2,39,36,3,942.0
8:13.0, ,39-36,D. Exum misses 3-pt jump shot from 23 ft,,2,39,36,3,947.0
8:10.0,Defensive rebound by J. Johnson,39-36, ,,2,39,36,3,950.0
8:05.0,G. Mathews makes 3-pt jump shot from 25 ft (assist by J. Johnson),42-36, ,,2,42,36,6,955.0
7:51.0, ,42-39,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Exum),,2,42,39,3,969.0
7:34.0,D. Murray misses 2-pt jump shot from 17 ft,42-39, ,,2,42,39,3,986.0
7:31.0,Offensive rebound by D. Murray,42-39, ,,2,42,39,3,989.0
7:31.0,Shooting foul by D. Gafford (drawn by D. Murray),42-39, ,,2,42,39,3,989.0
7:31.0,D. Murray makes free throw 1 of 2,43-39, ,,2,43,39,4,989.0
7:31.0,D. Hunter enters the game for V. Krejci,43-39, ,,2,43,39,4,989.0
7:31.0, ,43-39,K. Irving enters the game for D. Gafford,,2,43,39,4,989.0
7:31.0, ,43-39,M. Kleber enters the game for D. Jones,,2,43,39,4,989.0
7:31.0,D. Murray misses free throw 2 of 2,43-39, ,,2,43,39,4,989.0
7:24.0, ,43-39,Defensive rebound by M. Kleber,,2,43,39,4,996.0
7:07.0, ,43-39,P. Washington misses 3-pt jump shot from 25 ft,,2,43,39,4,1013.0
7:03.0,Defensive rebound by C. Capela,43-39, ,,2,43,39,4,1017.0
7:00.0,J. Johnson misses 2-pt jump shot from 6 ft (block by M. Kleber),43-39, ,,2,43,39,4,1020.0
6:58.0, ,43-39,Defensive rebound by D. Exum,,2,43,39,4,1022.0
6:54.0, ,43-41,L. Dončić makes 2-pt layup at rim (assist by D. Exum),,2,43,41,2,1026.0
6:43.0,C. Capela makes 2-pt layup from 1 ft (assist by D. Hunter),45-41, ,,2,45,41,4,1037.0
6:28.0, ,45-41,L. Dončić misses 3-pt jump shot from 24 ft,,2,45,41,4,1052.0
6:24.0,Defensive rebound by J. Johnson,45-41, ,,2,45,41,4,1056.0
6:21.0,J. Johnson misses 2-pt layup from 4 ft (block by P. Washington),45-41, ,,2,45,41,4,1059.0
6:20.0,Offensive rebound by C. Capela,45-41, ,,2,45,41,4,1060.0
6:20.0,Shooting foul by M. Kleber (drawn by C. Capela),45-41, ,,2,45,41,4,1060.0
6:20.0,C. Capela misses free throw 1 of 2,45-41, ,,2,45,41,4,1060.0
6:20.0,Offensive rebound by Team,45-41, ,,2,45,41,4,1060.0
6:20.0,C. Capela misses free throw 2 of 2,45-41, ,,2,45,41,4,1060.0
6:18.0, ,45-41,Defensive rebound by L. Dončić,,2,45,41,4,1062.0
6:10.0, ,45-41,L. Dončić misses 3-pt jump shot from 27 ft,,2,45,41,4,1070.0
6:06.0,Defensive rebound by C. Capela,45-41, ,,2,45,41,4,1074.0
5:58.0,D. Murray misses 3-pt jump shot from 23 ft,45-41, ,,2,45,41,4,1082.0
5:58.0, ,45-41,Defensive rebound by L. Dončić,,2,45,41,4,1082.0
5:48.0, ,45-41,Turnover by L. Dončić (bad pass),,2,45,41,4,1092.0
5:48.0, ,45-41,T. Hardaway enters the game for P. Washington,,2,45,41,4,1092.0
5:37.0,C. Capela misses 2-pt layup from 2 ft,45-41, ,,2,45,41,4,1103.0
5:35.0, ,45-41,Defensive rebound by M. Kleber,,2,45,41,4,1105.0
5:30.0, ,45-44,K. Irving makes 3-pt jump shot from 26 ft (assist by L. Dončić),,2,45,44,1,1110.0
5:30.0, ,45-44,Shooting foul by J. Johnson (drawn by K. Irving),,2,45,44,1,1110.0
5:30.0, ,45-44,Instant Replay (Request: Ruling Stands),,2,45,44,1,1110.0
5:30.0,B. Bogdanović enters the game for J. Johnson,45-44, ,,2,45,44,1,1110.0
5:30.0, ,45-45,K. Irving makes free throw 1 of 1,Tie,2,45,45,0,1110.0
5:10.0,B. Bogdanović misses 3-pt jump shot from 25 ft,45-45, ,,2,45,45,0,1130.0
5:08.0,Offensive rebound by G. Mathews,45-45, ,,2,45,45,0,1132.0
5:06.0,G. Mathews makes 2-pt layup from 1 ft,47-45, ,,2,47,45,2,1134.0
4:47.0, ,47-48,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Dončić),Lead change,2,47,48,-1,1153.0
4:31.0,D. Hunter misses 3-pt jump shot from 25 ft,47-48, ,,2,47,48,-1,1169.0
4:29.0, ,47-48,Defensive rebound by D. Exum,,2,47,48,-1,1171.0
4:22.0, ,47-48,K. Irving misses 3-pt jump shot from 25 ft,,2,47,48,-1,1178.0
4:18.0,Defensive rebound by C. Capela,47-48, ,,2,47,48,-1,1182.0
4:12.0,D. Murray makes 2-pt jump shot from 7 ft,49-48, ,Lead change,2,49,48,1,1188.0
3:59.0, ,49-48,Turnover by L. Dončić (bad pass),,2,49,48,1,1201.0
3:48.0,Turnover by D. Murray (lost ball; steal by D. Exum),49-48, ,,2,49,48,1,1212.0
3:41.0, ,49-48,D. Exum misses 3-pt jump shot from 23 ft,,2,49,48,1,1219.0
3:41.0, ,49-48,Offensive rebound by Team,,2,49,48,1,1219.0
3:41.0,Loose ball foul by D. Murray (drawn by L. Dončić),49-48, ,,2,49,48,1,1219.0
3:41.0, ,49-49,L. Dončić makes free throw 1 of 2,Tie,2,49,49,0,1219.0
3:41.0, ,49-49,P. Washington enters the game for D. Exum,,2,49,49,0,1219.0
3:41.0, ,49-50,L. Dončić makes free throw 2 of 2,Lead change,2,49,50,-1,1219.0
3:28.0,G. Mathews makes 3-pt jump shot from 24 ft (assist by C. Capela),52-50, ,Lead change,2,52,50,2,1232.0
3:11.0, ,52-53,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),Lead change,2,52,53,-1,1249.0
2:52.0,C. Capela misses 2-pt hook shot from 6 ft,52-53, ,,2,52,53,-1,1268.0
