Time,Atlanta,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:48.0, ,76-67,Personal foul by S. Bey (drawn by D. Avdija),,3,76,67,9,1632.0
8:48.0, ,76-68,D. Avdija makes free throw 1 of 2,,3,76,68,8,1632.0
8:48.0, ,76-68,D. Avdija misses free throw 2 of 2,,3,76,68,8,1632.0
8:48.0,Defensive rebound by J. Johnson,76-68, ,,3,76,68,8,1632.0
8:29.0,C. Capela misses 2-pt hook shot from 8 ft (block by D. Gafford),76-68, ,,3,76,68,8,1651.0
8:24.0,Offensive rebound by C. Capela,76-68, ,,3,76,68,8,1656.0
8:24.0,C. Capela misses 2-pt layup at rim,76-68, ,,3,76,68,8,1656.0
8:22.0, ,76-68,Defensive rebound by J. Poole,,3,76,68,8,1658.0
8:20.0, ,76-70,K. Kuzma makes 2-pt dunk from 2 ft (assist by J. Poole),,3,76,70,6,1660.0
8:05.0,C. Capela misses 2-pt dunk from 5 ft (block by D. Avdija),76-70, ,,3,76,70,6,1675.0
8:02.0,Offensive rebound by C. Capela,76-70, ,,3,76,70,6,1678.0
8:01.0,C. Capela makes 2-pt dunk from 2 ft,78-70, ,,3,78,70,8,1679.0
7:54.0, ,78-72,T. Jones makes 2-pt jump shot from 5 ft (assist by D. Avdija),,3,78,72,6,1686.0
7:44.0,Offensive foul by C. Capela (drawn by D. Avdija),78-72, ,,3,78,72,6,1696.0
7:44.0,Turnover by C. Capela (offensive foul),78-72, ,,3,78,72,6,1696.0
7:26.0, ,78-72,T. Jones misses 2-pt jump shot from 7 ft,,3,78,72,6,1714.0
7:24.0,Defensive rebound by C. Capela,78-72, ,,3,78,72,6,1716.0
7:20.0,S. Bey makes 3-pt jump shot from 25 ft (assist by D. Murray),81-72, ,,3,81,72,9,1720.0
7:00.0, ,81-74,K. Kuzma makes 2-pt jump shot from 17 ft,,3,81,74,7,1740.0
6:48.0,Shooting foul by J. Poole (drawn by T. Young),81-74, ,,3,81,74,7,1752.0
6:48.0, ,81-74,Washington full timeout,,3,81,74,7,1752.0
6:48.0, ,81-74,B. Coulibaly enters the game for D. Avdija,,3,81,74,7,1752.0
6:48.0,T. Young misses free throw 1 of 3,81-74, ,,3,81,74,7,1752.0
6:48.0,Offensive rebound by Team,81-74, ,,3,81,74,7,1752.0
6:48.0,T. Young makes free throw 2 of 3,82-74, ,,3,82,74,8,1752.0
