Time,Atlanta,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:16.0,C. Capela enters the game for B. Fernando,38-28, ,,2,38,28,10,1064.0
6:16.0,V. Krejci enters the game for T. Forrest,38-28, ,,2,38,28,10,1064.0
6:02.0,D. Hunter misses 2-pt jump shot from 14 ft,38-28, ,,2,38,28,10,1078.0
5:55.0,Offensive rebound by C. Capela,38-28, ,,2,38,28,10,1085.0
5:55.0,C. Capela misses 2-pt layup at rim,38-28, ,,2,38,28,10,1085.0
5:54.0, ,38-28,Defensive rebound by K. Murray,,2,38,28,10,1086.0
5:46.0, ,38-28,Turnover by T. Camara (off goaltending),,2,38,28,10,1094.0
5:46.0, ,38-28,J. Minaya enters the game for T. Camara,,2,38,28,10,1094.0
5:26.0,D. Murray makes 3-pt jump shot from 28 ft,41-28, ,,2,41,28,13,1114.0
5:11.0, ,41-28,Personal foul by D. Hunter (drawn by M. Thybulle),,2,41,28,13,1129.0
5:11.0, ,41-28,S. Henderson enters the game for M. Thybulle,,2,41,28,13,1129.0
5:05.0, ,41-30,J. Minaya makes 2-pt dunk from 2 ft (assist by K. Murray),,2,41,30,11,1135.0
4:52.0,D. Hunter misses 3-pt jump shot from 23 ft,41-30, ,,2,41,30,11,1148.0
4:48.0, ,41-30,Defensive rebound by K. Murray,,2,41,30,11,1152.0
4:41.0, ,41-32,D. Ayton makes 2-pt jump shot from 6 ft (assist by A. Simons),,2,41,32,9,1159.0
4:28.0,D. Murray misses 3-pt jump shot from 25 ft,41-32, ,,2,41,32,9,1172.0
4:25.0, ,41-32,Defensive rebound by D. Ayton,,2,41,32,9,1175.0
4:21.0, ,41-32,A. Simons misses 3-pt jump shot from 26 ft,,2,41,32,9,1179.0
4:17.0,Defensive rebound by D. Windler,41-32, ,,2,41,32,9,1183.0
4:10.0,D. Murray makes 2-pt jump shot from 16 ft (assist by C. Capela),43-32, ,,2,43,32,11,1190.0
3:50.0, ,43-32,A. Simons misses 2-pt layup from 3 ft,,2,43,32,11,1210.0
3:47.0, ,43-32,Offensive rebound by A. Simons,,2,43,32,11,1213.0
3:47.0, ,43-34,A. Simons makes 2-pt layup at rim,,2,43,34,9,1213.0
3:40.0,D. Murray makes 2-pt layup from 2 ft,45-34, ,,2,45,34,11,1220.0
3:24.0, ,45-37,K. Murray makes 3-pt jump shot from 24 ft (assist by A. Simons),,2,45,37,8,1236.0
3:23.0,Atlanta full timeout,45-37, ,,2,45,37,8,1237.0
3:23.0,B. Bogdanović enters the game for D. Windler,45-37, ,,2,45,37,8,1237.0
2:58.0,Turnover by Team (shot clock),45-37, ,,2,45,37,8,1262.0
2:43.0, ,45-37,Personal foul by D. Murray (drawn by S. Henderson),,2,45,37,8,1277.0
2:33.0, ,45-39,D. Ayton makes 2-pt layup from 3 ft (assist by A. Simons),,2,45,39,6,1287.0
2:20.0,D. Murray makes 2-pt jump shot from 16 ft,47-39, ,,2,47,39,8,1300.0
1:56.0, ,47-39,J. Minaya misses 3-pt jump shot from 25 ft,,2,47,39,8,1324.0
1:51.0,Defensive rebound by B. Bogdanović,47-39, ,,2,47,39,8,1329.0
1:50.0,Turnover by B. Bogdanović (lost ball; steal by J. Minaya),47-39, ,,2,47,39,8,1330.0
1:47.0, ,47-41,D. Ayton makes 2-pt dunk from 1 ft (assist by J. Minaya),,2,47,41,6,1333.0
1:29.0,D. Hunter misses 2-pt jump shot from 4 ft,47-41, ,,2,47,41,6,1351.0
1:25.0,Offensive rebound by C. Capela,47-41, ,,2,47,41,6,1355.0
1:25.0,C. Capela makes 2-pt layup at rim,49-41, ,,2,49,41,8,1355.0
1:14.0, ,49-44,A. Simons makes 3-pt jump shot from 32 ft (assist by S. Henderson),,2,49,44,5,1366.0
1:07.0,Personal foul by A. Simons (drawn by D. Hunter),49-44, ,,2,49,44,5,1373.0
0:55.0,D. Hunter misses 3-pt jump shot from 23 ft,49-44, ,,2,49,44,5,1385.0
0:52.0,Offensive rebound by V. Krejci,49-44, ,,2,49,44,5,1388.0
0:49.0,D. Murray makes 3-pt jump shot from 27 ft (assist by V. Krejci),52-44, ,,2,52,44,8,1391.0
0:33.0, ,52-44,A. Simons misses 2-pt layup from 3 ft,,2,52,44,8,1407.0
0:29.0, ,52-44,Offensive rebound by D. Ayton,,2,52,44,8,1411.0
0:29.0, ,52-44,D. Ayton misses 2-pt layup at rim,,2,52,44,8,1411.0
0:28.0,Defensive rebound by V. Krejci,52-44, ,,2,52,44,8,1412.0
0:26.0,Turnover by D. Murray (bad pass; steal by S. Henderson),52-44, ,,2,52,44,8,1414.0
0:21.0, ,52-47,A. Simons makes 3-pt jump shot from 24 ft (assist by S. Henderson),,2,52,47,5,1419.0
0:00.0,B. Bogdanović misses 3-pt jump shot from 24 ft,52-47, ,,2,52,47,5,1440.0
0:00.0,Offensive rebound by Team,52-47, ,,2,52,47,5,1440.0
0:00.0,End of 2nd quarter,52-47,,,2,52,47,5,1440.0
