Time,Houston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:46.0, ,19-15,Defensive rebound by Team,,1,15,19,-4,434.0
4:28.0, ,19-15,Turnover by J. Johnson (bad pass; steal by J. Smith),,1,15,19,-4,452.0
4:23.0,J. Green makes 2-pt layup from 2 ft,21-15, ,,1,15,21,-6,457.0
4:08.0, ,21-15,B. Bogdanović misses 2-pt jump shot from 15 ft,,1,15,21,-6,472.0
4:05.0,Defensive rebound by J. Green,21-15, ,,1,15,21,-6,475.0
4:01.0,Shooting foul by J. Johnson (drawn by J. Green),21-15, ,,1,15,21,-6,479.0
4:01.0,J. Green misses free throw 1 of 2,21-15, ,,1,15,21,-6,479.0
4:01.0,Offensive rebound by Team,21-15, ,,1,15,21,-6,479.0
4:01.0,R. Bullock enters the game for D. Brooks,21-15, ,,1,15,21,-6,479.0
4:01.0,J. Tate enters the game for J. Smith,21-15, ,,1,15,21,-6,479.0
4:01.0,J. Green makes free throw 2 of 2,22-15, ,,1,15,22,-7,479.0
3:45.0, ,22-15,D. Murray misses 2-pt layup at rim,,1,15,22,-7,495.0
3:41.0,Defensive rebound by J. Tate,22-15, ,,1,15,22,-7,499.0
3:36.0,R. Bullock misses 3-pt jump shot from 25 ft,22-15, ,,1,15,22,-7,504.0
3:33.0, ,22-15,Defensive rebound by D. Murray,,1,15,22,-7,507.0
3:30.0, ,22-17,J. Johnson makes 2-pt dunk at rim (assist by D. Murray),,1,17,22,-5,510.0
3:14.0,A. Holiday makes 2-pt jump shot from 12 ft (assist by J. Green),24-17, ,,1,17,24,-7,526.0
3:14.0, ,24-17,G. Mathews enters the game for S. Bey,,1,17,24,-7,526.0
3:14.0, ,24-17,O. Okongwu enters the game for J. Johnson,,1,17,24,-7,526.0
3:14.0, ,24-17,T. Young enters the game for D. Murray,,1,17,24,-7,526.0
2:58.0, ,24-17,T. Young misses 3-pt jump shot from 26 ft,,1,17,24,-7,542.0
2:55.0, ,24-17,Offensive rebound by O. Okongwu,,1,17,24,-7,545.0
2:53.0, ,24-17,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,17,24,-7,547.0
2:50.0,Defensive rebound by A. Holiday,24-17, ,,1,17,24,-7,550.0
2:45.0,A. Holiday misses 3-pt jump shot from 25 ft,24-17, ,,1,17,24,-7,555.0
2:42.0, ,24-17,Defensive rebound by G. Mathews,,1,17,24,-7,558.0
2:35.0, ,24-19,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),,1,19,24,-5,565.0
2:23.0,A. Holiday makes 3-pt jump shot from 23 ft (assist by J. Green),27-19, ,,1,19,27,-8,577.0
2:07.0, ,27-19,T. Young misses 2-pt jump shot from 12 ft,,1,19,27,-8,593.0
2:05.0,Defensive rebound by J. Green,27-19, ,,1,19,27,-8,595.0
2:01.0,J. Green misses 2-pt layup from 3 ft,27-19, ,,1,19,27,-8,599.0
2:00.0,Offensive rebound by Team,27-19, ,,1,19,27,-8,600.0
1:59.0,Turnover by J. Landale (illegal assist),27-19, ,,1,19,27,-8,601.0
1:59.0, ,27-19,Atlanta full timeout,,1,19,27,-8,601.0
1:49.0, ,27-19,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,19,27,-8,611.0
1:46.0,Defensive rebound by J. Green,27-19, ,,1,19,27,-8,614.0
1:35.0,J. Landale misses 3-pt jump shot from 25 ft,27-19, ,,1,19,27,-8,625.0
1:32.0,Offensive rebound by J. Green,27-19, ,,1,19,27,-8,628.0
1:28.0,J. Green makes 2-pt layup from 2 ft,29-19, ,,1,19,29,-10,632.0
1:17.0, ,29-19,B. Bogdanović misses 2-pt jump shot from 14 ft,,1,19,29,-10,643.0
1:15.0, ,29-19,Offensive rebound by Team,,1,19,29,-10,645.0
1:15.0,Loose ball foul by J. Tate (drawn by O. Okongwu),29-19, ,,1,19,29,-10,645.0
1:10.0, ,29-19,T. Young misses 2-pt layup from 6 ft,,1,19,29,-10,650.0
1:09.0,Defensive rebound by J. Landale,29-19, ,,1,19,29,-10,651.0
1:08.0,Turnover by J. Landale (bad pass),29-19, ,,1,19,29,-10,652.0
1:02.0, ,29-19,B. Bogdanović misses 3-pt jump shot from 24 ft,,1,19,29,-10,658.0
1:00.0,Defensive rebound by J. Green,29-19, ,,1,19,29,-10,660.0
0:53.0,J. Tate makes 2-pt layup from 1 ft (assist by J. Landale),31-19, ,,1,19,31,-12,667.0
0:42.0, ,31-19,B. Bogdanović misses 2-pt layup from 3 ft,,1,19,31,-12,678.0
0:39.0,Defensive rebound by J. Landale,31-19, ,,1,19,31,-12,681.0
0:33.0,Turnover by J. Green (out of bounds lost ball),31-19, ,,1,19,31,-12,687.0
0:26.0, ,31-19,O. Okongwu misses 2-pt hook shot from 7 ft,,1,19,31,-12,694.0
0:24.0,Defensive rebound by J. Landale,31-19, ,,1,19,31,-12,696.0
0:07.0,J. Green misses 2-pt layup from 3 ft (block by O. Okongwu),31-19, ,,1,19,31,-12,713.0
0:04.0, ,31-19,Defensive rebound by B. Bogdanović,,1,19,31,-12,716.0
0:00.0, ,31-19,O. Okongwu misses 3-pt jump shot from 25 ft,,1,19,31,-12,720.0
0:00.0, ,31-19,Offensive rebound by Team,,1,19,31,-12,720.0
0:00.0,End of 1st quarter,31-19,,,1,19,31,-12,720.0
12:00.0,Start of 2nd quarter,31-19,,,2,19,31,-12,720.0
11:45.0, ,31-19,O. Okongwu misses 2-pt jump shot from 5 ft,,2,19,31,-12,735.0
11:42.0,Defensive rebound by J. Green,31-19, ,,2,19,31,-12,738.0
11:35.0,Offensive foul by J. Green (drawn by G. Mathews),31-19, ,,2,19,31,-12,745.0
11:35.0,Turnover by J. Green (offensive foul),31-19, ,,2,19,31,-12,745.0
11:25.0, ,31-19,Personal foul by A. Holiday (drawn by B. Bogdanović),,2,19,31,-12,755.0
11:18.0, ,31-21,O. Okongwu makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,2,21,31,-10,762.0
10:56.0,Shooting foul by O. Okongwu (drawn by J. Green),31-21, ,,2,21,31,-10,784.0
10:56.0,J. Green misses free throw 1 of 2,31-21, ,,2,21,31,-10,784.0
10:56.0,Offensive rebound by Team,31-21, ,,2,21,31,-10,784.0
10:56.0,J. Green misses free throw 2 of 2,31-21, ,,2,21,31,-10,784.0
10:54.0, ,31-21,Defensive rebound by K. Bufkin,,2,21,31,-10,786.0
10:36.0, ,31-23,T. Young makes 2-pt jump shot from 23 ft,,2,23,31,-8,804.0
10:24.0,A. Thompson misses 2-pt jump shot from 16 ft,31-23, ,,2,23,31,-8,816.0
10:23.0, ,31-23,Defensive rebound by G. Mathews,,2,23,31,-8,817.0
10:13.0, ,31-26,G. Mathews makes 3-pt jump shot from 26 ft (assist by T. Young),,2,26,31,-5,827.0
10:10.0,Houston full timeout,31-26, ,,2,26,31,-5,830.0
10:10.0, ,31-26,D. Murray enters the game for K. Bufkin,,2,26,31,-5,830.0
9:56.0,A. Holiday misses 2-pt jump shot from 11 ft,31-26, ,,2,26,31,-5,844.0
9:51.0, ,31-26,Defensive rebound by B. Bogdanović,,2,26,31,-5,849.0
9:39.0, ,31-26,O. Okongwu misses 2-pt layup from 2 ft (block by A. Holiday),,2,26,31,-5,861.0
9:37.0,Defensive rebound by R. Bullock,31-26, ,,2,26,31,-5,863.0
9:30.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by A. Holiday),34-26, ,,2,26,34,-8,870.0
9:05.0, ,34-28,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young),,2,28,34,-6,895.0
9:05.0, ,34-28,Shooting foul by A. Holiday (drawn by O. Okongwu),,2,28,34,-6,895.0
9:05.0,D. Brooks enters the game for A. Holiday,34-28, ,,2,28,34,-6,895.0
9:05.0, ,34-28,S. Bey enters the game for T. Young,,2,28,34,-6,895.0
9:05.0, ,34-29,O. Okongwu makes free throw 1 of 1,,2,29,34,-5,895.0
8:52.0,J. Green misses 2-pt layup from 2 ft,34-29, ,,2,29,34,-5,908.0
8:51.0,Offensive rebound by J. Green,34-29, ,,2,29,34,-5,909.0
8:51.0,Shooting foul by O. Okongwu (drawn by J. Green),34-29, ,,2,29,34,-5,909.0
8:51.0,J. Green makes free throw 1 of 2,35-29, ,,2,29,35,-6,909.0
8:51.0,J. Landale enters the game for J. Smith,35-29, ,,2,29,35,-6,909.0
8:51.0, ,35-29,J. Johnson enters the game for O. Okongwu,,2,29,35,-6,909.0
8:51.0,J. Green makes free throw 2 of 2,36-29, ,,2,29,36,-7,909.0
8:38.0, ,36-29,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,29,36,-7,922.0
8:36.0,Defensive rebound by J. Landale,36-29, ,,2,29,36,-7,924.0
8:27.0,R. Bullock misses 3-pt jump shot from 24 ft,36-29, ,,2,29,36,-7,933.0
8:24.0,Offensive rebound by J. Landale,36-29, ,,2,29,36,-7,936.0
8:23.0,Turnover by J. Green (traveling),36-29, ,,2,29,36,-7,937.0
8:11.0, ,36-29,S. Bey misses 3-pt jump shot from 26 ft,,2,29,36,-7,949.0
8:07.0,Defensive rebound by R. Bullock,36-29, ,,2,29,36,-7,953.0
7:55.0,D. Brooks misses 2-pt jump shot from 13 ft,36-29, ,,2,29,36,-7,965.0
7:55.0,Offensive rebound by J. Landale,36-29, ,,2,29,36,-7,965.0
7:54.0,J. Landale misses 2-pt layup from 3 ft,36-29, ,,2,29,36,-7,966.0
7:53.0, ,36-29,Defensive rebound by Team,,2,29,36,-7,967.0
7:42.0, ,36-29,Shooting foul by A. Thompson (drawn by D. Murray),,2,29,36,-7,978.0
7:42.0, ,36-30,D. Murray makes free throw 1 of 2,,2,30,36,-6,978.0
7:42.0,J. Green enters the game for R. Bullock,36-30, ,,2,30,36,-6,978.0
7:42.0, ,36-30,O. Okongwu enters the game for G. Mathews,,2,30,36,-6,978.0
7:42.0, ,36-31,D. Murray makes free throw 2 of 2,,2,31,36,-5,978.0
