Time,Atlanta,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:44.0, ,29-26,R. Gobert makes free throw 1 of 2,,2,29,26,3,856.0
9:44.0, ,29-26,R. Gobert misses free throw 2 of 2,,2,29,26,3,856.0
9:40.0,Defensive rebound by A. Griffin,29-26, ,,2,29,26,3,860.0
9:34.0,Turnover by D. Murray (back court),29-26, ,,2,29,26,3,866.0
9:34.0,D. Hunter enters the game for M. Gueye,29-26, ,,2,29,26,3,866.0
9:21.0, ,29-28,R. Gobert makes 2-pt layup from 3 ft (assist by K. Anderson),,2,29,28,1,879.0
9:06.0,D. Hunter misses 2-pt jump shot from 8 ft,29-28, ,,2,29,28,1,894.0
9:04.0, ,29-28,Defensive rebound by R. Gobert,,2,29,28,1,896.0
9:04.0, ,29-28,Personal foul by B. Fernando (drawn by R. Gobert),,2,29,28,1,896.0
8:55.0, ,29-28,Turnover by K. Anderson (lost ball),,2,29,28,1,905.0
8:54.0, ,29-28,Loose ball foul by M. Conley (drawn by B. Bogdanović),,2,29,28,1,906.0
8:37.0,Shooting foul by K. Anderson (drawn by B. Fernando),29-28, ,,2,29,28,1,923.0
8:37.0,B. Fernando makes free throw 1 of 2,30-28, ,,2,30,28,2,923.0
8:37.0,G. Mathews enters the game for B. Bogdanović,30-28, ,,2,30,28,2,923.0
8:37.0, ,30-28,N. Reid enters the game for K. Anderson,,2,30,28,2,923.0
8:37.0,B. Fernando misses free throw 2 of 2,30-28, ,,2,30,28,2,923.0
8:34.0, ,30-28,Defensive rebound by R. Gobert,,2,30,28,2,926.0
8:16.0, ,30-30,J. McLaughlin makes 2-pt layup from 2 ft,Tie,2,30,30,0,944.0
8:03.0,D. Murray misses 2-pt jump shot from 12 ft,30-30, ,,2,30,30,0,957.0
7:59.0, ,30-30,Defensive rebound by N. Reid,,2,30,30,0,961.0
7:51.0, ,30-30,Shooting foul by B. Fernando (drawn by N. Reid),,2,30,30,0,969.0
7:51.0, ,30-31,N. Reid makes free throw 1 of 2,Lead change,2,30,31,-1,969.0
7:51.0,C. Capela enters the game for B. Fernando,30-31, ,,2,30,31,-1,969.0
7:51.0, ,30-32,N. Reid makes free throw 2 of 2,,2,30,32,-2,969.0
7:35.0,D. Hunter misses 2-pt jump shot from 13 ft,30-32, ,,2,30,32,-2,985.0
7:33.0, ,30-32,Defensive rebound by M. Conley,,2,30,32,-2,987.0
7:21.0, ,30-35,M. Conley makes 3-pt jump shot from 25 ft (assist by J. McLaughlin),,2,30,35,-5,999.0
7:09.0,D. Murray misses 2-pt layup from 5 ft (block by N. Alexander-Walker),30-35, ,,2,30,35,-5,1011.0
7:08.0, ,30-35,Defensive rebound by Team,,2,30,35,-5,1012.0
7:08.0, ,30-35,J. McDaniels enters the game for N. Alexander-Walker,,2,30,35,-5,1012.0
7:08.0, ,30-35,K. Towns enters the game for R. Gobert,,2,30,35,-5,1012.0
6:52.0, ,30-37,N. Reid makes 2-pt layup from 2 ft (assist by K. Towns),,2,30,37,-7,1028.0
6:51.0,Atlanta full timeout,30-37, ,,2,30,37,-7,1029.0
6:51.0,B. Bogdanović enters the game for A. Griffin,30-37, ,,2,30,37,-7,1029.0
6:41.0,D. Hunter makes 2-pt layup from 2 ft (assist by C. Capela),32-37, ,,2,32,37,-5,1039.0
6:25.0, ,32-37,K. Towns misses 3-pt jump shot from 25 ft,,2,32,37,-5,1055.0
6:22.0,Defensive rebound by D. Murray,32-37, ,,2,32,37,-5,1058.0
6:15.0,D. Murray misses 2-pt jump shot from 8 ft,32-37, ,,2,32,37,-5,1065.0
6:13.0, ,32-37,Defensive rebound by N. Reid,,2,32,37,-5,1067.0
6:04.0, ,32-40,N. Reid makes 3-pt jump shot from 25 ft (assist by M. Conley),,2,32,40,-8,1076.0
5:39.0,Turnover by D. Hunter (bad pass; steal by M. Conley),32-40, ,,2,32,40,-8,1101.0
5:35.0, ,32-42,M. Conley makes 2-pt layup from 3 ft,,2,32,42,-10,1105.0
5:24.0,Shooting foul by M. Conley (drawn by B. Bogdanović),32-42, ,,2,32,42,-10,1116.0
5:24.0,B. Bogdanović makes free throw 1 of 3,33-42, ,,2,33,42,-9,1116.0
5:24.0,B. Bogdanović makes free throw 2 of 3,34-42, ,,2,34,42,-8,1116.0
5:24.0,T. Young enters the game for G. Mathews,34-42, ,,2,34,42,-8,1116.0
5:24.0, ,34-42,N. Alexander-Walker enters the game for M. Conley,,2,34,42,-8,1116.0
5:24.0, ,34-42,A. Edwards enters the game for J. McLaughlin,,2,34,42,-8,1116.0
5:24.0,B. Bogdanović makes free throw 3 of 3,35-42, ,,2,35,42,-7,1116.0
5:07.0, ,35-42,N. Alexander-Walker misses 2-pt jump shot from 16 ft,,2,35,42,-7,1133.0
