Time,Golden State,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:43.0, ,64-64,Defensive rebound by J. Johnson,,3,64,64,0,1457.0
11:41.0, ,64-67,T. Young makes 3-pt jump shot from 26 ft (assist by J. Johnson),Lead change,3,67,64,3,1459.0
11:29.0,K. Thompson misses 3-pt jump shot from 25 ft,64-67, ,,3,67,64,3,1471.0
11:25.0, ,64-67,Defensive rebound by J. Johnson,,3,67,64,3,1475.0
11:18.0, ,64-67,J. Johnson misses 3-pt jump shot from 26 ft,,3,67,64,3,1482.0
11:15.0, ,64-67,Offensive rebound by C. Capela,,3,67,64,3,1485.0
11:14.0, ,64-69,C. Capela makes 2-pt layup from 2 ft,,3,69,64,5,1486.0
11:04.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),66-69, ,,3,69,66,3,1496.0
11:04.0,Shooting foul by D. Murray (drawn by S. Curry),66-69, ,,3,69,66,3,1496.0
11:04.0,S. Curry makes free throw 1 of 1,67-69, ,,3,69,67,2,1496.0
10:43.0, ,67-71,J. Johnson makes 2-pt jump shot from 9 ft (assist by T. Young),,3,71,67,4,1517.0
10:29.0,K. Thompson misses 2-pt layup from 2 ft (block by G. Mathews),67-71, ,,3,71,67,4,1531.0
10:28.0,Offensive rebound by Team,67-71, ,,3,71,67,4,1532.0
10:22.0,Turnover by D. Green (out of bounds lost ball),67-71, ,,3,71,67,4,1538.0
10:04.0, ,67-71,J. Johnson misses 3-pt jump shot from 24 ft,,3,71,67,4,1556.0
10:01.0,Defensive rebound by B. Podziemski,67-71, ,,3,71,67,4,1559.0
9:50.0,Turnover by J. Kuminga (lost ball; steal by T. Young),67-71, ,,3,71,67,4,1570.0
9:45.0, ,67-74,T. Young makes 3-pt jump shot from 26 ft,,3,74,67,7,1575.0
9:43.0,Golden State full timeout,67-74, ,,3,74,67,7,1577.0
9:43.0,T. Jackson-Davis enters the game for B. Podziemski,67-74, ,,3,74,67,7,1577.0
9:43.0,Violation by Team (delay of game),67-74, ,,3,74,67,7,1577.0
9:26.0,S. Curry makes 2-pt jump shot from 17 ft,69-74, ,,3,74,69,5,1594.0
9:06.0, ,69-74,D. Murray misses 3-pt jump shot from 26 ft,,3,74,69,5,1614.0
9:04.0,Defensive rebound by S. Curry,69-74, ,,3,74,69,5,1616.0
8:56.0,T. Jackson-Davis misses 2-pt layup from 1 ft (block by J. Johnson),69-74, ,,3,74,69,5,1624.0
8:52.0,Offensive rebound by T. Jackson-Davis,69-74, ,,3,74,69,5,1628.0
8:52.0,T. Jackson-Davis makes 2-pt dunk from 1 ft,71-74, ,,3,74,71,3,1628.0
8:41.0, ,71-74,Shooting foul by D. Green (drawn by C. Capela),,3,74,71,3,1639.0
8:41.0, ,71-74,C. Capela misses free throw 1 of 2,,3,74,71,3,1639.0
8:41.0, ,71-74,Offensive rebound by Team,,3,74,71,3,1639.0
8:41.0, ,71-74,O. Okongwu enters the game for G. Mathews,,3,74,71,3,1639.0
8:41.0, ,71-75,C. Capela makes free throw 2 of 2,,3,75,71,4,1639.0
8:24.0,J. Kuminga misses 3-pt jump shot from 26 ft,71-75, ,,3,75,71,4,1656.0
8:20.0, ,71-75,Defensive rebound by J. Johnson,,3,75,71,4,1660.0
