Time,Brooklyn,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:04.0, ,41-41,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,41,41,0,1076.0
6:01.0,Defensive rebound by R. O'Neale,41-41, ,,2,41,41,0,1079.0
5:51.0,C. Johnson makes 2-pt jump shot from 21 ft,43-41, ,,2,41,43,-2,1089.0
5:40.0, ,43-41,Shooting foul by D. Smith (drawn by W. Matthews),,2,41,43,-2,1100.0
5:40.0, ,43-42,W. Matthews makes free throw 1 of 2,,2,42,43,-1,1100.0
5:40.0,M. Bridges enters the game for D. Smith,43-42, ,,2,42,43,-1,1100.0
5:40.0, ,43-43,W. Matthews makes free throw 2 of 2,Tie,2,43,43,0,1100.0
5:25.0,C. Johnson misses 3-pt jump shot from 26 ft,43-43, ,,2,43,43,0,1115.0
5:22.0, ,43-43,Defensive rebound by O. Okongwu,,2,43,43,0,1118.0
5:18.0, ,43-43,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,43,43,0,1122.0
5:14.0, ,43-43,Offensive rebound by O. Okongwu,,2,43,43,0,1126.0
5:08.0, ,43-43,O. Okongwu misses 3-pt jump shot from 23 ft,,2,43,43,0,1132.0
5:06.0,Defensive rebound by R. O'Neale,43-43, ,,2,43,43,0,1134.0
4:57.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,43-43, ,,2,43,43,0,1143.0
4:56.0,Offensive rebound by Team,43-43, ,,2,43,43,0,1144.0
4:56.0, ,43-43,Loose ball foul by O. Okongwu (drawn by D. Sharpe),,2,43,43,0,1144.0
4:56.0, ,43-43,S. Bey enters the game for B. Bogdanović,,2,43,43,0,1144.0
4:56.0, ,43-43,C. Capela enters the game for W. Matthews,,2,43,43,0,1144.0
4:56.0, ,43-43,T. Young enters the game for O. Okongwu,,2,43,43,0,1144.0
4:44.0,S. Dinwiddie makes 2-pt jump shot from 2 ft (assist by R. O'Neale),45-43, ,,2,43,45,-2,1156.0
4:28.0, ,45-43,D. Murray misses 2-pt jump shot from 19 ft,,2,43,45,-2,1172.0
4:24.0,Defensive rebound by D. Sharpe,45-43, ,,2,43,45,-2,1176.0
4:16.0,R. O'Neale misses 2-pt layup from 2 ft,45-43, ,,2,43,45,-2,1184.0
