Time,Memphis,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:35.0, ,60-64,T. Young makes 2-pt jump shot from 7 ft (assist by D. Murray),,3,64,60,4,1585.0
9:15.0,D. Bane misses 3-pt jump shot from 25 ft,60-64, ,,3,64,60,4,1605.0
9:11.0,Offensive rebound by B. Biyombo,60-64, ,,3,64,60,4,1609.0
8:59.0,D. Bane misses 3-pt jump shot from 26 ft,60-64, ,,3,64,60,4,1621.0
8:57.0,Offensive rebound by Team,60-64, ,,3,64,60,4,1623.0
8:57.0,Personal foul by T. Young (drawn by V. Williams),60-64, ,,3,64,60,4,1623.0
8:48.0,D. Bane makes 3-pt jump shot from 23 ft (assist by J. Morant),63-64, ,,3,64,63,1,1632.0
8:33.0, ,63-64,Personal foul by V. Williams (drawn by T. Young),,3,64,63,1,1647.0
8:22.0, ,63-64,Turnover by T. Young (lost ball; steal by B. Biyombo),,3,64,63,1,1658.0
8:19.0,V. Williams makes 3-pt jump shot from 23 ft (assist by D. Bane),66-64, ,Lead change,3,64,66,-2,1661.0
8:06.0, ,66-66,D. Murray makes 2-pt layup from 4 ft,Tie,3,66,66,0,1674.0
7:53.0,J. Jackson makes 2-pt dunk at rim (assist by B. Biyombo),68-66, ,,3,66,68,-2,1687.0
7:41.0, ,68-69,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray),Lead change,3,69,68,1,1699.0
7:16.0,J. Morant misses 2-pt jump shot from 12 ft,68-69, ,,3,69,68,1,1724.0
7:12.0, ,68-69,Defensive rebound by C. Capela,,3,69,68,1,1728.0
7:11.0, ,68-69,Turnover by C. Capela (lost ball; steal by V. Williams),,3,69,68,1,1729.0
7:08.0,J. Morant makes 2-pt dunk from 1 ft,70-69, ,Lead change,3,69,70,-1,1732.0
6:48.0, ,70-69,Shooting foul by J. Jackson (drawn by S. Bey),,3,69,70,-1,1752.0
6:48.0, ,70-69,S. Bey misses free throw 1 of 2,,3,69,70,-1,1752.0
6:48.0, ,70-69,Offensive rebound by Team,,3,69,70,-1,1752.0
6:48.0,S. Aldama enters the game for J. Jackson,70-69, ,,3,69,70,-1,1752.0
