Time,Utah,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:18.0, ,31-38,Turnover by D. Murray (bad pass; steal by C. Sexton),,2,38,31,7,1122.0
5:18.0, ,31-38,J. Johnson enters the game for C. Capela,,2,38,31,7,1122.0
5:04.0,Offensive foul by J. Collins (drawn by D. Hunter),31-38, ,,2,38,31,7,1136.0
5:04.0,Turnover by J. Collins (offensive foul),31-38, ,,2,38,31,7,1136.0
4:48.0, ,31-38,D. Hunter misses 2-pt jump shot from 15 ft,,2,38,31,7,1152.0
4:45.0, ,31-38,Offensive rebound by S. Bey,,2,38,31,7,1155.0
4:44.0, ,31-38,Shooting foul by J. Collins (drawn by S. Bey),,2,38,31,7,1156.0
4:44.0, ,31-39,S. Bey makes free throw 1 of 2,,2,39,31,8,1156.0
4:44.0, ,31-40,S. Bey makes free throw 2 of 2,,2,40,31,9,1156.0
4:29.0,K. George misses 3-pt jump shot from 26 ft,31-40, ,,2,40,31,9,1171.0
4:27.0, ,31-40,Defensive rebound by S. Bey,,2,40,31,9,1173.0
4:23.0, ,31-42,S. Bey makes 2-pt layup from 2 ft,,2,42,31,11,1177.0
4:23.0,Violation by Team (def goaltending),31-42, ,,2,42,31,11,1177.0
4:23.0, ,31-42,Shooting foul by K. George (drawn by S. Bey),,2,42,31,11,1177.0
4:23.0,W. Kessler enters the game for J. Collins,31-42, ,,2,42,31,11,1177.0
4:23.0, ,31-43,S. Bey makes free throw 1 of 1,,2,43,31,12,1177.0
4:03.0,K. George makes 2-pt jump shot from 15 ft (assist by T. Hendricks),33-43, ,,2,43,33,10,1197.0
3:46.0, ,33-43,D. Murray misses 2-pt jump shot from 14 ft,,2,43,33,10,1214.0
3:44.0,Defensive rebound by W. Kessler,33-43, ,,2,43,33,10,1216.0
3:35.0,Shooting foul by B. Bogdanović (drawn by W. Kessler),33-43, ,,2,43,33,10,1225.0
3:35.0,L. Markkanen enters the game for T. Hendricks,33-43, ,,2,43,33,10,1225.0
3:35.0,W. Kessler makes free throw 1 of 2,34-43, ,,2,43,34,9,1225.0
3:35.0,W. Kessler makes free throw 2 of 2,35-43, ,,2,43,35,8,1225.0
3:22.0, ,35-43,Turnover by B. Bogdanović (bad pass; steal by C. Sexton),,2,43,35,8,1238.0
3:14.0,C. Sexton misses 3-pt jump shot from 25 ft,35-43, ,,2,43,35,8,1246.0
3:10.0, ,35-43,Defensive rebound by B. Bogdanović,,2,43,35,8,1250.0
3:04.0, ,35-45,B. Bogdanović makes 2-pt jump shot from 21 ft,,2,45,35,10,1256.0
2:44.0,L. Markkanen makes 2-pt layup from 2 ft (assist by J. Clarkson),37-45, ,,2,45,37,8,1276.0
2:44.0,Shooting foul by B. Bogdanović (drawn by L. Markkanen),37-45, ,,2,45,37,8,1276.0
2:44.0,L. Markkanen makes free throw 1 of 1,38-45, ,,2,45,38,7,1276.0
2:30.0, ,38-45,J. Johnson misses 2-pt layup from 3 ft (block by W. Kessler),,2,45,38,7,1290.0
2:26.0,Defensive rebound by W. Kessler,38-45, ,,2,45,38,7,1294.0
2:22.0,K. George misses 3-pt jump shot from 24 ft,38-45, ,,2,45,38,7,1298.0
2:14.0, ,38-45,Defensive rebound by J. Johnson,,2,45,38,7,1306.0
2:11.0, ,38-47,J. Johnson makes 2-pt layup from 3 ft,,2,47,38,9,1309.0
2:11.0,Violation by Team (def goaltending),38-47, ,,2,47,38,9,1309.0
2:11.0,Utah full timeout,38-47, ,,2,47,38,9,1309.0
