Time,LA Lakers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:40.0, ,37-41,Defensive rebound by Team,,2,41,37,4,980.0
7:33.0, ,37-44,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,2,44,37,7,987.0
7:20.0,Turnover by D. Russell (bad pass; steal by T. Young),37-44, ,,2,44,37,7,1000.0
7:15.0, ,37-44,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,44,37,7,1005.0
7:11.0,Defensive rebound by Team,37-44, ,,2,44,37,7,1009.0
7:11.0,Jump ball: C. Wood vs. O. Okongwu (L. James gains possession),37-44,,,2,44,37,7,1009.0
6:56.0,L. James misses 2-pt jump shot from 20 ft,37-44, ,,2,44,37,7,1024.0
6:53.0, ,37-44,Defensive rebound by J. Johnson,,2,44,37,7,1027.0
6:46.0, ,37-46,J. Johnson makes 2-pt jump shot from 9 ft (assist by T. Young),,2,46,37,9,1034.0
6:27.0,T. Prince misses 2-pt jump shot from 13 ft,37-46, ,,2,46,37,9,1053.0
6:25.0, ,37-46,Defensive rebound by J. Johnson,,2,46,37,9,1055.0
6:07.0, ,37-46,T. Young misses 2-pt jump shot from 18 ft,,2,46,37,9,1073.0
6:03.0,Defensive rebound by C. Wood,37-46, ,,2,46,37,9,1077.0
5:54.0,Shooting foul by G. Mathews (drawn by D. Russell),37-46, ,,2,46,37,9,1086.0
5:54.0,D. Russell makes free throw 1 of 2,38-46, ,,2,46,38,8,1086.0
5:54.0,J. Hayes enters the game for C. Wood,38-46, ,,2,46,38,8,1086.0
5:54.0, ,38-46,S. Bey enters the game for B. Bogdanović,,2,46,38,8,1086.0
5:54.0, ,38-46,C. Capela enters the game for G. Mathews,,2,46,38,8,1086.0
5:54.0, ,38-46,D. Murray enters the game for O. Okongwu,,2,46,38,8,1086.0
5:54.0,D. Russell makes free throw 2 of 2,39-46, ,,2,46,39,7,1086.0
5:41.0, ,39-46,C. Capela misses 2-pt layup from 5 ft,,2,46,39,7,1099.0
