Time,Atlanta,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:15.0, ,32-44,Turnover by J. Strawther (offensive foul),,2,32,44,-12,945.0
8:03.0,Shooting foul by J. Holiday (drawn by D. Hunter),32-44, ,,2,32,44,-12,957.0
8:03.0,D. Hunter makes free throw 1 of 2,33-44, ,,2,33,44,-11,957.0
8:03.0,D. Hunter misses free throw 2 of 2,33-44, ,,2,33,44,-11,957.0
8:01.0, ,33-44,Defensive rebound by P. Watson,,2,33,44,-11,959.0
7:50.0, ,33-46,Z. Nnaji makes 2-pt dunk from 1 ft (assist by J. Holiday),,2,33,46,-13,970.0
7:38.0,D. Murray misses 2-pt layup from 3 ft (block by P. Watson),33-46, ,,2,33,46,-13,982.0
7:36.0, ,33-46,Defensive rebound by Z. Nnaji,,2,33,46,-13,984.0
7:32.0, ,33-49,J. Strawther makes 3-pt jump shot from 26 ft (assist by J. Holiday),,2,33,49,-16,988.0
7:32.0,Atlanta full timeout,33-49, ,,2,33,49,-16,988.0
7:19.0,V. Krejci makes 3-pt jump shot from 24 ft (assist by D. Murray),36-49, ,,2,36,49,-13,1001.0
6:59.0, ,36-52,R. Jackson makes 3-pt jump shot from 25 ft,,2,36,52,-16,1021.0
6:43.0,G. Mathews makes 3-pt jump shot from 25 ft (assist by D. Murray),39-52, ,,2,39,52,-13,1037.0
6:40.0, ,39-52,Denver full timeout,,2,39,52,-13,1040.0
6:40.0, ,39-52,K. Caldwell-Pope enters the game for J. Holiday,,2,39,52,-13,1040.0
6:40.0, ,39-52,N. Jokić enters the game for R. Jackson,,2,39,52,-13,1040.0
6:40.0, ,39-52,J. Murray enters the game for Z. Nnaji,,2,39,52,-13,1040.0
6:40.0, ,39-52,M. Porter enters the game for J. Strawther,,2,39,52,-13,1040.0
6:31.0,Violation by Team (kicked ball),39-52, ,,2,39,52,-13,1049.0
6:22.0, ,39-54,J. Murray makes 2-pt jump shot from 14 ft,,2,39,54,-15,1058.0
6:06.0,G. Mathews misses 3-pt jump shot from 24 ft,39-54, ,,2,39,54,-15,1074.0
6:06.0, ,39-54,Defensive rebound by N. Jokić,,2,39,54,-15,1074.0
5:51.0, ,39-56,P. Watson makes 2-pt layup from 1 ft (assist by J. Murray),,2,39,56,-17,1089.0
5:35.0,G. Mathews makes 3-pt jump shot from 25 ft (assist by D. Murray),42-56, ,,2,42,56,-14,1105.0
5:35.0, ,42-56,Denver full timeout,,2,42,56,-14,1105.0
5:35.0, ,42-56,Instant Replay (Challenge: Ruling Stands),,2,42,56,-14,1105.0
5:35.0,B. Bogdanović enters the game for V. Krejci,42-56, ,,2,42,56,-14,1105.0
5:35.0,J. Johnson enters the game for G. Mathews,42-56, ,,2,42,56,-14,1105.0
5:35.0, ,42-56,C. Braun enters the game for P. Watson,,2,42,56,-14,1105.0
5:20.0, ,42-56,J. Murray misses 2-pt layup from 2 ft,,2,42,56,-14,1120.0
5:19.0,Defensive rebound by C. Capela,42-56, ,,2,42,56,-14,1121.0
5:13.0,D. Hunter makes 2-pt jump shot from 11 ft (assist by J. Johnson),44-56, ,,2,44,56,-12,1127.0
4:53.0, ,44-56,J. Murray misses 3-pt jump shot from 25 ft,,2,44,56,-12,1147.0
4:51.0,Defensive rebound by J. Johnson,44-56, ,,2,44,56,-12,1149.0
4:41.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by J. Johnson),46-56, ,,2,46,56,-10,1159.0
4:24.0, ,46-56,Personal foul by C. Capela (drawn by N. Jokić),,2,46,56,-10,1176.0
4:14.0, ,46-59,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by N. Jokić),,2,46,59,-13,1186.0
