Time,Atlanta,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:27.0, ,45-50,Defensive rebound by D. Daniels,,2,45,50,-5,1173.0
4:24.0, ,45-52,Z. Williamson makes 2-pt dunk from 3 ft (assist by D. Daniels),,2,45,52,-7,1176.0
4:24.0,Atlanta full timeout,45-52, ,,2,45,52,-7,1176.0
4:24.0,J. Johnson enters the game for S. Bey,45-52, ,,2,45,52,-7,1176.0
4:12.0,C. Capela makes 2-pt dunk from 4 ft (assist by J. Johnson),47-52, ,,2,47,52,-5,1188.0
3:46.0, ,47-52,Turnover by B. Ingram (lost ball; steal by T. Young),,2,47,52,-5,1214.0
3:42.0,Turnover by D. Murray (out of bounds lost ball),47-52, ,,2,47,52,-5,1218.0
3:42.0, ,47-52,C. McCollum enters the game for M. Ryan,,2,47,52,-5,1218.0
3:32.0, ,47-52,Shooting foul by J. Johnson (drawn by Z. Williamson),,2,47,52,-5,1228.0
3:32.0, ,47-52,Z. Williamson misses free throw 1 of 2,,2,47,52,-5,1228.0
3:32.0, ,47-52,Offensive rebound by Team,,2,47,52,-5,1228.0
3:32.0, ,47-53,Z. Williamson makes free throw 2 of 2,,2,47,53,-6,1228.0
3:08.0,Turnover by Team (shot clock),47-53, ,,2,47,53,-6,1252.0
3:08.0, ,47-53,H. Jones enters the game for D. Daniels,,2,47,53,-6,1252.0
2:49.0, ,47-53,Z. Williamson misses 2-pt layup from 4 ft (block by C. Capela),,2,47,53,-6,1271.0
2:47.0, ,47-53,Offensive rebound by Z. Williamson,,2,47,53,-6,1273.0
2:46.0, ,47-53,Shooting foul by D. Hunter (drawn by Z. Williamson),,2,47,53,-6,1274.0
2:46.0,S. Bey enters the game for D. Hunter,47-53, ,,2,47,53,-6,1274.0
2:46.0, ,47-53,Z. Williamson misses free throw 1 of 2,,2,47,53,-6,1274.0
2:46.0, ,47-53,Offensive rebound by Team,,2,47,53,-6,1274.0
2:46.0, ,47-54,Z. Williamson makes free throw 2 of 2,,2,47,54,-7,1274.0
2:34.0,T. Young misses 3-pt jump shot from 27 ft,47-54, ,,2,47,54,-7,1286.0
2:33.0,Offensive rebound by T. Young,47-54, ,,2,47,54,-7,1287.0
2:32.0,T. Young misses 3-pt jump shot from 28 ft (block by C. McCollum),47-54, ,,2,47,54,-7,1288.0
2:31.0,Offensive rebound by T. Young,47-54, ,,2,47,54,-7,1289.0
2:21.0,T. Young makes 2-pt jump shot from 17 ft,49-54, ,,2,49,54,-5,1299.0
2:06.0, ,49-56,Z. Williamson makes 2-pt layup from 2 ft,,2,49,56,-7,1314.0
1:54.0,C. Capela makes 2-pt layup from 4 ft (assist by T. Young),51-56, ,,2,51,56,-5,1326.0
1:37.0, ,51-56,Z. Williamson misses 2-pt layup from 3 ft (block by C. Capela),,2,51,56,-5,1343.0
1:33.0,Defensive rebound by C. Capela,51-56, ,,2,51,56,-5,1347.0
1:30.0,Turnover by D. Murray (bad pass; steal by C. McCollum),51-56, ,,2,51,56,-5,1350.0
1:24.0, ,51-58,Z. Williamson makes 2-pt dunk from 2 ft (assist by C. McCollum),,2,51,58,-7,1356.0
1:04.0,Shooting foul by L. Nance (drawn by T. Young),51-58, ,,2,51,58,-7,1376.0
1:04.0,T. Young makes free throw 1 of 2,52-58, ,,2,52,58,-6,1376.0
1:04.0,T. Young makes free throw 2 of 2,53-58, ,,2,53,58,-5,1376.0
0:46.0, ,53-58,Shooting foul by J. Johnson (drawn by Z. Williamson),,2,53,58,-5,1394.0
0:46.0, ,53-59,Z. Williamson makes free throw 1 of 2,,2,53,59,-6,1394.0
0:46.0, ,53-60,Z. Williamson makes free throw 2 of 2,,2,53,60,-7,1394.0
0:34.0,D. Murray misses 3-pt jump shot from 26 ft,53-60, ,,2,53,60,-7,1406.0
0:30.0, ,53-60,Defensive rebound by B. Ingram,,2,53,60,-7,1410.0
0:13.0, ,53-60,L. Nance misses 3-pt jump shot from 24 ft,,2,53,60,-7,1427.0
0:11.0,Defensive rebound by J. Johnson,53-60, ,,2,53,60,-7,1429.0
0:02.0,S. Bey misses 3-pt jump shot from 22 ft,53-60, ,,2,53,60,-7,1438.0
0:02.0, ,53-60,Defensive rebound by Z. Williamson,,2,53,60,-7,1438.0
0:00.0,End of 2nd quarter,53-60,,,2,53,60,-7,1440.0
12:00.0,Start of 3rd quarter,53-60,,,3,53,60,-7,1440.0
11:40.0,Turnover by T. Young (bad pass; steal by J. Valančiūnas),53-60, ,,3,53,60,-7,1460.0
11:38.0, ,53-60,Shooting foul by T. Young (drawn by Z. Williamson),,3,53,60,-7,1462.0
11:38.0, ,53-60,Z. Williamson misses free throw 1 of 2,,3,53,60,-7,1462.0
11:38.0, ,53-60,Offensive rebound by Team,,3,53,60,-7,1462.0
11:38.0, ,53-61,Z. Williamson makes free throw 2 of 2,,3,53,61,-8,1462.0
11:25.0,D. Hunter misses 3-pt jump shot from 23 ft,53-61, ,,3,53,61,-8,1475.0
11:21.0, ,53-61,Defensive rebound by Z. Williamson,,3,53,61,-8,1479.0
11:17.0, ,53-63,Z. Williamson makes 2-pt layup from 2 ft,,3,53,63,-10,1483.0
11:05.0,D. Murray misses 3-pt jump shot from 25 ft,53-63, ,,3,53,63,-10,1495.0
11:01.0, ,53-63,Defensive rebound by J. Valančiūnas,,3,53,63,-10,1499.0
10:39.0, ,53-63,H. Jones misses 2-pt jump shot from 8 ft,,3,53,63,-10,1521.0
10:39.0, ,53-63,Offensive rebound by Team,,3,53,63,-10,1521.0
10:39.0, ,53-63,Turnover by Team (shot clock),,3,53,63,-10,1521.0
10:26.0,T. Young makes 2-pt jump shot from 11 ft,55-63, ,,3,55,63,-8,1534.0
10:15.0, ,55-63,Personal foul by C. Capela (drawn by J. Valančiūnas),,3,55,63,-8,1545.0
10:07.0, ,55-63,B. Ingram misses 2-pt layup from 6 ft,,3,55,63,-8,1553.0
10:06.0,Defensive rebound by D. Murray,55-63, ,,3,55,63,-8,1554.0
10:06.0,Shooting foul by Z. Williamson (drawn by D. Murray),55-63, ,,3,55,63,-8,1554.0
10:06.0,D. Murray makes free throw 1 of 2,56-63, ,,3,56,63,-7,1554.0
10:06.0,D. Murray makes free throw 2 of 2,57-63, ,,3,57,63,-6,1554.0
9:53.0, ,57-63,J. Valančiūnas misses 2-pt jump shot from 18 ft,,3,57,63,-6,1567.0
9:49.0,Defensive rebound by D. Hunter,57-63, ,,3,57,63,-6,1571.0
9:42.0,J. Johnson misses 2-pt layup from 4 ft,57-63, ,,3,57,63,-6,1578.0
9:39.0,Offensive rebound by C. Capela,57-63, ,,3,57,63,-6,1581.0
9:38.0,C. Capela makes 2-pt dunk from 1 ft,59-63, ,,3,59,63,-4,1582.0
9:19.0, ,59-65,C. McCollum makes 2-pt jump shot from 14 ft (assist by Z. Williamson),,3,59,65,-6,1601.0
9:04.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Murray),62-65, ,,3,62,65,-3,1616.0
8:56.0, ,62-65,Offensive foul by J. Valančiūnas (drawn by D. Hunter),,3,62,65,-3,1624.0
8:56.0, ,62-65,Turnover by J. Valančiūnas (offensive foul),,3,62,65,-3,1624.0
8:43.0,C. Capela makes 2-pt layup from 2 ft (assist by T. Young),64-65, ,,3,64,65,-1,1637.0
8:28.0, ,64-67,B. Ingram makes 2-pt jump shot from 12 ft,,3,64,67,-3,1652.0
8:08.0,J. Johnson makes 2-pt layup from 3 ft (assist by D. Murray),66-67, ,,3,66,67,-1,1672.0
7:50.0, ,66-67,Personal foul by T. Young (drawn by C. McCollum),,3,66,67,-1,1690.0
7:39.0, ,66-69,Z. Williamson makes 2-pt layup from 5 ft,,3,66,69,-3,1701.0
7:19.0,D. Murray misses 3-pt jump shot from 27 ft,66-69, ,,3,66,69,-3,1721.0
7:17.0,Offensive rebound by Team,66-69, ,,3,66,69,-3,1723.0
7:12.0,C. Capela makes 2-pt dunk at rim (assist by T. Young),68-69, ,,3,68,69,-1,1728.0
6:57.0, ,68-69,Z. Williamson misses 2-pt dunk from 6 ft,,3,68,69,-1,1743.0
6:54.0,Defensive rebound by C. Capela,68-69, ,,3,68,69,-1,1746.0
6:53.0,Shooting foul by C. McCollum (drawn by J. Johnson),68-69, ,,3,68,69,-1,1747.0
6:53.0, ,68-69,New Orleans full timeout,,3,68,69,-1,1747.0
6:53.0, ,68-69,L. Nance enters the game for J. Valančiūnas,,3,68,69,-1,1747.0
6:53.0,J. Johnson makes free throw 1 of 2,69-69, ,Tie,3,69,69,0,1747.0
