Time,Atlanta,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:04.0,S. Bey misses 2-pt jump shot from 9 ft,71-71, ,,3,71,71,0,1616.0
9:04.0, ,71-71,Defensive rebound by Team,,3,71,71,0,1616.0
9:04.0,Loose ball foul by C. Capela (drawn by V. Wembanyama),71-71, ,,3,71,71,0,1616.0
9:04.0,O. Okongwu enters the game for C. Capela,71-71, ,,3,71,71,0,1616.0
8:54.0, ,71-71,Turnover by K. Johnson (bad pass; steal by D. Murray),,3,71,71,0,1626.0
8:51.0,Shooting foul by K. Johnson (drawn by D. Murray),71-71, ,,3,71,71,0,1629.0
8:51.0,D. Murray makes free throw 1 of 2,72-71, ,,3,72,71,1,1629.0
8:51.0,D. Murray makes free throw 2 of 2,73-71, ,,3,73,71,2,1629.0
8:38.0, ,73-73,V. Wembanyama makes 2-pt jump shot from 17 ft (assist by J. Sochan),Tie,3,73,73,0,1642.0
8:26.0,T. Young misses 2-pt jump shot from 13 ft (block by V. Wembanyama),73-73, ,,3,73,73,0,1654.0
8:24.0, ,73-73,Defensive rebound by J. Sochan,,3,73,73,0,1656.0
8:18.0, ,73-75,V. Wembanyama makes 2-pt dunk from 1 ft (assist by Z. Collins),Lead change,3,73,75,-2,1662.0
8:01.0,D. Murray makes 2-pt jump shot from 11 ft,75-75, ,Tie,3,75,75,0,1679.0
7:47.0, ,75-77,J. Sochan makes 2-pt layup from 6 ft,,3,75,77,-2,1693.0
7:28.0,T. Young makes 2-pt jump shot from 21 ft,77-77, ,Tie,3,77,77,0,1712.0
7:28.0,Shooting foul by M. Branham (drawn by T. Young),77-77, ,,3,77,77,0,1712.0
7:28.0,T. Young makes free throw 1 of 1,78-77, ,Lead change,3,78,77,1,1712.0
7:14.0, ,78-77,Turnover by M. Branham (bad pass),,3,78,77,1,1726.0
7:07.0,O. Okongwu misses 3-pt jump shot from 27 ft,78-77, ,,3,78,77,1,1733.0
7:05.0, ,78-77,Defensive rebound by K. Johnson,,3,78,77,1,1735.0
7:02.0, ,78-77,Personal foul by O. Okongwu (drawn by V. Wembanyama),,3,78,77,1,1738.0
6:54.0, ,78-79,V. Wembanyama makes 2-pt jump shot from 15 ft (assist by K. Johnson),Lead change,3,78,79,-1,1746.0
6:40.0,D. Murray misses 2-pt jump shot from 12 ft,78-79, ,,3,78,79,-1,1760.0
6:38.0, ,78-79,Defensive rebound by K. Johnson,,3,78,79,-1,1762.0
