Time,San Antonio,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:01.0, ,16-46,S. Bey enters the game for J. Johnson,,2,46,16,30,959.0
8:01.0, ,16-46,T. Forrest enters the game for G. Mathews,,2,46,16,30,959.0
8:01.0, ,16-46,D. Murray enters the game for T. Young,,2,46,16,30,959.0
7:50.0,Turnover by J. Sochan (bad pass),16-46, ,,2,46,16,30,970.0
7:33.0, ,16-46,O. Okongwu misses 2-pt dunk from 1 ft (block by J. Sochan),,2,46,16,30,987.0
7:29.0,Defensive rebound by D. Vassell,16-46, ,,2,46,16,30,991.0
7:29.0,Shooting foul by B. Bogdanović (drawn by J. Sochan),16-46, ,,2,46,16,30,991.0
7:29.0,J. Sochan makes free throw 1 of 2,17-46, ,,2,46,17,29,991.0
7:29.0,J. Sochan makes free throw 2 of 2,18-46, ,,2,46,18,28,991.0
7:16.0, ,18-46,Turnover by O. Okongwu (lost ball; steal by V. Wembanyama),,2,46,18,28,1004.0
7:09.0,D. Vassell misses 3-pt jump shot from 23 ft,18-46, ,,2,46,18,28,1011.0
7:07.0, ,18-46,Defensive rebound by D. Murray,,2,46,18,28,1013.0
6:57.0, ,18-49,T. Forrest makes 3-pt jump shot from 25 ft (assist by O. Okongwu),,2,49,18,31,1023.0
6:41.0,J. Sochan misses 3-pt jump shot from 23 ft,18-49, ,,2,49,18,31,1039.0
6:39.0, ,18-49,Defensive rebound by D. Murray,,2,49,18,31,1041.0
6:28.0, ,18-49,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,49,18,31,1052.0
6:25.0, ,18-49,Offensive rebound by S. Bey,,2,49,18,31,1055.0
6:19.0, ,18-51,D. Murray makes 2-pt jump shot from 5 ft (assist by S. Bey),,2,51,18,33,1061.0
6:08.0,T. Jones makes 2-pt jump shot from 4 ft,20-51, ,,2,51,20,31,1072.0
5:55.0, ,20-51,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,51,20,31,1085.0
