Time,Atlanta,Score,Toronto,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:19.0,B. Bogdanović misses 2-pt jump shot from 9 ft,80-69, ,,3,80,69,11,1901.0
4:16.0, ,80-69,Defensive rebound by P. Siakam,,3,80,69,11,1904.0
4:02.0, ,80-69,O. Anunoby misses 2-pt layup from 2 ft,,3,80,69,11,1918.0
4:00.0,Defensive rebound by T. Forrest,80-69, ,,3,80,69,11,1920.0
3:50.0,G. Mathews makes 3-pt jump shot from 27 ft (assist by T. Forrest),83-69, ,,3,83,69,14,1930.0
3:26.0, ,83-72,G. Trent makes 3-pt jump shot from 26 ft (assist by P. Siakam),,3,83,72,11,1954.0
3:11.0,T. Forrest misses 2-pt layup from 2 ft,83-72, ,,3,83,72,11,1969.0
3:08.0,Offensive rebound by C. Capela,83-72, ,,3,83,72,11,1972.0
3:08.0,C. Capela misses 2-pt layup at rim,83-72, ,,3,83,72,11,1972.0
3:07.0, ,83-72,Defensive rebound by M. Flynn,,3,83,72,11,1973.0
2:55.0, ,83-72,Turnover by M. Flynn (bad pass),,3,83,72,11,1985.0
2:55.0, ,83-72,Toronto full timeout,,3,83,72,11,1985.0
2:55.0,S. Bey enters the game for C. Capela,83-72, ,,3,83,72,11,1985.0
2:55.0,O. Okongwu enters the game for T. Forrest,83-72, ,,3,83,72,11,1985.0
2:55.0,T. Young enters the game for D. Murray,83-72, ,,3,83,72,11,1985.0
2:37.0,T. Young makes 2-pt jump shot from 12 ft,85-72, ,,3,85,72,13,2003.0
2:17.0, ,85-72,G. Trent misses 3-pt jump shot from 25 ft,,3,85,72,13,2023.0
2:14.0,Defensive rebound by S. Bey,85-72, ,,3,85,72,13,2026.0
2:04.0,T. Young misses 3-pt jump shot from 27 ft,85-72, ,,3,85,72,13,2036.0
2:01.0, ,85-72,Defensive rebound by P. Achiuwa,,3,85,72,13,2039.0
1:46.0, ,85-74,P. Achiuwa makes 2-pt layup from 2 ft (assist by G. Trent),,3,85,74,11,2054.0
1:29.0,S. Bey misses 3-pt jump shot from 23 ft,85-74, ,,3,85,74,11,2071.0
1:26.0, ,85-74,Defensive rebound by P. Achiuwa,,3,85,74,11,2074.0
1:22.0, ,85-74,Personal foul by B. Bogdanović (drawn by P. Achiuwa),,3,85,74,11,2078.0
1:22.0, ,85-75,P. Achiuwa makes free throw 1 of 2,,3,85,75,10,2078.0
1:22.0, ,85-75,S. Barnes enters the game for O. Anunoby,,3,85,75,10,2078.0
1:22.0, ,85-75,P. Achiuwa misses free throw 2 of 2,,3,85,75,10,2078.0
1:17.0,Defensive rebound by G. Mathews,85-75, ,,3,85,75,10,2083.0
1:06.0,T. Young misses 2-pt layup from 6 ft (block by S. Barnes),85-75, ,,3,85,75,10,2094.0
1:02.0,Offensive rebound by T. Young,85-75, ,,3,85,75,10,2098.0
1:01.0,T. Young makes 2-pt layup from 1 ft,87-75, ,,3,87,75,12,2099.0
0:52.0, ,87-77,S. Barnes makes 2-pt jump shot from 7 ft (assist by P. Achiuwa),,3,87,77,10,2108.0
0:52.0, ,87-77,Shooting foul by G. Mathews (drawn by S. Barnes),,3,87,77,10,2108.0
0:52.0, ,87-78,S. Barnes makes free throw 1 of 1,,3,87,78,9,2108.0
0:31.0,T. Young misses 3-pt jump shot from 27 ft,87-78, ,,3,87,78,9,2129.0
0:28.0,Offensive rebound by O. Okongwu,87-78, ,,3,87,78,9,2132.0
0:28.0,Turnover by Team (shot clock),87-78, ,,3,87,78,9,2132.0
0:09.0, ,87-78,P. Siakam misses 2-pt jump shot from 20 ft,,3,87,78,9,2151.0
0:07.0,Defensive rebound by S. Bey,87-78, ,,3,87,78,9,2153.0
0:00.0,S. Bey misses 3-pt jump shot from 33 ft,87-78, ,,3,87,78,9,2160.0
0:00.0,Offensive rebound by Team,87-78, ,,3,87,78,9,2160.0
0:00.0,End of 3rd quarter,87-78,,,3,87,78,9,2160.0
12:00.0,Start of 4th quarter,87-78,,,4,87,78,9,2160.0
11:49.0, ,87-78,Turnover by S. Barnes (bad pass; steal by G. Mathews),,4,87,78,9,2171.0
11:45.0,Turnover by O. Okongwu (bad pass; steal by C. Boucher),87-78, ,,4,87,78,9,2175.0
11:32.0, ,87-78,Shooting foul by O. Okongwu (drawn by C. Boucher),,4,87,78,9,2188.0
11:32.0, ,87-79,C. Boucher makes free throw 1 of 2,,4,87,79,8,2188.0
11:32.0, ,87-79,C. Boucher misses free throw 2 of 2,,4,87,79,8,2188.0
11:30.0,Defensive rebound by B. Bogdanović,87-79, ,,4,87,79,8,2190.0
11:15.0,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),89-79, ,,4,89,79,10,2205.0
10:59.0, ,89-81,S. Barnes makes 2-pt hook shot from 9 ft,,4,89,81,8,2221.0
10:44.0,S. Bey misses 3-pt jump shot from 24 ft,89-81, ,,4,89,81,8,2236.0
10:43.0, ,89-81,Defensive rebound by Team,,4,89,81,8,2237.0
10:43.0,Loose ball foul by G. Mathews (drawn by G. Trent),89-81, ,,4,89,81,8,2237.0
10:32.0, ,89-83,S. Barnes makes 2-pt jump shot from 6 ft,,4,89,83,6,2248.0
10:18.0,T. Young makes 3-pt jump shot from 27 ft,92-83, ,,4,92,83,9,2262.0
9:59.0, ,92-85,C. Boucher makes 2-pt dunk from 1 ft (assist by S. Barnes),,4,92,85,7,2281.0
9:59.0, ,92-85,Shooting foul by O. Okongwu (drawn by C. Boucher),,4,92,85,7,2281.0
9:59.0, ,92-86,C. Boucher makes free throw 1 of 1,,4,92,86,6,2281.0
9:49.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),95-86, ,,4,95,86,9,2291.0
9:32.0, ,95-86,G. Trent misses 3-pt jump shot from 26 ft,,4,95,86,9,2308.0
9:29.0,Defensive rebound by S. Bey,95-86, ,,4,95,86,9,2311.0
9:15.0,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by S. Bey),97-86, ,,4,97,86,11,2325.0
9:14.0, ,97-86,Toronto full timeout,,4,97,86,11,2326.0
9:14.0,C. Capela enters the game for G. Mathews,97-86, ,,4,97,86,11,2326.0
8:50.0, ,97-88,P. Achiuwa makes 2-pt layup from 1 ft,,4,97,88,9,2350.0
8:37.0,T. Young makes 3-pt jump shot from 34 ft (assist by B. Bogdanović),100-88, ,,4,100,88,12,2363.0
8:20.0, ,100-90,D. Schröder makes 2-pt jump shot from 15 ft (assist by P. Achiuwa),,4,100,90,10,2380.0
8:05.0,O. Okongwu makes 3-pt jump shot from 23 ft (assist by T. Young),103-90, ,,4,103,90,13,2395.0
7:51.0, ,103-90,P. Achiuwa misses 3-pt jump shot from 26 ft,,4,103,90,13,2409.0
7:51.0,Defensive rebound by Team,103-90, ,,4,103,90,13,2409.0
7:51.0,D. Murray enters the game for T. Young,103-90, ,,4,103,90,13,2409.0
7:35.0,C. Capela makes 2-pt hook shot from 6 ft (assist by B. Bogdanović),105-90, ,,4,105,90,15,2425.0
7:35.0, ,105-90,Violation by Team (def goaltending),,4,105,90,15,2425.0
7:23.0, ,105-90,Personal foul by B. Bogdanović (drawn by G. Trent),,4,105,90,15,2437.0
7:23.0, ,105-90,O. Anunoby enters the game for P. Achiuwa,,4,105,90,15,2437.0
7:13.0, ,105-90,G. Trent misses 2-pt jump shot from 13 ft,,4,105,90,15,2447.0
7:11.0,Defensive rebound by B. Bogdanović,105-90, ,,4,105,90,15,2449.0
7:06.0,O. Okongwu makes 2-pt hook shot from 4 ft (assist by B. Bogdanović),107-90, ,,4,107,90,17,2454.0
7:06.0,Shooting foul by D. Schröder (drawn by O. Okongwu),107-90, ,,4,107,90,17,2454.0
7:06.0, ,107-90,Toronto full timeout,,4,107,90,17,2454.0
7:06.0,O. Okongwu makes free throw 1 of 1,108-90, ,,4,108,90,18,2454.0
6:53.0, ,108-90,C. Boucher misses 3-pt jump shot from 23 ft,,4,108,90,18,2467.0
6:50.0,Defensive rebound by D. Murray,108-90, ,,4,108,90,18,2470.0
6:42.0,D. Murray misses 2-pt jump shot from 7 ft (block by C. Boucher),108-90, ,,4,108,90,18,2478.0
6:39.0, ,108-90,Defensive rebound by C. Boucher,,4,108,90,18,2481.0
6:39.0,T. Young enters the game for S. Bey,108-90, ,,4,108,90,18,2481.0
6:39.0, ,108-90,P. Siakam enters the game for G. Trent,,4,108,90,18,2481.0
6:35.0, ,108-90,O. Anunoby misses 3-pt jump shot from 23 ft,,4,108,90,18,2485.0
6:32.0,Defensive rebound by T. Young,108-90, ,,4,108,90,18,2488.0
6:18.0,C. Capela misses 2-pt layup from 4 ft (block by C. Boucher),108-90, ,,4,108,90,18,2502.0
6:15.0,Offensive rebound by C. Capela,108-90, ,,4,108,90,18,2505.0
6:13.0,C. Capela makes 2-pt layup at rim,110-90, ,,4,110,90,20,2507.0
6:06.0, ,110-92,P. Siakam makes 2-pt jump shot from 9 ft (assist by D. Schröder),,4,110,92,18,2514.0
5:50.0,T. Young misses 3-pt jump shot from 32 ft,110-92, ,,4,110,92,18,2530.0
5:48.0,Offensive rebound by O. Okongwu,110-92, ,,4,110,92,18,2532.0
5:35.0,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),113-92, ,,4,113,92,21,2545.0
5:17.0, ,113-95,C. Boucher makes 3-pt jump shot from 23 ft (assist by P. Siakam),,4,113,95,18,2563.0
4:49.0,Turnover by T. Young (bad pass; steal by P. Siakam),113-95, ,,4,113,95,18,2591.0
4:46.0, ,113-97,P. Siakam makes 2-pt dunk from 1 ft,,4,113,97,16,2594.0
4:46.0,Atlanta full timeout,113-97, ,,4,113,97,16,2594.0
4:46.0,S. Bey enters the game for B. Bogdanović,113-97, ,,4,113,97,16,2594.0
4:46.0, ,113-97,J. Poeltl enters the game for C. Boucher,,4,113,97,16,2594.0
4:33.0,D. Murray misses 3-pt jump shot from 26 ft,113-97, ,,4,113,97,16,2607.0
4:30.0,Offensive rebound by C. Capela,113-97, ,,4,113,97,16,2610.0
4:23.0,Personal foul by J. Poeltl (drawn by T. Young),113-97, ,,4,113,97,16,2617.0
4:21.0,D. Murray makes 2-pt jump shot from 10 ft (assist by T. Young),115-97, ,,4,115,97,18,2619.0
4:13.0, ,115-99,J. Poeltl makes 2-pt layup at rim (assist by S. Barnes),,4,115,99,16,2627.0
3:53.0,T. Young makes 2-pt jump shot from 11 ft (assist by D. Murray),117-99, ,,4,117,99,18,2647.0
3:42.0, ,117-99,S. Barnes misses 2-pt hook shot from 10 ft,,4,117,99,18,2658.0
3:41.0,Defensive rebound by C. Capela,117-99, ,,4,117,99,18,2659.0
3:41.0,Personal foul by S. Barnes (drawn by C. Capela),117-99, ,,4,117,99,18,2659.0
3:17.0,O. Okongwu misses 3-pt jump shot from 25 ft,117-99, ,,4,117,99,18,2683.0
3:15.0,Offensive rebound by S. Bey,117-99, ,,4,117,99,18,2685.0
3:02.0,T. Young makes 2-pt layup from 5 ft,119-99, ,,4,119,99,20,2698.0
2:53.0, ,119-99,P. Siakam misses 2-pt layup from 1 ft (block by C. Capela),,4,119,99,20,2707.0
2:50.0,Defensive rebound by S. Bey,119-99, ,,4,119,99,20,2710.0
2:44.0,D. Murray misses 2-pt jump shot from 6 ft,119-99, ,,4,119,99,20,2716.0
2:43.0,Offensive rebound by C. Capela,119-99, ,,4,119,99,20,2717.0
2:43.0,C. Capela makes 2-pt layup at rim,121-99, ,,4,121,99,22,2717.0
2:43.0, ,121-99,Toronto full timeout,,4,121,99,22,2717.0
2:43.0, ,121-99,G. Dick enters the game for O. Anunoby,,4,121,99,22,2717.0
2:43.0, ,121-99,M. Flynn enters the game for S. Barnes,,4,121,99,22,2717.0
2:43.0, ,121-99,J. McDaniels enters the game for J. Poeltl,,4,121,99,22,2717.0
2:43.0, ,121-99,G. Temple enters the game for D. Schröder,,4,121,99,22,2717.0
2:43.0, ,121-99,T. Young enters the game for P. Siakam,,4,121,99,22,2717.0
2:25.0, ,121-99,J. McDaniels misses 2-pt jump shot from 11 ft,,4,121,99,22,2735.0
2:22.0,Defensive rebound by C. Capela,121-99, ,,4,121,99,22,2738.0
2:05.0,T. Young misses 2-pt jump shot from 10 ft,121-99, ,,4,121,99,22,2755.0
2:02.0, ,121-99,Defensive rebound by M. Flynn,,4,121,99,22,2758.0
1:59.0, ,121-99,J. McDaniels misses 3-pt jump shot from 25 ft,,4,121,99,22,2761.0
1:55.0,Defensive rebound by C. Capela,121-99, ,,4,121,99,22,2765.0
1:41.0,D. Murray misses 2-pt jump shot from 15 ft,121-99, ,,4,121,99,22,2779.0
1:38.0, ,121-99,Defensive rebound by M. Flynn,,4,121,99,22,2782.0
1:33.0, ,121-99,G. Dick misses 3-pt jump shot from 28 ft,,4,121,99,22,2787.0
1:31.0,Defensive rebound by O. Okongwu,121-99, ,,4,121,99,22,2789.0
1:19.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Young),123-99, ,,4,123,99,24,2801.0
1:13.0, ,123-99,J. McDaniels misses 3-pt jump shot from 26 ft,,4,123,99,24,2807.0
1:11.0,Defensive rebound by O. Okongwu,123-99, ,,4,123,99,24,2809.0
1:04.0,Turnover by T. Young (step out of bounds),123-99, ,,4,123,99,24,2816.0
1:04.0,B. Fernando enters the game for S. Bey,123-99, ,,4,123,99,24,2816.0
1:04.0,T. Forrest enters the game for C. Capela,123-99, ,,4,123,99,24,2816.0
1:04.0,S. Lundy enters the game for D. Murray,123-99, ,,4,123,99,24,2816.0
1:04.0,G. Mathews enters the game for O. Okongwu,123-99, ,,4,123,99,24,2816.0
1:04.0,P. Mills enters the game for T. Young,123-99, ,,4,123,99,24,2816.0
0:59.0, ,123-99,Shooting foul by S. Lundy (drawn by M. Flynn),,4,123,99,24,2821.0
0:59.0, ,123-100,M. Flynn makes free throw 1 of 2,,4,123,100,23,2821.0
0:59.0, ,123-101,M. Flynn makes free throw 2 of 2,,4,123,101,22,2821.0
0:48.0,S. Lundy makes 2-pt jump shot from 18 ft (assist by T. Forrest),125-101, ,,4,125,101,24,2832.0
0:35.0, ,125-101,G. Dick misses 3-pt jump shot from 26 ft,,4,125,101,24,2845.0
0:32.0,Defensive rebound by Team,125-101, ,,4,125,101,24,2848.0
0:08.0,Turnover by Team (shot clock),125-101, ,,4,125,101,24,2872.0
0:01.0, ,125-104,G. Dick makes 3-pt jump shot from 33 ft (assist by G. Temple),,4,125,104,21,2879.0
0:00.0,End of 4th quarter,125-104,,,4,125,104,21,2880.0
