Time,Charlotte,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:01.0, ,70-92,Personal foul by G. Williams (drawn by B. Fernando),,3,92,70,22,2039.0
2:01.0,D. Bertāns enters the game for B. Miller,70-92, ,,3,92,70,22,2039.0
1:54.0, ,70-95,G. Mathews makes 3-pt jump shot from 25 ft (assist by T. Forrest),,3,95,70,25,2046.0
1:36.0,G. Williams misses 3-pt jump shot from 25 ft,70-95, ,,3,95,70,25,2064.0
1:33.0,Offensive rebound by M. Bridges,70-95, ,,3,95,70,25,2067.0
1:32.0,M. Bridges makes 2-pt layup from 1 ft,72-95, ,,3,95,72,23,2068.0
1:32.0,Shooting foul by B. Fernando (drawn by M. Bridges),72-95, ,,3,95,72,23,2068.0
1:32.0,M. Bridges misses free throw 1 of 1,72-95, ,,3,95,72,23,2068.0
1:30.0, ,72-95,Defensive rebound by Team,,3,95,72,23,2070.0
1:14.0, ,72-97,B. Fernando makes 2-pt dunk from 1 ft (assist by T. Forrest),,3,97,72,25,2086.0
1:00.0,T. Mann misses 3-pt jump shot from 24 ft,72-97, ,,3,97,72,25,2100.0
0:58.0,Offensive rebound by G. Williams,72-97, ,,3,97,72,25,2102.0
0:58.0,G. Williams makes 2-pt layup from 1 ft,74-97, ,,3,97,74,23,2102.0
0:44.0, ,74-97,T. Forrest misses 2-pt jump shot from 3 ft,,3,97,74,23,2116.0
0:42.0,Defensive rebound by G. Williams,74-97, ,,3,97,74,23,2118.0
0:36.0,D. Bertāns misses 2-pt layup from 3 ft,74-97, ,,3,97,74,23,2124.0
0:33.0,Offensive rebound by A. Pokusevski,74-97, ,,3,97,74,23,2127.0
0:32.0,G. Williams misses 3-pt jump shot from 25 ft,74-97, ,,3,97,74,23,2128.0
0:32.0,Offensive rebound by T. Mann,74-97, ,,3,97,74,23,2128.0
0:28.0,T. Mann misses 2-pt layup from 1 ft,74-97, ,,3,97,74,23,2132.0
0:24.0, ,74-97,Defensive rebound by D. Windler,,3,97,74,23,2136.0
0:01.0, ,74-99,T. Forrest makes 2-pt layup from 2 ft,,3,99,74,25,2159.0
0:00.0,End of 3rd quarter,74-99,,,3,99,74,25,2160.0
12:00.0,Start of 4th quarter,74-99,,,4,99,74,25,2160.0
11:45.0, ,74-101,B. Fernando makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,4,101,74,27,2175.0
11:29.0,B. Miller misses 2-pt jump shot from 11 ft,74-101, ,,4,101,74,27,2191.0
11:26.0, ,74-101,Defensive rebound by W. Matthews,,4,101,74,27,2194.0
11:06.0, ,74-101,T. Forrest misses 3-pt jump shot from 23 ft,,4,101,74,27,2214.0
11:02.0,Defensive rebound by N. Richards,74-101, ,,4,101,74,27,2218.0
10:51.0,N. Richards misses 2-pt layup from 2 ft (block by W. Matthews),74-101, ,,4,101,74,27,2229.0
10:51.0, ,74-101,Defensive rebound by W. Matthews,,4,101,74,27,2229.0
10:36.0, ,74-101,W. Matthews misses 3-pt jump shot from 26 ft,,4,101,74,27,2244.0
10:31.0, ,74-101,Offensive rebound by D. Windler,,4,101,74,27,2249.0
10:31.0, ,74-101,Turnover by D. Windler (bad pass),,4,101,74,27,2249.0
10:10.0,T. Mann misses 3-pt jump shot from 25 ft,74-101, ,,4,101,74,27,2270.0
10:03.0, ,74-101,Defensive rebound by B. Bogdanović,,4,101,74,27,2277.0
9:53.0, ,74-104,W. Matthews makes 3-pt jump shot from 24 ft (assist by T. Forrest),,4,104,74,30,2287.0
9:35.0,B. Miller makes 3-pt jump shot from 25 ft (assist by T. Mann),77-104, ,,4,104,77,27,2305.0
9:20.0, ,77-104,B. Bogdanović misses 2-pt layup from 2 ft (block by D. Bertāns),,4,104,77,27,2320.0
9:20.0,Defensive rebound by B. Miller,77-104, ,,4,104,77,27,2320.0
9:14.0,D. Bertāns misses 3-pt jump shot from 26 ft,77-104, ,,4,104,77,27,2326.0
9:10.0, ,77-104,Defensive rebound by B. Fernando,,4,104,77,27,2330.0
9:02.0, ,77-106,B. Fernando makes 2-pt jump shot from 10 ft (assist by T. Forrest),,4,106,77,29,2338.0
8:44.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by T. Mann),80-106, ,,4,106,80,26,2356.0
8:27.0, ,80-108,B. Fernando makes 2-pt layup from 4 ft,,4,108,80,28,2373.0
8:27.0,Violation by Team (def goaltending),80-108, ,,4,108,80,28,2373.0
8:19.0,Personal foul by D. Windler (drawn by G. Williams),80-108, ,,4,108,80,28,2381.0
8:19.0, ,80-108,G. Mathews enters the game for B. Bogdanović,,4,108,80,28,2381.0
8:19.0, ,80-108,D. Murray enters the game for T. Forrest,,4,108,80,28,2381.0
8:07.0,T. Mann misses 3-pt jump shot from 26 ft,80-108, ,,4,108,80,28,2393.0
8:04.0, ,80-108,Defensive rebound by Team,,4,108,80,28,2396.0
8:04.0, ,80-108,C. Capela enters the game for B. Fernando,,4,108,80,28,2396.0
7:46.0, ,80-110,D. Murray makes 2-pt jump shot from 13 ft (assist by D. Windler),,4,110,80,30,2414.0
7:29.0,Personal foul by G. Mathews (drawn by T. Mann),80-110, ,,4,110,80,30,2431.0
7:29.0,M. Bridges enters the game for G. Williams,80-110, ,,4,110,80,30,2431.0
7:29.0, ,80-110,D. Hunter enters the game for W. Matthews,,4,110,80,30,2431.0
7:29.0, ,80-110,V. Krejci enters the game for D. Windler,,4,110,80,30,2431.0
7:23.0,T. Mann misses 2-pt layup from 1 ft,80-110, ,,4,110,80,30,2437.0
7:22.0,Offensive rebound by N. Richards,80-110, ,,4,110,80,30,2438.0
7:20.0,N. Richards makes 2-pt dunk at rim,82-110, ,,4,110,82,28,2440.0
7:02.0, ,82-113,G. Mathews makes 3-pt jump shot from 25 ft (assist by D. Murray),,4,113,82,31,2458.0
6:49.0,D. Bertāns misses 3-pt jump shot from 23 ft,82-113, ,,4,113,82,31,2471.0
6:45.0, ,82-113,Defensive rebound by G. Mathews,,4,113,82,31,2475.0
6:32.0, ,82-116,G. Mathews makes 3-pt jump shot from 24 ft (assist by V. Krejci),,4,116,82,34,2488.0
6:31.0,Charlotte full timeout,82-116, ,,4,116,82,34,2489.0
6:31.0,V. Micić enters the game for T. Mann,82-116, ,,4,116,82,34,2489.0
6:31.0,A. Pokusevski enters the game for B. Miller,82-116, ,,4,116,82,34,2489.0
6:09.0,N. Richards makes 2-pt jump shot from 10 ft (assist by A. Pokusevski),84-116, ,,4,116,84,32,2511.0
5:50.0, ,84-116,D. Hunter misses 3-pt jump shot from 26 ft,,4,116,84,32,2530.0
5:44.0,Defensive rebound by N. Richards,84-116, ,,4,116,84,32,2536.0
5:41.0,Turnover by M. Bridges (bad pass; steal by D. Murray),84-116, ,,4,116,84,32,2539.0
5:38.0, ,84-118,D. Murray makes 2-pt layup from 1 ft,,4,118,84,34,2542.0
5:19.0,Turnover by M. Bridges (bad pass; steal by D. Murray),84-118, ,,4,118,84,34,2561.0
5:14.0, ,84-118,D. Hunter misses 3-pt jump shot from 26 ft,,4,118,84,34,2566.0
5:12.0,Defensive rebound by Team,84-118, ,,4,118,84,34,2568.0
5:12.0, ,84-118,T. Forrest enters the game for D. Hunter,,4,118,84,34,2568.0
5:12.0, ,84-118,W. Matthews enters the game for D. Murray,,4,118,84,34,2568.0
4:58.0,V. Micić misses 2-pt layup at rim,84-118, ,,4,118,84,34,2582.0
4:55.0, ,84-118,Defensive rebound by C. Capela,,4,118,84,34,2585.0
4:40.0, ,84-121,V. Krejci makes 3-pt jump shot from 27 ft (assist by G. Mathews),,4,121,84,37,2600.0
4:27.0,V. Micić makes 2-pt jump shot from 11 ft,86-121, ,,4,121,86,35,2613.0
4:10.0, ,86-123,C. Capela makes 2-pt layup from 2 ft (assist by T. Forrest),,4,123,86,37,2630.0
4:05.0,Personal foul by W. Matthews (drawn by V. Micić),86-123, ,,4,123,86,37,2635.0
4:05.0, ,86-123,B. Fernando enters the game for C. Capela,,4,123,86,37,2635.0
4:05.0, ,86-123,D. Windler enters the game for V. Krejci,,4,123,86,37,2635.0
3:54.0,M. Bridges makes 2-pt jump shot from 19 ft (assist by A. Pokusevski),88-123, ,,4,123,88,35,2646.0
3:35.0, ,88-123,B. Fernando misses 2-pt hook shot from 4 ft,,4,123,88,35,2665.0
3:32.0,Defensive rebound by N. Richards,88-123, ,,4,123,88,35,2668.0
3:26.0,M. Bridges misses 3-pt jump shot from 24 ft,88-123, ,,4,123,88,35,2674.0
3:22.0, ,88-123,Defensive rebound by W. Matthews,,4,123,88,35,2678.0
3:05.0, ,88-125,B. Fernando makes 2-pt layup from 2 ft (assist by D. Windler),,4,125,88,37,2695.0
3:05.0, ,88-125,Shooting foul by V. Micić (drawn by B. Fernando),,4,125,88,37,2695.0
3:05.0,A. Bailey enters the game for M. Bridges,88-125, ,,4,125,88,37,2695.0
3:05.0,N. Smith enters the game for V. Micić,88-125, ,,4,125,88,37,2695.0
3:05.0, ,88-125,B. Fernando misses free throw 1 of 1,,4,125,88,37,2695.0
3:02.0,Defensive rebound by N. Richards,88-125, ,,4,125,88,37,2698.0
2:50.0,Turnover by N. Richards (bad pass; steal by W. Matthews),88-125, ,,4,125,88,37,2710.0
2:47.0, ,88-128,W. Matthews makes 3-pt jump shot from 27 ft,,4,128,88,40,2713.0
2:30.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by A. Pokusevski),91-128, ,,4,128,91,37,2730.0
2:08.0, ,91-128,D. Windler misses 3-pt jump shot from 22 ft,,4,128,91,37,2752.0
2:05.0,Defensive rebound by A. Pokusevski,91-128, ,,4,128,91,37,2755.0
1:59.0, ,91-128,Atlanta full timeout,,4,128,91,37,2761.0
1:59.0,G. Williams enters the game for N. Richards,91-128, ,,4,128,91,37,2761.0
1:59.0, ,91-128,V. Krejci enters the game for W. Matthews,,4,128,91,37,2761.0
1:46.0,N. Smith misses 3-pt jump shot from 26 ft,91-128, ,,4,128,91,37,2774.0
1:44.0, ,91-128,Defensive rebound by T. Forrest,,4,128,91,37,2776.0
1:32.0, ,91-128,Turnover by T. Forrest (lost ball; steal by A. Pokusevski),,4,128,91,37,2788.0
1:28.0,Turnover by D. Bertāns (bad pass; steal by D. Windler),91-128, ,,4,128,91,37,2792.0
1:08.0, ,91-130,G. Mathews makes 2-pt layup from 2 ft (assist by V. Krejci),,4,130,91,39,2812.0
1:00.0,Turnover by N. Smith (bad pass; steal by T. Forrest),91-130, ,,4,130,91,39,2820.0
0:51.0, ,91-130,B. Fernando misses 3-pt jump shot from 26 ft,,4,130,91,39,2829.0
0:49.0, ,91-130,Offensive rebound by Team,,4,130,91,39,2831.0
0:47.0, ,91-132,D. Windler makes 2-pt layup from 2 ft (assist by T. Forrest),,4,132,91,41,2833.0
0:40.0,N. Smith misses 2-pt jump shot from 20 ft,91-132, ,,4,132,91,41,2840.0
0:37.0, ,91-132,Defensive rebound by B. Fernando,,4,132,91,41,2843.0
0:14.0, ,91-132,Turnover by Team (shot clock),,4,132,91,41,2866.0
0:00.0,N. Smith misses 3-pt jump shot from 26 ft,91-132, ,,4,132,91,41,2880.0
0:00.0,Offensive rebound by Team,91-132, ,,4,132,91,41,2880.0
0:00.0,End of 4th quarter,91-132,,,4,132,91,41,2880.0
