Time,Denver,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:35.0, ,33-41,P. Pritchard makes 3-pt jump shot from 23 ft (assist by L. Kornet),,2,41,33,8,865.0
9:19.0,J. Murray makes 3-pt jump shot from 26 ft,36-41, ,,2,41,36,5,881.0
8:57.0, ,36-41,J. Holiday misses 2-pt jump shot from 11 ft,,2,41,36,5,903.0
8:56.0,Defensive rebound by J. Murray,36-41, ,,2,41,36,5,904.0
8:43.0,J. Murray makes 2-pt jump shot from 18 ft,38-41, ,,2,41,38,3,917.0
8:26.0, ,38-41,J. Tatum misses 3-pt jump shot from 28 ft,,2,41,38,3,934.0
8:23.0,Defensive rebound by J. Murray,38-41, ,,2,41,38,3,937.0
8:21.0,P. Watson makes 2-pt dunk from 1 ft (assist by J. Murray),40-41, ,,2,41,40,1,939.0
8:03.0, ,40-43,L. Kornet makes 2-pt layup from 1 ft (assist by P. Pritchard),,2,43,40,3,957.0
7:44.0,Def 3 sec tech foul by Team,40-43, ,,2,43,40,3,976.0
7:44.0,J. Murray misses technical free throw,40-43, ,,2,43,40,3,976.0
7:44.0,Offensive rebound by Team,40-43, ,,2,43,40,3,976.0
7:44.0,K. Caldwell-Pope enters the game for A. Gordon,40-43, ,,2,43,40,3,976.0
7:44.0,N. Jokić enters the game for R. Jackson,40-43, ,,2,43,40,3,976.0
7:44.0, ,40-43,J. Brown enters the game for S. Hauser,,2,43,40,3,976.0
7:44.0, ,40-43,A. Horford enters the game for J. Holiday,,2,43,40,3,976.0
7:44.0, ,40-43,K. Porziņģis enters the game for L. Kornet,,2,43,40,3,976.0
7:44.0, ,40-43,D. White enters the game for P. Pritchard,,2,43,40,3,976.0
7:30.0,Turnover by Team (shot clock),40-43, ,,2,43,40,3,990.0
7:19.0, ,40-43,A. Horford misses 3-pt jump shot from 23 ft,,2,43,40,3,1001.0
7:17.0,Defensive rebound by J. Murray,40-43, ,,2,43,40,3,1003.0
7:05.0,J. Murray misses 3-pt jump shot from 26 ft,40-43, ,,2,43,40,3,1015.0
7:03.0, ,40-43,Defensive rebound by K. Porziņģis,,2,43,40,3,1017.0
6:54.0, ,40-43,J. Brown misses 2-pt layup from 2 ft (block by P. Watson),,2,43,40,3,1026.0
6:51.0,Defensive rebound by N. Jokić,40-43, ,,2,43,40,3,1029.0
6:47.0,P. Watson makes 3-pt jump shot from 26 ft (assist by J. Murray),43-43, ,Tie,2,43,43,0,1033.0
6:26.0, ,43-43,J. Brown misses 3-pt jump shot from 25 ft,,2,43,43,0,1054.0
