Time,Boston,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:16.0,K. Porziņģis makes free throw 2 of 2,50-44, ,,2,50,44,6,1124.0
4:58.0, ,50-44,D. Vassell misses 3-pt jump shot from 25 ft,,2,50,44,6,1142.0
4:56.0,Defensive rebound by K. Porziņģis,50-44, ,,2,50,44,6,1144.0
4:38.0,J. Brown misses 2-pt layup from 1 ft,50-44, ,,2,50,44,6,1162.0
4:36.0, ,50-44,Defensive rebound by M. Branham,,2,50,44,6,1164.0
4:27.0, ,50-44,V. Wembanyama misses 2-pt jump shot from 15 ft,,2,50,44,6,1173.0
4:25.0,Defensive rebound by K. Porziņģis,50-44, ,,2,50,44,6,1175.0
4:20.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by D. White),53-44, ,,2,53,44,9,1180.0
4:20.0, ,53-44,San Antonio full timeout,,2,53,44,9,1180.0
4:20.0, ,53-44,S. Mamukelashvili enters the game for V. Wembanyama,,2,53,44,9,1180.0
3:58.0, ,53-44,J. Sochan misses 2-pt hook shot from 3 ft (block by J. Tatum),,2,53,44,9,1202.0
3:57.0, ,53-44,Offensive rebound by Team,,2,53,44,9,1203.0
3:55.0, ,53-44,Turnover by Team (shot clock),,2,53,44,9,1205.0
3:39.0,K. Porziņģis makes 2-pt jump shot from 14 ft,55-44, ,,2,55,44,11,1221.0
3:26.0, ,55-47,J. Sochan makes 3-pt jump shot from 26 ft (assist by D. Vassell),,2,55,47,8,1234.0
3:16.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),58-47, ,,2,58,47,11,1244.0
3:03.0, ,58-47,Shooting foul by J. Tatum (drawn by M. Branham),,2,58,47,11,1257.0
3:03.0, ,58-48,M. Branham makes free throw 1 of 2,,2,58,48,10,1257.0
3:03.0, ,58-48,T. Jones enters the game for J. Champagnie,,2,58,48,10,1257.0
3:03.0, ,58-48,M. Branham misses free throw 2 of 2,,2,58,48,10,1257.0
3:01.0,Defensive rebound by J. Brown,58-48, ,,2,58,48,10,1259.0
2:49.0,D. White makes 2-pt layup at rim,60-48, ,,2,60,48,12,1271.0
2:42.0, ,60-48,Turnover by T. Jones (bad pass; steal by O. Brissett),,2,60,48,12,1278.0
2:38.0,O. Brissett misses 2-pt layup from 1 ft,60-48, ,,2,60,48,12,1282.0
2:36.0, ,60-48,Defensive rebound by Team,,2,60,48,12,1284.0
2:13.0, ,60-48,D. Vassell misses 2-pt jump shot from 16 ft,,2,60,48,12,1307.0
2:10.0,Defensive rebound by J. Tatum,60-48, ,,2,60,48,12,1310.0
2:05.0,Turnover by J. Tatum (bad pass),60-48, ,,2,60,48,12,1315.0
1:47.0, ,60-50,S. Mamukelashvili makes 2-pt layup at rim (assist by J. Sochan),,2,60,50,10,1333.0
1:31.0,Shooting foul by S. Mamukelashvili (drawn by K. Porziņģis),60-50, ,,2,60,50,10,1349.0
1:31.0,K. Porziņģis makes free throw 1 of 2,61-50, ,,2,61,50,11,1349.0
1:31.0,K. Porziņģis makes free throw 2 of 2,62-50, ,,2,62,50,12,1349.0
1:05.0, ,62-50,M. Branham misses 3-pt jump shot from 29 ft (block by J. Tatum),,2,62,50,12,1375.0
1:05.0, ,62-50,Offensive rebound by Team,,2,62,50,12,1375.0
1:05.0, ,62-50,Turnover by Team (shot clock),,2,62,50,12,1375.0
0:55.0,D. White misses 2-pt jump shot from 8 ft,62-50, ,,2,62,50,12,1385.0
0:53.0, ,62-50,Defensive rebound by S. Mamukelashvili,,2,62,50,12,1387.0
0:42.0, ,62-50,J. Sochan misses 3-pt jump shot from 23 ft,,2,62,50,12,1398.0
0:39.0,Defensive rebound by K. Porziņģis,62-50, ,,2,62,50,12,1401.0
0:32.0,J. Tatum misses 3-pt jump shot from 25 ft,62-50, ,,2,62,50,12,1408.0
0:29.0,Offensive rebound by O. Brissett,62-50, ,,2,62,50,12,1411.0
0:27.0,D. White makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),65-50, ,,2,65,50,15,1413.0
0:00.0, ,65-53,M. Branham makes 3-pt jump shot from 27 ft (assist by J. Sochan),,2,65,53,12,1440.0
0:00.0,K. Porziņģis misses 3-pt jump shot from 71 ft,65-53, ,,2,65,53,12,1440.0
0:00.0,Offensive rebound by Team,65-53, ,,2,65,53,12,1440.0
0:00.0,End of 2nd quarter,65-53,,,2,65,53,12,1440.0
12:00.0,Start of 3rd quarter,65-53,,,3,65,53,12,1440.0
11:42.0,K. Porziņģis misses 2-pt layup from 2 ft,65-53, ,,3,65,53,12,1458.0
11:40.0,Offensive rebound by J. Brown,65-53, ,,3,65,53,12,1460.0
11:36.0,J. Brown makes 2-pt jump shot from 15 ft,67-53, ,,3,67,53,14,1464.0
11:21.0, ,67-53,Personal foul by K. Porziņģis (drawn by V. Wembanyama),,3,67,53,14,1479.0
11:18.0, ,67-53,Turnover by V. Wembanyama (bad pass),,3,67,53,14,1482.0
11:07.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),70-53, ,,3,70,53,17,1493.0
10:55.0, ,70-55,M. Branham makes 2-pt layup from 1 ft,,3,70,55,15,1505.0
