Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:13.0,Turnover by T. Young (out of bounds lost ball),57-71, ,,3,71,57,14,1547.0
10:07.0, ,57-73,D. Banton makes 2-pt dunk from 5 ft,,3,73,57,16,1553.0
9:44.0,Shooting foul by A. Horford (drawn by C. Capela),57-73, ,,3,73,57,16,1576.0
9:44.0,C. Capela makes free throw 1 of 2,58-73, ,,3,73,58,15,1576.0
9:44.0,C. Capela misses free throw 2 of 2,58-73, ,,3,73,58,15,1576.0
9:44.0, ,58-73,Defensive rebound by J. Brown,,3,73,58,15,1576.0
9:30.0, ,58-73,J. Tatum misses 3-pt jump shot from 25 ft,,3,73,58,15,1590.0
9:28.0,Defensive rebound by T. Young,58-73, ,,3,73,58,15,1592.0
9:24.0,D. Hunter misses 3-pt jump shot from 27 ft,58-73, ,,3,73,58,15,1596.0
9:21.0, ,58-73,Defensive rebound by J. Tatum,,3,73,58,15,1599.0
9:19.0, ,58-73,Shooting foul by T. Young (drawn by J. Brown),,3,73,58,15,1601.0
9:19.0, ,58-73,J. Brown misses free throw 1 of 2,,3,73,58,15,1601.0
9:19.0, ,58-73,Offensive rebound by Team,,3,73,58,15,1601.0
9:19.0, ,58-74,J. Brown makes free throw 2 of 2,,3,74,58,16,1601.0
9:05.0,Turnover by T. Young (bad pass; steal by J. Brown),58-74, ,,3,74,58,16,1615.0
9:00.0, ,58-74,J. Brown misses 2-pt layup from 5 ft,,3,74,58,16,1620.0
8:58.0,Defensive rebound by C. Capela,58-74, ,,3,74,58,16,1622.0
8:54.0,D. Murray misses 3-pt jump shot from 27 ft,58-74, ,,3,74,58,16,1626.0
8:51.0, ,58-74,Defensive rebound by A. Horford,,3,74,58,16,1629.0
8:49.0, ,58-74,Personal foul by S. Bey (drawn by J. Brown),,3,74,58,16,1631.0
8:39.0, ,58-76,J. Brown makes 2-pt jump shot from 14 ft,,3,76,58,18,1641.0
8:21.0,S. Bey misses 3-pt jump shot from 24 ft,58-76, ,,3,76,58,18,1659.0
8:17.0, ,58-76,Defensive rebound by J. Tatum,,3,76,58,18,1663.0
8:13.0, ,58-76,J. Tatum misses 3-pt jump shot from 27 ft,,3,76,58,18,1667.0
8:10.0,Defensive rebound by C. Capela,58-76, ,,3,76,58,18,1670.0
8:01.0,D. Murray misses 2-pt jump shot from 14 ft,58-76, ,,3,76,58,18,1679.0
7:58.0, ,58-76,Defensive rebound by J. Brown,,3,76,58,18,1682.0
7:48.0, ,58-76,J. Tatum misses 2-pt layup from 4 ft (block by C. Capela),,3,76,58,18,1692.0
7:46.0, ,58-76,Offensive rebound by D. Banton,,3,76,58,18,1694.0
7:46.0, ,58-78,D. Banton makes 2-pt layup from 4 ft,,3,78,58,20,1694.0
7:46.0,Atlanta full timeout,58-78, ,,3,78,58,20,1694.0
7:46.0, ,58-78,L. Kornet enters the game for A. Horford,,3,78,58,20,1694.0
7:31.0,D. Hunter makes 3-pt jump shot from 24 ft (assist by D. Murray),61-78, ,,3,78,61,17,1709.0
7:09.0, ,61-78,Shooting foul by T. Young (drawn by D. Banton),,3,78,61,17,1731.0
7:09.0, ,61-79,D. Banton makes free throw 1 of 2,,3,79,61,18,1731.0
7:09.0, ,61-80,D. Banton makes free throw 2 of 2,,3,80,61,19,1731.0
6:54.0,T. Young misses 3-pt jump shot from 27 ft,61-80, ,,3,80,61,19,1746.0
6:52.0,Offensive rebound by S. Bey,61-80, ,,3,80,61,19,1748.0
6:52.0,Personal foul by D. White (drawn by S. Bey),61-80, ,,3,80,61,19,1748.0
6:52.0,B. Bogdanović enters the game for S. Bey,61-80, ,,3,80,61,19,1748.0
6:52.0,A. Griffin enters the game for T. Young,61-80, ,,3,80,61,19,1748.0
6:52.0, ,61-80,P. Pritchard enters the game for D. White,,3,80,61,19,1748.0
6:51.0,D. Murray misses 2-pt layup from 7 ft (block by L. Kornet),61-80, ,,3,80,61,19,1749.0
6:49.0,Offensive rebound by B. Bogdanović,61-80, ,,3,80,61,19,1751.0
6:48.0,A. Griffin misses 3-pt jump shot from 27 ft,61-80, ,,3,80,61,19,1752.0
6:45.0, ,61-80,Defensive rebound by P. Pritchard,,3,80,61,19,1755.0
6:23.0, ,61-80,J. Brown misses 3-pt jump shot from 28 ft,,3,80,61,19,1777.0
