Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:20.0, ,41-56,Defensive rebound by P. Pritchard,,2,56,41,15,1180.0
4:09.0, ,41-58,D. White makes 2-pt jump shot from 14 ft,,2,58,41,17,1191.0
3:54.0,T. Young makes 3-pt jump shot from 27 ft,44-58, ,,2,58,44,14,1206.0
3:44.0, ,44-58,J. Brown misses 2-pt jump shot from 13 ft,,2,58,44,14,1216.0
3:41.0,Defensive rebound by S. Bey,44-58, ,,2,58,44,14,1219.0
3:32.0,C. Capela makes 2-pt layup from 2 ft (assist by T. Young),46-58, ,,2,58,46,12,1228.0
3:19.0, ,46-60,D. White makes 2-pt dunk from 1 ft,,2,60,46,14,1241.0
3:05.0,T. Young makes 2-pt jump shot from 11 ft,48-60, ,,2,60,48,12,1255.0
2:48.0, ,48-60,D. White misses 3-pt jump shot from 25 ft,,2,60,48,12,1272.0
2:45.0, ,48-60,Offensive rebound by J. Brown,,2,60,48,12,1275.0
2:41.0, ,48-62,J. Brown makes 2-pt dunk from 1 ft,,2,62,48,14,1279.0
2:26.0,Shooting foul by J. Brown (drawn by D. Murray),48-62, ,,2,62,48,14,1294.0
2:26.0,D. Murray makes free throw 1 of 2,49-62, ,,2,62,49,13,1294.0
2:26.0, ,49-62,J. Tatum enters the game for P. Pritchard,,2,62,49,13,1294.0
2:26.0,D. Murray makes free throw 2 of 2,50-62, ,,2,62,50,12,1294.0
2:14.0, ,50-64,J. Brown makes 2-pt jump shot from 16 ft (assist by D. White),,2,64,50,14,1306.0
2:02.0,S. Bey misses 3-pt jump shot from 28 ft,50-64, ,,2,64,50,14,1318.0
1:59.0, ,50-64,Defensive rebound by A. Horford,,2,64,50,14,1321.0
1:57.0, ,50-64,Shooting foul by T. Young (drawn by D. White),,2,64,50,14,1323.0
1:57.0, ,50-65,D. White makes free throw 1 of 2,,2,65,50,15,1323.0
1:57.0, ,50-66,D. White makes free throw 2 of 2,,2,66,50,16,1323.0
1:44.0,D. Hunter makes 3-pt jump shot from 28 ft (assist by T. Young),53-66, ,,2,66,53,13,1336.0
1:24.0, ,53-66,S. Hauser misses 3-pt jump shot from 30 ft,,2,66,53,13,1356.0
1:20.0,Defensive rebound by T. Young,53-66, ,,2,66,53,13,1360.0
1:20.0,T. Young misses 3-pt jump shot from 25 ft,53-66, ,,2,66,53,13,1360.0
1:17.0,Offensive rebound by D. Murray,53-66, ,,2,66,53,13,1363.0
1:10.0,D. Murray misses 3-pt jump shot from 26 ft,53-66, ,,2,66,53,13,1370.0
1:08.0,Offensive rebound by C. Capela,53-66, ,,2,66,53,13,1372.0
1:08.0,C. Capela misses 2-pt layup at rim,53-66, ,,2,66,53,13,1372.0
1:07.0,Offensive rebound by C. Capela,53-66, ,,2,66,53,13,1373.0
1:07.0,C. Capela misses 2-pt layup at rim,53-66, ,,2,66,53,13,1373.0
1:06.0, ,53-66,Defensive rebound by J. Tatum,,2,66,53,13,1374.0
0:55.0, ,53-66,A. Horford misses 3-pt jump shot from 23 ft,,2,66,53,13,1385.0
0:55.0,Defensive rebound by T. Young,53-66, ,,2,66,53,13,1385.0
0:49.0,S. Bey misses 3-pt jump shot from 24 ft,53-66, ,,2,66,53,13,1391.0
0:46.0, ,53-66,Defensive rebound by D. White,,2,66,53,13,1394.0
0:35.0, ,53-69,J. Tatum makes 3-pt jump shot from 27 ft,,2,69,53,16,1405.0
0:25.0,T. Young misses 2-pt jump shot from 18 ft,53-69, ,,2,69,53,16,1415.0
0:23.0, ,53-69,Defensive rebound by A. Horford,,2,69,53,16,1417.0
0:03.0, ,53-69,J. Brown misses 2-pt jump shot from 15 ft,,2,69,53,16,1437.0
0:01.0,Defensive rebound by S. Bey,53-69, ,,2,69,53,16,1439.0
0:01.0,S. Bey misses 3-pt jump shot from 54 ft,53-69, ,,2,69,53,16,1439.0
0:00.0,Offensive rebound by Team,53-69, ,,2,69,53,16,1440.0
0:00.0,End of 2nd quarter,53-69,,,2,69,53,16,1440.0
12:00.0,Start of 3rd quarter,53-69,,,3,69,53,16,1440.0
11:37.0,D. Murray misses 3-pt jump shot from 24 ft,53-69, ,,3,69,53,16,1463.0
11:34.0,Offensive rebound by S. Bey,53-69, ,,3,69,53,16,1466.0
11:31.0,D. Hunter misses 3-pt jump shot from 27 ft,53-69, ,,3,69,53,16,1469.0
11:28.0, ,53-69,Defensive rebound by J. Brown,,3,69,53,16,1472.0
11:16.0, ,53-69,J. Tatum misses 2-pt jump shot from 14 ft (block by D. Hunter),,3,69,53,16,1484.0
11:13.0,Defensive rebound by T. Young,53-69, ,,3,69,53,16,1487.0
11:08.0,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Hunter),56-69, ,,3,69,56,13,1492.0
10:48.0, ,56-69,Offensive foul by D. White (drawn by D. Hunter),,3,69,56,13,1512.0
10:48.0, ,56-69,Turnover by D. White (offensive foul),,3,69,56,13,1512.0
10:38.0,Shooting foul by J. Brown (drawn by T. Young),56-69, ,,3,69,56,13,1522.0
10:38.0,T. Young misses free throw 1 of 2,56-69, ,,3,69,56,13,1522.0
10:38.0,Offensive rebound by Team,56-69, ,,3,69,56,13,1522.0
10:38.0,T. Young makes free throw 2 of 2,57-69, ,,3,69,57,12,1522.0
10:24.0, ,57-71,J. Brown makes 2-pt jump shot from 16 ft,,3,71,57,14,1536.0
