Time,Portland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:18.0,S. Henderson misses 3-pt jump shot from 26 ft,56-65, ,,3,65,56,9,1482.0
11:18.0, ,56-65,Defensive rebound by K. Porziņģis,,3,65,56,9,1482.0
11:01.0, ,56-68,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),,3,68,56,12,1499.0
10:34.0,Turnover by Team (shot clock),56-68, ,,3,68,56,12,1526.0
10:18.0, ,56-68,Turnover by K. Porziņģis (out of bounds lost ball),,3,68,56,12,1542.0
10:05.0,K. Murray misses 2-pt layup from 5 ft,56-68, ,,3,68,56,12,1555.0
10:04.0, ,56-68,Defensive rebound by K. Porziņģis,,3,68,56,12,1556.0
9:59.0, ,56-70,D. White makes 2-pt layup from 4 ft (assist by J. Holiday),,3,70,56,14,1561.0
9:57.0,Portland full timeout,56-70, ,,3,70,56,14,1563.0
9:46.0,Turnover by S. Henderson (bad pass; steal by K. Porziņģis),56-70, ,,3,70,56,14,1574.0
9:39.0, ,56-70,K. Porziņģis misses 2-pt layup from 6 ft,,3,70,56,14,1581.0
9:38.0,Defensive rebound by J. Walker,56-70, ,,3,70,56,14,1582.0
9:28.0,J. Walker misses 3-pt jump shot from 26 ft,56-70, ,,3,70,56,14,1592.0
9:27.0,Offensive rebound by K. Murray,56-70, ,,3,70,56,14,1593.0
9:24.0,S. Henderson makes 3-pt jump shot from 26 ft (assist by K. Murray),59-70, ,,3,70,59,11,1596.0
8:59.0, ,59-72,K. Porziņģis makes 2-pt jump shot from 5 ft (assist by D. White),,3,72,59,13,1621.0
8:59.0, ,59-72,Shooting foul by K. Murray (drawn by K. Porziņģis),,3,72,59,13,1621.0
8:59.0,D. Banton enters the game for K. Murray,59-72, ,,3,72,59,13,1621.0
8:59.0, ,59-72,K. Porziņģis misses free throw 1 of 1,,3,72,59,13,1621.0
8:59.0,Defensive rebound by D. Ayton,59-72, ,,3,72,59,13,1621.0
8:49.0,S. Henderson misses 2-pt jump shot from 13 ft,59-72, ,,3,72,59,13,1631.0
8:48.0,Offensive rebound by J. Walker,59-72, ,,3,72,59,13,1632.0
8:48.0,J. Walker makes 2-pt layup at rim,61-72, ,,3,72,61,11,1632.0
8:25.0, ,61-72,D. White misses 3-pt jump shot from 24 ft,,3,72,61,11,1655.0
8:24.0, ,61-72,Offensive rebound by K. Porziņģis,,3,72,61,11,1656.0
8:20.0, ,61-72,Shooting foul by R. Rupert (drawn by J. Brown),,3,72,61,11,1660.0
8:20.0, ,61-73,J. Brown makes free throw 1 of 2,,3,73,61,12,1660.0
8:20.0,J. Minaya enters the game for R. Rupert,61-73, ,,3,73,61,12,1660.0
8:20.0, ,61-74,J. Brown makes free throw 2 of 2,,3,74,61,13,1660.0
8:08.0,D. Ayton makes 2-pt jump shot from 12 ft (assist by S. Henderson),63-74, ,,3,74,63,11,1672.0
7:51.0, ,63-74,Turnover by J. Brown (bad pass; steal by D. Banton),,3,74,63,11,1689.0
7:45.0,J. Walker makes 2-pt layup from 3 ft (assist by J. Minaya),65-74, ,,3,74,65,9,1695.0
7:30.0, ,65-74,A. Horford misses 3-pt jump shot from 27 ft,,3,74,65,9,1710.0
7:29.0,Defensive rebound by J. Minaya,65-74, ,,3,74,65,9,1711.0
7:18.0,D. Ayton misses 2-pt jump shot from 13 ft,65-74, ,,3,74,65,9,1722.0
7:17.0, ,65-74,Defensive rebound by K. Porziņģis,,3,74,65,9,1723.0
7:12.0, ,65-74,Shooting foul by S. Henderson (drawn by D. White),,3,74,65,9,1728.0
7:12.0, ,65-75,D. White makes free throw 1 of 2,,3,75,65,10,1728.0
7:12.0, ,65-75,S. Hauser enters the game for J. Holiday,,3,75,65,10,1728.0
7:12.0, ,65-75,L. Kornet enters the game for A. Horford,,3,75,65,10,1728.0
7:12.0, ,65-76,D. White makes free throw 2 of 2,,3,76,65,11,1728.0
7:03.0,J. Walker misses 2-pt layup from 4 ft,65-76, ,,3,76,65,11,1737.0
7:02.0, ,65-76,Defensive rebound by K. Porziņģis,,3,76,65,11,1738.0
6:47.0, ,65-78,J. Brown makes 2-pt layup from 4 ft (assist by D. White),,3,78,65,13,1753.0
6:33.0,S. Henderson makes 3-pt jump shot from 27 ft (assist by D. Ayton),68-78, ,,3,78,68,10,1767.0
6:10.0, ,68-81,D. White makes 3-pt jump shot from 27 ft,,3,81,68,13,1790.0
5:59.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by D. Banton),70-81, ,,3,81,70,11,1801.0
5:37.0, ,70-81,J. Brown misses 2-pt jump shot from 16 ft,,3,81,70,11,1823.0
5:34.0,Defensive rebound by J. Walker,70-81, ,,3,81,70,11,1826.0
5:25.0,D. Ayton misses 3-pt jump shot from 26 ft,70-81, ,,3,81,70,11,1835.0
5:24.0,Offensive rebound by J. Walker,70-81, ,,3,81,70,11,1836.0
5:18.0,J. Minaya misses 3-pt jump shot from 24 ft,70-81, ,,3,81,70,11,1842.0
5:17.0, ,70-81,Defensive rebound by K. Porziņģis,,3,81,70,11,1843.0
5:08.0, ,70-81,D. White misses 3-pt jump shot from 26 ft,,3,81,70,11,1852.0
5:06.0,Defensive rebound by S. Henderson,70-81, ,,3,81,70,11,1854.0
5:03.0,Shooting foul by S. Hauser (drawn by D. Banton),70-81, ,,3,81,70,11,1857.0
5:03.0,D. Banton makes free throw 1 of 2,71-81, ,,3,81,71,10,1857.0
5:03.0,D. Banton makes free throw 2 of 2,72-81, ,,3,81,72,9,1857.0
4:40.0, ,72-81,J. Brown misses 2-pt jump shot from 9 ft,,3,81,72,9,1880.0
4:37.0,Defensive rebound by J. Walker,72-81, ,,3,81,72,9,1883.0
4:32.0,J. Minaya makes 3-pt jump shot from 23 ft (assist by D. Banton),75-81, ,,3,81,75,6,1888.0
