Time,Toronto,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:43.0, ,46-55,K. Porziņģis misses 2-pt jump shot from 10 ft,,3,55,46,9,1457.0
11:39.0,Defensive rebound by P. Siakam,46-55, ,,3,55,46,9,1461.0
11:26.0,D. Schröder makes 2-pt jump shot from 13 ft,48-55, ,,3,55,48,7,1474.0
11:06.0, ,48-57,J. Tatum makes 2-pt layup from 4 ft,,3,57,48,9,1494.0
10:51.0,D. Schröder misses 2-pt layup from 6 ft (block by J. Tatum),48-57, ,,3,57,48,9,1509.0
10:49.0, ,48-57,Defensive rebound by J. Holiday,,3,57,48,9,1511.0
10:44.0, ,48-60,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Holiday),,3,60,48,12,1516.0
10:28.0,S. Barnes misses 3-pt jump shot from 27 ft,48-60, ,,3,60,48,12,1532.0
10:25.0, ,48-60,Defensive rebound by K. Porziņģis,,3,60,48,12,1535.0
10:09.0, ,48-60,J. Brown misses 2-pt layup from 2 ft,,3,60,48,12,1551.0
10:05.0,Defensive rebound by S. Barnes,48-60, ,,3,60,48,12,1555.0
10:02.0,P. Siakam misses 2-pt layup from 5 ft,48-60, ,,3,60,48,12,1558.0
10:00.0, ,48-60,Defensive rebound by Team,,3,60,48,12,1560.0
10:00.0,Loose ball foul by J. Poeltl (drawn by K. Porziņģis),48-60, ,,3,60,48,12,1560.0
9:51.0, ,48-62,J. Holiday makes 2-pt layup from 4 ft,,3,62,48,14,1569.0
9:31.0,P. Siakam makes 2-pt layup from 4 ft,50-62, ,,3,62,50,12,1589.0
9:20.0, ,50-64,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Holiday),,3,64,50,14,1600.0
9:19.0,Toronto full timeout,50-64, ,,3,64,50,14,1601.0
9:19.0,O. Porter enters the game for J. Poeltl,50-64, ,,3,64,50,14,1601.0
9:03.0,S. Barnes misses 3-pt jump shot from 25 ft,50-64, ,,3,64,50,14,1617.0
9:00.0, ,50-64,Defensive rebound by D. White,,3,64,50,14,1620.0
8:54.0, ,50-66,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),,3,66,50,16,1626.0
8:41.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by S. Barnes),53-66, ,,3,66,53,13,1639.0
8:25.0, ,53-69,J. Brown makes 3-pt jump shot from 27 ft (assist by J. Holiday),,3,69,53,16,1655.0
8:10.0,P. Siakam misses 3-pt jump shot from 27 ft,53-69, ,,3,69,53,16,1670.0
8:10.0, ,53-69,Defensive rebound by D. White,,3,69,53,16,1670.0
7:58.0, ,53-71,J. Brown makes 2-pt jump shot from 4 ft (assist by D. White),,3,71,53,18,1682.0
7:48.0,Turnover by S. Barnes (bad pass),53-71, ,,3,71,53,18,1692.0
7:37.0, ,53-74,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Holiday),,3,74,53,21,1703.0
7:35.0,Toronto full timeout,53-74, ,,3,74,53,21,1705.0
7:19.0,Turnover by P. Siakam (discontinued dribble),53-74, ,,3,74,53,21,1721.0
7:07.0, ,53-76,J. Brown makes 2-pt layup from 2 ft (assist by K. Porziņģis),,3,76,53,23,1733.0
7:00.0,Shooting foul by K. Porziņģis (drawn by D. Schröder),53-76, ,,3,76,53,23,1740.0
7:00.0,D. Schröder makes free throw 1 of 2,54-76, ,,3,76,54,22,1740.0
7:00.0,D. Schröder makes free throw 2 of 2,55-76, ,,3,76,55,21,1740.0
6:44.0, ,55-78,J. Brown makes 2-pt layup from 1 ft,,3,78,55,23,1756.0
6:33.0,S. Barnes makes 2-pt jump shot from 20 ft,57-78, ,,3,78,57,21,1767.0
6:20.0, ,57-78,Turnover by K. Porziņģis (bad pass; steal by P. Siakam),,3,78,57,21,1780.0
6:16.0,O. Anunoby misses 2-pt layup from 4 ft,57-78, ,,3,78,57,21,1784.0
6:13.0, ,57-78,Defensive rebound by J. Holiday,,3,78,57,21,1787.0
6:10.0, ,57-81,J. Brown makes 3-pt jump shot from 23 ft (assist by D. White),,3,81,57,24,1790.0
5:56.0,O. Anunoby misses 3-pt jump shot from 26 ft (block by D. White),57-81, ,,3,81,57,24,1804.0
5:56.0,Offensive rebound by O. Anunoby,57-81, ,,3,81,57,24,1804.0
5:49.0,P. Siakam makes 2-pt dunk from 3 ft (assist by O. Anunoby),59-81, ,,3,81,59,22,1811.0
5:32.0, ,59-81,J. Tatum misses 3-pt jump shot from 25 ft,,3,81,59,22,1828.0
5:29.0,Defensive rebound by D. Schröder,59-81, ,,3,81,59,22,1831.0
5:19.0,S. Barnes misses 2-pt jump shot from 9 ft,59-81, ,,3,81,59,22,1841.0
5:16.0, ,59-81,Defensive rebound by J. Tatum,,3,81,59,22,1844.0
5:09.0, ,59-81,J. Holiday misses 2-pt layup from 2 ft (block by S. Barnes),,3,81,59,22,1851.0
5:08.0, ,59-81,Offensive rebound by Team,,3,81,59,22,1852.0
5:08.0,P. Achiuwa enters the game for O. Anunoby,59-81, ,,3,81,59,22,1852.0
5:08.0, ,59-81,S. Hauser enters the game for J. Tatum,,3,81,59,22,1852.0
5:08.0, ,59-81,A. Horford enters the game for D. White,,3,81,59,22,1852.0
4:56.0, ,59-81,Personal foul by S. Barnes (drawn by K. Porziņģis),,3,81,59,22,1864.0
4:47.0, ,59-83,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Holiday),,3,83,59,24,1873.0
4:21.0,P. Siakam misses 3-pt jump shot from 28 ft,59-83, ,,3,83,59,24,1899.0
4:18.0, ,59-83,Defensive rebound by A. Horford,,3,83,59,24,1902.0
4:13.0, ,59-83,J. Brown misses 3-pt jump shot from 26 ft,,3,83,59,24,1907.0
4:10.0,Defensive rebound by P. Siakam,59-83, ,,3,83,59,24,1910.0
4:06.0,D. Schröder makes 2-pt layup from 4 ft (assist by P. Siakam),61-83, ,,3,83,61,22,1914.0
3:51.0, ,61-83,Personal foul by O. Porter (drawn by K. Porziņģis),,3,83,61,22,1929.0
3:41.0, ,61-83,S. Hauser misses 3-pt jump shot from 25 ft,,3,83,61,22,1939.0
3:38.0,Defensive rebound by O. Porter,61-83, ,,3,83,61,22,1942.0
3:32.0,P. Achiuwa makes 2-pt layup from 5 ft (assist by D. Schröder),63-83, ,,3,83,63,20,1948.0
3:31.0, ,63-83,Boston full timeout,,3,83,63,20,1949.0
3:07.0, ,63-86,S. Hauser makes 3-pt jump shot from 24 ft (assist by A. Horford),,3,86,63,23,1973.0
2:48.0,P. Achiuwa misses 3-pt jump shot from 24 ft,63-86, ,,3,86,63,23,1992.0
2:46.0, ,63-86,Defensive rebound by S. Hauser,,3,86,63,23,1994.0
2:36.0, ,63-86,J. Brown misses 2-pt layup from 3 ft,,3,86,63,23,2004.0
2:34.0,Defensive rebound by P. Achiuwa,63-86, ,,3,86,63,23,2006.0
2:28.0,O. Porter makes 3-pt jump shot from 27 ft (assist by P. Achiuwa),66-86, ,,3,86,66,20,2012.0
2:10.0, ,66-86,J. Holiday misses 2-pt jump shot from 6 ft,,3,86,66,20,2030.0
2:09.0, ,66-86,Offensive rebound by J. Brown,,3,86,66,20,2031.0
2:09.0, ,66-88,J. Brown makes 2-pt dunk at rim,,3,88,66,22,2031.0
1:52.0,P. Siakam misses 2-pt layup from 4 ft,66-88, ,,3,88,66,22,2048.0
1:51.0,Offensive rebound by P. Siakam,66-88, ,,3,88,66,22,2049.0
1:51.0,P. Siakam misses 2-pt layup from 3 ft,66-88, ,,3,88,66,22,2049.0
1:50.0, ,66-88,Defensive rebound by J. Brown,,3,88,66,22,2050.0
1:36.0, ,66-88,Turnover by J. Holiday (lost ball; steal by O. Porter),,3,88,66,22,2064.0
