Time,Boston,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:02.0, ,28-37,N. Marshall makes 3-pt jump shot from 23 ft (assist by L. Nance),,1,28,37,-9,718.0
0:00.0,End of 1st quarter,28-37,,,1,28,37,-9,720.0
12:00.0,Start of 2nd quarter,28-37,,,2,28,37,-9,720.0
11:39.0, ,28-37,J. Hawkins misses 2-pt jump shot from 2 ft (block by K. Porziņģis),,2,28,37,-9,741.0
11:36.0,Defensive rebound by K. Porziņģis,28-37, ,,2,28,37,-9,744.0
11:24.0,J. Tatum misses 2-pt layup from 7 ft (block by N. Marshall),28-37, ,,2,28,37,-9,756.0
11:23.0, ,28-37,Defensive rebound by N. Marshall,,2,28,37,-9,757.0
11:14.0, ,28-37,C. McCollum misses 2-pt jump shot from 4 ft,,2,28,37,-9,766.0
11:12.0,Defensive rebound by K. Porziņģis,28-37, ,,2,28,37,-9,768.0
11:05.0,A. Horford misses 3-pt jump shot from 22 ft,28-37, ,,2,28,37,-9,775.0
11:02.0, ,28-37,Defensive rebound by J. Valančiūnas,,2,28,37,-9,778.0
10:44.0, ,28-37,D. Daniels misses 3-pt jump shot from 26 ft,,2,28,37,-9,796.0
10:40.0,Defensive rebound by J. Holiday,28-37, ,,2,28,37,-9,800.0
10:38.0,Personal foul by D. Daniels (drawn by K. Porziņģis),28-37, ,,2,28,37,-9,802.0
10:36.0,Personal foul by N. Marshall (drawn by J. Tatum),28-37, ,,2,28,37,-9,804.0
10:27.0,J. Tatum makes 2-pt jump shot from 16 ft (assist by J. Holiday),30-37, ,,2,30,37,-7,813.0
10:03.0, ,30-37,D. Daniels misses 3-pt jump shot from 26 ft,,2,30,37,-7,837.0
9:59.0,Defensive rebound by J. Tatum,30-37, ,,2,30,37,-7,841.0
9:52.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Holiday),32-37, ,,2,32,37,-5,848.0
9:28.0, ,32-37,J. Hawkins misses 2-pt jump shot from 12 ft,,2,32,37,-5,872.0
9:26.0, ,32-37,Offensive rebound by D. Daniels,,2,32,37,-5,874.0
9:18.0, ,32-37,J. Valančiūnas misses 2-pt hook shot from 9 ft,,2,32,37,-5,882.0
9:16.0,Defensive rebound by K. Porziņģis,32-37, ,,2,32,37,-5,884.0
9:06.0,K. Porziņģis misses 3-pt jump shot from 27 ft,32-37, ,,2,32,37,-5,894.0
9:05.0,Offensive rebound by Team,32-37, ,,2,32,37,-5,895.0
9:05.0, ,32-37,Loose ball foul by J. Hawkins (drawn by P. Pritchard),,2,32,37,-5,895.0
9:05.0,X. Tillman enters the game for K. Porziņģis,32-37, ,,2,32,37,-5,895.0
9:05.0, ,32-37,Z. Williamson enters the game for J. Hawkins,,2,32,37,-5,895.0
8:53.0,J. Tatum misses 2-pt jump shot from 10 ft,32-37, ,,2,32,37,-5,907.0
8:52.0,Offensive rebound by X. Tillman,32-37, ,,2,32,37,-5,908.0
8:50.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by X. Tillman),35-37, ,,2,35,37,-2,910.0
8:49.0, ,35-37,New Orleans full timeout,,2,35,37,-2,911.0
8:49.0, ,35-37,H. Jones enters the game for N. Marshall,,2,35,37,-2,911.0
8:49.0, ,35-37,L. Nance enters the game for J. Valančiūnas,,2,35,37,-2,911.0
8:34.0, ,35-39,Z. Williamson makes 2-pt layup from 3 ft (assist by H. Jones),,2,35,39,-4,926.0
8:25.0,Turnover by J. Holiday (bad pass; steal by D. Daniels),35-39, ,,2,35,39,-4,935.0
8:03.0, ,35-42,L. Nance makes 3-pt jump shot from 23 ft (assist by D. Daniels),,2,35,42,-7,957.0
7:41.0,Shooting foul by L. Nance (drawn by X. Tillman),35-42, ,,2,35,42,-7,979.0
7:41.0,X. Tillman misses free throw 1 of 2,35-42, ,,2,35,42,-7,979.0
