Time,Boston,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:50.0,J. Tatum misses 2-pt layup from 7 ft (block by F. Wagner),40-40, ,,2,40,40,0,1150.0
4:46.0, ,40-40,Defensive rebound by F. Wagner,,2,40,40,0,1154.0
4:42.0, ,40-40,G. Bitadze misses 2-pt layup from 2 ft,,2,40,40,0,1158.0
4:42.0,Defensive rebound by K. Porziņģis,40-40, ,,2,40,40,0,1158.0
4:34.0,J. Tatum makes 2-pt layup from 1 ft (assist by J. Brown),42-40, ,,2,42,40,2,1166.0
4:21.0, ,42-40,P. Banchero misses 3-pt jump shot from 27 ft,,2,42,40,2,1179.0
4:18.0,Defensive rebound by J. Brown,42-40, ,,2,42,40,2,1182.0
4:04.0,J. Brown misses 2-pt jump shot from 17 ft,42-40, ,,2,42,40,2,1196.0
4:01.0, ,42-40,Defensive rebound by F. Wagner,,2,42,40,2,1199.0
3:51.0, ,42-40,Turnover by P. Banchero (traveling),,2,42,40,2,1209.0
3:37.0,J. Brown makes 2-pt layup from 2 ft,44-40, ,,2,44,40,4,1223.0
3:24.0, ,44-42,P. Banchero makes 2-pt layup from 2 ft,,2,44,42,2,1236.0
3:09.0,Shooting foul by F. Wagner (drawn by J. Tatum),44-42, ,,2,44,42,2,1251.0
3:09.0,J. Tatum makes free throw 1 of 2,45-42, ,,2,45,42,3,1251.0
3:09.0,L. Kornet enters the game for A. Horford,45-42, ,,2,45,42,3,1251.0
3:09.0, ,45-42,C. Anthony enters the game for G. Bitadze,,2,45,42,3,1251.0
3:09.0,J. Tatum makes free throw 2 of 2,46-42, ,,2,46,42,4,1251.0
2:53.0, ,46-42,Shooting foul by J. Brown (drawn by J. Suggs),,2,46,42,4,1267.0
2:53.0, ,46-43,J. Suggs makes free throw 1 of 2,,2,46,43,3,1267.0
2:53.0, ,46-43,J. Suggs misses free throw 2 of 2,,2,46,43,3,1267.0
2:51.0,Defensive rebound by K. Porziņģis,46-43, ,,2,46,43,3,1269.0
2:41.0,D. White misses 3-pt jump shot from 24 ft,46-43, ,,2,46,43,3,1279.0
2:37.0,Offensive rebound by K. Porziņģis,46-43, ,,2,46,43,3,1283.0
2:35.0,K. Porziņģis makes 2-pt layup from 12 ft,48-43, ,,2,48,43,5,1285.0
2:18.0, ,48-45,F. Wagner makes 2-pt layup from 2 ft,,2,48,45,3,1302.0
2:02.0,Offensive foul by K. Porziņģis (drawn by J. Suggs),48-45, ,,2,48,45,3,1318.0
2:02.0,Turnover by K. Porziņģis (offensive foul),48-45, ,,2,48,45,3,1318.0
1:50.0, ,48-45,P. Banchero misses 2-pt layup from 3 ft,,2,48,45,3,1330.0
1:47.0,Defensive rebound by L. Kornet,48-45, ,,2,48,45,3,1333.0
1:34.0,Turnover by J. Brown (lost ball; steal by J. Suggs),48-45, ,,2,48,45,3,1346.0
1:29.0, ,48-47,C. Anthony makes 2-pt dunk from 2 ft (assist by F. Wagner),,2,48,47,1,1351.0
1:16.0,Technical foul by J. Brown,48-47, ,,2,48,47,1,1364.0
1:16.0, ,48-47,C. Anthony misses technical free throw,,2,48,47,1,1364.0
1:16.0,Defensive rebound by Team,48-47, ,,2,48,47,1,1364.0
1:02.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Tatum),51-47, ,,2,51,47,4,1378.0
0:53.0, ,51-47,J. Ingles misses 2-pt layup from 4 ft (block by L. Kornet),,2,51,47,4,1387.0
0:51.0,Defensive rebound by J. Brown,51-47, ,,2,51,47,4,1389.0
0:49.0,Personal foul by P. Banchero (drawn by K. Porziņģis),51-47, ,,2,51,47,4,1391.0
0:49.0, ,51-47,Technical foul by P. Banchero,,2,51,47,4,1391.0
0:49.0,J. Tatum makes technical free throw,52-47, ,,2,52,47,5,1391.0
