Time,Minnesota,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:19.0, ,60-60,Shooting foul by A. Edwards (drawn by J. Brown),,3,60,60,0,1601.0
9:19.0, ,60-61,J. Brown makes free throw 1 of 2,,3,61,60,1,1601.0
9:19.0,S. Milton enters the game for J. McDaniels,60-61, ,,3,61,60,1,1601.0
9:19.0, ,60-62,J. Brown makes free throw 2 of 2,,3,62,60,2,1601.0
9:03.0,A. Edwards makes 2-pt jump shot from 18 ft,62-62, ,Tie,3,62,62,0,1617.0
8:55.0, ,62-62,Personal foul by K. Anderson (drawn by J. Brown),,3,62,62,0,1625.0
8:42.0, ,62-62,J. Tatum misses 2-pt jump shot from 18 ft,,3,62,62,0,1638.0
8:40.0,Defensive rebound by K. Anderson,62-62, ,,3,62,62,0,1640.0
8:23.0,A. Edwards makes 3-pt jump shot from 26 ft,65-62, ,Lead change,3,62,65,-3,1657.0
8:14.0, ,65-62,J. Brown misses 2-pt layup from 4 ft,,3,62,65,-3,1666.0
8:12.0,Defensive rebound by K. Towns,65-62, ,,3,62,65,-3,1668.0
8:08.0,Turnover by A. Edwards (lost ball; steal by J. Brown),65-62, ,,3,62,65,-3,1672.0
7:59.0, ,65-65,J. Tatum makes 3-pt jump shot from 27 ft (assist by A. Horford),Tie,3,65,65,0,1681.0
7:37.0,K. Towns makes 2-pt hook shot from 5 ft,67-65, ,,3,65,67,-2,1703.0
7:25.0, ,67-65,Shooting foul by N. Alexander-Walker (drawn by J. Brown),,3,65,67,-2,1715.0
7:25.0, ,67-66,J. Brown makes free throw 1 of 3,,3,66,67,-1,1715.0
7:25.0, ,67-67,J. Brown makes free throw 2 of 3,Tie,3,67,67,0,1715.0
7:25.0,N. Reid enters the game for K. Anderson,67-67, ,,3,67,67,0,1715.0
7:25.0, ,67-68,J. Brown makes free throw 3 of 3,Lead change,3,68,67,1,1715.0
7:07.0,A. Edwards misses 2-pt jump shot from 21 ft,67-68, ,,3,68,67,1,1733.0
7:05.0, ,67-68,Defensive rebound by J. Brown,,3,68,67,1,1735.0
6:58.0, ,67-68,J. Brown misses 2-pt layup from 11 ft (block by N. Alexander-Walker),,3,68,67,1,1742.0
6:57.0,Defensive rebound by Team,67-68, ,,3,68,67,1,1743.0
6:57.0, ,67-68,Boston full timeout,,3,68,67,1,1743.0
6:41.0,S. Milton misses 2-pt layup from 4 ft (block by J. Brown),67-68, ,,3,68,67,1,1759.0
6:38.0, ,67-68,Defensive rebound by A. Horford,,3,68,67,1,1762.0
6:34.0, ,67-68,D. White misses 3-pt jump shot from 26 ft,,3,68,67,1,1766.0
6:33.0, ,67-68,Offensive rebound by Team,,3,68,67,1,1767.0
6:23.0, ,67-70,J. Brown makes 2-pt layup from 4 ft (assist by A. Horford),,3,70,67,3,1777.0
6:13.0,N. Reid makes 2-pt hook shot from 8 ft,69-70, ,,3,70,69,1,1787.0
5:58.0, ,69-70,J. Holiday misses 3-pt jump shot from 27 ft,,3,70,69,1,1802.0
5:55.0,Defensive rebound by K. Towns,69-70, ,,3,70,69,1,1805.0
5:46.0,Shooting foul by D. White (drawn by N. Reid),69-70, ,,3,70,69,1,1814.0
5:46.0,N. Reid makes free throw 1 of 2,70-70, ,Tie,3,70,70,0,1814.0
5:46.0,N. Reid makes free throw 2 of 2,71-70, ,Lead change,3,70,71,-1,1814.0
5:31.0,Violation by Team (kicked ball),71-70, ,,3,70,71,-1,1829.0
5:22.0, ,71-73,D. White makes 3-pt jump shot from 24 ft (assist by J. Brown),Lead change,3,73,71,2,1838.0
5:02.0,S. Milton makes 2-pt layup from 2 ft (assist by A. Edwards),73-73, ,Tie,3,73,73,0,1858.0
5:02.0,Shooting foul by J. Holiday (drawn by S. Milton),73-73, ,,3,73,73,0,1858.0
5:02.0,S. Milton misses free throw 1 of 1,73-73, ,,3,73,73,0,1858.0
5:02.0, ,73-73,Defensive rebound by J. Holiday,,3,73,73,0,1858.0
4:50.0, ,73-75,J. Holiday makes 2-pt jump shot from 9 ft,,3,75,73,2,1870.0
4:28.0,K. Towns makes 3-pt jump shot from 28 ft (assist by N. Reid),76-75, ,Lead change,3,75,76,-1,1892.0
4:13.0, ,76-77,J. Tatum makes 2-pt layup from 3 ft,Lead change,3,77,76,1,1907.0
