Time,Milwaukee,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:53.0, ,78-98,Shooting foul by P. Connaughton (drawn by D. White),,3,98,78,20,2047.0
1:53.0,K. Middleton enters the game for D. Lillard,78-98, ,,3,98,78,20,2047.0
1:53.0, ,78-99,D. White makes free throw 1 of 1,,3,99,78,21,2047.0
1:41.0,B. Portis makes 2-pt jump shot from 18 ft,80-99, ,,3,99,80,19,2059.0
1:20.0, ,80-99,X. Tillman misses 3-pt jump shot from 24 ft,,3,99,80,19,2080.0
1:19.0,Defensive rebound by K. Middleton,80-99, ,,3,99,80,19,2081.0
1:08.0,B. Portis misses 2-pt jump shot from 14 ft,80-99, ,,3,99,80,19,2092.0
1:06.0, ,80-99,Defensive rebound by X. Tillman,,3,99,80,19,2094.0
0:48.0, ,80-101,J. Brown makes 2-pt layup from 8 ft,,3,101,80,21,2112.0
0:28.0,P. Connaughton makes 3-pt jump shot from 25 ft (assist by K. Middleton),83-101, ,,3,101,83,18,2132.0
0:08.0, ,83-101,J. Brown misses 2-pt layup from 8 ft (block by D. Gallinari),,3,101,83,18,2152.0
0:07.0, ,83-101,Offensive rebound by J. Brown,,3,101,83,18,2153.0
0:04.0, ,83-101,Turnover by P. Pritchard (lost ball; steal by K. Middleton),,3,101,83,18,2156.0
0:00.0,End of 3rd quarter,83-101,,,3,101,83,18,2160.0
12:00.0,Start of 4th quarter,83-101,,,4,101,83,18,2160.0
11:47.0, ,83-101,J. Tatum misses 3-pt jump shot from 25 ft,,4,101,83,18,2173.0
11:45.0, ,83-101,Offensive rebound by P. Pritchard,,4,101,83,18,2175.0
11:38.0, ,83-101,Personal foul by D. Gallinari (drawn by P. Pritchard),,4,101,83,18,2182.0
11:29.0, ,83-104,P. Pritchard makes 3-pt jump shot from 27 ft (assist by D. White),,4,104,83,21,2191.0
11:12.0,K. Middleton makes 2-pt jump shot from 12 ft,85-104, ,,4,104,85,19,2208.0
10:54.0, ,85-104,J. Tatum misses 2-pt jump shot from 18 ft,,4,104,85,19,2226.0
10:51.0,Defensive rebound by D. Gallinari,85-104, ,,4,104,85,19,2229.0
10:42.0,B. Portis misses 2-pt layup from 1 ft,85-104, ,,4,104,85,19,2238.0
10:41.0,Offensive rebound by B. Portis,85-104, ,,4,104,85,19,2239.0
10:41.0,B. Portis makes 2-pt layup at rim,87-104, ,,4,104,87,17,2239.0
10:18.0, ,87-104,Personal foul by P. Beverley (drawn by D. White),,4,104,87,17,2262.0
10:11.0, ,87-104,D. White misses 2-pt jump shot from 15 ft,,4,104,87,17,2269.0
10:09.0,Defensive rebound by B. Portis,87-104, ,,4,104,87,17,2271.0
10:03.0,D. Gallinari makes 2-pt dunk at rim (assist by K. Middleton),89-104, ,,4,104,89,15,2277.0
9:36.0, ,89-104,Turnover by X. Tillman (lost ball; steal by D. Gallinari),,4,104,89,15,2304.0
9:27.0,D. Gallinari misses 3-pt jump shot from 27 ft,89-104, ,,4,104,89,15,2313.0
9:25.0, ,89-104,Defensive rebound by Team,,4,104,89,15,2315.0
9:06.0, ,89-104,J. Tatum misses 2-pt jump shot from 22 ft (block by K. Middleton),,4,104,89,15,2334.0
9:04.0,Defensive rebound by K. Middleton,89-104, ,,4,104,89,15,2336.0
9:01.0,K. Middleton makes 2-pt jump shot from 23 ft,91-104, ,,4,104,91,13,2339.0
9:00.0, ,91-104,Boston full timeout,,4,104,91,13,2340.0
9:00.0, ,91-104,Technical foul by J. Tatum,,4,104,91,13,2340.0
9:00.0, ,91-104,Instant Replay,,4,104,91,13,2340.0
9:00.0, ,91-104,J. Brown enters the game for L. Kornet,,4,104,91,13,2340.0
9:00.0, ,91-104,K. Porziņģis enters the game for X. Tillman,,4,104,91,13,2340.0
9:00.0,K. Middleton makes technical free throw,92-104, ,,4,104,92,12,2340.0
8:43.0, ,92-104,P. Pritchard misses 3-pt jump shot from 25 ft,,4,104,92,12,2357.0
8:42.0,Defensive rebound by P. Connaughton,92-104, ,,4,104,92,12,2358.0
8:36.0,Personal foul by J. Brown (drawn by K. Middleton),92-104, ,,4,104,92,12,2364.0
8:26.0,Turnover by K. Middleton (bad pass),92-104, ,,4,104,92,12,2374.0
8:26.0,Loose ball foul by B. Portis (drawn by P. Pritchard),92-104, ,,4,104,92,12,2374.0
8:03.0, ,92-104,K. Porziņģis misses 2-pt jump shot from 16 ft,,4,104,92,12,2397.0
8:01.0,Defensive rebound by B. Portis,92-104, ,,4,104,92,12,2399.0
7:41.0,B. Portis makes 2-pt jump shot from 15 ft,94-104, ,,4,104,94,10,2419.0
7:23.0, ,94-107,D. White makes 3-pt jump shot from 29 ft (assist by J. Tatum),,4,107,94,13,2437.0
7:20.0,Milwaukee full timeout,94-107, ,,4,107,94,13,2440.0
7:20.0,A. Green enters the game for D. Gallinari,94-107, ,,4,107,94,13,2440.0
7:20.0,D. Lillard enters the game for K. Middleton,94-107, ,,4,107,94,13,2440.0
7:20.0, ,94-107,A. Horford enters the game for K. Porziņģis,,4,107,94,13,2440.0
6:59.0,A. Green misses 3-pt jump shot from 30 ft,94-107, ,,4,107,94,13,2461.0
6:57.0, ,94-107,Defensive rebound by D. White,,4,107,94,13,2463.0
6:43.0, ,94-107,J. Tatum misses 3-pt jump shot from 26 ft,,4,107,94,13,2477.0
6:40.0, ,94-107,Offensive rebound by J. Brown,,4,107,94,13,2480.0
6:37.0, ,94-107,Offensive foul by A. Horford (drawn by D. Lillard),,4,107,94,13,2483.0
6:37.0, ,94-107,Turnover by A. Horford (offensive foul),,4,107,94,13,2483.0
6:15.0,D. Lillard makes 3-pt jump shot from 27 ft,97-107, ,,4,107,97,10,2505.0
5:45.0, ,97-110,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),,4,110,97,13,2535.0
5:26.0,B. Portis misses 2-pt jump shot from 16 ft,97-110, ,,4,110,97,13,2554.0
5:25.0, ,97-110,Defensive rebound by D. White,,4,110,97,13,2555.0
5:06.0, ,97-110,D. White misses 3-pt jump shot from 26 ft,,4,110,97,13,2574.0
5:04.0,Defensive rebound by B. Portis,97-110, ,,4,110,97,13,2576.0
4:52.0,Personal foul by A. Horford (drawn by D. Lillard),97-110, ,,4,110,97,13,2588.0
4:52.0,M. Beasley enters the game for P. Beverley,97-110, ,,4,110,97,13,2588.0
4:40.0,M. Beasley misses 3-pt jump shot from 27 ft,97-110, ,,4,110,97,13,2600.0
4:39.0,Offensive rebound by P. Connaughton,97-110, ,,4,110,97,13,2601.0
4:39.0,P. Connaughton makes 2-pt layup at rim,99-110, ,,4,110,99,11,2601.0
4:22.0, ,99-110,J. Brown misses 2-pt layup from 7 ft (block by B. Portis),,4,110,99,11,2618.0
4:20.0,Defensive rebound by D. Lillard,99-110, ,,4,110,99,11,2620.0
4:20.0,B. Portis misses 2-pt layup from 4 ft (block by D. White),99-110, ,,4,110,99,11,2620.0
4:19.0,Offensive rebound by Team,99-110, ,,4,110,99,11,2621.0
4:19.0, ,99-110,Boston full timeout,,4,110,99,11,2621.0
4:19.0, ,99-110,Instant Replay (Challenge: Ruling Stands),,4,110,99,11,2621.0
4:19.0, ,99-110,K. Porziņģis enters the game for P. Pritchard,,4,110,99,11,2621.0
4:17.0,A. Green misses 2-pt layup from 3 ft (block by J. Tatum),99-110, ,,4,110,99,11,2623.0
4:16.0,Offensive rebound by Team,99-110, ,,4,110,99,11,2624.0
4:05.0,B. Portis makes 2-pt jump shot from 12 ft (assist by D. Lillard),101-110, ,,4,110,101,9,2635.0
3:41.0, ,101-110,Turnover by K. Porziņģis (bad pass),,4,110,101,9,2659.0
3:35.0,M. Beasley misses 3-pt jump shot from 25 ft,101-110, ,,4,110,101,9,2665.0
3:33.0,Offensive rebound by B. Portis,101-110, ,,4,110,101,9,2667.0
3:27.0,B. Portis makes 3-pt jump shot from 27 ft (assist by P. Connaughton),104-110, ,,4,110,104,6,2673.0
3:08.0, ,104-110,D. White misses 3-pt jump shot from 27 ft,,4,110,104,6,2692.0
3:07.0, ,104-110,Offensive rebound by J. Brown,,4,110,104,6,2693.0
3:06.0, ,104-110,Shooting foul by P. Connaughton (drawn by J. Brown),,4,110,104,6,2694.0
3:06.0, ,104-110,J. Brown misses free throw 1 of 2,,4,110,104,6,2694.0
3:06.0, ,104-110,Offensive rebound by Team,,4,110,104,6,2694.0
3:06.0, ,104-110,J. Brown misses free throw 2 of 2,,4,110,104,6,2694.0
3:06.0,Defensive rebound by B. Portis,104-110, ,,4,110,104,6,2694.0
3:05.0,Milwaukee full timeout,104-110, ,,4,110,104,6,2695.0
3:05.0,K. Middleton enters the game for A. Green,104-110, ,,4,110,104,6,2695.0
2:56.0,B. Portis makes 3-pt jump shot from 27 ft (assist by D. Lillard),107-110, ,,4,110,107,3,2704.0
2:37.0, ,107-110,K. Porziņģis misses 3-pt jump shot from 23 ft,,4,110,107,3,2723.0
2:35.0,Defensive rebound by D. Lillard,107-110, ,,4,110,107,3,2725.0
2:25.0,B. Portis misses 3-pt jump shot from 28 ft,107-110, ,,4,110,107,3,2735.0
2:24.0, ,107-110,Defensive rebound by J. Tatum,,4,110,107,3,2736.0
2:06.0, ,107-110,Shooting foul by P. Connaughton (drawn by J. Tatum),,4,110,107,3,2754.0
2:06.0, ,107-111,J. Tatum makes free throw 1 of 2,,4,111,107,4,2754.0
2:06.0, ,107-112,J. Tatum makes free throw 2 of 2,,4,112,107,5,2754.0
1:54.0,D. Lillard misses 3-pt jump shot from 28 ft,107-112, ,,4,112,107,5,2766.0
1:52.0, ,107-112,Defensive rebound by J. Tatum,,4,112,107,5,2768.0
1:38.0, ,107-114,J. Tatum makes 2-pt layup from 6 ft,,4,114,107,7,2782.0
1:38.0,Milwaukee full timeout,107-114, ,,4,114,107,7,2782.0
1:32.0,D. Lillard makes 2-pt layup from 2 ft,109-114, ,,4,114,109,5,2788.0
1:15.0, ,109-114,J. Tatum misses 2-pt jump shot from 13 ft,,4,114,109,5,2805.0
1:13.0, ,109-114,Offensive rebound by K. Porziņģis,,4,114,109,5,2807.0
1:12.0, ,109-116,K. Porziņģis makes 2-pt dunk from 2 ft,,4,116,109,7,2808.0
1:05.0,D. Lillard makes 3-pt jump shot from 26 ft,112-116, ,,4,116,112,4,2815.0
0:42.0, ,112-116,D. White misses 2-pt jump shot from 11 ft,,4,116,112,4,2838.0
0:41.0,Defensive rebound by B. Portis,112-116, ,,4,116,112,4,2839.0
0:32.0,B. Portis makes 2-pt jump shot from 11 ft (assist by D. Lillard),114-116, ,,4,116,114,2,2848.0
0:32.0,Shooting foul by D. White (drawn by B. Portis),114-116, ,,4,116,114,2,2848.0
0:32.0,P. Beverley enters the game for D. Lillard,114-116, ,,4,116,114,2,2848.0
0:32.0,B. Portis misses free throw 1 of 1,114-116, ,,4,116,114,2,2848.0
0:32.0, ,114-116,Defensive rebound by D. White,,4,116,114,2,2848.0
0:20.0, ,114-116,Personal foul by M. Beasley (drawn by J. Brown),,4,116,114,2,2860.0
0:20.0, ,114-117,J. Brown makes free throw 1 of 2,,4,117,114,3,2860.0
0:20.0,B. Lopez enters the game for P. Beverley,114-117, ,,4,117,114,3,2860.0
0:20.0, ,114-117,P. Pritchard enters the game for K. Porziņģis,,4,117,114,3,2860.0
0:20.0, ,114-118,J. Brown makes free throw 2 of 2,,4,118,114,4,2860.0
0:20.0,Milwaukee full timeout,114-118, ,,4,118,114,4,2860.0
0:20.0,D. Lillard enters the game for P. Connaughton,114-118, ,,4,118,114,4,2860.0
0:14.0,D. Lillard misses 2-pt layup from 9 ft,114-118, ,,4,118,114,4,2866.0
0:13.0, ,114-118,Defensive rebound by A. Horford,,4,118,114,4,2867.0
0:12.0, ,114-118,Personal take foul by K. Middleton (drawn by J. Tatum),,4,118,114,4,2868.0
0:12.0, ,114-119,J. Tatum makes free throw 1 of 2,,4,119,114,5,2868.0
0:12.0, ,114-120,J. Tatum makes free throw 2 of 2,,4,120,114,6,2868.0
0:07.0,Personal foul by D. White (drawn by K. Middleton),114-120, ,,4,120,114,6,2873.0
0:07.0,K. Middleton makes free throw 1 of 2,115-120, ,,4,120,115,5,2873.0
0:07.0, ,115-120,L. Kornet enters the game for P. Pritchard,,4,120,115,5,2873.0
0:07.0, ,115-120,K. Porziņģis enters the game for D. White,,4,120,115,5,2873.0
0:07.0,K. Middleton makes free throw 2 of 2,116-120, ,,4,120,116,4,2873.0
0:07.0, ,116-120,Boston full timeout,,4,120,116,4,2873.0
0:07.0,P. Beverley enters the game for B. Portis,116-120, ,,4,120,116,4,2873.0
0:07.0, ,116-120,P. Pritchard enters the game for L. Kornet,,4,120,116,4,2873.0
0:07.0, ,116-120,D. White enters the game for K. Porziņģis,,4,120,116,4,2873.0
0:06.0, ,116-120,Personal take foul by K. Middleton (drawn by J. Tatum),,4,120,116,4,2874.0
0:06.0, ,116-121,J. Tatum makes free throw 1 of 2,,4,121,116,5,2874.0
0:06.0,P. Connaughton enters the game for K. Middleton,116-121, ,,4,121,116,5,2874.0
0:06.0, ,116-122,J. Tatum makes free throw 2 of 2,,4,122,116,6,2874.0
0:01.0,D. Lillard makes 3-pt jump shot from 30 ft,119-122, ,,4,122,119,3,2879.0
0:00.0,End of 4th quarter,119-122,,,4,122,119,3,2880.0
