Time,Sacramento,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:34.0, ,14-22,Boston full timeout,,1,22,14,8,686.0
0:34.0, ,14-22,Instant Replay (Challenge: Ruling Stands),,1,22,14,8,686.0
0:34.0,A. Vezenkov enters the game for D. Mitchell,14-22, ,,1,22,14,8,686.0
0:31.0, ,14-25,S. Mykhailiuk makes 3-pt jump shot from 25 ft (assist by J. Tatum),,1,25,14,11,689.0
0:14.0,Shooting foul by P. Pritchard (drawn by D. Fox),14-25, ,,1,25,14,11,706.0
0:14.0,D. Fox misses free throw 1 of 2,14-25, ,,1,25,14,11,706.0
0:14.0,Offensive rebound by Team,14-25, ,,1,25,14,11,706.0
0:14.0,K. Ellis enters the game for A. Len,14-25, ,,1,25,14,11,706.0
0:14.0,D. Mitchell enters the game for A. Vezenkov,14-25, ,,1,25,14,11,706.0
0:14.0,D. Fox makes free throw 2 of 2,15-25, ,,1,25,15,10,706.0
0:03.0, ,15-27,J. Tatum makes 2-pt dunk from 1 ft,,1,27,15,12,717.0
0:00.0,D. Fox misses 3-pt jump shot from 27 ft,15-27, ,,1,27,15,12,720.0
0:00.0,Offensive rebound by Team,15-27, ,,1,27,15,12,720.0
0:00.0,End of 1st quarter,15-27,,,1,27,15,12,720.0
12:00.0,Start of 2nd quarter,15-27,,,2,27,15,12,720.0
11:48.0,A. Vezenkov misses 3-pt jump shot from 27 ft,15-27, ,,2,27,15,12,732.0
11:46.0, ,15-27,Defensive rebound by L. Kornet,,2,27,15,12,734.0
11:28.0, ,15-29,J. Holiday makes 2-pt hook shot from 12 ft (assist by S. Hauser),,2,29,15,14,752.0
11:11.0,D. Fox makes 2-pt jump shot from 14 ft,17-29, ,,2,29,17,12,769.0
10:52.0, ,17-31,L. Kornet makes 2-pt dunk from 1 ft (assist by A. Horford),,2,31,17,14,788.0
10:34.0,A. Vezenkov misses 3-pt jump shot from 24 ft,17-31, ,,2,31,17,14,806.0
10:33.0, ,17-31,Defensive rebound by S. Hauser,,2,31,17,14,807.0
10:23.0, ,17-31,J. Holiday misses 3-pt jump shot from 27 ft,,2,31,17,14,817.0
10:22.0,Defensive rebound by T. Lyles,17-31, ,,2,31,17,14,818.0
10:15.0,T. Lyles misses 2-pt layup from 5 ft (block by L. Kornet),17-31, ,,2,31,17,14,825.0
10:14.0,Offensive rebound by Team,17-31, ,,2,31,17,14,826.0
10:10.0,T. Lyles misses 2-pt layup from 3 ft (block by L. Kornet),17-31, ,,2,31,17,14,830.0
10:09.0, ,17-31,Defensive rebound by A. Horford,,2,31,17,14,831.0
9:57.0, ,17-31,A. Horford misses 3-pt jump shot from 26 ft,,2,31,17,14,843.0
9:55.0, ,17-31,Offensive rebound by L. Kornet,,2,31,17,14,845.0
9:51.0, ,17-31,S. Hauser misses 3-pt jump shot from 27 ft,,2,31,17,14,849.0
9:50.0,Defensive rebound by A. Vezenkov,17-31, ,,2,31,17,14,850.0
9:33.0,A. Vezenkov misses 3-pt jump shot from 24 ft,17-31, ,,2,31,17,14,867.0
9:32.0, ,17-31,Defensive rebound by A. Horford,,2,31,17,14,868.0
9:21.0, ,17-33,P. Pritchard makes 2-pt layup from 2 ft,,2,33,17,16,879.0
9:21.0,Sacramento full timeout,17-33, ,,2,33,17,16,879.0
9:08.0,T. Lyles misses 3-pt jump shot from 28 ft,17-33, ,,2,33,17,16,892.0
9:05.0,Offensive rebound by D. Fox,17-33, ,,2,33,17,16,895.0
9:05.0,D. Fox makes 2-pt layup at rim,19-33, ,,2,33,19,14,895.0
8:40.0, ,19-35,J. Holiday makes 2-pt jump shot from 22 ft,,2,35,19,16,920.0
8:29.0,D. Fox makes 2-pt layup from 2 ft,21-35, ,,2,35,21,14,931.0
8:08.0, ,21-37,A. Horford makes 2-pt hook shot from 10 ft (assist by J. Holiday),,2,37,21,16,952.0
