Time,LA Clippers,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:58.0,Defensive rebound by D. Theis,43-30, ,,2,30,43,-13,1082.0
5:51.0,J. Harden misses 2-pt layup from 3 ft (block by D. White),43-30, ,,2,30,43,-13,1089.0
5:51.0,Offensive rebound by Team,43-30, ,,2,30,43,-13,1089.0
5:36.0,J. Harden misses 2-pt jump shot from 11 ft,43-30, ,,2,30,43,-13,1104.0
5:32.0,Offensive rebound by P. George,43-30, ,,2,30,43,-13,1108.0
5:28.0,P. George misses 3-pt jump shot from 26 ft,43-30, ,,2,30,43,-13,1112.0
5:26.0, ,43-30,Defensive rebound by Team,,2,30,43,-13,1114.0
5:07.0, ,43-30,D. White misses 2-pt jump shot from 15 ft,,2,30,43,-13,1133.0
5:04.0, ,43-30,Offensive rebound by J. Brown,,2,30,43,-13,1136.0
5:00.0, ,43-30,D. White misses 2-pt layup from 2 ft (block by D. Theis),,2,30,43,-13,1140.0
4:57.0,Defensive rebound by J. Harden,43-30, ,,2,30,43,-13,1143.0
4:54.0,J. Harden makes 2-pt layup from 1 ft,45-30, ,,2,30,45,-15,1146.0
4:33.0, ,45-32,J. Brown makes 2-pt jump shot from 13 ft,,2,32,45,-13,1167.0
4:08.0,J. Harden misses 3-pt jump shot from 26 ft,45-32, ,,2,32,45,-13,1192.0
4:07.0,Offensive rebound by Team,45-32, ,,2,32,45,-13,1193.0
4:07.0,Turnover by Team (shot clock),45-32, ,,2,32,45,-13,1193.0
4:07.0,M. Plumlee enters the game for D. Theis,45-32, ,,2,32,45,-13,1193.0
4:07.0, ,45-32,J. Holiday enters the game for O. Brissett,,2,32,45,-13,1193.0
3:49.0, ,45-32,J. Tatum misses 2-pt layup from 5 ft,,2,32,45,-13,1211.0
3:48.0,Defensive rebound by J. Harden,45-32, ,,2,32,45,-13,1212.0
3:30.0,T. Mann makes 2-pt jump shot from 6 ft,47-32, ,,2,32,47,-15,1230.0
3:14.0, ,47-32,J. Brown misses 2-pt layup from 5 ft,,2,32,47,-15,1246.0
3:11.0,Defensive rebound by M. Plumlee,47-32, ,,2,32,47,-15,1249.0
3:05.0,Turnover by P. George (lost ball; steal by J. Holiday),47-32, ,,2,32,47,-15,1255.0
3:01.0, ,47-34,J. Tatum makes 2-pt layup from 3 ft (assist by J. Holiday),,2,34,47,-13,1259.0
2:44.0,P. George misses 2-pt jump shot from 5 ft (block by J. Brown),47-34, ,,2,34,47,-13,1276.0
2:41.0, ,47-34,Defensive rebound by J. Holiday,,2,34,47,-13,1279.0
2:39.0, ,47-37,J. Holiday makes 3-pt jump shot from 27 ft,,2,37,47,-10,1281.0
2:39.0,LA Clippers full timeout,47-37, ,,2,37,47,-10,1281.0
2:24.0,T. Mann makes 3-pt jump shot from 27 ft (assist by K. Leonard),50-37, ,,2,37,50,-13,1296.0
2:11.0, ,50-37,J. Holiday misses 3-pt jump shot from 25 ft,,2,37,50,-13,1309.0
2:08.0,Defensive rebound by M. Plumlee,50-37, ,,2,37,50,-13,1312.0
2:01.0,T. Mann misses 3-pt jump shot from 24 ft,50-37, ,,2,37,50,-13,1319.0
1:56.0, ,50-37,Defensive rebound by J. Brown,,2,37,50,-13,1324.0
1:45.0, ,50-37,J. Holiday misses 3-pt jump shot from 28 ft,,2,37,50,-13,1335.0
1:43.0,Defensive rebound by J. Harden,50-37, ,,2,37,50,-13,1337.0
1:28.0,J. Harden misses 3-pt jump shot from 26 ft,50-37, ,,2,37,50,-13,1352.0
1:28.0, ,50-37,Defensive rebound by J. Holiday,,2,37,50,-13,1352.0
1:18.0, ,50-37,D. White misses 3-pt jump shot from 23 ft,,2,37,50,-13,1362.0
1:15.0,Defensive rebound by K. Leonard,50-37, ,,2,37,50,-13,1365.0
1:04.0,M. Plumlee makes 2-pt hook shot from 6 ft (assist by P. George),52-37, ,,2,37,52,-15,1376.0
0:54.0, ,52-37,A. Horford misses 3-pt jump shot from 24 ft,,2,37,52,-15,1386.0
0:51.0,Defensive rebound by P. George,52-37, ,,2,37,52,-15,1389.0
0:38.0,P. George makes 3-pt jump shot from 23 ft (assist by J. Harden),55-37, ,,2,37,55,-18,1402.0
0:31.0, ,55-37,Offensive foul by D. White (drawn by P. George),,2,37,55,-18,1409.0
0:31.0, ,55-37,Turnover by D. White (offensive foul),,2,37,55,-18,1409.0
0:31.0,N. Powell enters the game for J. Harden,55-37, ,,2,37,55,-18,1409.0
0:31.0,R. Westbrook enters the game for M. Plumlee,55-37, ,,2,37,55,-18,1409.0
0:15.0,N. Powell misses 3-pt jump shot from 26 ft,55-37, ,,2,37,55,-18,1425.0
0:11.0, ,55-37,Defensive rebound by A. Horford,,2,37,55,-18,1429.0
0:02.0, ,55-39,J. Brown makes 2-pt jump shot from 19 ft,,2,39,55,-16,1438.0
0:00.0,K. Leonard misses 3-pt jump shot from 25 ft,55-39, ,,2,39,55,-16,1440.0
0:00.0,Offensive rebound by Team,55-39, ,,2,39,55,-16,1440.0
0:00.0,End of 2nd quarter,55-39,,,2,39,55,-16,1440.0
12:00.0,Start of 3rd quarter,55-39,,,3,39,55,-16,1440.0
11:44.0,T. Mann misses 2-pt jump shot from 10 ft,55-39, ,,3,39,55,-16,1456.0
11:41.0, ,55-39,Defensive rebound by J. Tatum,,3,39,55,-16,1459.0
11:35.0, ,55-41,J. Tatum makes 2-pt layup from 1 ft (assist by J. Holiday),,3,41,55,-14,1465.0
11:11.0,K. Leonard misses 3-pt jump shot from 27 ft,55-41, ,,3,41,55,-14,1489.0
11:06.0,Offensive rebound by T. Mann,55-41, ,,3,41,55,-14,1494.0
11:05.0,P. George makes 3-pt jump shot from 28 ft,58-41, ,,3,41,58,-17,1495.0
10:43.0, ,58-41,Turnover by J. Holiday (bad pass; steal by P. George),,3,41,58,-17,1517.0
10:34.0,P. George misses 3-pt jump shot from 27 ft,58-41, ,,3,41,58,-17,1526.0
10:29.0, ,58-41,Defensive rebound by J. Tatum,,3,41,58,-17,1531.0
10:21.0, ,58-43,J. Tatum makes 2-pt layup from 3 ft,,3,43,58,-15,1539.0
10:07.0,J. Harden misses 3-pt jump shot from 28 ft,58-43, ,,3,43,58,-15,1553.0
10:04.0, ,58-43,Defensive rebound by Team,,3,43,58,-15,1556.0
9:52.0, ,58-46,J. Tatum makes 3-pt jump shot from 27 ft,,3,46,58,-12,1568.0
9:31.0,P. George misses 2-pt jump shot from 7 ft (block by D. White),58-46, ,,3,46,58,-12,1589.0
9:28.0,Offensive rebound by M. Plumlee,58-46, ,,3,46,58,-12,1592.0
9:28.0,Personal foul by J. Brown (drawn by K. Leonard),58-46, ,,3,46,58,-12,1592.0
9:20.0,K. Leonard misses 2-pt jump shot from 14 ft,58-46, ,,3,46,58,-12,1600.0
9:19.0,Offensive rebound by T. Mann,58-46, ,,3,46,58,-12,1601.0
9:18.0,T. Mann makes 2-pt layup at rim,60-46, ,,3,46,60,-14,1602.0
9:05.0, ,60-46,Offensive foul by J. Tatum (drawn by P. George),,3,46,60,-14,1615.0
9:05.0, ,60-46,Turnover by J. Tatum (offensive foul),,3,46,60,-14,1615.0
8:48.0,K. Leonard makes 2-pt hook shot from 6 ft,62-46, ,,3,46,62,-16,1632.0
8:28.0, ,62-46,J. Tatum misses 3-pt jump shot from 27 ft,,3,46,62,-16,1652.0
8:25.0,Defensive rebound by K. Leonard,62-46, ,,3,46,62,-16,1655.0
8:22.0,P. George makes 2-pt dunk from 3 ft (assist by K. Leonard),64-46, ,,3,46,64,-18,1658.0
8:22.0, ,64-46,Boston full timeout,,3,46,64,-18,1658.0
8:04.0, ,64-46,Turnover by A. Horford (bad pass; steal by K. Leonard),,3,46,64,-18,1676.0
8:01.0,Shooting foul by J. Tatum (drawn by P. George),64-46, ,,3,46,64,-18,1679.0
8:01.0,P. George makes free throw 1 of 2,65-46, ,,3,46,65,-19,1679.0
8:01.0,P. George makes free throw 2 of 2,66-46, ,,3,46,66,-20,1679.0
7:36.0, ,66-46,J. Brown misses 2-pt jump shot from 19 ft,,3,46,66,-20,1704.0
7:34.0,Defensive rebound by J. Harden,66-46, ,,3,46,66,-20,1706.0
7:17.0,M. Plumlee makes 2-pt dunk from 3 ft (assist by J. Harden),68-46, ,,3,46,68,-22,1723.0
7:06.0, ,68-46,Personal foul by T. Mann (drawn by J. Tatum),,3,46,68,-22,1734.0
7:02.0, ,68-46,A. Horford misses 3-pt jump shot from 26 ft,,3,46,68,-22,1738.0
6:58.0,Defensive rebound by K. Leonard,68-46, ,,3,46,68,-22,1742.0
6:50.0,K. Leonard makes 2-pt jump shot from 5 ft,70-46, ,,3,46,70,-24,1750.0
6:39.0, ,70-46,J. Brown misses 2-pt layup from 6 ft,,3,46,70,-24,1761.0
