Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:00.0, ,38-41,Offensive rebound by Team,,1,38,41,-3,720.0
0:00.0,End of 1st quarter,38-41,,,1,38,41,-3,720.0
12:00.0,Start of 2nd quarter,38-41,,,2,38,41,-3,720.0
11:46.0, ,38-41,T. Lyles misses 3-pt jump shot from 26 ft,,2,38,41,-3,734.0
11:42.0,Defensive rebound by S. Mykhailiuk,38-41, ,,2,38,41,-3,738.0
11:37.0,P. Pritchard misses 3-pt jump shot from 27 ft,38-41, ,,2,38,41,-3,743.0
11:34.0,Offensive rebound by N. Queta,38-41, ,,2,38,41,-3,746.0
11:29.0,N. Queta misses 2-pt hook shot from 5 ft,38-41, ,,2,38,41,-3,751.0
11:27.0,Offensive rebound by N. Queta,38-41, ,,2,38,41,-3,753.0
11:25.0,N. Queta misses 2-pt layup from 2 ft (block by T. Lyles),38-41, ,,2,38,41,-3,755.0
11:25.0, ,38-41,Defensive rebound by Team,,2,38,41,-3,755.0
11:25.0,Loose ball foul by N. Queta (drawn by T. Lyles),38-41, ,,2,38,41,-3,755.0
11:13.0, ,38-41,A. Vezenkov misses 3-pt jump shot from 26 ft,,2,38,41,-3,767.0
11:07.0,Defensive rebound by P. Pritchard,38-41, ,,2,38,41,-3,773.0
10:59.0,J. Holiday makes 3-pt jump shot from 25 ft,41-41, ,Tie,2,41,41,0,781.0
10:47.0, ,41-43,D. Fox makes 2-pt jump shot from 14 ft,,2,41,43,-2,793.0
10:27.0,N. Queta makes 2-pt layup from 2 ft (assist by P. Pritchard),43-43, ,Tie,2,43,43,0,813.0
10:09.0, ,43-43,M. Monk misses 2-pt layup from 3 ft,,2,43,43,0,831.0
10:07.0,Defensive rebound by S. Mykhailiuk,43-43, ,,2,43,43,0,833.0
9:58.0,J. Holiday misses 2-pt layup from 3 ft,43-43, ,,2,43,43,0,842.0
9:56.0, ,43-43,Defensive rebound by D. Fox,,2,43,43,0,844.0
9:54.0, ,43-43,Turnover by D. Fox (bad pass; steal by S. Mykhailiuk),,2,43,43,0,846.0
9:49.0,J. Holiday makes 3-pt jump shot from 26 ft,46-43, ,Lead change,2,46,43,3,851.0
9:29.0, ,46-43,M. Monk misses 3-pt jump shot from 25 ft,,2,46,43,3,871.0
9:23.0,Defensive rebound by S. Hauser,46-43, ,,2,46,43,3,877.0
9:21.0,S. Hauser misses 3-pt jump shot from 23 ft,46-43, ,,2,46,43,3,879.0
9:18.0,Offensive rebound by S. Mykhailiuk,46-43, ,,2,46,43,3,882.0
9:16.0,S. Mykhailiuk misses 2-pt layup from 2 ft,46-43, ,,2,46,43,3,884.0
9:14.0, ,46-43,Defensive rebound by H. Barnes,,2,46,43,3,886.0
9:04.0, ,46-46,A. Vezenkov makes 3-pt jump shot from 25 ft (assist by T. Lyles),Tie,2,46,46,0,896.0
