Time,Golden State,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:37.0,Defensive rebound by J. Kuminga,28-60, ,,2,60,28,32,1103.0
5:28.0,J. Kuminga misses 2-pt jump shot from 9 ft,28-60, ,,2,60,28,32,1112.0
5:27.0, ,28-60,Defensive rebound by A. Horford,,2,60,28,32,1113.0
5:26.0, ,28-60,Boston full timeout,,2,60,28,32,1114.0
5:26.0,D. Šarić enters the game for J. Kuminga,28-60, ,,2,60,28,32,1114.0
5:26.0,K. Thompson enters the game for L. Quinones,28-60, ,,2,60,28,32,1114.0
5:14.0, ,28-62,J. Brown makes 2-pt layup from 4 ft (assist by J. Tatum),,2,62,28,34,1126.0
5:06.0,D. Green makes 2-pt jump shot from 9 ft,30-62, ,,2,62,30,32,1134.0
4:47.0, ,30-64,J. Brown makes 2-pt jump shot from 10 ft (assist by D. White),,2,64,30,34,1153.0
4:36.0,Personal foul by J. Brown (drawn by S. Curry),30-64, ,,2,64,30,34,1164.0
4:24.0,S. Curry makes 2-pt layup from 2 ft,32-64, ,,2,64,32,32,1176.0
4:10.0, ,32-64,Personal foul by D. Green (drawn by J. Brown),,2,64,32,32,1190.0
4:04.0, ,32-64,Turnover by J. Brown (lost ball; steal by G. Payton),,2,64,32,32,1196.0
4:03.0,Turnover by G. Payton (bad pass; steal by J. Brown),32-64, ,,2,64,32,32,1197.0
4:01.0, ,32-64,J. Holiday misses 2-pt layup from 4 ft,,2,64,32,32,1199.0
4:00.0, ,32-64,Offensive rebound by J. Holiday,,2,64,32,32,1200.0
4:00.0, ,32-66,J. Holiday makes 2-pt layup from 3 ft,,2,66,32,34,1200.0
3:47.0,S. Curry misses 2-pt jump shot from 8 ft,32-66, ,,2,66,32,34,1213.0
3:46.0, ,32-66,Defensive rebound by J. Tatum,,2,66,32,34,1214.0
3:34.0, ,32-68,A. Horford makes 2-pt layup from 3 ft (assist by J. Tatum),,2,68,32,36,1226.0
3:26.0,Turnover by S. Curry (back court),32-68, ,,2,68,32,36,1234.0
3:26.0,Golden State full timeout,32-68, ,,2,68,32,36,1234.0
3:26.0,C. Paul enters the game for K. Thompson,32-68, ,,2,68,32,36,1234.0
3:08.0, ,32-71,J. Tatum makes 3-pt jump shot from 27 ft,,2,71,32,39,1252.0
2:53.0,Shooting foul by J. Holiday (drawn by D. Green),32-71, ,,2,71,32,39,1267.0
2:53.0,D. Green makes free throw 1 of 2,33-71, ,,2,71,33,38,1267.0
2:53.0,D. Green makes free throw 2 of 2,34-71, ,,2,71,34,37,1267.0
2:39.0, ,34-74,J. Tatum makes 3-pt jump shot from 27 ft,,2,74,34,40,1281.0
2:29.0,S. Curry misses 3-pt jump shot from 31 ft,34-74, ,,2,74,34,40,1291.0
2:28.0, ,34-74,Defensive rebound by J. Holiday,,2,74,34,40,1292.0
2:19.0, ,34-76,J. Brown makes 2-pt layup from 2 ft (assist by A. Horford),,2,76,34,42,1301.0
1:58.0,S. Curry misses 3-pt jump shot from 26 ft,34-76, ,,2,76,34,42,1322.0
1:57.0, ,34-76,Defensive rebound by J. Holiday,,2,76,34,42,1323.0
1:39.0, ,34-79,D. White makes 3-pt jump shot from 28 ft (assist by J. Tatum),,2,79,34,45,1341.0
1:15.0,S. Curry misses 3-pt jump shot from 26 ft,34-79, ,,2,79,34,45,1365.0
1:14.0,Offensive rebound by G. Payton,34-79, ,,2,79,34,45,1366.0
1:13.0,G. Payton makes 2-pt layup from 3 ft,36-79, ,,2,79,36,43,1367.0
1:13.0,Shooting foul by J. Brown (drawn by G. Payton),36-79, ,,2,79,36,43,1367.0
1:13.0,G. Payton misses free throw 1 of 1,36-79, ,,2,79,36,43,1367.0
1:13.0, ,36-79,Defensive rebound by J. Tatum,,2,79,36,43,1367.0
0:56.0, ,36-79,A. Horford misses 3-pt jump shot from 26 ft,,2,79,36,43,1384.0
0:54.0,Defensive rebound by C. Paul,36-79, ,,2,79,36,43,1386.0
0:50.0,G. Payton makes 2-pt layup at rim (assist by C. Paul),38-79, ,,2,79,38,41,1390.0
0:36.0, ,38-79,Shooting foul by D. Green (drawn by J. Tatum),,2,79,38,41,1404.0
0:36.0, ,38-80,J. Tatum makes free throw 1 of 3,,2,80,38,42,1404.0
0:36.0, ,38-81,J. Tatum makes free throw 2 of 3,,2,81,38,43,1404.0
0:36.0, ,38-82,J. Tatum makes free throw 3 of 3,,2,82,38,44,1404.0
0:21.0,S. Curry misses 3-pt jump shot from 26 ft,38-82, ,,2,82,38,44,1419.0
0:19.0, ,38-82,Defensive rebound by J. Holiday,,2,82,38,44,1421.0
0:00.0, ,38-82,D. White misses 3-pt jump shot from 23 ft,,2,82,38,44,1440.0
0:00.0, ,38-82,Offensive rebound by Team,,2,82,38,44,1440.0
0:00.0,End of 2nd quarter,38-82,,,2,82,38,44,1440.0
12:00.0,Start of 3rd quarter,38-82,,,3,82,38,44,1440.0
11:44.0,Personal foul by J. Tatum (drawn by M. Moody),38-82, ,,3,82,38,44,1456.0
11:29.0,T. Jackson-Davis makes 2-pt hook shot from 6 ft (assist by C. Paul),40-82, ,,3,82,40,42,1471.0
11:10.0, ,40-82,J. Brown misses 3-pt jump shot from 28 ft,,3,82,40,42,1490.0
11:08.0,Defensive rebound by J. Kuminga,40-82, ,,3,82,40,42,1492.0
10:58.0,T. Jackson-Davis makes 2-pt layup from 2 ft (assist by J. Kuminga),42-82, ,,3,82,42,40,1502.0
10:39.0, ,42-85,D. White makes 3-pt jump shot from 23 ft (assist by J. Holiday),,3,85,42,43,1521.0
10:29.0,M. Moody misses 3-pt jump shot from 23 ft,42-85, ,,3,85,42,43,1531.0
10:28.0,Offensive rebound by T. Jackson-Davis,42-85, ,,3,85,42,43,1532.0
10:24.0,Personal foul by A. Horford (drawn by M. Moody),42-85, ,,3,85,42,43,1536.0
10:21.0,Turnover by J. Kuminga (bad pass; steal by D. White),42-85, ,,3,85,42,43,1539.0
10:15.0, ,42-88,A. Horford makes 3-pt jump shot from 29 ft (assist by D. White),,3,88,42,46,1545.0
10:00.0,J. Kuminga misses 2-pt layup from 4 ft,42-88, ,,3,88,42,46,1560.0
9:58.0, ,42-88,Defensive rebound by D. White,,3,88,42,46,1562.0
9:49.0, ,42-90,J. Tatum makes 2-pt jump shot from 16 ft,,3,90,42,48,1571.0
9:36.0,C. Paul makes 2-pt layup from 2 ft,44-90, ,,3,90,44,46,1584.0
9:26.0, ,44-92,J. Brown makes 2-pt dunk from 2 ft (assist by D. White),,3,92,44,48,1594.0
9:06.0,Turnover by C. Paul (bad pass; steal by A. Horford),44-92, ,,3,92,44,48,1614.0
9:00.0, ,44-95,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Brown),,3,95,44,51,1620.0
8:42.0,L. Quinones makes 2-pt layup from 6 ft,46-95, ,,3,95,46,49,1638.0
8:42.0, ,46-95,Violation by Team (def goaltending),,3,95,46,49,1638.0
