Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:59.0,M. Branham misses 3-pt jump shot from 24 ft,45-64, ,,2,64,45,19,1381.0
0:56.0, ,45-64,Defensive rebound by A. Horford,,2,64,45,19,1384.0
0:35.0, ,45-67,J. Tatum makes 3-pt jump shot from 28 ft,,2,67,45,22,1405.0
0:27.0,D. Vassell misses 3-pt jump shot from 27 ft,45-67, ,,2,67,45,22,1413.0
0:25.0, ,45-67,Defensive rebound by A. Horford,,2,67,45,22,1415.0
0:04.0, ,45-70,A. Horford makes 3-pt jump shot from 24 ft (assist by P. Pritchard),,2,70,45,25,1436.0
0:00.0,D. Vassell misses 3-pt jump shot from 31 ft,45-70, ,,2,70,45,25,1440.0
0:00.0,Offensive rebound by Team,45-70, ,,2,70,45,25,1440.0
0:00.0,End of 2nd quarter,45-70,,,2,70,45,25,1440.0
12:00.0,Start of 3rd quarter,45-70,,,3,70,45,25,1440.0
11:44.0,J. Sochan misses 3-pt jump shot from 23 ft,45-70, ,,3,70,45,25,1456.0
11:42.0, ,45-70,Defensive rebound by J. Brown,,3,70,45,25,1458.0
11:21.0, ,45-73,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Brown),,3,73,45,28,1479.0
11:00.0,J. Champagnie misses 2-pt layup from 2 ft (block by L. Kornet),45-73, ,,3,73,45,28,1500.0
10:58.0, ,45-73,Defensive rebound by A. Horford,,3,73,45,28,1502.0
10:51.0, ,45-75,L. Kornet makes 2-pt dunk from 3 ft (assist by J. Brown),,3,75,45,30,1509.0
10:36.0,V. Wembanyama misses 3-pt jump shot from 27 ft,45-75, ,,3,75,45,30,1524.0
10:35.0, ,45-75,Defensive rebound by J. Holiday,,3,75,45,30,1525.0
10:25.0, ,45-75,A. Horford misses 3-pt jump shot from 24 ft,,3,75,45,30,1535.0
10:23.0,Defensive rebound by J. Champagnie,45-75, ,,3,75,45,30,1537.0
10:08.0,D. Vassell makes 2-pt jump shot from 6 ft (assist by J. Sochan),47-75, ,,3,75,47,28,1552.0
9:49.0, ,47-75,Turnover by J. Brown (bad pass; steal by D. Vassell),,3,75,47,28,1571.0
9:44.0,D. Vassell makes 2-pt dunk from 1 ft (assist by T. Jones),49-75, ,,3,75,49,26,1576.0
9:19.0, ,49-75,J. Brown misses 2-pt jump shot from 13 ft,,3,75,49,26,1601.0
9:16.0,Defensive rebound by Team,49-75, ,,3,75,49,26,1604.0
9:04.0,D. Vassell misses 2-pt jump shot from 10 ft,49-75, ,,3,75,49,26,1616.0
9:01.0, ,49-75,Defensive rebound by J. Tatum,,3,75,49,26,1619.0
