Time,Boston,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:33.0, ,33-27,K. Dunn misses 3-pt jump shot from 25 ft,,1,33,27,6,507.0
3:30.0,Defensive rebound by J. Holiday,33-27, ,,1,33,27,6,510.0
3:23.0,J. Holiday misses 3-pt jump shot from 26 ft,33-27, ,,1,33,27,6,517.0
3:20.0, ,33-27,Defensive rebound by W. Kessler,,1,33,27,6,520.0
3:10.0, ,33-27,J. Clarkson misses 3-pt jump shot from 27 ft,,1,33,27,6,530.0
3:09.0, ,33-27,Offensive rebound by Team,,1,33,27,6,531.0
3:09.0, ,33-27,T. Horton-Tucker enters the game for C. Sexton,,1,33,27,6,531.0
3:06.0, ,33-27,K. George misses 3-pt jump shot from 23 ft,,1,33,27,6,534.0
3:01.0,Defensive rebound by J. Tatum,33-27, ,,1,33,27,6,539.0
2:55.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by O. Brissett),36-27, ,,1,36,27,9,545.0
2:36.0, ,36-29,T. Horton-Tucker makes 2-pt jump shot from 8 ft,,1,36,29,7,564.0
2:19.0,J. Holiday makes 2-pt jump shot from 10 ft,38-29, ,,1,38,29,9,581.0
1:59.0, ,38-29,Turnover by K. George (bad pass; steal by X. Tillman),,1,38,29,9,601.0
1:52.0,O. Brissett makes 2-pt layup from 3 ft (assist by J. Tatum),40-29, ,,1,40,29,11,608.0
1:39.0, ,40-29,K. George misses 2-pt layup from 7 ft,,1,40,29,11,621.0
1:35.0, ,40-29,Offensive rebound by W. Kessler,,1,40,29,11,625.0
1:35.0, ,40-31,W. Kessler makes 2-pt dunk at rim,,1,40,31,9,625.0
1:16.0,X. Tillman makes 2-pt hook shot from 1 ft (assist by J. Holiday),42-31, ,,1,42,31,11,644.0
1:16.0, ,42-31,Violation by Team (def goaltending),,1,42,31,11,644.0
1:01.0, ,42-31,K. Dunn misses 2-pt jump shot from 8 ft,,1,42,31,11,659.0
1:00.0,Defensive rebound by J. Tatum,42-31, ,,1,42,31,11,660.0
0:50.0,J. Tatum misses 3-pt jump shot from 28 ft,42-31, ,,1,42,31,11,670.0
0:47.0, ,42-31,Defensive rebound by W. Kessler,,1,42,31,11,673.0
0:33.0, ,42-31,K. George misses 3-pt jump shot from 26 ft,,1,42,31,11,687.0
0:30.0,Defensive rebound by O. Brissett,42-31, ,,1,42,31,11,690.0
0:11.0,J. Tatum makes 2-pt layup from 3 ft (assist by P. Pritchard),44-31, ,,1,44,31,13,709.0
0:01.0, ,44-33,J. Clarkson makes 2-pt jump shot from 10 ft,,1,44,33,11,719.0
0:00.0,Turnover by P. Pritchard (bad pass; steal by T. Horton-Tucker),44-33, ,,1,44,33,11,720.0
0:00.0,End of 1st quarter,44-33,,,1,44,33,11,720.0
12:00.0,Start of 2nd quarter,44-33,,,2,44,33,11,720.0
11:37.0, ,44-33,T. Horton-Tucker misses 2-pt jump shot from 18 ft,,2,44,33,11,743.0
11:31.0,Defensive rebound by S. Hauser,44-33, ,,2,44,33,11,749.0
11:28.0,P. Pritchard makes 2-pt layup from 3 ft,46-33, ,,2,46,33,13,752.0
11:28.0, ,46-33,Violation by Team (def goaltending),,2,46,33,13,752.0
11:09.0, ,46-33,K. Dunn misses 2-pt jump shot from 8 ft (block by S. Hauser),,2,46,33,13,771.0
11:06.0,Defensive rebound by D. White,46-33, ,,2,46,33,13,774.0
11:03.0,P. Pritchard misses 3-pt jump shot from 25 ft,46-33, ,,2,46,33,13,777.0
11:00.0,Offensive rebound by X. Tillman,46-33, ,,2,46,33,13,780.0
10:56.0,D. White makes 3-pt jump shot from 24 ft (assist by S. Hauser),49-33, ,,2,49,33,16,784.0
10:38.0, ,49-33,T. Horton-Tucker misses 2-pt hook shot from 7 ft,,2,49,33,16,802.0
