Time,Boston,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:39.0, ,52-46,A. Wiggins makes free throw 2 of 2,,2,52,46,6,981.0
7:30.0,J. Holiday misses 3-pt jump shot from 28 ft,52-46, ,,2,52,46,6,990.0
7:26.0, ,52-46,Defensive rebound by A. Wiggins,,2,52,46,6,994.0
7:15.0, ,52-46,Turnover by T. Jackson-Davis (bad pass; steal by J. Tatum),,2,52,46,6,1005.0
7:07.0,J. Brown misses 3-pt jump shot from 27 ft,52-46, ,,2,52,46,6,1013.0
7:04.0, ,52-46,Defensive rebound by T. Jackson-Davis,,2,52,46,6,1016.0
6:54.0, ,52-46,S. Curry misses 2-pt jump shot from 7 ft,,2,52,46,6,1026.0
6:51.0,Defensive rebound by A. Horford,52-46, ,,2,52,46,6,1029.0
6:42.0,D. White misses 3-pt jump shot from 28 ft,52-46, ,,2,52,46,6,1038.0
6:39.0,Offensive rebound by J. Tatum,52-46, ,,2,52,46,6,1041.0
6:34.0,D. White misses 3-pt jump shot from 27 ft,52-46, ,,2,52,46,6,1046.0
6:29.0,Offensive rebound by Team,52-46, ,,2,52,46,6,1051.0
6:29.0, ,52-46,J. Kuminga enters the game for A. Wiggins,,2,52,46,6,1051.0
6:20.0,D. White misses 3-pt jump shot from 27 ft (block by K. Thompson),52-46, ,,2,52,46,6,1060.0
6:17.0, ,52-46,Defensive rebound by T. Jackson-Davis,,2,52,46,6,1063.0
6:09.0, ,52-46,J. Kuminga misses 3-pt jump shot from 26 ft,,2,52,46,6,1071.0
6:06.0,Defensive rebound by J. Brown,52-46, ,,2,52,46,6,1074.0
6:00.0,Turnover by J. Brown (bad pass; steal by B. Podziemski),52-46, ,,2,52,46,6,1080.0
5:55.0, ,52-46,J. Kuminga misses 2-pt dunk from 5 ft,,2,52,46,6,1085.0
5:53.0, ,52-46,Offensive rebound by B. Podziemski,,2,52,46,6,1087.0
