Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:49.0,B. Ingram makes 2-pt jump shot from 11 ft,34-21, ,,1,21,34,-13,611.0
1:29.0, ,34-23,N. Queta makes 2-pt dunk from 2 ft (assist by J. Brown),,1,23,34,-11,631.0
1:22.0,New Orleans full timeout,34-23, ,,1,23,34,-11,638.0
1:22.0, ,34-23,J. Holiday enters the game for J. Brown,,1,23,34,-11,638.0
1:22.0, ,34-23,J. Tatum enters the game for D. White,,1,23,34,-11,638.0
1:11.0,B. Ingram misses 2-pt jump shot from 22 ft,34-23, ,,1,23,34,-11,649.0
1:09.0,Offensive rebound by L. Nance,34-23, ,,1,23,34,-11,651.0
1:07.0,T. Murphy misses 3-pt jump shot from 26 ft,34-23, ,,1,23,34,-11,653.0
1:05.0, ,34-23,Defensive rebound by J. Tatum,,1,23,34,-11,655.0
0:51.0, ,34-25,J. Tatum makes 2-pt jump shot from 16 ft,,1,25,34,-9,669.0
0:41.0,Turnover by B. Ingram (out of bounds lost ball),34-25, ,,1,25,34,-9,679.0
0:34.0, ,34-25,Turnover by J. Tatum (bad pass),,1,25,34,-9,686.0
0:12.0,B. Ingram makes 2-pt layup from 4 ft,36-25, ,,1,25,36,-11,708.0
0:03.0, ,36-25,J. Tatum misses 3-pt jump shot from 27 ft,,1,25,36,-11,717.0
0:03.0,Defensive rebound by N. Marshall,36-25, ,,1,25,36,-11,717.0
0:00.0,End of 1st quarter,36-25,,,1,25,36,-11,720.0
12:00.0,Start of 2nd quarter,36-25,,,2,25,36,-11,720.0
11:41.0, ,36-27,P. Pritchard makes 2-pt jump shot from 11 ft,,2,27,36,-9,739.0
11:21.0,J. Valančiūnas misses 3-pt jump shot from 24 ft,36-27, ,,2,27,36,-9,759.0
11:20.0, ,36-27,Defensive rebound by N. Queta,,2,27,36,-9,760.0
11:17.0, ,36-27,Turnover by N. Queta (lost ball; steal by N. Marshall),,2,27,36,-9,763.0
11:05.0,Turnover by C. McCollum (bad pass; steal by J. Holiday),36-27, ,,2,27,36,-9,775.0
10:58.0, ,36-27,Personal foul by J. Hawkins (drawn by J. Tatum),,2,27,36,-9,782.0
10:49.0, ,36-27,P. Pritchard misses 3-pt jump shot from 24 ft,,2,27,36,-9,791.0
10:46.0,Defensive rebound by N. Marshall,36-27, ,,2,27,36,-9,794.0
10:29.0,N. Marshall makes 2-pt layup from 6 ft,38-27, ,,2,27,38,-11,811.0
10:05.0, ,38-27,N. Queta misses 2-pt layup from 2 ft (block by J. Valančiūnas),,2,27,38,-11,835.0
10:04.0,Defensive rebound by J. Hawkins,38-27, ,,2,27,38,-11,836.0
9:59.0,Personal foul by P. Pritchard (drawn by J. Hawkins),38-27, ,,2,27,38,-11,841.0
9:59.0, ,38-27,A. Horford enters the game for N. Queta,,2,27,38,-11,841.0
9:44.0,J. Valančiūnas makes 2-pt hook shot from 7 ft,40-27, ,,2,27,40,-13,856.0
9:32.0, ,40-27,J. Holiday misses 3-pt jump shot from 27 ft,,2,27,40,-13,868.0
9:31.0,Defensive rebound by J. Valančiūnas,40-27, ,,2,27,40,-13,869.0
9:26.0,C. McCollum misses 2-pt jump shot from 7 ft (block by J. Tatum),40-27, ,,2,27,40,-13,874.0
9:25.0,Offensive rebound by Team,40-27, ,,2,27,40,-13,875.0
9:17.0,Z. Williamson makes 2-pt layup from 6 ft (assist by N. Marshall),42-27, ,,2,27,42,-15,883.0
9:16.0, ,42-27,Boston full timeout,,2,27,42,-15,884.0
9:05.0, ,42-27,Turnover by P. Pritchard (lost ball; steal by J. Hawkins),,2,27,42,-15,895.0
9:05.0,Personal foul by P. Pritchard (drawn by J. Hawkins),42-27, ,,2,27,42,-15,895.0
9:05.0, ,42-27,O. Brissett enters the game for P. Pritchard,,2,27,42,-15,895.0
8:53.0,Shooting foul by J. Holiday (drawn by Z. Williamson),42-27, ,,2,27,42,-15,907.0
8:53.0,Z. Williamson makes free throw 1 of 2,43-27, ,,2,27,43,-16,907.0
8:53.0,Z. Williamson makes free throw 2 of 2,44-27, ,,2,27,44,-17,907.0
8:37.0, ,44-30,S. Hauser makes 3-pt jump shot from 27 ft (assist by A. Horford),,2,30,44,-14,923.0
8:17.0,Z. Williamson misses 2-pt hook shot from 10 ft,44-30, ,,2,30,44,-14,943.0
8:15.0, ,44-30,Defensive rebound by J. Tatum,,2,30,44,-14,945.0
8:11.0, ,44-32,J. Tatum makes 2-pt layup from 4 ft,,2,32,44,-12,949.0
7:49.0,Z. Williamson makes 2-pt jump shot from 6 ft,46-32, ,,2,32,46,-14,971.0
7:31.0, ,46-32,J. Tatum misses 3-pt jump shot from 26 ft,,2,32,46,-14,989.0
