Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:15.0,F. Wagner misses 2-pt layup from 3 ft,47-60, ,,2,60,47,13,1305.0
2:14.0,Offensive rebound by Team,47-60, ,,2,60,47,13,1306.0
2:07.0,Turnover by P. Banchero (bad pass; steal by S. Hauser),47-60, ,,2,60,47,13,1313.0
2:01.0, ,47-62,S. Hauser makes 2-pt layup from 5 ft,,2,62,47,15,1319.0
1:48.0,P. Banchero misses 3-pt jump shot from 29 ft,47-62, ,,2,62,47,15,1332.0
1:48.0,Offensive rebound by Team,47-62, ,,2,62,47,15,1332.0
1:48.0, ,47-62,Loose ball foul by J. Tatum (drawn by G. Bitadze),,2,62,47,15,1332.0
1:48.0,G. Bitadze makes free throw 1 of 2,48-62, ,,2,62,48,14,1332.0
1:48.0,J. Isaac enters the game for P. Banchero,48-62, ,,2,62,48,14,1332.0
1:48.0,G. Bitadze misses free throw 2 of 2,48-62, ,,2,62,48,14,1332.0
1:46.0, ,48-62,Defensive rebound by J. Brown,,2,62,48,14,1334.0
1:30.0, ,48-64,J. Tatum makes 2-pt dunk from 2 ft (assist by J. Brown),,2,64,48,16,1350.0
1:09.0,J. Suggs misses 3-pt jump shot from 24 ft,48-64, ,,2,64,48,16,1371.0
1:07.0, ,48-64,Defensive rebound by D. White,,2,64,48,16,1373.0
1:03.0, ,48-64,D. White misses 3-pt jump shot from 28 ft,,2,64,48,16,1377.0
0:59.0,Defensive rebound by G. Bitadze,48-64, ,,2,64,48,16,1381.0
0:54.0,A. Black makes 3-pt jump shot from 27 ft (assist by J. Suggs),51-64, ,,2,64,51,13,1386.0
0:33.0, ,51-64,S. Hauser misses 2-pt layup from 5 ft,,2,64,51,13,1407.0
0:31.0,Defensive rebound by J. Suggs,51-64, ,,2,64,51,13,1409.0
0:24.0,J. Isaac misses 2-pt hook shot from 5 ft,51-64, ,,2,64,51,13,1416.0
0:20.0, ,51-64,Defensive rebound by J. Tatum,,2,64,51,13,1420.0
0:02.0, ,51-64,J. Holiday misses 2-pt jump shot from 17 ft,,2,64,51,13,1438.0
0:00.0, ,51-64,Offensive rebound by D. White,,2,64,51,13,1440.0
0:00.0, ,51-64,D. White misses 2-pt layup from 8 ft,,2,64,51,13,1440.0
0:00.0,Defensive rebound by G. Bitadze,51-64, ,,2,64,51,13,1440.0
0:00.0,End of 2nd quarter,51-64,,,2,64,51,13,1440.0
12:00.0,Start of 3rd quarter,51-64,,,3,64,51,13,1440.0
