Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:40.0, ,81-87,Turnover by S. Hauser (lost ball; steal by T. Harris),,3,87,81,6,1880.0
4:36.0,F. Korkmaz misses 3-pt jump shot from 25 ft,81-87, ,,3,87,81,6,1884.0
4:32.0, ,81-87,Defensive rebound by D. Banton,,3,87,81,6,1888.0
4:25.0, ,81-87,D. Banton misses 3-pt jump shot from 25 ft,,3,87,81,6,1895.0
4:23.0,Defensive rebound by P. Beverley,81-87, ,,3,87,81,6,1897.0
4:13.0,M. Bamba makes 3-pt jump shot from 25 ft (assist by P. Beverley),84-87, ,,3,87,84,3,1907.0
3:59.0, ,84-87,Turnover by D. White (lost ball; steal by R. Covington),,3,87,84,3,1921.0
3:54.0,T. Harris misses 2-pt layup from 6 ft (block by J. Brown),84-87, ,,3,87,84,3,1926.0
3:51.0,Offensive rebound by P. Beverley,84-87, ,,3,87,84,3,1929.0
3:49.0,F. Korkmaz misses 3-pt jump shot from 30 ft,84-87, ,,3,87,84,3,1931.0
3:47.0, ,84-87,Defensive rebound by S. Hauser,,3,87,84,3,1933.0
3:35.0, ,84-87,J. Brown misses 2-pt jump shot from 18 ft,,3,87,84,3,1945.0
3:32.0, ,84-87,Offensive rebound by D. Banton,,3,87,84,3,1948.0
3:31.0, ,84-87,J. Brown misses 3-pt jump shot from 28 ft,,3,87,84,3,1949.0
3:29.0,Defensive rebound by P. Beverley,84-87, ,,3,87,84,3,1951.0
3:20.0,M. Bamba makes 3-pt jump shot from 27 ft (assist by P. Beverley),87-87, ,Tie,3,87,87,0,1960.0
3:05.0, ,87-87,Shooting foul by F. Korkmaz (drawn by D. White),,3,87,87,0,1975.0
3:05.0, ,87-88,D. White makes free throw 1 of 2,,3,88,87,1,1975.0
3:05.0,K. Martin enters the game for P. Beverley,87-88, ,,3,88,87,1,1975.0
3:05.0,D. Melton enters the game for T. Harris,87-88, ,,3,88,87,1,1975.0
3:05.0, ,87-88,J. Tatum enters the game for J. Brown,,3,88,87,1,1975.0
3:05.0, ,87-89,D. White makes free throw 2 of 2,,3,89,87,2,1975.0
2:45.0,D. Melton misses 3-pt jump shot from 26 ft,87-89, ,,3,89,87,2,1995.0
2:43.0, ,87-89,Defensive rebound by D. White,,3,89,87,2,1997.0
2:40.0, ,87-89,S. Hauser misses 2-pt layup from 2 ft (block by D. Melton),,3,89,87,2,2000.0
2:38.0,Defensive rebound by F. Korkmaz,87-89, ,,3,89,87,2,2002.0
2:23.0,F. Korkmaz misses 2-pt layup from 2 ft,87-89, ,,3,89,87,2,2017.0
2:22.0,Offensive rebound by M. Bamba,87-89, ,,3,89,87,2,2018.0
2:22.0,M. Bamba makes 2-pt dunk at rim,89-89, ,Tie,3,89,89,0,2018.0
2:06.0, ,89-89,J. Tatum misses 3-pt jump shot from 27 ft,,3,89,89,0,2034.0
2:05.0, ,89-89,Offensive rebound by D. Banton,,3,89,89,0,2035.0
2:04.0, ,89-91,D. Banton makes 2-pt layup from 4 ft,,3,91,89,2,2036.0
2:04.0,Violation by Team (def goaltending),89-91, ,,3,91,89,2,2036.0
1:54.0,K. Martin misses 2-pt layup from 4 ft,89-91, ,,3,91,89,2,2046.0
1:52.0,Offensive rebound by R. Covington,89-91, ,,3,91,89,2,2048.0
1:45.0,D. Melton misses 2-pt jump shot from 17 ft,89-91, ,,3,91,89,2,2055.0
1:43.0, ,89-91,Defensive rebound by S. Hauser,,3,91,89,2,2057.0
1:27.0, ,89-91,Shooting foul by R. Covington (drawn by D. White),,3,91,89,2,2073.0
1:27.0, ,89-92,D. White makes free throw 1 of 2,,3,92,89,3,2073.0
1:27.0, ,89-93,D. White makes free throw 2 of 2,,3,93,89,4,2073.0
1:15.0,K. Martin makes 2-pt layup from 3 ft (assist by R. Covington),91-93, ,,3,93,91,2,2085.0
1:03.0, ,91-93,Personal foul by K. Martin (drawn by J. Tatum),,3,93,91,2,2097.0
1:03.0, ,91-94,J. Tatum makes free throw 1 of 2,,3,94,91,3,2097.0
1:03.0, ,91-94,P. Pritchard enters the game for D. White,,3,94,91,3,2097.0
1:03.0, ,91-95,J. Tatum makes free throw 2 of 2,,3,95,91,4,2097.0
0:41.0,K. Martin misses 2-pt layup from 2 ft,91-95, ,,3,95,91,4,2119.0
0:40.0, ,91-95,Defensive rebound by J. Tatum,,3,95,91,4,2120.0
0:28.0, ,91-95,D. Banton misses 2-pt jump shot from 12 ft,,3,95,91,4,2132.0
0:26.0,Defensive rebound by R. Covington,91-95, ,,3,95,91,4,2134.0
0:08.0,D. Melton makes 3-pt jump shot from 28 ft,94-95, ,,3,95,94,1,2152.0
0:02.0, ,94-95,Turnover by J. Tatum (lost ball),,3,95,94,1,2158.0
0:02.0,Flagrant foul type 1 by J. Tatum (drawn by R. Covington),94-95, ,,3,95,94,1,2158.0
0:02.0, ,94-95,Technical foul by J. Tatum,,3,95,94,1,2158.0
0:02.0, ,94-95,Instant Replay (Request: Ruling Stands),,3,95,94,1,2158.0
0:02.0, ,94-95,J. Tatum ejected from game,,3,95,94,1,2158.0
0:02.0, ,94-95,J. Holiday enters the game for L. Kornet,,3,95,94,1,2158.0
0:02.0, ,94-95,D. White enters the game for J. Tatum,,3,95,94,1,2158.0
0:02.0,R. Covington makes technical free throw,95-95, ,Tie,3,95,95,0,2158.0
0:02.0,R. Covington makes flagrant free throw 1 of 2,96-95, ,Lead change,3,95,96,-1,2158.0
0:02.0,R. Covington makes flagrant free throw 2 of 2,97-95, ,,3,95,97,-2,2158.0
0:00.0,M. Bamba misses 3-pt jump shot from 26 ft,97-95, ,,3,95,97,-2,2160.0
0:00.0,Offensive rebound by Team,97-95, ,,3,95,97,-2,2160.0
0:00.0,End of 3rd quarter,97-95,,,3,95,97,-2,2160.0
12:00.0,Start of 4th quarter,97-95,,,4,95,97,-2,2160.0
11:49.0,P. Beverley misses 2-pt jump shot from 8 ft,97-95, ,,4,95,97,-2,2171.0
11:47.0, ,97-95,Defensive rebound by J. Holiday,,4,95,97,-2,2173.0
11:31.0, ,97-95,J. Holiday misses 2-pt jump shot from 11 ft,,4,95,97,-2,2189.0
11:31.0,Defensive rebound by K. Martin,97-95, ,,4,95,97,-2,2189.0
11:25.0,D. Melton misses 2-pt layup from 2 ft,97-95, ,,4,95,97,-2,2195.0
11:24.0,Offensive rebound by M. Bamba,97-95, ,,4,95,97,-2,2196.0
11:24.0,M. Bamba makes 2-pt layup at rim,99-95, ,,4,95,99,-4,2196.0
11:02.0, ,99-95,J. Holiday misses 2-pt layup from 2 ft,,4,95,99,-4,2218.0
11:00.0,Defensive rebound by D. Melton,99-95, ,,4,95,99,-4,2220.0
10:54.0,D. Melton misses 3-pt jump shot from 27 ft,99-95, ,,4,95,99,-4,2226.0
10:53.0, ,99-95,Defensive rebound by N. Queta,,4,95,99,-4,2227.0
10:42.0, ,99-98,P. Pritchard makes 3-pt jump shot from 26 ft,,4,98,99,-1,2238.0
10:24.0,Personal foul by J. Holiday (drawn by P. Beverley),99-98, ,,4,98,99,-1,2256.0
10:24.0,T. Harris enters the game for K. Martin,99-98, ,,4,98,99,-1,2256.0
10:14.0,Shooting foul by A. Horford (drawn by P. Beverley),99-98, ,,4,98,99,-1,2266.0
10:14.0,P. Beverley makes free throw 1 of 2,100-98, ,,4,98,100,-2,2266.0
10:14.0,P. Beverley makes free throw 2 of 2,101-98, ,,4,98,101,-3,2266.0
10:03.0, ,101-100,N. Queta makes 2-pt dunk from 1 ft (assist by P. Pritchard),,4,100,101,-1,2277.0
9:42.0,M. Bamba misses 3-pt jump shot from 26 ft,101-100, ,,4,100,101,-1,2298.0
9:40.0, ,101-100,Defensive rebound by N. Queta,,4,100,101,-1,2300.0
9:30.0, ,101-100,Shooting foul by R. Covington (drawn by N. Queta),,4,100,101,-1,2310.0
9:30.0, ,101-100,N. Queta misses free throw 1 of 2,,4,100,101,-1,2310.0
9:30.0, ,101-100,Offensive rebound by Team,,4,100,101,-1,2310.0
9:30.0, ,101-101,N. Queta makes free throw 2 of 2,Tie,4,101,101,0,2310.0
9:09.0,Turnover by D. Melton (bad pass; steal by J. Holiday),101-101, ,,4,101,101,0,2331.0
9:04.0, ,101-104,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Holiday),Lead change,4,104,101,3,2336.0
8:45.0,Turnover by T. Harris (lost ball; steal by P. Pritchard),101-104, ,,4,104,101,3,2355.0
8:42.0, ,101-104,Turnover by N. Queta (traveling),,4,104,101,3,2358.0
8:28.0,R. Covington makes 3-pt jump shot from 27 ft (assist by P. Beverley),104-104, ,Tie,4,104,104,0,2372.0
8:09.0, ,104-104,P. Pritchard misses 3-pt jump shot from 29 ft,,4,104,104,0,2391.0
8:08.0, ,104-104,Offensive rebound by N. Queta,,4,104,104,0,2392.0
8:07.0, ,104-104,Personal foul by R. Covington (drawn by N. Queta),,4,104,104,0,2393.0
8:07.0, ,104-104,J. Brown enters the game for N. Queta,,4,104,104,0,2393.0
8:05.0, ,104-104,Turnover by S. Hauser (bad pass; steal by T. Harris),,4,104,104,0,2395.0
7:58.0,T. Harris misses 2-pt layup from 5 ft,104-104, ,,4,104,104,0,2402.0
7:57.0,Offensive rebound by M. Bamba,104-104, ,,4,104,104,0,2403.0
7:57.0,M. Bamba misses 2-pt layup at rim,104-104, ,,4,104,104,0,2403.0
7:56.0,Offensive rebound by Team,104-104, ,,4,104,104,0,2404.0
7:56.0,P. Reed enters the game for M. Bamba,104-104, ,,4,104,104,0,2404.0
7:44.0,D. Melton makes 2-pt layup from 2 ft,106-104, ,Lead change,4,104,106,-2,2416.0
7:26.0, ,106-104,Turnover by A. Horford (bad pass; steal by D. Melton),,4,104,106,-2,2434.0
7:21.0,T. Harris misses 2-pt layup from 4 ft (block by A. Horford),106-104, ,,4,104,106,-2,2439.0
7:20.0,Offensive rebound by T. Harris,106-104, ,,4,104,106,-2,2440.0
7:19.0,T. Harris misses 2-pt layup from 4 ft (block by J. Brown),106-104, ,,4,104,106,-2,2441.0
7:18.0, ,106-104,Defensive rebound by S. Hauser,,4,104,106,-2,2442.0
7:15.0, ,106-104,Personal foul by D. Melton (drawn by P. Pritchard),,4,104,106,-2,2445.0
6:56.0, ,106-107,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),Lead change,4,107,106,1,2464.0
6:56.0,Philadelphia full timeout,106-107, ,,4,107,106,1,2464.0
6:34.0,Personal foul by J. Brown (drawn by T. Harris),106-107, ,,4,107,106,1,2486.0
6:34.0, ,106-107,D. White enters the game for S. Hauser,,4,107,106,1,2486.0
6:24.0,T. Harris misses 2-pt jump shot from 16 ft,106-107, ,,4,107,106,1,2496.0
6:21.0,Offensive rebound by R. Covington,106-107, ,,4,107,106,1,2499.0
6:19.0,Turnover by R. Covington (lost ball; steal by J. Brown),106-107, ,,4,107,106,1,2501.0
6:12.0, ,106-109,D. White makes 2-pt layup from 3 ft,,4,109,106,3,2508.0
5:51.0,P. Reed makes 2-pt jump shot from 12 ft,108-109, ,,4,109,108,1,2529.0
5:28.0, ,108-109,Shooting foul by T. Harris (drawn by P. Pritchard),,4,109,108,1,2552.0
5:28.0, ,108-110,P. Pritchard makes free throw 1 of 2,,4,110,108,2,2552.0
5:28.0, ,108-111,P. Pritchard makes free throw 2 of 2,,4,111,108,3,2552.0
5:11.0,D. Melton misses 2-pt layup from 3 ft,108-111, ,,4,111,108,3,2569.0
5:10.0,Offensive rebound by R. Covington,108-111, ,,4,111,108,3,2570.0
5:09.0,R. Covington misses 2-pt layup from 5 ft,108-111, ,,4,111,108,3,2571.0
5:08.0, ,108-111,Defensive rebound by Team,,4,111,108,3,2572.0
5:08.0,Loose ball foul by D. Melton (drawn by A. Horford),108-111, ,,4,111,108,3,2572.0
5:08.0,M. Morris enters the game for D. Melton,108-111, ,,4,111,108,3,2572.0
5:08.0, ,108-112,A. Horford makes free throw 1 of 2,,4,112,108,4,2572.0
5:08.0, ,108-113,A. Horford makes free throw 2 of 2,,4,113,108,5,2572.0
4:51.0,P. Beverley makes 2-pt jump shot from 11 ft,110-113, ,,4,113,110,3,2589.0
4:36.0, ,110-113,A. Horford misses 3-pt jump shot from 28 ft,,4,113,110,3,2604.0
4:35.0,Defensive rebound by M. Morris,110-113, ,,4,113,110,3,2605.0
4:11.0,P. Beverley misses 2-pt layup from 4 ft,110-113, ,,4,113,110,3,2629.0
4:08.0,Offensive rebound by T. Harris,110-113, ,,4,113,110,3,2632.0
4:06.0,Turnover by T. Harris (discontinued dribble),110-113, ,,4,113,110,3,2634.0
4:06.0, ,110-113,Boston full timeout,,4,113,110,3,2634.0
3:53.0, ,110-113,Turnover by J. Holiday (bad pass; steal by T. Harris),,4,113,110,3,2647.0
3:50.0,T. Harris misses 2-pt layup from 3 ft (block by D. White),110-113, ,,4,113,110,3,2650.0
3:49.0, ,110-113,Defensive rebound by J. Holiday,,4,113,110,3,2651.0
3:48.0, ,110-113,Turnover by J. Holiday (out of bounds lost ball),,4,113,110,3,2652.0
3:48.0,M. Bamba enters the game for P. Reed,110-113, ,,4,113,110,3,2652.0
3:48.0, ,110-113,L. Kornet enters the game for P. Pritchard,,4,113,110,3,2652.0
3:35.0,Personal foul by J. Brown (drawn by P. Beverley),110-113, ,,4,113,110,3,2665.0
3:24.0,P. Beverley makes 3-pt jump shot from 27 ft,113-113, ,Tie,4,113,113,0,2676.0
3:03.0, ,113-115,J. Brown makes 2-pt jump shot from 19 ft (assist by D. White),,4,115,113,2,2697.0
2:46.0,M. Morris makes 2-pt jump shot from 10 ft (assist by P. Beverley),115-115, ,Tie,4,115,115,0,2714.0
2:29.0, ,115-115,D. White misses 2-pt jump shot from 16 ft,,4,115,115,0,2731.0
2:28.0,Defensive rebound by P. Beverley,115-115, ,,4,115,115,0,2732.0
2:28.0,Personal foul by L. Kornet (drawn by P. Beverley),115-115, ,,4,115,115,0,2732.0
2:28.0,P. Beverley makes free throw 1 of 2,116-115, ,Lead change,4,115,116,-1,2732.0
2:28.0,K. Martin enters the game for M. Bamba,116-115, ,,4,115,116,-1,2732.0
2:28.0, ,116-115,P. Pritchard enters the game for L. Kornet,,4,115,116,-1,2732.0
2:28.0,P. Beverley misses free throw 2 of 2,116-115, ,,4,115,116,-1,2732.0
2:28.0, ,116-115,Defensive rebound by D. White,,4,115,116,-1,2732.0
2:09.0, ,116-117,A. Horford makes 2-pt hook shot from 5 ft,Lead change,4,117,116,1,2751.0
1:43.0,R. Covington misses 3-pt jump shot from 24 ft,116-117, ,,4,117,116,1,2777.0
1:42.0, ,116-117,Defensive rebound by J. Brown,,4,117,116,1,2778.0
1:34.0, ,116-117,Personal foul by P. Beverley (drawn by J. Brown),,4,117,116,1,2786.0
1:34.0, ,116-118,J. Brown makes free throw 1 of 2,,4,118,116,2,2786.0
1:34.0,M. Bamba enters the game for K. Martin,116-118, ,,4,118,116,2,2786.0
1:34.0, ,116-119,J. Brown makes free throw 2 of 2,,4,119,116,3,2786.0
1:18.0,Offensive foul by R. Covington (drawn by J. Holiday),116-119, ,,4,119,116,3,2802.0
1:18.0,Turnover by R. Covington (offensive foul),116-119, ,,4,119,116,3,2802.0
1:01.0, ,116-119,Shooting foul by P. Beverley (drawn by J. Holiday),,4,119,116,3,2819.0
1:01.0, ,116-120,J. Holiday makes free throw 1 of 2,,4,120,116,4,2819.0
1:01.0,Philadelphia full timeout,116-120, ,,4,120,116,4,2819.0
1:01.0, ,116-121,J. Holiday makes free throw 2 of 2,,4,121,116,5,2819.0
0:41.0,P. Beverley misses 3-pt jump shot from 27 ft,116-121, ,,4,121,116,5,2839.0
0:39.0, ,116-121,Defensive rebound by P. Pritchard,,4,121,116,5,2841.0
0:18.0, ,116-123,P. Pritchard makes 2-pt layup from 2 ft (assist by J. Holiday),,4,123,116,7,2862.0
0:05.0,M. Morris makes 3-pt jump shot from 32 ft (assist by M. Bamba),119-123, ,,4,123,119,4,2875.0
0:04.0, ,119-123,Personal take foul by P. Beverley (drawn by A. Horford),,4,123,119,4,2876.0
0:04.0, ,119-124,A. Horford makes free throw 1 of 2,,4,124,119,5,2876.0
0:04.0, ,119-125,A. Horford makes free throw 2 of 2,,4,125,119,6,2876.0
0:04.0,Philadelphia full timeout,119-125, ,,4,125,119,6,2876.0
0:03.0,Personal foul by J. Brown (drawn by T. Harris),119-125, ,,4,125,119,6,2877.0
0:03.0,T. Harris misses free throw 1 of 2,119-125, ,,4,125,119,6,2877.0
0:03.0,Offensive rebound by Team,119-125, ,,4,125,119,6,2877.0
0:03.0, ,119-125,L. Kornet enters the game for P. Pritchard,,4,125,119,6,2877.0
0:03.0,T. Harris misses free throw 2 of 2,119-125, ,,4,125,119,6,2877.0
0:01.0, ,119-125,Defensive rebound by L. Kornet,,4,125,119,6,2879.0
0:00.0,End of 4th quarter,119-125,,,4,125,119,6,2880.0
