Time,Oklahoma City,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:09.0, ,47-61,J. Tatum misses 3-pt jump shot from 28 ft,,2,61,47,14,1431.0
0:07.0,Defensive rebound by L. Dort,47-61, ,,2,61,47,14,1433.0
0:04.0,C. Holmgren misses 2-pt layup from 8 ft (block by J. Brown),47-61, ,,2,61,47,14,1436.0
0:03.0,Offensive rebound by Team,47-61, ,,2,61,47,14,1437.0
0:03.0,I. Joe enters the game for C. Wallace,47-61, ,,2,61,47,14,1437.0
0:03.0,Turnover by J. Giddey (bad pass),47-61, ,,2,61,47,14,1437.0
0:03.0,A. Wiggins enters the game for J. Giddey,47-61, ,,2,61,47,14,1437.0
0:03.0,K. Williams enters the game for J. Williams,47-61, ,,2,61,47,14,1437.0
0:00.0, ,47-61,J. Brown misses 3-pt jump shot from 28 ft,,2,61,47,14,1440.0
0:00.0, ,47-61,Offensive rebound by Team,,2,61,47,14,1440.0
0:00.0,End of 2nd quarter,47-61,,,2,61,47,14,1440.0
12:00.0,Start of 3rd quarter,47-61,,,3,61,47,14,1440.0
11:43.0,C. Holmgren makes 2-pt jump shot from 10 ft (assist by A. Wiggins),49-61, ,,3,61,49,12,1457.0
11:22.0, ,49-61,Shooting foul by A. Wiggins (drawn by K. Porziņģis),,3,61,49,12,1478.0
11:22.0, ,49-62,K. Porziņģis makes free throw 1 of 2,,3,62,49,13,1478.0
11:22.0, ,49-63,K. Porziņģis makes free throw 2 of 2,,3,63,49,14,1478.0
11:06.0,C. Holmgren makes 2-pt dunk at rim,51-63, ,,3,63,51,12,1494.0
10:56.0, ,51-63,Turnover by J. Holiday (bad pass; steal by C. Wallace),,3,63,51,12,1504.0
10:45.0,J. Giddey makes 2-pt layup from 2 ft (assist by C. Wallace),53-63, ,,3,63,53,10,1515.0
10:28.0, ,53-63,Shooting foul by C. Wallace (drawn by D. White),,3,63,53,10,1532.0
10:28.0, ,53-64,D. White makes free throw 1 of 2,,3,64,53,11,1532.0
10:28.0, ,53-65,D. White makes free throw 2 of 2,,3,65,53,12,1532.0
10:18.0,C. Holmgren misses 2-pt jump shot from 15 ft,53-65, ,,3,65,53,12,1542.0
10:17.0, ,53-65,Defensive rebound by J. Brown,,3,65,53,12,1543.0
10:12.0, ,53-65,Turnover by J. Brown (lost ball; steal by C. Wallace),,3,65,53,12,1548.0
10:03.0,Shooting foul by K. Porziņģis (drawn by J. Giddey),53-65, ,,3,65,53,12,1557.0
10:03.0,J. Giddey makes free throw 1 of 2,54-65, ,,3,65,54,11,1557.0
10:03.0,J. Giddey makes free throw 2 of 2,55-65, ,,3,65,55,10,1557.0
9:46.0, ,55-65,J. Brown misses 2-pt layup from 5 ft (block by C. Wallace),,3,65,55,10,1574.0
9:44.0,Defensive rebound by C. Wallace,55-65, ,,3,65,55,10,1576.0
