Time,Indiana,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:27.0,T. McConnell makes free throw 2 of 2,65-96, ,,3,96,65,31,1833.0
5:12.0, ,65-96,J. Brown misses 2-pt jump shot from 20 ft,,3,96,65,31,1848.0
5:07.0,Defensive rebound by B. Hield,65-96, ,,3,96,65,31,1853.0
5:01.0,A. Nesmith misses 3-pt jump shot from 24 ft,65-96, ,,3,96,65,31,1859.0
4:59.0, ,65-96,Defensive rebound by J. Tatum,,3,96,65,31,1861.0
4:48.0, ,65-98,J. Tatum makes 2-pt layup from 3 ft,,3,98,65,33,1872.0
4:37.0,J. Nwora misses 3-pt jump shot from 24 ft,65-98, ,,3,98,65,33,1883.0
4:35.0, ,65-98,Defensive rebound by K. Porziņģis,,3,98,65,33,1885.0
4:29.0, ,65-98,J. Brown misses 2-pt layup from 5 ft,,3,98,65,33,1891.0
4:27.0,Defensive rebound by I. Jackson,65-98, ,,3,98,65,33,1893.0
4:06.0,I. Jackson makes 2-pt dunk from 1 ft (assist by B. Hield),67-98, ,,3,98,67,31,1914.0
3:48.0, ,67-100,J. Holiday makes 2-pt jump shot from 13 ft (assist by J. Tatum),,3,100,67,33,1932.0
3:34.0,A. Nesmith misses 3-pt jump shot from 27 ft,67-100, ,,3,100,67,33,1946.0
3:31.0,Offensive rebound by T. McConnell,67-100, ,,3,100,67,33,1949.0
3:30.0,T. McConnell makes 2-pt layup from 2 ft,69-100, ,,3,100,69,31,1950.0
3:16.0, ,69-102,J. Tatum makes 2-pt layup from 4 ft (assist by D. White),,3,102,69,33,1964.0
3:04.0,T. McConnell misses 2-pt jump shot from 7 ft,69-102, ,,3,102,69,33,1976.0
3:02.0, ,69-102,Defensive rebound by J. Tatum,,3,102,69,33,1978.0
2:58.0, ,69-102,J. Holiday misses 2-pt jump shot from 15 ft,,3,102,69,33,1982.0
2:55.0,Defensive rebound by I. Jackson,69-102, ,,3,102,69,33,1985.0
2:53.0,J. Nwora misses 3-pt jump shot from 26 ft,69-102, ,,3,102,69,33,1987.0
2:53.0, ,69-102,Defensive rebound by J. Tatum,,3,102,69,33,1987.0
2:37.0, ,69-102,Turnover by J. Brown (lost ball; steal by T. McConnell),,3,102,69,33,2003.0
2:37.0, ,69-102,S. Hauser enters the game for J. Brown,,3,102,69,33,2003.0
2:37.0, ,69-102,S. Mykhailiuk enters the game for J. Tatum,,3,102,69,33,2003.0
2:30.0,B. Hield makes 2-pt layup from 2 ft,71-102, ,,3,102,71,31,2010.0
2:18.0, ,71-102,D. White misses 3-pt jump shot from 26 ft,,3,102,71,31,2022.0
2:15.0,Defensive rebound by B. Hield,71-102, ,,3,102,71,31,2025.0
2:08.0,B. Hield misses 3-pt jump shot from 28 ft,71-102, ,,3,102,71,31,2032.0
2:04.0, ,71-102,Defensive rebound by S. Mykhailiuk,,3,102,71,31,2036.0
1:57.0, ,71-102,Shooting foul by A. Nesmith (drawn by K. Porziņģis),,3,102,71,31,2043.0
1:57.0, ,71-103,K. Porziņģis makes free throw 1 of 2,,3,103,71,32,2043.0
1:57.0, ,71-103,O. Brissett enters the game for J. Holiday,,3,103,71,32,2043.0
1:57.0, ,71-103,P. Pritchard enters the game for D. White,,3,103,71,32,2043.0
1:57.0, ,71-104,K. Porziņģis makes free throw 2 of 2,,3,104,71,33,2043.0
1:41.0,T. McConnell misses 2-pt jump shot from 7 ft,71-104, ,,3,104,71,33,2059.0
1:38.0, ,71-104,Defensive rebound by S. Hauser,,3,104,71,33,2062.0
1:32.0, ,71-107,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by P. Pritchard),,3,107,71,36,2068.0
1:11.0,Turnover by B. Hield (lost ball; steal by O. Brissett),71-107, ,,3,107,71,36,2089.0
1:06.0, ,71-107,Shooting foul by I. Jackson (drawn by K. Porziņģis),,3,107,71,36,2094.0
1:06.0, ,71-108,K. Porziņģis makes free throw 1 of 2,,3,108,71,37,2094.0
1:06.0, ,71-109,K. Porziņģis makes free throw 2 of 2,,3,109,71,38,2094.0
0:57.0,Turnover by J. Nwora (3 sec),71-109, ,,3,109,71,38,2103.0
0:57.0, ,71-109,L. Stevens enters the game for K. Porziņģis,,3,109,71,38,2103.0
0:49.0, ,71-109,S. Mykhailiuk misses 3-pt jump shot from 27 ft,,3,109,71,38,2111.0
0:48.0,Defensive rebound by Team,71-109, ,,3,109,71,38,2112.0
0:36.0,I. Jackson misses 2-pt layup from 7 ft,71-109, ,,3,109,71,38,2124.0
0:34.0, ,71-109,Defensive rebound by S. Mykhailiuk,,3,109,71,38,2126.0
0:28.0, ,71-109,Offensive foul by S. Hauser (drawn by T. McConnell),,3,109,71,38,2132.0
0:28.0, ,71-109,Turnover by S. Hauser (offensive foul),,3,109,71,38,2132.0
0:17.0,A. Nesmith misses 3-pt jump shot from 23 ft,71-109, ,,3,109,71,38,2143.0
0:11.0, ,71-109,Defensive rebound by S. Hauser,,3,109,71,38,2149.0
0:02.0, ,71-109,P. Pritchard misses 2-pt jump shot from 14 ft,,3,109,71,38,2158.0
0:02.0, ,71-109,Offensive rebound by Team,,3,109,71,38,2158.0
0:00.0,End of 3rd quarter,71-109,,,3,109,71,38,2160.0
12:00.0,Start of 4th quarter,71-109,,,4,109,71,38,2160.0
11:50.0, ,71-112,S. Hauser makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,4,112,71,41,2170.0
11:37.0,J. Walker makes 2-pt jump shot from 11 ft (assist by T. McConnell),73-112, ,,4,112,73,39,2183.0
11:24.0, ,73-112,S. Hauser misses 2-pt layup from 6 ft (block by J. Walker),,4,112,73,39,2196.0
11:24.0, ,73-112,Offensive rebound by L. Kornet,,4,112,73,39,2196.0
11:19.0, ,73-115,S. Hauser makes 3-pt jump shot from 24 ft (assist by P. Pritchard),,4,115,73,42,2201.0
10:57.0,T. McConnell misses 2-pt jump shot from 10 ft,73-115, ,,4,115,73,42,2223.0
10:54.0, ,73-115,Defensive rebound by O. Brissett,,4,115,73,42,2226.0
10:45.0, ,73-117,L. Kornet makes 2-pt layup from 3 ft (assist by P. Pritchard),,4,117,73,44,2235.0
10:27.0,J. Walker misses 2-pt jump shot from 20 ft,73-117, ,,4,117,73,44,2253.0
10:23.0, ,73-117,Defensive rebound by S. Hauser,,4,117,73,44,2257.0
10:17.0, ,73-117,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,4,117,73,44,2263.0
10:13.0,Defensive rebound by J. Walker,73-117, ,,4,117,73,44,2267.0
10:09.0,B. Sheppard makes 3-pt jump shot from 27 ft (assist by J. Walker),76-117, ,,4,117,76,41,2271.0
9:51.0, ,76-117,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,4,117,76,41,2289.0
9:47.0,Defensive rebound by B. Sheppard,76-117, ,,4,117,76,41,2293.0
9:34.0,O. Toppin makes 2-pt dunk at rim (assist by J. Walker),78-117, ,,4,117,78,39,2306.0
9:16.0, ,78-120,S. Hauser makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,4,120,78,42,2324.0
9:01.0,J. Nwora misses 3-pt jump shot from 26 ft,78-120, ,,4,120,78,42,2339.0
8:57.0,Offensive rebound by B. Sheppard,78-120, ,,4,120,78,42,2343.0
8:48.0,J. Nwora misses 3-pt jump shot from 24 ft,78-120, ,,4,120,78,42,2352.0
8:44.0, ,78-120,Defensive rebound by P. Pritchard,,4,120,78,42,2356.0
8:40.0, ,78-123,P. Pritchard makes 3-pt jump shot from 27 ft,,4,123,78,45,2360.0
8:31.0,B. Sheppard misses 3-pt jump shot from 25 ft,78-123, ,,4,123,78,45,2369.0
8:27.0, ,78-123,Defensive rebound by L. Kornet,,4,123,78,45,2373.0
8:23.0, ,78-125,P. Pritchard makes 2-pt layup from 4 ft,,4,125,78,47,2377.0
8:23.0, ,78-125,Shooting foul by B. Sheppard (drawn by P. Pritchard),,4,125,78,47,2377.0
8:23.0, ,78-126,P. Pritchard makes free throw 1 of 1,,4,126,78,48,2377.0
8:16.0,Personal foul by P. Pritchard (drawn by J. Nwora),78-126, ,,4,126,78,48,2384.0
8:16.0, ,78-126,D. Banton enters the game for S. Mykhailiuk,,4,126,78,48,2384.0
8:08.0,O. Toppin makes 2-pt layup from 2 ft (assist by J. Nwora),80-126, ,,4,126,80,46,2392.0
7:50.0, ,80-126,O. Brissett misses 3-pt jump shot from 26 ft,,4,126,80,46,2410.0
7:48.0,Defensive rebound by Team,80-126, ,,4,126,80,46,2412.0
7:34.0,J. Walker makes 2-pt jump shot from 22 ft,82-126, ,,4,126,82,44,2426.0
7:21.0, ,82-129,S. Hauser makes 3-pt jump shot from 25 ft (assist by P. Pritchard),,4,129,82,47,2439.0
7:12.0,Personal foul by D. Banton (drawn by T. McConnell),82-129, ,,4,129,82,47,2448.0
7:05.0,T. McConnell makes 2-pt jump shot from 16 ft,84-129, ,,4,129,84,45,2455.0
6:51.0, ,84-129,O. Brissett misses 2-pt layup from 5 ft,,4,129,84,45,2469.0
6:49.0,Defensive rebound by J. Walker,84-129, ,,4,129,84,45,2471.0
6:31.0,B. Sheppard makes 3-pt jump shot from 25 ft (assist by T. McConnell),87-129, ,,4,129,87,42,2489.0
6:11.0, ,87-129,S. Hauser misses 3-pt jump shot from 27 ft,,4,129,87,42,2509.0
6:07.0,Defensive rebound by T. McConnell,87-129, ,,4,129,87,42,2513.0
6:02.0,J. Nwora misses 2-pt layup from 5 ft,87-129, ,,4,129,87,42,2518.0
5:59.0, ,87-129,Defensive rebound by D. Banton,,4,129,87,42,2521.0
5:59.0, ,87-131,D. Banton makes 2-pt layup from 5 ft,,4,131,87,44,2521.0
5:59.0, ,87-131,Shooting foul by J. Walker (drawn by D. Banton),,4,131,87,44,2521.0
5:59.0, ,87-131,Boston full timeout,,4,131,87,44,2521.0
5:59.0, ,87-131,L. Stevens enters the game for L. Kornet,,4,131,87,44,2521.0
5:59.0, ,87-132,D. Banton makes free throw 1 of 1,,4,132,87,45,2521.0
5:43.0,J. Walker misses 3-pt jump shot from 24 ft,87-132, ,,4,132,87,45,2537.0
5:39.0, ,87-132,Defensive rebound by D. Banton,,4,132,87,45,2541.0
5:25.0, ,87-134,D. Banton makes 2-pt hook shot from 8 ft,,4,134,87,47,2555.0
5:18.0,Shooting foul by S. Hauser (drawn by O. Toppin),87-134, ,,4,134,87,47,2562.0
5:18.0,O. Toppin misses free throw 1 of 2,87-134, ,,4,134,87,47,2562.0
5:18.0,Offensive rebound by Team,87-134, ,,4,134,87,47,2562.0
5:18.0,O. Toppin makes free throw 2 of 2,88-134, ,,4,134,88,46,2562.0
5:15.0, ,88-137,P. Pritchard makes 3-pt jump shot from 27 ft (assist by L. Stevens),,4,137,88,49,2565.0
5:05.0,O. Toppin makes 2-pt dunk from 1 ft (assist by T. McConnell),90-137, ,,4,137,90,47,2575.0
4:52.0, ,90-139,D. Banton makes 2-pt layup from 2 ft,,4,139,90,49,2588.0
4:42.0,Personal foul by L. Stevens (drawn by O. Toppin),90-139, ,,4,139,90,49,2598.0
4:42.0, ,90-139,S. Mykhailiuk enters the game for S. Hauser,,4,139,90,49,2598.0
4:38.0,B. Sheppard misses 3-pt jump shot from 24 ft,90-139, ,,4,139,90,49,2602.0
4:32.0, ,90-139,Defensive rebound by D. Banton,,4,139,90,49,2608.0
4:29.0, ,90-139,Shooting foul by B. Sheppard (drawn by O. Brissett),,4,139,90,49,2611.0
4:29.0, ,90-140,O. Brissett makes free throw 1 of 2,,4,140,90,50,2611.0
4:29.0, ,90-141,O. Brissett makes free throw 2 of 2,,4,141,90,51,2611.0
4:29.0,Indiana full timeout,90-141, ,,4,141,90,51,2611.0
4:29.0,I. Jackson enters the game for O. Toppin,90-141, ,,4,141,90,51,2611.0
4:15.0,I. Jackson makes 2-pt dunk from 1 ft (assist by J. Walker),92-141, ,,4,141,92,49,2625.0
4:01.0, ,92-143,L. Stevens makes 2-pt dunk from 2 ft (assist by P. Pritchard),,4,143,92,51,2639.0
3:51.0,T. McConnell makes 2-pt jump shot from 8 ft,94-143, ,,4,143,94,49,2649.0
3:33.0, ,94-145,O. Brissett makes 2-pt layup from 3 ft (assist by P. Pritchard),,4,145,94,51,2667.0
3:20.0,J. Nwora makes 2-pt layup from 5 ft (assist by B. Sheppard),96-145, ,,4,145,96,49,2680.0
3:20.0,Shooting foul by L. Stevens (drawn by J. Nwora),96-145, ,,4,145,96,49,2680.0
3:20.0,J. Nwora makes free throw 1 of 1,97-145, ,,4,145,97,48,2680.0
3:09.0, ,97-147,D. Banton makes 2-pt layup from 3 ft (assist by P. Pritchard),,4,147,97,50,2691.0
2:50.0,T. McConnell makes 2-pt layup from 1 ft,99-147, ,,4,147,99,48,2710.0
2:36.0, ,99-147,Personal foul by J. Nwora (drawn by O. Brissett),,4,147,99,48,2724.0
2:25.0, ,99-147,P. Pritchard misses 2-pt layup from 8 ft,,4,147,99,48,2735.0
2:19.0, ,99-147,Offensive rebound by L. Stevens,,4,147,99,48,2741.0
2:19.0, ,99-147,L. Stevens misses 2-pt layup at rim,,4,147,99,48,2741.0
2:18.0, ,99-147,Offensive rebound by L. Stevens,,4,147,99,48,2742.0
2:17.0, ,99-149,L. Stevens makes 2-pt dunk from 3 ft,,4,149,99,50,2743.0
2:10.0,Turnover by J. Nwora (out of bounds lost ball),99-149, ,,4,149,99,50,2750.0
2:01.0, ,99-149,L. Stevens misses 2-pt layup from 4 ft (block by I. Jackson),,4,149,99,50,2759.0
1:58.0,Defensive rebound by J. Nwora,99-149, ,,4,149,99,50,2762.0
1:57.0,J. Walker makes 2-pt layup at rim (assist by J. Nwora),101-149, ,,4,149,101,48,2763.0
1:39.0, ,101-151,P. Pritchard makes 2-pt layup from 2 ft (assist by L. Stevens),,4,151,101,50,2781.0
1:22.0,J. Nwora misses 2-pt layup from 5 ft,101-151, ,,4,151,101,50,2798.0
1:21.0, ,101-151,Defensive rebound by Team,,4,151,101,50,2799.0
1:21.0,Loose ball foul by J. Nwora (drawn by D. Banton),101-151, ,,4,151,101,50,2799.0
1:21.0, ,101-152,D. Banton makes free throw 1 of 2,,4,152,101,51,2799.0
1:21.0, ,101-153,D. Banton makes free throw 2 of 2,,4,153,101,52,2799.0
1:12.0,Shooting foul by D. Banton (drawn by I. Jackson),101-153, ,,4,153,101,52,2808.0
1:12.0,I. Jackson makes free throw 1 of 2,102-153, ,,4,153,102,51,2808.0
1:12.0,I. Jackson misses free throw 2 of 2,102-153, ,,4,153,102,51,2808.0
1:12.0, ,102-153,Defensive rebound by S. Mykhailiuk,,4,153,102,51,2808.0
0:59.0, ,102-153,S. Mykhailiuk misses 2-pt dunk from 2 ft (block by I. Jackson),,4,153,102,51,2821.0
0:56.0,Defensive rebound by I. Jackson,102-153, ,,4,153,102,51,2824.0
0:54.0,Turnover by J. Nwora (bad pass; steal by D. Banton),102-153, ,,4,153,102,51,2826.0
0:50.0, ,102-155,S. Mykhailiuk makes 2-pt layup from 2 ft (assist by D. Banton),,4,155,102,53,2830.0
0:28.0,J. Walker makes 2-pt jump shot from 13 ft (assist by T. McConnell),104-155, ,,4,155,104,51,2852.0
0:04.0, ,104-155,Turnover by Team (shot clock),,4,155,104,51,2876.0
0:00.0,End of 4th quarter,104-155,,,4,155,104,51,2880.0
