Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:19.0,Offensive rebound by Team,82-80, ,,3,80,82,-2,1901.0
4:19.0,G. Niang enters the game for D. Wade,82-80, ,,3,80,82,-2,1901.0
4:05.0,Turnover by Team (shot clock),82-80, ,,3,80,82,-2,1915.0
3:59.0, ,82-80,A. Horford misses 3-pt jump shot from 26 ft,,3,80,82,-2,1921.0
3:57.0, ,82-80,Offensive rebound by A. Horford,,3,80,82,-2,1923.0
3:53.0, ,82-83,J. Holiday makes 3-pt jump shot from 24 ft (assist by S. Hauser),Lead change,3,83,82,1,1927.0
3:30.0,D. Mitchell misses 3-pt jump shot from 26 ft,82-83, ,,3,83,82,1,1950.0
3:28.0, ,82-83,Defensive rebound by A. Horford,,3,83,82,1,1952.0
3:06.0, ,82-83,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,83,82,1,1974.0
3:05.0, ,82-83,Offensive rebound by Team,,3,83,82,1,1975.0
3:05.0, ,82-83,Turnover by Team (shot clock),,3,83,82,1,1975.0
3:05.0,Cleveland full timeout,82-83, ,,3,83,82,1,1975.0
3:05.0,D. Garland enters the game for D. Mitchell,82-83, ,,3,83,82,1,1975.0
3:05.0,C. LeVert enters the game for M. Strus,82-83, ,,3,83,82,1,1975.0
3:05.0, ,82-83,D. White enters the game for J. Holiday,,3,83,82,1,1975.0
2:51.0,D. Garland makes 2-pt jump shot from 13 ft,84-83, ,Lead change,3,83,84,-1,1989.0
2:37.0, ,84-86,J. Tatum makes 3-pt jump shot from 24 ft (assist by D. White),Lead change,3,86,84,2,2003.0
2:26.0,Personal foul by D. White (drawn by J. Allen),84-86, ,,3,86,84,2,2014.0
2:15.0,D. Garland makes 2-pt jump shot from 22 ft,86-86, ,Tie,3,86,86,0,2025.0
2:01.0, ,86-89,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by D. White),,3,89,86,3,2039.0
1:44.0,D. Garland makes 2-pt jump shot from 22 ft (assist by J. Allen),88-89, ,,3,89,88,1,2056.0
1:25.0, ,88-91,K. Porziņģis makes 2-pt jump shot from 8 ft,,3,91,88,3,2075.0
1:00.0,C. LeVert misses 3-pt jump shot from 26 ft,88-91, ,,3,91,88,3,2100.0
0:58.0, ,88-91,Defensive rebound by J. Tatum,,3,91,88,3,2102.0
0:48.0, ,88-94,S. Hauser makes 3-pt jump shot from 26 ft (assist by J. Tatum),,3,94,88,6,2112.0
0:34.0,D. Garland makes 3-pt jump shot from 26 ft,91-94, ,,3,94,91,3,2126.0
0:29.0, ,91-94,Personal foul by J. Allen (drawn by J. Tatum),,3,94,91,3,2131.0
0:19.0, ,91-94,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,94,91,3,2141.0
0:17.0,Defensive rebound by G. Niang,91-94, ,,3,94,91,3,2143.0
0:02.0,Shooting foul by D. White (drawn by J. Allen),91-94, ,,3,94,91,3,2158.0
0:02.0,J. Allen makes free throw 1 of 2,92-94, ,,3,94,92,2,2158.0
0:02.0,D. Wade enters the game for D. Garland,92-94, ,,3,94,92,2,2158.0
0:02.0, ,92-94,P. Pritchard enters the game for K. Porziņģis,,3,94,92,2,2158.0
0:02.0,J. Allen misses free throw 2 of 2,92-94, ,,3,94,92,2,2158.0
0:02.0, ,92-94,Defensive rebound by A. Horford,,3,94,92,2,2158.0
0:00.0, ,92-94,P. Pritchard misses 3-pt jump shot from 47 ft,,3,94,92,2,2160.0
0:00.0, ,92-94,Offensive rebound by Team,,3,94,92,2,2160.0
0:00.0,End of 3rd quarter,92-94,,,3,94,92,2,2160.0
12:00.0,Start of 4th quarter,92-94,,,4,94,92,2,2160.0
11:42.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by I. Okoro),95-94, ,Lead change,4,94,95,-1,2178.0
11:19.0, ,95-94,S. Hauser misses 3-pt jump shot from 28 ft,,4,94,95,-1,2201.0
11:18.0,Defensive rebound by C. LeVert,95-94, ,,4,94,95,-1,2202.0
11:09.0,C. LeVert makes 2-pt layup from 5 ft,97-94, ,,4,94,97,-3,2211.0
10:56.0, ,97-94,J. Brown misses 2-pt jump shot from 16 ft,,4,94,97,-3,2224.0
10:55.0, ,97-94,Offensive rebound by L. Kornet,,4,94,97,-3,2225.0
10:55.0, ,97-94,L. Kornet misses 2-pt layup at rim,,4,94,97,-3,2225.0
10:54.0, ,97-94,Offensive rebound by J. Brown,,4,94,97,-3,2226.0
10:53.0, ,97-96,J. Brown makes 2-pt layup from 6 ft,,4,96,97,-1,2227.0
10:25.0,C. LeVert makes 2-pt jump shot from 17 ft,99-96, ,,4,96,99,-3,2255.0
10:07.0, ,99-99,S. Hauser makes 3-pt jump shot from 28 ft (assist by P. Pritchard),Tie,4,99,99,0,2273.0
9:50.0,I. Okoro misses 3-pt jump shot from 24 ft,99-99, ,,4,99,99,0,2290.0
9:49.0, ,99-99,Defensive rebound by P. Pritchard,,4,99,99,0,2291.0
9:33.0, ,99-99,P. Pritchard misses 3-pt jump shot from 27 ft,,4,99,99,0,2307.0
9:31.0, ,99-99,Offensive rebound by S. Hauser,,4,99,99,0,2309.0
9:30.0, ,99-99,J. Brown misses 3-pt jump shot from 27 ft,,4,99,99,0,2310.0
9:29.0,Defensive rebound by G. Niang,99-99, ,,4,99,99,0,2311.0
9:14.0,D. Garland misses 2-pt layup from 2 ft,99-99, ,,4,99,99,0,2326.0
9:12.0, ,99-99,Defensive rebound by L. Kornet,,4,99,99,0,2328.0
9:06.0, ,99-99,Shooting foul by G. Niang (drawn by L. Kornet),,4,99,99,0,2334.0
9:06.0, ,99-100,L. Kornet makes free throw 1 of 2,Lead change,4,100,99,1,2334.0
9:06.0,M. Strus enters the game for I. Okoro,99-100, ,,4,100,99,1,2334.0
9:06.0, ,99-100,J. Holiday enters the game for A. Horford,,4,100,99,1,2334.0
9:06.0, ,99-101,L. Kornet makes free throw 2 of 2,,4,101,99,2,2334.0
8:54.0,D. Garland misses 2-pt layup from 1 ft,99-101, ,,4,101,99,2,2346.0
8:53.0,Offensive rebound by T. Thompson,99-101, ,,4,101,99,2,2347.0
8:53.0,T. Thompson makes 2-pt layup at rim,101-101, ,Tie,4,101,101,0,2347.0
8:38.0, ,101-104,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Brown),,4,104,101,3,2362.0
8:14.0,D. Garland misses 3-pt jump shot from 26 ft,101-104, ,,4,104,101,3,2386.0
8:12.0, ,101-104,Defensive rebound by P. Pritchard,,4,104,101,3,2388.0
8:10.0,Loose ball foul by D. Garland (drawn by J. Brown),101-104, ,,4,104,101,3,2390.0
8:10.0,D. Mitchell enters the game for D. Garland,101-104, ,,4,104,101,3,2390.0
8:10.0, ,101-104,A. Horford enters the game for L. Kornet,,4,104,101,3,2390.0
8:10.0, ,101-104,D. White enters the game for P. Pritchard,,4,104,101,3,2390.0
7:55.0,Jump ball: J. Brown vs. T. Thompson (J. Holiday gains possession),101-104,,,4,104,101,3,2405.0
7:50.0, ,101-104,Turnover by D. White (bad pass),,4,104,101,3,2410.0
7:50.0, ,101-104,J. Tatum enters the game for S. Hauser,,4,104,101,3,2410.0
7:40.0,C. LeVert misses 2-pt jump shot from 15 ft,101-104, ,,4,104,101,3,2420.0
7:38.0,Offensive rebound by T. Thompson,101-104, ,,4,104,101,3,2422.0
7:37.0,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Thompson),104-104, ,Tie,4,104,104,0,2423.0
7:14.0, ,104-106,J. Tatum makes 2-pt jump shot from 15 ft,,4,106,104,2,2446.0
7:02.0,M. Strus misses 3-pt jump shot from 29 ft,104-106, ,,4,106,104,2,2458.0
7:00.0, ,104-106,Defensive rebound by J. Holiday,,4,106,104,2,2460.0
6:51.0, ,104-106,J. Tatum misses 3-pt jump shot from 27 ft,,4,106,104,2,2469.0
6:49.0, ,104-106,Offensive rebound by A. Horford,,4,106,104,2,2471.0
6:46.0, ,104-106,D. White misses 3-pt jump shot from 27 ft,,4,106,104,2,2474.0
6:44.0,Defensive rebound by T. Thompson,104-106, ,,4,106,104,2,2476.0
6:33.0,C. LeVert misses 3-pt jump shot from 25 ft,104-106, ,,4,106,104,2,2487.0
6:31.0, ,104-106,Defensive rebound by J. Holiday,,4,106,104,2,2489.0
6:27.0, ,104-106,Boston full timeout,,4,106,104,2,2493.0
6:27.0,J. Allen enters the game for G. Niang,104-106, ,,4,106,104,2,2493.0
6:27.0,D. Wade enters the game for T. Thompson,104-106, ,,4,106,104,2,2493.0
6:27.0, ,104-106,K. Porziņģis enters the game for A. Horford,,4,106,104,2,2493.0
6:20.0, ,104-106,K. Porziņģis misses 2-pt jump shot from 8 ft,,4,106,104,2,2500.0
6:19.0,Defensive rebound by J. Allen,104-106, ,,4,106,104,2,2501.0
6:05.0,D. Mitchell makes 2-pt jump shot from 18 ft,106-106, ,Tie,4,106,106,0,2515.0
5:50.0, ,106-106,Personal foul by D. Mitchell (drawn by J. Tatum),,4,106,106,0,2530.0
5:42.0, ,106-106,Shooting foul by J. Allen (drawn by K. Porziņģis),,4,106,106,0,2538.0
5:42.0, ,106-107,K. Porziņģis makes free throw 1 of 2,,4,107,106,1,2538.0
5:42.0, ,106-108,K. Porziņģis makes free throw 2 of 2,,4,108,106,2,2538.0
5:21.0,Personal foul by J. Tatum (drawn by D. Mitchell),106-108, ,,4,108,106,2,2559.0
5:21.0,D. Garland enters the game for C. LeVert,106-108, ,,4,108,106,2,2559.0
5:17.0,D. Mitchell misses 2-pt jump shot from 11 ft,106-108, ,,4,108,106,2,2563.0
5:15.0, ,106-108,Defensive rebound by D. White,,4,108,106,2,2565.0
5:06.0, ,106-108,Personal foul by M. Strus (drawn by K. Porziņģis),,4,108,106,2,2574.0
5:06.0, ,106-109,K. Porziņģis makes free throw 1 of 2,,4,109,106,3,2574.0
5:06.0, ,106-110,K. Porziņģis makes free throw 2 of 2,,4,110,106,4,2574.0
4:47.0,D. Wade misses 3-pt jump shot from 26 ft,106-110, ,,4,110,106,4,2593.0
4:45.0, ,106-110,Defensive rebound by K. Porziņģis,,4,110,106,4,2595.0
4:28.0, ,106-113,J. Tatum makes 3-pt jump shot from 26 ft,,4,113,106,7,2612.0
4:26.0,Cleveland full timeout,106-113, ,,4,113,106,7,2614.0
4:03.0,D. Mitchell misses 3-pt jump shot from 26 ft,106-113, ,,4,113,106,7,2637.0
3:59.0, ,106-113,Defensive rebound by D. White,,4,113,106,7,2641.0
3:45.0, ,106-113,Personal foul by M. Strus (drawn by K. Porziņģis),,4,113,106,7,2655.0
3:45.0, ,106-114,K. Porziņģis makes free throw 1 of 2,,4,114,106,8,2655.0
3:45.0,C. LeVert enters the game for D. Wade,106-114, ,,4,114,106,8,2655.0
3:45.0, ,106-115,K. Porziņģis makes free throw 2 of 2,,4,115,106,9,2655.0
3:31.0,Personal foul by J. Brown (drawn by J. Allen),106-115, ,,4,115,106,9,2669.0
3:25.0,J. Allen makes 2-pt jump shot from 12 ft (assist by D. Garland),108-115, ,,4,115,108,7,2675.0
2:57.0, ,108-115,J. Tatum misses 2-pt layup from 6 ft (block by C. LeVert),,4,115,108,7,2703.0
2:55.0,Defensive rebound by M. Strus,108-115, ,,4,115,108,7,2705.0
2:51.0,Personal foul by J. Holiday (drawn by C. LeVert),108-115, ,,4,115,108,7,2709.0
2:45.0,C. LeVert misses 2-pt layup from 4 ft,108-115, ,,4,115,108,7,2715.0
2:43.0, ,108-115,Defensive rebound by K. Porziņģis,,4,115,108,7,2717.0
2:32.0, ,108-118,D. White makes 3-pt jump shot from 24 ft (assist by J. Brown),,4,118,108,10,2728.0
2:07.0,D. Garland makes 3-pt jump shot from 27 ft (assist by C. LeVert),111-118, ,,4,118,111,7,2753.0
1:38.0, ,111-120,J. Brown makes 2-pt jump shot from 14 ft,,4,120,111,9,2782.0
1:19.0,J. Allen makes 2-pt layup from 7 ft (assist by C. LeVert),113-120, ,,4,120,113,7,2801.0
1:19.0,Shooting foul by K. Porziņģis (drawn by J. Allen),113-120, ,,4,120,113,7,2801.0
1:19.0,J. Allen misses free throw 1 of 1,113-120, ,,4,120,113,7,2801.0
1:19.0, ,113-120,Defensive rebound by Team,,4,120,113,7,2801.0
1:00.0, ,113-120,J. Tatum misses 3-pt jump shot from 28 ft,,4,120,113,7,2820.0
0:58.0,Defensive rebound by C. LeVert,113-120, ,,4,120,113,7,2822.0
0:52.0,Turnover by C. LeVert (bad pass; steal by J. Brown),113-120, ,,4,120,113,7,2828.0
0:38.0, ,113-120,J. Tatum misses 2-pt layup from 4 ft,,4,120,113,7,2842.0
0:37.0,Defensive rebound by M. Strus,113-120, ,,4,120,113,7,2843.0
0:33.0,D. Garland misses 3-pt jump shot from 27 ft,113-120, ,,4,120,113,7,2847.0
0:31.0, ,113-120,Defensive rebound by D. White,,4,120,113,7,2849.0
0:07.0, ,113-120,Turnover by Team (shot clock),,4,120,113,7,2873.0
0:00.0,End of 4th quarter,113-120,,,4,120,113,7,2880.0
