Time,Boston,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:39.0, ,48-42,Defensive rebound by A. Edwards,,2,48,42,6,1221.0
3:35.0, ,48-45,J. McDaniels makes 3-pt jump shot from 23 ft (assist by A. Edwards),,2,48,45,3,1225.0
3:34.0,Boston full timeout,48-45, ,,2,48,45,3,1226.0
3:20.0,J. Brown makes 3-pt jump shot from 25 ft (assist by P. Pritchard),51-45, ,,2,51,45,6,1240.0
3:03.0, ,51-48,N. Alexander-Walker makes 3-pt jump shot from 24 ft (assist by A. Edwards),,2,51,48,3,1257.0
2:48.0,J. Holiday misses 2-pt jump shot from 7 ft,51-48, ,,2,51,48,3,1272.0
2:46.0, ,51-48,Defensive rebound by A. Edwards,,2,51,48,3,1274.0
2:30.0, ,51-48,A. Edwards misses 2-pt jump shot from 14 ft,,2,51,48,3,1290.0
2:26.0,Defensive rebound by J. Tatum,51-48, ,,2,51,48,3,1294.0
2:13.0,K. Porziņģis makes 2-pt jump shot from 7 ft (assist by J. Holiday),53-48, ,,2,53,48,5,1307.0
2:13.0,Shooting foul by R. Gobert (drawn by K. Porziņģis),53-48, ,,2,53,48,5,1307.0
2:13.0,K. Porziņģis makes free throw 1 of 1,54-48, ,,2,54,48,6,1307.0
1:59.0, ,54-50,A. Edwards makes 2-pt layup from 6 ft (assist by N. Alexander-Walker),,2,54,50,4,1321.0
1:50.0,Turnover by J. Tatum (bad pass),54-50, ,,2,54,50,4,1330.0
1:40.0, ,54-50,A. Edwards misses 2-pt layup from 2 ft,,2,54,50,4,1340.0
1:38.0,Defensive rebound by J. Holiday,54-50, ,,2,54,50,4,1342.0
1:32.0,K. Porziņģis misses 2-pt dunk from 1 ft,54-50, ,,2,54,50,4,1348.0
1:29.0, ,54-50,Defensive rebound by N. Reid,,2,54,50,4,1351.0
1:29.0,A. Horford enters the game for P. Pritchard,54-50, ,,2,54,50,4,1351.0
1:15.0, ,54-52,A. Edwards makes 2-pt layup from 1 ft,,2,54,52,2,1365.0
1:03.0,Shooting foul by A. Edwards (drawn by J. Holiday),54-52, ,,2,54,52,2,1377.0
1:03.0,J. Holiday makes free throw 1 of 2,55-52, ,,2,55,52,3,1377.0
1:03.0,J. Holiday misses free throw 2 of 2,55-52, ,,2,55,52,3,1377.0
1:02.0, ,55-52,Defensive rebound by Team,,2,55,52,3,1378.0
1:02.0,Loose ball foul by K. Porziņģis (drawn by R. Gobert),55-52, ,,2,55,52,3,1378.0
1:02.0,P. Pritchard enters the game for K. Porziņģis,55-52, ,,2,55,52,3,1378.0
0:45.0, ,55-52,A. Edwards misses 2-pt jump shot from 16 ft,,2,55,52,3,1395.0
0:43.0,Defensive rebound by J. Holiday,55-52, ,,2,55,52,3,1397.0
0:30.0,J. Holiday misses 3-pt jump shot from 26 ft,55-52, ,,2,55,52,3,1410.0
0:26.0,Offensive rebound by P. Pritchard,55-52, ,,2,55,52,3,1414.0
0:18.0,J. Brown misses 2-pt jump shot from 18 ft,55-52, ,,2,55,52,3,1422.0
0:15.0, ,55-52,Defensive rebound by R. Gobert,,2,55,52,3,1425.0
0:02.0, ,55-52,Turnover by N. Reid (bad pass; steal by J. Tatum),,2,55,52,3,1438.0
0:00.0,J. Brown misses 3-pt jump shot from 35 ft,55-52, ,,2,55,52,3,1440.0
0:00.0,Offensive rebound by Team,55-52, ,,2,55,52,3,1440.0
0:00.0,End of 2nd quarter,55-52,,,2,55,52,3,1440.0
12:00.0,Start of 3rd quarter,55-52,,,3,55,52,3,1440.0
11:38.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Holiday),58-52, ,,3,58,52,6,1462.0
11:38.0,Shooting foul by J. McDaniels (drawn by K. Porziņģis),58-52, ,,3,58,52,6,1462.0
11:38.0,K. Porziņģis makes free throw 1 of 1,59-52, ,,3,59,52,7,1462.0
11:26.0, ,59-55,J. McDaniels makes 3-pt jump shot from 25 ft (assist by R. Gobert),,3,59,55,4,1474.0
11:05.0,K. Porziņģis misses 3-pt jump shot from 26 ft,59-55, ,,3,59,55,4,1495.0
11:00.0, ,59-55,Defensive rebound by K. Towns,,3,59,55,4,1500.0
11:00.0, ,59-55,Turnover by A. Edwards (traveling),,3,59,55,4,1500.0
10:48.0,J. Brown makes 2-pt jump shot from 16 ft (assist by J. Holiday),61-55, ,,3,61,55,6,1512.0
10:36.0, ,61-58,K. Towns makes 3-pt jump shot from 26 ft (assist by M. Conley),,3,61,58,3,1524.0
10:10.0,K. Porziņģis misses 2-pt layup from 9 ft,61-58, ,,3,61,58,3,1550.0
10:07.0, ,61-58,Defensive rebound by M. Conley,,3,61,58,3,1553.0
10:02.0, ,61-60,R. Gobert makes 2-pt dunk from 2 ft (assist by K. Towns),,3,61,60,1,1558.0
9:48.0,Shooting foul by A. Edwards (drawn by K. Porziņģis),61-60, ,,3,61,60,1,1572.0
9:48.0,K. Porziņģis misses free throw 1 of 2,61-60, ,,3,61,60,1,1572.0
9:48.0,Offensive rebound by Team,61-60, ,,3,61,60,1,1572.0
9:48.0,K. Porziņģis misses free throw 2 of 2,61-60, ,,3,61,60,1,1572.0
9:46.0, ,61-60,Defensive rebound by R. Gobert,,3,61,60,1,1574.0
9:24.0, ,61-60,K. Towns misses 3-pt jump shot from 26 ft,,3,61,60,1,1596.0
9:23.0,Defensive rebound by K. Porziņģis,61-60, ,,3,61,60,1,1597.0
9:16.0,J. Holiday misses 3-pt jump shot from 25 ft,61-60, ,,3,61,60,1,1604.0
9:12.0, ,61-60,Defensive rebound by A. Edwards,,3,61,60,1,1608.0
9:11.0, ,61-62,A. Edwards makes 2-pt dunk from 2 ft,Lead change,3,61,62,-1,1609.0
