Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:17.0,L. Kornet enters the game for O. Brissett,45-41, ,,2,45,41,4,943.0
8:17.0, ,45-41,N. Claxton enters the game for D. Sharpe,,2,45,41,4,943.0
8:17.0, ,45-41,C. Thomas enters the game for L. Walker,,2,45,41,4,943.0
8:09.0,Personal foul by M. Bridges (drawn by A. Horford),45-41, ,,2,45,41,4,951.0
8:09.0,O. Brissett enters the game for L. Kornet,45-41, ,,2,45,41,4,951.0
8:09.0, ,45-41,D. Finney-Smith enters the game for D. Smith,,2,45,41,4,951.0
8:01.0,J. Brown misses 2-pt jump shot from 11 ft,45-41, ,,2,45,41,4,959.0
7:57.0,Offensive rebound by P. Pritchard,45-41, ,,2,45,41,4,963.0
7:54.0,P. Pritchard misses 2-pt jump shot from 5 ft,45-41, ,,2,45,41,4,966.0
7:54.0,Offensive rebound by Team,45-41, ,,2,45,41,4,966.0
7:54.0, ,45-41,Loose ball foul by N. Claxton (drawn by O. Brissett),,2,45,41,4,966.0
7:54.0,O. Brissett misses free throw 1 of 2,45-41, ,,2,45,41,4,966.0
7:54.0,J. Holiday enters the game for D. White,45-41, ,,2,45,41,4,966.0
7:54.0,O. Brissett misses free throw 2 of 2,45-41, ,,2,45,41,4,966.0
7:51.0, ,45-41,Defensive rebound by N. Claxton,,2,45,41,4,969.0
7:39.0, ,45-41,Shooting foul by J. Holiday (drawn by M. Bridges),,2,45,41,4,981.0
7:39.0, ,45-42,M. Bridges makes free throw 1 of 2,,2,45,42,3,981.0
7:39.0,J. Tatum enters the game for O. Brissett,45-42, ,,2,45,42,3,981.0
7:39.0, ,45-43,M. Bridges makes free throw 2 of 2,,2,45,43,2,981.0
7:17.0,J. Brown misses 2-pt hook shot from 6 ft,45-43, ,,2,45,43,2,1003.0
7:16.0,Offensive rebound by J. Brown,45-43, ,,2,45,43,2,1004.0
7:14.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Brown),48-43, ,,2,48,43,5,1006.0
6:58.0, ,48-43,C. Thomas misses 2-pt jump shot from 18 ft,,2,48,43,5,1022.0
6:55.0,Defensive rebound by J. Holiday,48-43, ,,2,48,43,5,1025.0
6:50.0,J. Brown makes 2-pt jump shot from 5 ft (assist by J. Holiday),50-43, ,,2,50,43,7,1030.0
6:33.0, ,50-43,Turnover by D. Schröder (bad pass),,2,50,43,7,1047.0
6:33.0,S. Hauser enters the game for P. Pritchard,50-43, ,,2,50,43,7,1047.0
6:18.0,Shooting foul by N. Claxton (drawn by J. Brown),50-43, ,,2,50,43,7,1062.0
6:18.0,J. Brown makes free throw 1 of 2,51-43, ,,2,51,43,8,1062.0
6:18.0, ,51-43,B. Simmons enters the game for D. Schröder,,2,51,43,8,1062.0
6:18.0,J. Brown misses free throw 2 of 2,51-43, ,,2,51,43,8,1062.0
6:16.0, ,51-43,Defensive rebound by N. Claxton,,2,51,43,8,1064.0
6:09.0, ,51-43,M. Bridges misses 2-pt jump shot from 12 ft,,2,51,43,8,1071.0
6:07.0,Defensive rebound by J. Tatum,51-43, ,,2,51,43,8,1073.0
5:54.0,J. Tatum makes 2-pt jump shot from 19 ft,53-43, ,,2,53,43,10,1086.0
5:44.0, ,53-45,M. Bridges makes 2-pt layup from 2 ft (assist by B. Simmons),,2,53,45,8,1096.0
5:32.0,J. Tatum misses 3-pt jump shot from 27 ft,53-45, ,,2,53,45,8,1108.0
5:31.0, ,53-45,Defensive rebound by Team,,2,53,45,8,1109.0
5:11.0, ,53-45,Personal foul by J. Tatum (drawn by C. Thomas),,2,53,45,8,1129.0
5:11.0,D. White enters the game for J. Brown,53-45, ,,2,53,45,8,1129.0
5:01.0, ,53-45,B. Simmons misses 2-pt hook shot from 5 ft,,2,53,45,8,1139.0
4:58.0,Defensive rebound by J. Holiday,53-45, ,,2,53,45,8,1142.0
4:51.0,J. Tatum misses 2-pt layup from 4 ft (block by D. Finney-Smith),53-45, ,,2,53,45,8,1149.0
4:48.0, ,53-45,Defensive rebound by D. Finney-Smith,,2,53,45,8,1152.0
4:45.0, ,53-45,Shooting foul by J. Holiday (drawn by D. Finney-Smith),,2,53,45,8,1155.0
4:45.0, ,53-46,D. Finney-Smith makes free throw 1 of 2,,2,53,46,7,1155.0
4:45.0, ,53-46,D. Finney-Smith misses free throw 2 of 2,,2,53,46,7,1155.0
4:42.0,Defensive rebound by J. Tatum,53-46, ,,2,53,46,7,1158.0
4:26.0,Personal foul by B. Simmons (drawn by A. Horford),53-46, ,,2,53,46,7,1174.0
4:26.0,A. Horford makes free throw 1 of 2,54-46, ,,2,54,46,8,1174.0
4:26.0, ,54-46,L. Walker enters the game for D. Finney-Smith,,2,54,46,8,1174.0
4:26.0,A. Horford makes free throw 2 of 2,55-46, ,,2,55,46,9,1174.0
4:21.0, ,55-46,Personal take foul by S. Hauser (drawn by B. Simmons),,2,55,46,9,1179.0
4:21.0, ,55-46,B. Simmons misses free throw 1 of 2,,2,55,46,9,1179.0
4:21.0, ,55-46,Offensive rebound by Team,,2,55,46,9,1179.0
4:21.0, ,55-47,B. Simmons makes free throw 2 of 2,,2,55,47,8,1179.0
4:08.0,J. Tatum makes 2-pt dunk from 1 ft (assist by D. White),57-47, ,,2,57,47,10,1192.0
3:56.0, ,57-47,L. Walker misses 3-pt jump shot from 26 ft,,2,57,47,10,1204.0
3:53.0,Defensive rebound by A. Horford,57-47, ,,2,57,47,10,1207.0
3:48.0,D. White misses 2-pt jump shot from 6 ft (block by N. Claxton),57-47, ,,2,57,47,10,1212.0
3:48.0,Offensive rebound by Team,57-47, ,,2,57,47,10,1212.0
3:38.0,J. Tatum misses 3-pt jump shot from 25 ft,57-47, ,,2,57,47,10,1222.0
3:34.0, ,57-47,Defensive rebound by N. Claxton,,2,57,47,10,1226.0
3:27.0, ,57-49,N. Claxton makes 2-pt layup from 2 ft (assist by B. Simmons),,2,57,49,8,1233.0
3:16.0,Personal foul by B. Simmons (drawn by J. Tatum),57-49, ,,2,57,49,8,1244.0
3:16.0,J. Tatum makes free throw 1 of 2,58-49, ,,2,58,49,9,1244.0
3:16.0,J. Tatum makes free throw 2 of 2,59-49, ,,2,59,49,10,1244.0
3:13.0, ,59-49,Personal take foul by S. Hauser (drawn by B. Simmons),,2,59,49,10,1247.0
3:13.0, ,59-49,B. Simmons misses free throw 1 of 2,,2,59,49,10,1247.0
3:13.0, ,59-49,Offensive rebound by Team,,2,59,49,10,1247.0
3:13.0,J. Brown enters the game for S. Hauser,59-49, ,,2,59,49,10,1247.0
3:13.0, ,59-50,B. Simmons makes free throw 2 of 2,,2,59,50,9,1247.0
3:04.0,Personal foul by B. Simmons (drawn by J. Tatum),59-50, ,,2,59,50,9,1256.0
3:04.0,J. Tatum makes free throw 1 of 2,60-50, ,,2,60,50,10,1256.0
3:04.0,L. Kornet enters the game for A. Horford,60-50, ,,2,60,50,10,1256.0
3:04.0, ,60-50,D. Schröder enters the game for B. Simmons,,2,60,50,10,1256.0
3:04.0,J. Tatum makes free throw 2 of 2,61-50, ,,2,61,50,11,1256.0
3:02.0, ,61-50,Personal take foul by L. Kornet (drawn by N. Claxton),,2,61,50,11,1258.0
3:02.0, ,61-51,N. Claxton makes free throw 1 of 2,,2,61,51,10,1258.0
3:02.0, ,61-51,D. Finney-Smith enters the game for C. Thomas,,2,61,51,10,1258.0
3:02.0, ,61-52,N. Claxton makes free throw 2 of 2,,2,61,52,9,1258.0
2:50.0,Boston full timeout,61-52, ,,2,61,52,9,1270.0
2:42.0,J. Holiday makes 3-pt jump shot from 25 ft,64-52, ,,2,64,52,12,1278.0
2:17.0, ,64-52,D. Schröder misses 3-pt jump shot from 27 ft,,2,64,52,12,1303.0
2:15.0,Defensive rebound by J. Tatum,64-52, ,,2,64,52,12,1305.0
