Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:52.0,Turnover by T. Harris (bad pass; steal by J. Brown),46-44, ,,2,44,46,-2,1208.0
3:49.0, ,46-46,J. Brown makes 2-pt layup from 2 ft,Tie,2,46,46,0,1211.0
3:27.0,T. Harris misses 2-pt jump shot from 7 ft,46-46, ,,2,46,46,0,1233.0
3:24.0, ,46-46,Defensive rebound by J. Tatum,,2,46,46,0,1236.0
3:15.0, ,46-46,Shooting foul by B. Hield (drawn by K. Porziņģis),,2,46,46,0,1245.0
3:15.0, ,46-47,K. Porziņģis makes free throw 1 of 2,Lead change,2,47,46,1,1245.0
3:15.0,P. Reed enters the game for M. Bamba,46-47, ,,2,47,46,1,1245.0
3:15.0, ,46-48,K. Porziņģis makes free throw 2 of 2,,2,48,46,2,1245.0
3:03.0,T. Maxey makes 3-pt jump shot from 28 ft (assist by B. Hield),49-48, ,Lead change,2,48,49,-1,1257.0
2:42.0, ,49-48,Offensive foul by J. Brown (drawn by T. Maxey),,2,48,49,-1,1278.0
2:42.0, ,49-48,Turnover by J. Brown (offensive foul),,2,48,49,-1,1278.0
2:22.0,T. Maxey makes 2-pt jump shot from 16 ft,51-48, ,,2,48,51,-3,1298.0
2:06.0, ,51-50,J. Tatum makes 2-pt layup from 4 ft,,2,50,51,-1,1314.0
1:45.0,T. Maxey misses 3-pt jump shot from 30 ft,51-50, ,,2,50,51,-1,1335.0
1:43.0, ,51-50,Defensive rebound by J. Tatum,,2,50,51,-1,1337.0
1:29.0, ,51-50,Shooting foul by B. Hield (drawn by J. Tatum),,2,50,51,-1,1351.0
1:29.0, ,51-50,J. Tatum misses free throw 1 of 2,,2,50,51,-1,1351.0
1:29.0, ,51-50,Offensive rebound by Team,,2,50,51,-1,1351.0
1:29.0, ,51-50,J. Holiday enters the game for S. Hauser,,2,50,51,-1,1351.0
1:29.0, ,51-51,J. Tatum makes free throw 2 of 2,Tie,2,51,51,0,1351.0
1:11.0,D. Melton misses 3-pt jump shot from 25 ft,51-51, ,,2,51,51,0,1369.0
1:08.0, ,51-51,Defensive rebound by J. Tatum,,2,51,51,0,1372.0
0:59.0, ,51-51,J. Tatum misses 3-pt jump shot from 26 ft,,2,51,51,0,1381.0
0:57.0,Defensive rebound by D. Melton,51-51, ,,2,51,51,0,1383.0
0:50.0,T. Maxey misses 2-pt jump shot from 18 ft,51-51, ,,2,51,51,0,1390.0
0:47.0, ,51-51,Defensive rebound by J. Holiday,,2,51,51,0,1393.0
0:39.0, ,51-53,D. White makes 2-pt jump shot from 5 ft,Lead change,2,53,51,2,1401.0
0:30.0,T. Harris misses 3-pt jump shot from 26 ft,51-53, ,,2,53,51,2,1410.0
0:28.0, ,51-53,Defensive rebound by K. Porziņģis,,2,53,51,2,1412.0
0:11.0, ,51-53,Turnover by J. Brown (lost ball),,2,53,51,2,1429.0
0:11.0, ,51-53,Loose ball foul by J. Brown (drawn by T. Maxey),,2,53,51,2,1429.0
0:11.0,K. Lowry enters the game for P. Reed,51-53, ,,2,53,51,2,1429.0
0:11.0, ,51-53,A. Horford enters the game for K. Porziņģis,,2,53,51,2,1429.0
0:02.0,T. Maxey misses 3-pt jump shot from 28 ft,51-53, ,,2,53,51,2,1438.0
0:02.0, ,51-53,Defensive rebound by A. Horford,,2,53,51,2,1438.0
0:00.0,End of 2nd quarter,51-53,,,2,53,51,2,1440.0
12:00.0,Start of 3rd quarter,51-53,,,3,53,51,2,1440.0
11:43.0,P. Reed misses 2-pt hook shot from 6 ft,51-53, ,,3,53,51,2,1457.0
11:41.0, ,51-53,Defensive rebound by K. Porziņģis,,3,53,51,2,1459.0
11:35.0, ,51-53,Turnover by D. White (bad pass; steal by T. Maxey),,3,53,51,2,1465.0
11:30.0,T. Harris misses 2-pt layup from 4 ft,51-53, ,,3,53,51,2,1470.0
11:28.0, ,51-53,Defensive rebound by K. Porziņģis,,3,53,51,2,1472.0
11:20.0, ,51-55,D. White makes 2-pt dunk from 1 ft (assist by K. Porziņģis),,3,55,51,4,1480.0
11:00.0,T. Harris misses 3-pt jump shot from 23 ft,51-55, ,,3,55,51,4,1500.0
10:59.0, ,51-55,Defensive rebound by J. Holiday,,3,55,51,4,1501.0
10:48.0, ,51-57,J. Holiday makes 2-pt jump shot from 14 ft (assist by J. Tatum),,3,57,51,6,1512.0
10:29.0,T. Maxey misses 2-pt jump shot from 13 ft,51-57, ,,3,57,51,6,1531.0
10:26.0, ,51-57,Defensive rebound by J. Brown,,3,57,51,6,1534.0
10:24.0, ,51-57,Shooting foul by K. Oubre (drawn by J. Brown),,3,57,51,6,1536.0
10:24.0, ,51-58,J. Brown makes free throw 1 of 2,,3,58,51,7,1536.0
10:24.0, ,51-59,J. Brown makes free throw 2 of 2,,3,59,51,8,1536.0
10:12.0,K. Oubre misses 2-pt layup from 5 ft (block by J. Tatum),51-59, ,,3,59,51,8,1548.0
10:11.0,Offensive rebound by Team,51-59, ,,3,59,51,8,1549.0
10:02.0,T. Harris misses 3-pt jump shot from 23 ft,51-59, ,,3,59,51,8,1558.0
10:01.0, ,51-59,Defensive rebound by D. White,,3,59,51,8,1559.0
9:55.0, ,51-62,J. Holiday makes 3-pt jump shot from 27 ft,,3,62,51,11,1565.0
9:53.0,Philadelphia full timeout,51-62, ,,3,62,51,11,1567.0
9:29.0,B. Hield misses 3-pt jump shot from 26 ft,51-62, ,,3,62,51,11,1591.0
9:27.0, ,51-62,Defensive rebound by J. Brown,,3,62,51,11,1593.0
